epoch,subset,metric,score
0,train,auroc,0.5145314174268094
0,valid,auroc,0.48735552944604693
1,train,auroc,0.4877975371104446
1,valid,auroc,0.4828217935127042
2,train,auroc,0.512705390280914
2,valid,auroc,0.4811187940373666
3,train,auroc,0.5409596739961929
3,valid,auroc,0.49345984323289627
4,train,auroc,0.5616172932312458
4,valid,auroc,0.45621222484832524
5,train,auroc,0.6004801157146092
5,valid,auroc,0.4866099849491523
6,train,auroc,0.5992869711506871
6,valid,auroc,0.4863060252914532
7,train,auroc,0.6169517151127616
7,valid,auroc,0.5171591865795531
8,train,auroc,0.62043019041835
8,valid,auroc,0.48785273854373534
9,train,auroc,0.6218412450031948
9,valid,auroc,0.47606183120800816
10,train,auroc,0.6447985647931987
10,valid,auroc,0.5191822946908619
11,train,auroc,0.650113515095505
11,valid,auroc,0.48448800920419993
12,train,auroc,0.6551969570972025
12,valid,auroc,0.4496767333416112
13,train,auroc,0.6814519079318668
13,valid,auroc,0.43936830221126166
14,train,auroc,0.6592547255468534
14,valid,auroc,0.5031034747577114
15,train,auroc,0.6731452235833646
15,valid,auroc,0.4781687345732399
16,train,auroc,0.6378090168874561
16,valid,auroc,0.41230763875381565
17,train,auroc,0.668271365469165
17,valid,auroc,0.45383042998628415
18,train,auroc,0.6840538085534529
18,valid,auroc,0.45406028377702357
19,train,auroc,0.6892639588752018
19,valid,auroc,0.4366348184890729
20,train,auroc,0.6988323578362546
20,valid,auroc,0.411310887928244
21,train,auroc,0.7038661966569706
21,valid,auroc,0.41102612761137947
22,train,auroc,0.6729893095018605
22,valid,auroc,0.4633590448991838
23,train,auroc,0.6935388175913262
23,valid,auroc,0.4339137156502261
24,train,auroc,0.7124019139691173
24,valid,auroc,0.4297052919125199
25,train,auroc,0.7122830013531414
25,valid,auroc,0.4594981830605113
26,train,auroc,0.6735892250960849
26,valid,auroc,0.4404018368206753
27,train,auroc,0.6516744400819934
27,valid,auroc,0.4721329642275011
28,train,auroc,0.707228925849063
28,valid,auroc,0.4330005806454854
29,train,auroc,0.7152157773734655
29,valid,auroc,0.35742354176520535
30,train,auroc,0.7177447680699277
30,valid,auroc,0.4266981727251652
31,train,auroc,0.7179711167395917
31,valid,auroc,0.4711643843973596
32,train,auroc,0.7216284913984934
32,valid,auroc,0.40216033854000316
33,train,auroc,0.7197486980049042
33,valid,auroc,0.46079745807904676
34,train,auroc,0.6892525948282302
34,valid,auroc,0.4568834840451683
