epoch,subset,metric,score
0,train,auroc,0.518470562585584
0,valid,auroc,0.5269583865950561
1,train,auroc,0.5114432095334807
1,valid,auroc,0.4879286387416142
2,train,auroc,0.502053211643625
2,valid,auroc,0.49812007949603704
3,train,auroc,0.49622424315447167
3,valid,auroc,0.47299980549452836
4,train,auroc,0.49172197490998454
4,valid,auroc,0.48818774012633526
5,train,auroc,0.4944301060640098
5,valid,auroc,0.49669053605277336
6,train,auroc,0.5172449653896457
6,valid,auroc,0.4888319049262997
7,train,auroc,0.5018123645717429
7,valid,auroc,0.48181642989872075
8,train,auroc,0.503030535756789
8,valid,auroc,0.47151122856402566
9,train,auroc,0.5142172103685372
9,valid,auroc,0.4767059960079726
10,train,auroc,0.5041209538367015
10,valid,auroc,0.49183525601872413
11,train,auroc,0.4766387984444339
11,valid,auroc,0.48453878876921097
12,train,auroc,0.49831797638567116
12,valid,auroc,0.4835990976668674
13,train,auroc,0.5012008438262975
13,valid,auroc,0.48675496688741726
14,train,auroc,0.5025561711822171
14,valid,auroc,0.49312035582299857
15,train,auroc,0.4996128669429871
15,valid,auroc,0.4973294972930724
16,train,auroc,0.49449006065411394
16,valid,auroc,0.5032473800974251
17,train,auroc,0.5097532937733766
17,valid,auroc,0.4948545766563289
18,train,auroc,0.5277187751029708
18,valid,auroc,0.4760252268572581
19,train,auroc,0.5154023181241344
19,valid,auroc,0.4709969733226056
20,train,auroc,0.5311197434290733
20,valid,auroc,0.504351611345052
21,train,auroc,0.5268994546414754
21,valid,auroc,0.5063176597331327
22,train,auroc,0.48971688767460936
22,valid,auroc,0.5116471814291057
23,train,auroc,0.5071552829670198
23,valid,auroc,0.5166072503888315
24,train,auroc,0.5457643030434816
24,valid,auroc,0.5104650762195888
25,train,auroc,0.5673659900788495
25,valid,auroc,0.5085108704155742
26,train,auroc,0.521771970930157
26,valid,auroc,0.47954821618386007
27,train,auroc,0.4934319505436676
27,valid,auroc,0.47957800207711754
28,train,auroc,0.49834298693317836
28,valid,auroc,0.4797149095262464
29,train,auroc,0.48159376402824894
29,valid,auroc,0.4913224362420395
30,train,auroc,0.5252642213252143
30,valid,auroc,0.513808094155003
31,train,auroc,0.5695769160490433
31,valid,auroc,0.5012974806876163
32,train,auroc,0.5439464412948443
32,valid,auroc,0.5005779539890489
33,train,auroc,0.5563413696701656
33,valid,auroc,0.5060120851776064
34,train,auroc,0.5606426534120623
34,valid,auroc,0.4955880991360655
35,train,auroc,0.48276823104962385
35,valid,auroc,0.523015344400288
36,train,auroc,0.5057479735348545
36,valid,auroc,0.46850500654213056
37,train,auroc,0.48332846088433945
37,valid,auroc,0.477123536812852
38,train,auroc,0.5191086208721184
38,valid,auroc,0.4655490257859708
39,train,auroc,0.4840027169555695
39,valid,auroc,0.46719586270353997
40,train,auroc,0.5009818890202925
40,valid,auroc,0.4557672307803832
41,train,auroc,0.4924278477851649
41,valid,auroc,0.44775715812433564
42,train,auroc,0.4889887849876021
42,valid,auroc,0.4228685322444855
43,train,auroc,0.49651739377493265
43,valid,auroc,0.43373787122015217
44,train,auroc,0.4936208637601539
44,valid,auroc,0.44144218988758155
45,train,auroc,0.4970541561293394
45,valid,auroc,0.4469425318870548
46,train,auroc,0.4886617351096266
46,valid,auroc,0.4501856055902739
47,train,auroc,0.4964170140389539
47,valid,auroc,0.47300985374767546
48,train,auroc,0.48315570165258637
48,valid,auroc,0.4520233593176375
49,train,auroc,0.5245225042849048
49,valid,auroc,0.44054520386111307
50,train,auroc,0.48831877235116766
50,valid,auroc,0.44456737604941443
51,train,auroc,0.49523788566875054
51,valid,auroc,0.4272161960615154
52,train,auroc,0.486054305163913
52,valid,auroc,0.4355722157187695
53,train,auroc,0.476858299753405
53,valid,auroc,0.438520660285069
54,train,auroc,0.490816853482812
54,valid,auroc,0.44309028283679414
55,train,auroc,0.5057895881283611
55,valid,auroc,0.4634710111485369
56,train,auroc,0.5062705428857595
56,valid,auroc,0.45631593717545044
57,train,auroc,0.49537928527441966
57,valid,auroc,0.43677136707201797
58,train,auroc,0.4928423059904826
58,valid,auroc,0.4701075234859974
59,train,auroc,0.47216647534776557
59,valid,auroc,0.4499790781014831
60,train,auroc,0.4875047079623168
60,valid,auroc,0.4436284026794385
61,train,auroc,0.5104843861530808
61,valid,auroc,0.439871612034075
62,train,auroc,0.4851931772255112
62,valid,auroc,0.4211804257157766
63,train,auroc,0.5061805467061367
63,valid,auroc,0.4250420052868167
64,train,auroc,0.49805993054397363
64,valid,auroc,0.4333533461041845
65,train,auroc,0.5063211265573566
65,valid,auroc,0.4317149425419353
66,train,auroc,0.4901698904126534
66,valid,auroc,0.4509342004497311
67,train,auroc,0.5224035676227983
67,valid,auroc,0.456651477057326
68,train,auroc,0.5108785433805696
68,valid,auroc,0.45073431198534103
69,train,auroc,0.4976158004423202
69,valid,auroc,0.459986599936696
70,train,auroc,0.49727836700798883
70,valid,auroc,0.46210929341401596
71,train,auroc,0.47870573695667795
71,valid,auroc,0.44973845832522885
72,train,auroc,0.5016955575995481
72,valid,auroc,0.4608069680329181
73,train,auroc,0.4939089672649867
73,valid,auroc,0.442772147964834
74,train,auroc,0.46678854861542507
74,valid,auroc,0.46780772954696015
75,train,auroc,0.4999445620961745
75,valid,auroc,0.4434882654346552
76,train,auroc,0.4982812160243928
76,valid,auroc,0.4355865703661224
77,train,auroc,0.4960927609702755
77,valid,auroc,0.44640369431204274
78,train,auroc,0.49571048214549096
78,valid,auroc,0.43544033239621405
79,train,auroc,0.47640079640269883
79,valid,auroc,0.4366524029320802
80,train,auroc,0.4873057808826576
80,valid,auroc,0.43568095217246816
81,train,auroc,0.48570737222214155
81,valid,auroc,0.4480627326798619
82,train,auroc,0.49850915598210505
82,valid,auroc,0.43783325210995366
83,train,auroc,0.5010031061942704
83,valid,auroc,0.5395140377685126
84,train,auroc,0.4878222744064688
84,valid,auroc,0.4314976490676298
85,train,auroc,0.47469885757734076
85,valid,auroc,0.4320104688443146
86,train,auroc,0.4901227947158692
86,valid,auroc,0.4320147752385204
87,train,auroc,0.5103116429949442
87,valid,auroc,0.43278669639992623
88,train,auroc,0.5112081328899758
88,valid,auroc,0.4328247362154116
89,train,auroc,0.49568865417408037
89,valid,auroc,0.4345426286373779
90,train,auroc,0.5117139856795648
90,valid,auroc,0.4330163707575737
91,train,auroc,0.5116392915829928
91,valid,auroc,0.4342548179579509
92,train,auroc,0.5280489593361931
92,valid,auroc,0.46874149935727066
93,train,auroc,0.5051546963443065
93,valid,auroc,0.45403283051396104
94,train,auroc,0.4900632098189481
94,valid,auroc,0.43620130813901326
95,train,auroc,0.5147530726004116
95,valid,auroc,0.43832364275014946
96,train,auroc,0.5107249921207131
96,valid,auroc,0.4694359054229704
97,train,auroc,0.5105367218488929
97,valid,auroc,0.5083935211734637
98,train,auroc,0.498308428657381
98,valid,auroc,0.5021164133191031
99,train,auroc,0.48578667944669207
99,valid,auroc,0.5005605489791334
100,train,auroc,0.5088544892775475
100,valid,auroc,0.5358688545063185
101,train,auroc,0.4977095417746224
101,valid,auroc,0.48223163807340536
102,train,auroc,0.5073643042779352
102,valid,auroc,0.514767164031273
103,train,auroc,0.4874655526321576
103,valid,auroc,0.5131422179509172
104,train,auroc,0.4832777325501924
104,valid,auroc,0.5114629036437119
105,train,auroc,0.4999863213522309
105,valid,auroc,0.5119563446464702
106,train,auroc,0.5152925513960323
106,valid,auroc,0.5123641960643863
107,train,auroc,0.5177833833265675
107,valid,auroc,0.5128003979108247
108,train,auroc,0.4988408511352924
108,valid,auroc,0.513334211359263
109,train,auroc,0.5010021096300381
109,valid,auroc,0.5127795836721628
110,train,auroc,0.49565314755490075
110,valid,auroc,0.5169842393149388
111,train,auroc,0.4812342775918739
111,valid,auroc,0.5143162486712979
112,train,auroc,0.49662044173127506
112,valid,auroc,0.4851174604906275
113,train,auroc,0.5005757730220162
113,valid,auroc,0.5136774668640909
114,train,auroc,0.4782339120135368
114,valid,auroc,0.5108201743084828
115,train,auroc,0.5086844143397748
115,valid,auroc,0.5120214788588342
116,train,auroc,0.4912987083627427
116,valid,auroc,0.47819869989958924
117,train,auroc,0.4813540903303823
117,valid,auroc,0.48427879021903036
118,train,auroc,0.495451857653594
118,valid,auroc,0.5152598873016636
119,train,auroc,0.503275931662183
119,valid,auroc,0.48844504718013715
120,train,auroc,0.5259233039023269
120,valid,auroc,0.48162048896235277
121,train,auroc,0.4995800606914047
121,valid,auroc,0.5037609176064775
122,train,auroc,0.5063318476596622
122,valid,auroc,0.4688626166943114
123,train,auroc,0.49283783752505395
