epoch,subset,metric,score
0,train,auroc,0.4993258082232366
0,valid,auroc,0.5190019644334902
1,train,auroc,0.49315731672958735
1,valid,auroc,0.5112779081259505
2,train,auroc,0.5097337000346804
2,valid,auroc,0.4999160253129851
3,train,auroc,0.5095301116061928
3,valid,auroc,0.49325223914555394
4,train,auroc,0.5302357266605622
4,valid,auroc,0.47330789211334146
5,train,auroc,0.5236628390456182
5,valid,auroc,0.46624702051350875
6,train,auroc,0.5285308302897405
6,valid,auroc,0.46174809459999694
7,train,auroc,0.5547148161068955
7,valid,auroc,0.45981021720734644
8,train,auroc,0.5539838040952746
8,valid,auroc,0.4629163834614366
9,train,auroc,0.5408232572116853
9,valid,auroc,0.4632092182674371
10,train,auroc,0.5623449458569867
10,valid,auroc,0.46498524701118304
11,train,auroc,0.5657192641266838
11,valid,auroc,0.45817845266949786
12,train,auroc,0.5750502718434343
12,valid,auroc,0.45724773322174983
13,train,auroc,0.6009557340312799
13,valid,auroc,0.4581352092943471
14,train,auroc,0.59055674700346
14,valid,auroc,0.45826188905723697
15,train,auroc,0.6037570600146411
15,valid,auroc,0.4584486789059175
16,train,auroc,0.6159900788494479
16,valid,auroc,0.46332890013974243
17,train,auroc,0.6193332303764608
17,valid,auroc,0.4675861296784487
18,train,auroc,0.609063716330756
18,valid,auroc,0.4680049265149715
19,train,auroc,0.6273605552675878
19,valid,auroc,0.469061249127058
20,train,auroc,0.6224502743380596
20,valid,auroc,0.46481657990478564
21,train,auroc,0.6482720733512424
21,valid,auroc,0.473735481171368
22,train,auroc,0.6411996498780528
22,valid,auroc,0.4782491205984165
23,train,auroc,0.6396953361694051
23,valid,auroc,0.4735452820939411
24,train,auroc,0.6519475951233419
24,valid,auroc,0.47936411783155825
25,train,auroc,0.6391576415452327
25,valid,auroc,0.4809390020792706
26,train,auroc,0.6588039248942903
26,valid,auroc,0.4997001673034149
27,train,auroc,0.6570939492606072
27,valid,auroc,0.4965685215502732
28,train,auroc,0.6745181676231327
