epoch,subset,metric,score
0,train,auroc,0.500339153311313
0,valid,auroc,0.5224626904771987
1,train,auroc,0.4888943685634006
1,valid,auroc,0.5130907206535384
2,train,auroc,0.49107740680870693
2,valid,auroc,0.5286195781599783
3,train,auroc,0.49696866056237865
3,valid,auroc,0.5206990426167948
4,train,auroc,0.5125531731312396
4,valid,auroc,0.5159376060898155
5,train,auroc,0.5269586698452137
5,valid,auroc,0.5001162726435591
6,train,auroc,0.5271828164293965
6,valid,auroc,0.5022782619680078
7,train,auroc,0.5026205460169
7,valid,auroc,0.4921623625452799
8,train,auroc,0.505820626282112
8,valid,auroc,0.48782205548501845
9,train,auroc,0.5087509912599388
9,valid,auroc,0.49219178957235354
10,train,auroc,0.5408545043224526
10,valid,auroc,0.4872905746667748
11,train,auroc,0.5504591653626677
11,valid,auroc,0.47728735922576776
12,train,auroc,0.5654194108080799
12,valid,auroc,0.48157670728792623
13,train,auroc,0.5571796248520745
13,valid,auroc,0.482226255080648
14,train,auroc,0.5719947094655213
14,valid,auroc,0.4821596854035486
15,train,auroc,0.5848516900250607
15,valid,auroc,0.47583036251944155
16,train,auroc,0.5990562343836778
16,valid,auroc,0.47518404452237417
17,train,auroc,0.610553178017619
17,valid,auroc,0.47215377846616285
18,train,auroc,0.6126623740680357
18,valid,auroc,0.461819508970578
19,train,auroc,0.6189656589109109
19,valid,auroc,0.4682860981699978
20,train,auroc,0.646275489059075
20,valid,auroc,0.4699489046327471
21,train,auroc,0.6206522313587517
21,valid,auroc,0.46491688300316447
22,train,auroc,0.6364263643832315
22,valid,auroc,0.4665289099009027
23,train,auroc,0.6599152226022311
23,valid,auroc,0.47080551821353545
24,train,auroc,0.650748744425509
24,valid,auroc,0.4746475395775571
25,train,auroc,0.6574793142197886
25,valid,auroc,0.47434070899038744
26,train,auroc,0.6499185903463915
26,valid,auroc,0.47615962224310027
27,train,auroc,0.6787081254961121
27,valid,auroc,0.481983482107291
28,train,auroc,0.6767475621788572
28,valid,auroc,0.4802962727440415
29,train,auroc,0.6911144018447883
29,valid,auroc,0.47103662803591817
30,train,auroc,0.6871643105530751
30,valid,auroc,0.45343083249059596
31,train,auroc,0.6947761324538022
31,valid,auroc,0.4678888333045044
32,train,auroc,0.7159216181014127
32,valid,auroc,0.43911996681205534
33,train,auroc,0.7212291102455932
33,valid,auroc,0.46764606033114736
34,train,auroc,0.7181545970736501
34,valid,auroc,0.4566744444930908
35,train,auroc,0.7320504476245059
35,valid,auroc,0.47373727550228706
36,train,auroc,0.722597794776949
36,valid,auroc,0.4734812244801285
37,train,auroc,0.7412704027238223
37,valid,auroc,0.4721541373323467
38,train,auroc,0.7460224549710488
38,valid,auroc,0.4765489920525494
39,train,auroc,0.7412727494718531
39,valid,auroc,0.47252430780096133
40,train,auroc,0.7599849628101516
40,valid,auroc,0.46336263356102203
41,train,auroc,0.762841887433505
41,valid,auroc,0.46219255036866325
42,train,auroc,0.7815106216387657
42,valid,auroc,0.4703529879557331
43,train,auroc,0.7726027036594739
43,valid,auroc,0.46049421615371533
44,train,auroc,0.79011236936811
44,valid,auroc,0.4703678809023618
45,train,auroc,0.7879643073126341
45,valid,auroc,0.4672871941473232
46,train,auroc,0.7954742385574174
46,valid,auroc,0.4806707496068621
