epoch,subset,metric,score
0,train,auroc,0.48696072855403416
0,valid,auroc,0.495462675404819
1,train,auroc,0.5174214858476949
1,valid,auroc,0.493752139739621
2,train,auroc,0.49060532468769924
2,valid,auroc,0.4834535774293267
3,train,auroc,0.4822282539718871
3,valid,auroc,0.48745493537896634
4,train,auroc,0.5049740288931617
4,valid,auroc,0.48740254091612795
5,train,auroc,0.49248026384906024
5,valid,auroc,0.48675981158089887
6,train,auroc,0.48803462295603073
6,valid,auroc,0.4877300063088675
7,train,auroc,0.4983709228789159
7,valid,auroc,0.49257057282937994
8,train,auroc,0.49679511372340956
8,valid,auroc,0.49385387830273525
9,train,auroc,0.5087430669669304
9,valid,auroc,0.4976619868123855
10,train,auroc,0.4822728261108573
10,valid,auroc,0.4971247641352007
11,train,auroc,0.49187804972765503
11,valid,auroc,0.5038829321089777
12,train,auroc,0.49603463877246945
12,valid,auroc,0.5136710072727821
13,train,auroc,0.4992746619750566
13,valid,auroc,0.5170321479504794
14,train,auroc,0.5167822381135283
14,valid,auroc,0.4936130790933892
15,train,auroc,0.5611205863295305
15,valid,auroc,0.498571174289104
16,train,auroc,0.5076517005436354
16,valid,auroc,0.4574994778497026
17,train,auroc,0.5372476329670649
17,valid,auroc,0.4624075112127739
18,train,auroc,0.5494932213700919
18,valid,auroc,0.47223254959351224
19,train,auroc,0.5792343628463367
19,valid,auroc,0.4564234175975057
20,train,auroc,0.5824226611505443
20,valid,auroc,0.5045484494468795
21,train,auroc,0.5923964849443576
21,valid,auroc,0.5058010718615178
22,train,auroc,0.5908587702603116
22,valid,auroc,0.4896370212097092
23,train,auroc,0.5977315754883261
23,valid,auroc,0.4726705457708697
24,train,auroc,0.6222147637069053
24,valid,auroc,0.48243655066436897
25,train,auroc,0.6117844009793847
25,valid,auroc,0.4661223145146299
26,train,auroc,0.6161304175964182
26,valid,auroc,0.4442921256864213
27,train,auroc,0.6104257624584353
27,valid,auroc,0.4454116087468608
28,train,auroc,0.5704295410442373
28,valid,auroc,0.4587210583394401
29,train,auroc,0.5839328578028857
29,valid,auroc,0.4292183105010705
30,train,auroc,0.5800616879689237
30,valid,auroc,0.4263053936869696
31,train,auroc,0.527640994872002
31,valid,auroc,0.4340723345034763
32,train,auroc,0.5525967474200881
32,valid,auroc,0.43805628744320046
33,train,auroc,0.5406399536874098
33,valid,auroc,0.46290705294065715
34,train,auroc,0.5209902788052391
34,valid,auroc,0.4641774392313948
35,train,auroc,0.5079432920232813
35,valid,auroc,0.458059847395744
36,train,auroc,0.5458742787286001
36,valid,auroc,0.45724647719010647
37,train,auroc,0.5128063004462422
37,valid,auroc,0.4635499617089782
38,train,auroc,0.5241178992065934
38,valid,auroc,0.46165048299799677
39,train,auroc,0.505536798359308
39,valid,auroc,0.46735484042297404
40,train,auroc,0.5179651116364112
40,valid,auroc,0.4683092450388544
41,train,auroc,0.4888793879526829
41,valid,auroc,0.4667413586817266
42,train,auroc,0.49094459051432876
42,valid,auroc,0.46866398426156464
43,train,auroc,0.48426597064906163
43,valid,auroc,0.4669127172845026
44,train,auroc,0.4746760330416979
44,valid,auroc,0.46775730884813294
45,train,auroc,0.49750270647557154
45,valid,auroc,0.4706599979759947
46,train,auroc,0.4883336886674187
46,valid,auroc,0.47216149408911506
47,train,auroc,0.4966195094615094
47,valid,auroc,0.4718031662045667
48,train,auroc,0.49725237596986593
48,valid,auroc,0.47401126983363684
49,train,auroc,0.505259496324864
49,valid,auroc,0.4767609025340977
50,train,auroc,0.48853316225004395
50,valid,auroc,0.4754994878979557
51,train,auroc,0.49520663855798314
51,valid,auroc,0.47961550359332705
52,train,auroc,0.48998896578364215
52,valid,auroc,0.4783662904074351
53,train,auroc,0.5014095597384964
53,valid,auroc,0.47959325388993
54,train,auroc,0.4919471662792496
54,valid,auroc,0.4821530463791479
55,train,auroc,0.4922824297753332
55,valid,auroc,0.48313310992717173
56,train,auroc,0.5021000983833928
56,valid,auroc,0.4828804681337594
57,train,auroc,0.4730048591186078
57,valid,auroc,0.48654736280007493
58,train,auroc,0.4870964380994093
58,valid,auroc,0.4875324504746723
59,train,auroc,0.5075423356559495
59,valid,auroc,0.48756259523411355
60,train,auroc,0.4724099102719283
60,valid,auroc,0.48232871137612976
61,train,auroc,0.5024115407796013
61,valid,auroc,0.4785607958790678
62,train,auroc,0.5267274669433215
62,valid,auroc,0.4778961757066255
63,train,auroc,0.5138211243070503
63,valid,auroc,0.4780395427470632
64,train,auroc,0.49516899414778903
64,valid,auroc,0.4851151278604326
65,train,auroc,0.5062464324607846
65,valid,auroc,0.4790610553393188
66,train,auroc,0.5017318196787103
66,valid,auroc,0.4794802110420254
67,train,auroc,0.5007188764310502
67,valid,auroc,0.481515879469768
68,train,auroc,0.4971390569724842
68,valid,auroc,0.47155178044279783
69,train,auroc,0.4809836899083019
69,valid,auroc,0.4755506263291506
70,train,auroc,0.5064720417440826
70,valid,auroc,0.47053331821310485
71,train,auroc,0.5158773738642222
71,valid,auroc,0.47006948367051204
72,train,auroc,0.4766716046960164
72,valid,auroc,0.47420882566783207
73,train,auroc,0.48010420589968605
73,valid,auroc,0.47660210424775545
74,train,auroc,0.47855912949921425
74,valid,auroc,0.4729350301483481
75,train,auroc,0.4927130580390008
75,valid,auroc,0.47251946310747966
76,train,auroc,0.505319868829001
76,valid,auroc,0.4773033287709479
77,train,auroc,0.502344111957755
77,valid,auroc,0.4710999679173632
78,train,auroc,0.5002883767563159
78,valid,auroc,0.47612965691675097
79,train,auroc,0.5069355566274157
79,valid,auroc,0.4761675172991444
80,train,auroc,0.47374971051416415
80,valid,auroc,0.4873630656359073
81,train,auroc,0.502693311279474
81,valid,auroc,0.4850600419012156
82,train,auroc,0.49435785515716846
82,valid,auroc,0.4713413054259849
83,train,auroc,0.515500495774632
83,valid,auroc,0.4658928195900742
84,train,auroc,0.47513663860041755
84,valid,auroc,0.4682965052893287
85,train,auroc,0.48260897365585664
85,valid,auroc,0.4689704559825505
86,train,auroc,0.49391865965582665
86,valid,auroc,0.4634510940753346
87,train,auroc,0.47588443146782083
87,valid,auroc,0.466493561581796
88,train,auroc,0.479208101771454
88,valid,auroc,0.4606639598586642
89,train,auroc,0.5097359021201615
89,valid,auroc,0.45114054850543006
90,train,auroc,0.5155409048468897
90,valid,auroc,0.4883147787554091
91,train,auroc,0.5247321363932527
91,valid,auroc,0.4591612077139004
92,train,auroc,0.49719478420140933
92,valid,auroc,0.4566389167408922
93,train,auroc,0.5233078210746717
93,valid,auroc,0.45936109617829046
94,train,auroc,0.5012007956054475
94,valid,auroc,0.4648427771362048
95,train,auroc,0.5114869619180017
95,valid,auroc,0.46502956698488523
96,train,auroc,0.4709284853933902
96,valid,auroc,0.47761661894942636
97,train,auroc,0.4928144343392117
97,valid,auroc,0.5082051164269561
98,train,auroc,0.5062533601895607
98,valid,auroc,0.5019010936088086
99,train,auroc,0.5097539849388927
99,valid,auroc,0.5040218133221175
100,train,auroc,0.4866967033269429
100,valid,auroc,0.4607533175384363
101,train,auroc,0.49391296959553255
101,valid,auroc,0.46020407284409337
102,train,auroc,0.5107234651271313
102,valid,auroc,0.4637152195866292
103,train,auroc,0.49630445050155475
103,valid,auroc,0.48938527658175657
104,train,auroc,0.5195171800601255
104,valid,auroc,0.47812746496210007
105,train,auroc,0.4939041451799917
105,valid,auroc,0.45359142510785727
106,train,auroc,0.49848385610949814
106,valid,auroc,0.48066518718101275
107,train,auroc,0.5026237768138465
107,valid,auroc,0.4529287786994259
108,train,auroc,0.5129979783247922
108,valid,auroc,0.47186668551910355
109,train,auroc,0.49760128596648534
109,valid,auroc,0.49266961989611535
110,train,auroc,0.47386994116670533
110,valid,auroc,0.5118009555888743
111,train,auroc,0.4990002371179928
111,valid,auroc,0.47236784214481403
112,train,auroc,0.506824070022332
112,valid,auroc,0.5056026188618631
113,train,auroc,0.4843178884308408
113,valid,auroc,0.4593637876746691
114,train,auroc,0.5084081892376464
114,valid,auroc,0.4673162623082129
115,train,auroc,0.48792741193297584
115,valid,auroc,0.49926288885842507
116,train,auroc,0.49837036030233317
116,valid,auroc,0.5020369244593861
117,train,auroc,0.5031019186883311
117,valid,auroc,0.5106170560484384
118,train,auroc,0.5019238511768266
118,valid,auroc,0.4589914640089516
119,train,auroc,0.5016250747905383
119,valid,auroc,0.4941956983428277
120,train,auroc,0.5043137086475671
120,valid,auroc,0.46273336170768636
121,train,auroc,0.5017406762414843
121,valid,auroc,0.4876630777655843
122,train,auroc,0.48006297707297896
122,valid,auroc,0.5215583476939617
123,train,auroc,0.4901945473405944
123,valid,auroc,0.45478770553163517
124,train,auroc,0.4896007557943138
124,valid,auroc,0.48683140538457187
125,train,auroc,0.5081873859657267
125,valid,auroc,0.45616485451206035
126,train,auroc,0.49216976979623417
126,valid,auroc,0.4789745685890171
127,train,auroc,0.4827431240604167
127,valid,auroc,0.5059356466804519
128,train,auroc,0.5032451346126818
128,valid,auroc,0.5385668104763087
129,train,auroc,0.5044776434637794
129,valid,auroc,0.4751766877656058
130,train,auroc,0.5134275457297608
130,valid,auroc,0.4862530925293391
131,train,auroc,0.5158022779272338
131,valid,auroc,0.4865374939800198
132,train,auroc,0.4795620749573182
132,valid,auroc,0.4958428941265807
133,train,auroc,0.4851282558878622
133,valid,auroc,0.5486751737091763
134,train,auroc,0.4786223309598817
134,valid,auroc,0.5155503894774693
135,train,auroc,0.4968209118781327
135,valid,auroc,0.4842543873185303
136,train,auroc,0.4804490974921429
136,valid,auroc,0.5132468274435019
137,train,auroc,0.5172470388861935
137,valid,auroc,0.47429262092175495
138,train,auroc,0.4780127551220508
138,valid,auroc,0.4914776458665434
139,train,auroc,0.49207292625591853
139,valid,auroc,0.5156761720748996
140,train,auroc,0.49205611325290266
140,valid,auroc,0.47836377834414834
141,train,auroc,0.5014611078270926
141,valid,auroc,0.4957799131113196
142,train,auroc,0.5023059853390613
142,valid,auroc,0.49582010612390787
143,train,auroc,0.5051235296016225
143,valid,auroc,0.5323383289898563
144,train,auroc,0.49389601192996685
144,valid,auroc,0.49726113328505384
145,train,auroc,0.48961838855177875
145,valid,auroc,0.4799214370150372
146,train,auroc,0.5093207206020945
146,valid,auroc,0.5173524360195424
147,train,auroc,0.507518852102024
147,valid,auroc,0.4721139443197584
148,train,auroc,0.5095729156473314
148,valid,auroc,0.5195031210592006
149,train,auroc,0.4937079666887797
149,valid,auroc,0.49342000908649186
150,train,auroc,0.48928796321430673
150,valid,auroc,0.4779718964714124
151,train,auroc,0.5064400552469492
151,valid,auroc,0.4995786911001905
152,train,auroc,0.49073081141288505
152,valid,auroc,0.5046388837252033
153,train,auroc,0.5004505434746968
153,valid,auroc,0.49167879036257683
154,train,auroc,0.5099410818366974
154,valid,auroc,0.48885828159081074
155,train,auroc,0.4717257689264586
155,valid,auroc,0.48176385600279054
156,train,auroc,0.5170103870282571
156,valid,auroc,0.49364160895500325
157,train,auroc,0.4995981435101359
157,valid,auroc,0.5093682017287302
158,train,auroc,0.496630085901265
158,valid,auroc,0.5030591547840092
159,train,auroc,0.5038001565956028
159,valid,auroc,0.49527355292594366
160,train,auroc,0.4846816986700947
160,valid,auroc,0.5022366334906841
161,train,auroc,0.5005067689857381
