epoch,subset,metric,score
0,train,auroc,0.49866588981805826
0,valid,auroc,0.49167968752803637
1,train,auroc,0.5172438723837135
1,valid,auroc,0.5088813997503727
2,train,auroc,0.493724297483296
2,valid,auroc,0.4920638537778202
3,train,auroc,0.48431698830830844
3,valid,auroc,0.5032235154962007
4,train,auroc,0.5040506639110915
4,valid,auroc,0.49464912576608955
5,train,auroc,0.49318126641839577
5,valid,auroc,0.49561016940637076
6,train,auroc,0.4889740133339008
6,valid,auroc,0.4989104822659098
7,train,auroc,0.49918103315807094
7,valid,auroc,0.5018686162191724
8,train,auroc,0.4983893432435967
8,valid,auroc,0.5027239737683173
9,train,auroc,0.512186501788222
9,valid,auroc,0.5052503917024396
10,train,auroc,0.48187812238040234
10,valid,auroc,0.5120058681798378
11,train,auroc,0.49472190650067205
11,valid,auroc,0.5134585584919582
12,train,auroc,0.49686175493804
12,valid,auroc,0.5114140978427119
13,train,auroc,0.537921519345112
13,valid,auroc,0.47385785454005197
14,train,auroc,0.4957900465479079
14,valid,auroc,0.4691773423375251
15,train,auroc,0.5111448510612252
15,valid,auroc,0.46752153376536043
16,train,auroc,0.48412005435711386
16,valid,auroc,0.4696950068076915
17,train,auroc,0.5010138433701925
17,valid,auroc,0.4682498526854315
18,train,auroc,0.4958455165989667
18,valid,auroc,0.46302637594677865
19,train,auroc,0.5139174695652498
19,valid,auroc,0.45151646083298586
20,train,auroc,0.531252720459618
20,valid,auroc,0.4587869102841718
21,train,auroc,0.5468084612546756
21,valid,auroc,0.44165069114038347
22,train,auroc,0.5381942243251943
22,valid,auroc,0.44223313095673006
23,train,auroc,0.5218271516561162
23,valid,auroc,0.4353863230355486
24,train,auroc,0.5845188214978578
24,valid,auroc,0.4230298425941144
25,train,auroc,0.5698553753838862
25,valid,auroc,0.4116238192405387
26,train,auroc,0.5891915986677672
26,valid,auroc,0.40989157217121935
27,train,auroc,0.5820179917777664
27,valid,auroc,0.4029805272031334
28,train,auroc,0.5935746488975622
28,valid,auroc,0.4080678142250249
29,train,auroc,0.610010500572285
29,valid,auroc,0.4343018294280319
30,train,auroc,0.6089183786890076
30,valid,auroc,0.40758495977468945
31,train,auroc,0.615131844162043
31,valid,auroc,0.3927225167716111
32,train,auroc,0.5898636848007495
32,valid,auroc,0.3755787614379624
33,train,auroc,0.5083017497481908
33,valid,auroc,0.47035657661757135
34,train,auroc,0.49054480752101237
34,valid,auroc,0.47254566033889883
35,train,auroc,0.4711398373787198
35,valid,auroc,0.4756674372719854
