epoch,subset,metric,score
0,train,auroc,0.49638369343163874
0,valid,auroc,0.45100364105630114
1,train,auroc,0.5155056875528099
1,valid,auroc,0.4377255922548065
2,train,auroc,0.504249992831167
2,valid,auroc,0.42930425895209634
3,train,auroc,0.5349592803854685
3,valid,auroc,0.4383218484192303
4,train,auroc,0.5034244197327948
4,valid,auroc,0.4370573834205258
5,train,auroc,0.542873864929413
5,valid,auroc,0.43700965421807725
6,train,auroc,0.5468427784262232
6,valid,auroc,0.44077846688059874
7,train,auroc,0.5870902143950424
7,valid,auroc,0.45582249617269216
8,train,auroc,0.6108815620057765
8,valid,auroc,0.4537207963671258
9,train,auroc,0.62959859742907
9,valid,auroc,0.4613129693521102
10,train,auroc,0.6339711676608091
10,valid,auroc,0.47473007879983664
11,train,auroc,0.6450297034006243
11,valid,auroc,0.46618045083640947
12,train,auroc,0.6694532585014323
12,valid,auroc,0.4922894011743537
13,train,auroc,0.6801945814166616
13,valid,auroc,0.4777659072818973
14,train,auroc,0.6988547162370147
14,valid,auroc,0.4994215077116755
15,train,auroc,0.7153353650813409
15,valid,auroc,0.4923821680828723
16,train,auroc,0.7433794219644557
16,valid,auroc,0.5097137898637529
17,train,auroc,0.7367446027045597
17,valid,auroc,0.5293983177788768
18,train,auroc,0.7529803378519913
18,valid,auroc,0.5236191367545722
19,train,auroc,0.7648947776047971
19,valid,auroc,0.49112488040784424
20,train,auroc,0.7735637291253548
20,valid,auroc,0.4854027591067677
21,train,auroc,0.7802157953759162
21,valid,auroc,0.4960908706596032
22,train,auroc,0.7872616652344003
22,valid,auroc,0.5091453458285753
23,train,auroc,0.8103076631674617
23,valid,auroc,0.5058968891325989
24,train,auroc,0.8021643189113559
24,valid,auroc,0.5064743048223721
25,train,auroc,0.8224704081502752
25,valid,auroc,0.5194543152582007
26,train,auroc,0.8268847537116873
26,valid,auroc,0.4953830071120101
27,train,auroc,0.8384505727929735
27,valid,auroc,0.5440334190545024
28,train,auroc,0.8499019316500955
28,valid,auroc,0.5050786742334797
29,train,auroc,0.8566680241371714
29,valid,auroc,0.536188424843014
30,train,auroc,0.8772324485428881
30,valid,auroc,0.5427057936074449
31,train,auroc,0.8731964598437978
31,valid,auroc,0.5219267238316573
32,train,auroc,0.883446910580156
32,valid,auroc,0.532820465707824
33,train,auroc,0.8798188220507903
33,valid,auroc,0.5433088682293614
34,train,auroc,0.8931300430168558
34,valid,auroc,0.5375653943903473
35,train,auroc,0.9038927920630795
35,valid,auroc,0.53070207862471
36,train,auroc,0.9024606006723401
36,valid,auroc,0.535269906845516
37,train,auroc,0.9007330244284253
37,valid,auroc,0.5476811143799833
38,train,auroc,0.914691047728483
38,valid,auroc,0.574348460499958
39,train,auroc,0.9091151744070989
39,valid,auroc,0.5708932968820988
40,train,auroc,0.9232425011113299
40,valid,auroc,0.5731896815923898
41,train,auroc,0.924858992590577
41,valid,auroc,0.574958891878643
42,train,auroc,0.9337739829611948
42,valid,auroc,0.5555485377279608
43,train,auroc,0.9383037531637699
43,valid,auroc,0.5835968009232909
44,train,auroc,0.942086357369991
44,valid,auroc,0.5779281506836041
45,train,auroc,0.9418147614694578
45,valid,auroc,0.5943999290880421
46,train,auroc,0.9482390645720901
46,valid,auroc,0.5804850722433514
47,train,auroc,0.9505199911427943
47,valid,auroc,0.5684748976693077
48,train,auroc,0.9531252993711101
48,valid,auroc,0.5893051058762901
49,train,auroc,0.955373001776199
49,valid,auroc,0.5683548569308186
50,train,auroc,0.9586817557635811
50,valid,auroc,0.5886045990854654
51,train,auroc,0.9570253052733422
51,valid,auroc,0.5900768476046041
52,train,auroc,0.9582423513052227
52,valid,auroc,0.5737592022261188
53,train,auroc,0.9674984077475347
53,valid,auroc,0.5791840028938969
54,train,auroc,0.9643218110362479
54,valid,auroc,0.5684242975373884
55,train,auroc,0.9691929848564672
55,valid,auroc,0.6065258380063692
56,train,auroc,0.9679134446030518
56,valid,auroc,0.5756809306404972
57,train,auroc,0.9696579463652988
57,valid,auroc,0.603648269511375
58,train,auroc,0.9743336328598217
58,valid,auroc,0.5911530872898928
59,train,auroc,0.9765739574748682
59,valid,auroc,0.5708220619446097
60,train,auroc,0.9745894766160382
60,valid,auroc,0.5799636396782549
61,train,auroc,0.9796968683065442
61,valid,auroc,0.5731832220010808
62,train,auroc,0.9786228292419978
62,valid,auroc,0.577918281863549
63,train,auroc,0.9834761613477354
63,valid,auroc,0.5616146322662328
64,train,auroc,0.98558100144804
64,valid,auroc,0.5795396392820666
65,train,auroc,0.9807072879963903
65,valid,auroc,0.5968893838052304
66,train,auroc,0.9845368593104624
66,valid,auroc,0.5766383856189401
67,train,auroc,0.9849881421715251
67,valid,auroc,0.5594693302193319
68,train,auroc,0.9860363670077317
68,valid,auroc,0.5978186677882431
69,train,auroc,0.9850744735665518
69,valid,auroc,0.5793648714505443
70,train,auroc,0.9851762677807955
70,valid,auroc,0.5699060560103985
71,train,auroc,0.9850038943158419
71,valid,auroc,0.5593164532250228
72,train,auroc,0.990037315222525
72,valid,auroc,0.5719347265475566
73,train,auroc,0.9869945474434655
73,valid,auroc,0.5676423281228355
74,train,auroc,0.9885027027464925
74,valid,auroc,0.574201684230774
75,train,auroc,0.9873556894623555
75,valid,auroc,0.5631050035276546
76,train,auroc,0.9902329954316209
76,valid,auroc,0.5667844585104038
77,train,auroc,0.9917211230083022
77,valid,auroc,0.5856321104848496
78,train,auroc,0.9914971853811356
78,valid,auroc,0.5533395369334311
79,train,auroc,0.9930960923237679
79,valid,auroc,0.5600449515781858
80,train,auroc,0.9936882443611503
80,valid,auroc,0.5456111742316855
81,train,auroc,0.9947847221945398
81,valid,auroc,0.5509003234819781
82,train,auroc,0.9935686888005083
82,valid,auroc,0.5681038300352335
83,train,auroc,0.995408699992889
83,valid,auroc,0.5395606903724097
84,train,auroc,0.9926880314178769
84,valid,auroc,0.549453195595707
85,train,auroc,0.9949375501416472
85,valid,auroc,0.5718096616824939
86,train,auroc,0.9937521530609502
86,valid,auroc,0.5110162946779427
87,train,auroc,0.9952142735258919
87,valid,auroc,0.569327384288982
88,train,auroc,0.9951512970958575
88,valid,auroc,0.5543529750365506
89,train,auroc,0.9959995982881726
89,valid,auroc,0.550277870086135
90,train,auroc,0.9947408412210857
90,valid,auroc,0.5430802704702654
91,train,auroc,0.9959583855350823
91,valid,auroc,0.5396825254418182
92,train,auroc,0.9955614636455297
92,valid,auroc,0.5272016978676889
93,train,auroc,0.9966220008720901
93,valid,auroc,0.5637432470355859
94,train,auroc,0.9956107775014116
94,valid,auroc,0.5483163075253521
95,train,auroc,0.9968635873303382
95,valid,auroc,0.556770656516974
96,train,auroc,0.9964631935395891
96,valid,auroc,0.5689649294433197
97,train,auroc,0.9970770128122155
97,valid,auroc,0.5119340949430731
98,train,auroc,0.9970109181005511
98,valid,auroc,0.5544288752344293
99,train,auroc,0.9968780214380897
99,valid,auroc,0.5245152256155812
100,train,auroc,0.997464161942845
100,valid,auroc,0.5498095497162445
101,train,auroc,0.9961120171630222
101,valid,auroc,0.5198458382647528
102,train,auroc,0.9977786904734504
102,valid,auroc,0.5206920447262102
103,train,auroc,0.997262245170489
103,valid,auroc,0.5330942806060819
104,train,auroc,0.9980987483281831
104,valid,auroc,0.5208551494067584
105,train,auroc,0.9987265195000616
105,valid,auroc,0.5183945834173678
106,train,auroc,0.9976645677952362
106,valid,auroc,0.5152175410919724
107,train,auroc,0.9976493621538851
107,valid,auroc,0.5346675499559671
108,train,auroc,0.9973447992656028
108,valid,auroc,0.5208556877060341
109,train,auroc,0.9985787708158157
109,valid,auroc,0.5430677101538316
110,train,auroc,0.9975204196011197
110,valid,auroc,0.5268509061730008
111,train,auroc,0.9985310000271322
111,valid,auroc,0.5281277520550471
112,train,auroc,0.9975770951734272
112,valid,auroc,0.5615939974606629
113,train,auroc,0.9984747423688576
113,valid,auroc,0.5330108442183428
114,train,auroc,0.9986412971845839
114,valid,auroc,0.492713401570542
115,train,auroc,0.9990937694932785
115,valid,auroc,0.5251419854056301
116,train,auroc,0.9990088043556672
116,valid,auroc,0.5571862235578424
117,train,auroc,0.9984834221218486
117,valid,auroc,0.5468297043588605
118,train,auroc,0.998513479784984
118,valid,auroc,0.5672825647735519
119,train,auroc,0.9990506922006568
119,valid,auroc,0.5230395678676961
120,train,auroc,0.9988056338412125
120,valid,auroc,0.5640958330611932
121,train,auroc,0.998785220348067
121,valid,auroc,0.5756475560854015
122,train,auroc,0.9974793997314292
122,valid,auroc,0.5665447358996094
123,train,auroc,0.9990220490157867
123,valid,auroc,0.5619295373425385
124,train,auroc,0.9987822306553702
124,valid,auroc,0.5783752979486492
125,train,auroc,0.9994443029251796
125,valid,auroc,0.573309722330879
126,train,auroc,0.999288967493875
126,valid,auroc,0.576920454439426
127,train,auroc,0.9992549235738105
127,valid,auroc,0.5831869757413637
128,train,auroc,0.9989527395807924
128,valid,auroc,0.5918015584840631
129,train,auroc,0.9989625123397154
129,valid,auroc,0.5548573614579154
130,train,auroc,0.9993424604900859
130,valid,auroc,0.5423365203042898
131,train,auroc,0.9994551686900349
131,valid,auroc,0.5374065961040052
132,train,auroc,0.9992407466439254
132,valid,auroc,0.5625539645023925
133,train,auroc,0.9990593719536478
133,valid,auroc,0.5559894048347889
134,train,auroc,0.9989784573674323
134,valid,auroc,0.5227528337868206
135,train,auroc,0.9995163448750044
135,valid,auroc,0.5584693495981058
136,train,auroc,0.9995151232801391
136,valid,auroc,0.5470295928232505
137,train,auroc,0.9992946254069358
137,valid,auroc,0.5408344858918936
138,train,auroc,0.9991590283768772
138,valid,auroc,0.5516702708793728
139,train,auroc,0.9990591469230148
139,valid,auroc,0.5373075490372696
140,train,auroc,0.9995591971369931
140,valid,auroc,0.5733470444139966
141,train,auroc,0.9993970143449956
141,valid,auroc,0.5371792543765526
142,train,auroc,0.9992651785412332
142,valid,auroc,0.5355010166678988
143,train,auroc,0.9992561130214427
143,valid,auroc,0.5729639547627643
144,train,auroc,0.9995233529718639
144,valid,auroc,0.5688637291794811
145,train,auroc,0.9991052460555666
145,valid,auroc,0.5780092544411484
146,train,auroc,0.9996353539326803
146,valid,auroc,0.5578759643631526
147,train,auroc,0.999506218496515
147,valid,auroc,0.532528886933467
148,train,auroc,0.9996992947797136
148,valid,auroc,0.5629471024067719
149,train,auroc,0.9994134415812118
149,valid,auroc,0.5686227505370433
150,train,auroc,0.9994611480754287
150,valid,auroc,0.5630465083396912
151,train,auroc,0.9993958248973636
151,valid,auroc,0.5883295281555643
152,train,auroc,0.9992523196479133
152,valid,auroc,0.5902939616458178
153,train,auroc,0.9996322356510503
153,valid,auroc,0.5742477985353953
154,train,auroc,0.9991883788008799
154,valid,auroc,0.5951865637629847
155,train,auroc,0.9996698157667777
155,valid,auroc,0.5838121206335853
156,train,auroc,0.9992254767081079
156,valid,auroc,0.6063541205374093
157,train,auroc,0.9995782925935732
157,valid,auroc,0.5956333521618458
158,train,auroc,0.9996994876631135
158,valid,auroc,0.5941078120144092
159,train,auroc,0.9994972815656576
159,valid,auroc,0.5787332669670138
160,train,auroc,0.9996395330730092
160,valid,auroc,0.5309986815256407
161,train,auroc,0.9994238894320343
161,valid,auroc,0.5281130385415105
162,train,auroc,0.9997154326908302
162,valid,auroc,0.586191044566156
163,train,auroc,0.9985810211221468
163,valid,auroc,0.5956828756952135
164,train,auroc,0.9998508046902557
164,valid,auroc,0.6052199239634329
165,train,auroc,0.9995840148011005
165,valid,auroc,0.598110784861876
166,train,auroc,0.9996239416648589
166,valid,auroc,0.56716790702782
167,train,auroc,0.9998477185558589
167,valid,auroc,0.5897858071295228
168,train,auroc,0.9996760201828047
168,valid,auroc,0.5846678370489142
169,train,auroc,0.9997788913293639
169,valid,auroc,0.5836942330921991
170,train,auroc,0.9990458701156619
170,valid,auroc,0.5800038326908432
171,train,auroc,0.9998090454341992
171,valid,auroc,0.5479997875512191
172,train,auroc,0.9994138273480114
172,valid,auroc,0.5131463449120313
173,train,auroc,0.9997035382145092
173,valid,auroc,0.5301304047938781
174,train,auroc,0.999784259917325
174,valid,auroc,0.5494115671183835
175,train,auroc,0.9996946977253518
175,valid,auroc,0.5220234382681979
176,train,auroc,0.9996072572507764
176,valid,auroc,0.5432001317756627
177,train,auroc,0.9997571919468866
177,valid,auroc,0.5249670381410158
178,train,auroc,0.9998160213838252
178,valid,auroc,0.5439347308539508
179,train,auroc,0.9992309738850021
179,valid,auroc,0.5086768460255929
180,train,auroc,0.9995956199523217
180,valid,auroc,0.543968823141414
181,train,auroc,0.9997962829825792
181,valid,auroc,0.5827898903089622
182,train,auroc,0.9997594101059843
182,valid,auroc,0.5435302886647809
183,train,auroc,0.9995441522318088
183,valid,auroc,0.5244612162549156
184,train,auroc,0.9998410962257991
184,valid,auroc,0.5634995768967693
185,train,auroc,0.9997229229961889
185,valid,auroc,0.5715586347869088
186,train,auroc,0.9996111470660055
186,valid,auroc,0.5129385613915969
187,train,auroc,0.9997405718272706
187,valid,auroc,0.5678996351766376
188,train,auroc,0.9981718189894735
