epoch,subset,metric,score
0,train,auroc,0.4977957767279491
0,valid,auroc,0.4907041098073104
1,train,auroc,0.49966578128899863
1,valid,auroc,0.4708053387804435
2,train,auroc,0.49687877689807236
2,valid,auroc,0.47238740035183246
3,train,auroc,0.5061197241407334
3,valid,auroc,0.4753912897435327
4,train,auroc,0.5508391456602713
4,valid,auroc,0.4631166307920105
5,train,auroc,0.5857250821329664
5,valid,auroc,0.4450482567357389
6,train,auroc,0.6087817208002501
6,valid,auroc,0.4430133060403638
7,train,auroc,0.6335182774380815
7,valid,auroc,0.44905140901629753
8,train,auroc,0.6486461867787687
8,valid,auroc,0.47347027906152184
9,train,auroc,0.6569729470744667
9,valid,auroc,0.43940939238930954
10,train,auroc,0.6492933909531771
10,valid,auroc,0.45801965438315567
11,train,auroc,0.6550360441209204
11,valid,auroc,0.4631880451625915
12,train,auroc,0.685514112699713
12,valid,auroc,0.46500354918655806
13,train,auroc,0.6862634807815482
13,valid,auroc,0.42770120370895376
14,train,auroc,0.7002389761029041
14,valid,auroc,0.45560789419476533
15,train,auroc,0.7174173967196192
15,valid,auroc,0.4597310872138132
16,train,auroc,0.728095662836731
16,valid,auroc,0.47423125480432105
17,train,auroc,0.7257536565227573
17,valid,auroc,0.4625223483915976
18,train,auroc,0.7194397791665097
18,valid,auroc,0.4265919483347532
19,train,auroc,0.7482374475662552
19,valid,auroc,0.49109401791603535
20,train,auroc,0.7449597317326241
20,valid,auroc,0.4515798007144308
21,train,auroc,0.7619689614604822
21,valid,auroc,0.4447215090753669
22,train,auroc,0.7741628088915133
22,valid,auroc,0.46952185387399636
23,train,auroc,0.7563433402955668
23,valid,auroc,0.4402006923246418
24,train,auroc,0.7583320002947258
24,valid,auroc,0.4744020751078213
25,train,auroc,0.7773762945530114
25,valid,auroc,0.46921340838899944
26,train,auroc,0.7679762345791329
26,valid,auroc,0.4644826549207372
27,train,auroc,0.7663792243232653
27,valid,auroc,0.4913394823857711
28,train,auroc,0.7769045178307201
