epoch,subset,metric,score
0,train,auroc,0.494617186888198
0,valid,auroc,0.4748560408303589
1,train,auroc,0.5247115139430909
1,valid,auroc,0.47260577042468943
2,train,auroc,0.49166126485989786
2,valid,auroc,0.4696246690356619
3,train,auroc,0.49405396736078544
3,valid,auroc,0.46722421313206197
4,train,auroc,0.5239306254990055
4,valid,auroc,0.4635801064684194
5,train,auroc,0.5379113608193892
5,valid,auroc,0.46286991029063135
6,train,auroc,0.5377045094467217
6,valid,auroc,0.4591791510230916
7,train,auroc,0.5661276465049079
7,valid,auroc,0.462741974496098
8,train,auroc,0.5810060611679553
8,valid,auroc,0.46900329223837045
9,train,auroc,0.5782553831506578
9,valid,auroc,0.46861392242892114
10,train,auroc,0.5845831481116908
10,valid,auroc,0.4671894031122311
11,train,auroc,0.5902700579768922
11,valid,auroc,0.4741731184825415
12,train,auroc,0.6109007539040565
12,valid,auroc,0.47781273931888635
13,train,auroc,0.6338187254805014
13,valid,auroc,0.4761770272530157
14,train,auroc,0.6503668192202907
14,valid,auroc,0.4878566860717575
15,train,auroc,0.6390636591086807
15,valid,auroc,0.49750498285696243
16,train,auroc,0.6581151382736087
16,valid,auroc,0.5088476663290933
17,train,auroc,0.6705922992717108
17,valid,auroc,0.5140636068778858
18,train,auroc,0.6841105644938437
18,valid,auroc,0.5161561555957646
19,train,auroc,0.6898254103047828
19,valid,auroc,0.5251441386027329
20,train,auroc,0.7042302319268575
20,valid,auroc,0.5211512140084132
21,train,auroc,0.7111285620581123
21,valid,auroc,0.5324147674870108
22,train,auroc,0.720026514395081
22,valid,auroc,0.5419894967045318
23,train,auroc,0.7271852853369138
23,valid,auroc,0.5327176505461584
24,train,auroc,0.7385443816344655
24,valid,auroc,0.5538573808366892
25,train,auroc,0.7344111797018769
25,valid,auroc,0.5273091782897442
26,train,auroc,0.7551452129104832
26,valid,auroc,0.5472558579521516
27,train,auroc,0.7504331196742483
27,valid,auroc,0.534822939013563
28,train,auroc,0.7649061737990018
28,valid,auroc,0.5501707485302636
29,train,auroc,0.7686877010729074
29,valid,auroc,0.5488422259177465
30,train,auroc,0.7839990907476534
30,valid,auroc,0.5552086914518792
31,train,auroc,0.7815742410134661
31,valid,auroc,0.5465273595989886
32,train,auroc,0.7892761555355158
32,valid,auroc,0.5496128910475089
33,train,auroc,0.7929819921486169
33,valid,auroc,0.5650879186263751
34,train,auroc,0.7983710096764458
34,valid,auroc,0.5499408947395241
35,train,auroc,0.8137525285406352
35,valid,auroc,0.5686388995153153
36,train,auroc,0.8175360489430055
36,valid,auroc,0.5531742790557801
37,train,auroc,0.8139072692481237
37,valid,auroc,0.5620894122274321
38,train,auroc,0.8119227883892938
38,valid,auroc,0.5654159223183904
39,train,auroc,0.8251001804231323
39,valid,auroc,0.5584697084642896
40,train,auroc,0.833969666385014
40,valid,auroc,0.5592412707595116
41,train,auroc,0.8373449972925601
41,valid,auroc,0.5594354173649605
42,train,auroc,0.83542116218935
42,valid,auroc,0.5670668861970735
43,train,auroc,0.8505131791440581
43,valid,auroc,0.5453509962484129
44,train,auroc,0.8475082325849757
44,valid,auroc,0.5440809688238591
45,train,auroc,0.8620051399568379
45,valid,auroc,0.5482352037678079
46,train,auroc,0.860705057621344
46,valid,auroc,0.5531441342963388
47,train,auroc,0.8653647990881501
47,valid,auroc,0.5420885437712673
48,train,auroc,0.8758254766566723
