epoch,subset,metric,score
0,train,auroc,0.47966296904902955
0,valid,auroc,0.4778371422193864
1,train,auroc,0.4952606137626935
1,valid,auroc,0.47428149607005643
2,train,auroc,0.5023445941662544
2,valid,auroc,0.45928160731857337
3,train,auroc,0.485006642904289
3,valid,auroc,0.4531012139007534
4,train,auroc,0.5142068268121813
4,valid,auroc,0.45013608205690614
5,train,auroc,0.5064401838358825
5,valid,auroc,0.44717992186765443
6,train,auroc,0.5268156789514962
6,valid,auroc,0.4491307184429226
7,train,auroc,0.54040965090805
7,valid,auroc,0.4496176998543721
8,train,auroc,0.5450647953204945
8,valid,auroc,0.4195854449617699
9,train,auroc,0.5686868234534385
9,valid,auroc,0.44105030801484557
10,train,auroc,0.5649762129761922
10,valid,auroc,0.5297790747999142
11,train,auroc,0.5673343893485158
11,valid,auroc,0.5011101525396601
12,train,auroc,0.5847130390078387
12,valid,auroc,0.5049846512933178
13,train,auroc,0.588538977684548
13,valid,auroc,0.4711828660058265
14,train,auroc,0.6262720660216732
14,valid,auroc,0.45618064462414865
15,train,auroc,0.6225299351821765
15,valid,auroc,0.4496404878570449
16,train,auroc,0.6310911773975632
16,valid,auroc,0.4349083132786948
17,train,auroc,0.6242786000111358
17,valid,auroc,0.4326991330510731
18,train,auroc,0.6329547203647194
18,valid,auroc,0.43497452408961035
19,train,auroc,0.6194230175990671
19,valid,auroc,0.5108296842623541
20,train,auroc,0.5488360033325108
20,valid,auroc,0.47014933139641296
21,train,auroc,0.5587210846888
21,valid,auroc,0.46280064911715335
22,train,auroc,0.5929507675409129
22,valid,auroc,0.4641528568978028
23,train,auroc,0.6117417737480293
23,valid,auroc,0.44197474730437664
24,train,auroc,0.6128161182112919
24,valid,auroc,0.47231383278414846
25,train,auroc,0.6276608747210746
25,valid,auroc,0.47181088182751885
26,train,auroc,0.5979493408466989
26,valid,auroc,0.4568937117314073
27,train,auroc,0.6256353418453207
27,valid,auroc,0.45873146545877097
28,train,auroc,0.6360356629833224
28,valid,auroc,0.4724396153815788
29,train,auroc,0.6429156209707462
29,valid,auroc,0.46370517133348216
30,train,auroc,0.6309197844232253
30,valid,auroc,0.47575230912445976
31,train,auroc,0.6397438302708378
31,valid,auroc,0.46016172663440225
32,train,auroc,0.6286695423867057
32,valid,auroc,0.45909948273028256
33,train,auroc,0.6480795114237765
33,valid,auroc,0.4481273285929503
34,train,auroc,0.6507952614720938
34,valid,auroc,0.4485893688046239
35,train,auroc,0.6563661037514663
35,valid,auroc,0.4728855066149804
36,train,auroc,0.6464877733141702
36,valid,auroc,0.4531532494974079
37,train,auroc,0.6589857335722172
37,valid,auroc,0.45109981719356596
38,train,auroc,0.651715508172534
38,valid,auroc,0.44778174045792757
39,train,auroc,0.6231096944611217
39,valid,auroc,0.4855692730160621
40,train,auroc,0.6297006648947969
40,valid,auroc,0.6045000383986816
41,train,auroc,0.5245388672266543
41,valid,auroc,0.5418019891234838
42,train,auroc,0.539863533708753
42,valid,auroc,0.5107306371956186
43,train,auroc,0.5714529321427197
43,valid,auroc,0.44256651764150273
44,train,auroc,0.6013119735970915
44,valid,auroc,0.4647928947366532
45,train,auroc,0.6074069122209508
45,valid,auroc,0.4722580290925638
46,train,auroc,0.5927633330971583
46,valid,auroc,0.46133396302386387
47,train,auroc,0.605027261496783
47,valid,auroc,0.4498554487011557
48,train,auroc,0.600965780041686
48,valid,auroc,0.4566557834515319
49,train,auroc,0.5882829249713151
49,valid,auroc,0.48156055830965416
50,train,auroc,0.6083446148690728
50,valid,auroc,0.45705179228538184
51,train,auroc,0.5728772474613009
51,valid,auroc,0.5403957719821687
52,train,auroc,0.5332201632847992
52,valid,auroc,0.476474527319406
53,train,auroc,0.5130756299668279
53,valid,auroc,0.4915424212127236
54,train,auroc,0.5045386428389658
54,valid,auroc,0.4856735236424631
55,train,auroc,0.5064526730360194
55,valid,auroc,0.41503466288469554
56,train,auroc,0.4978091660506186
56,valid,auroc,0.43117915532948575
57,train,auroc,0.5104560001460771
57,valid,auroc,0.40650405482901103
58,train,auroc,0.5028167727289619
58,valid,auroc,0.4115786021013768
59,train,auroc,0.5228858725639952
59,valid,auroc,0.44515143076358826
60,train,auroc,0.5021372927323207
60,valid,auroc,0.47156218756212864
61,train,auroc,0.5035364367672279
61,valid,auroc,0.4656060855091988
62,train,auroc,0.5054856360375114
62,valid,auroc,0.4729142159096863
63,train,auroc,0.504409121636001
63,valid,auroc,0.46730244596013576
64,train,auroc,0.5206001078346794
64,valid,auroc,0.4697827495896365
65,train,auroc,0.5133376620654546
65,valid,auroc,0.47856510227327365
66,train,auroc,0.5041655902701384
66,valid,auroc,0.47706019693140705
67,train,auroc,0.5103257717039795
67,valid,auroc,0.4861045219292359
