epoch,subset,metric,score
0,train,auroc,0.49459778603290155
0,valid,auroc,0.49579103796301804
1,train,auroc,0.49146429876147
1,valid,auroc,0.4916552846275364
2,train,auroc,0.5052128346157294
2,valid,auroc,0.4937218155470879
3,train,auroc,0.4931593259316686
3,valid,auroc,0.4787294629854652
4,train,auroc,0.5275384773450089
4,valid,auroc,0.4754578594206321
5,train,auroc,0.5096528658165481
5,valid,auroc,0.47424184135674385
6,train,auroc,0.5117282108303
6,valid,auroc,0.47296481604160545
7,train,auroc,0.5043738882683044
7,valid,auroc,0.4751070677259439
8,train,auroc,0.5168388333177526
8,valid,auroc,0.47534876410074955
9,train,auroc,0.5150681476339829
9,valid,auroc,0.47244266574414134
10,train,auroc,0.5162230369902783
10,valid,auroc,0.466995435939874
11,train,auroc,0.5343015640657711
11,valid,auroc,0.4633672988214117
12,train,auroc,0.5329186543836804
12,valid,auroc,0.4620649734403137
13,train,auroc,0.5443756711538632
13,valid,auroc,0.4659938404208208
14,train,auroc,0.54836379262257
14,valid,auroc,0.4666134228871933
15,train,auroc,0.5816616236230214
15,valid,auroc,0.46522819941763194
16,train,auroc,0.5784151549001577
16,valid,auroc,0.4575687390231806
17,train,auroc,0.5786307020994329
17,valid,auroc,0.456547405864017
18,train,auroc,0.5959990003496334
18,valid,auroc,0.45570783842696033
19,train,auroc,0.6166035284288913
19,valid,auroc,0.45083030868951396
20,train,auroc,0.6017611668879896
20,valid,auroc,0.45551889538117685
21,train,auroc,0.6242154306977017
21,valid,auroc,0.4532932073090994
22,train,auroc,0.6338990131956677
22,valid,auroc,0.4471716679454265
23,train,auroc,0.6189064276335561
23,valid,auroc,0.4476929210774311
24,train,auroc,0.6318597534512947
24,valid,auroc,0.4468736295797605
25,train,auroc,0.6403456746990601
25,valid,auroc,0.45323004686074625
26,train,auroc,0.6520796238105042
26,valid,auroc,0.45364722879944186
27,train,auroc,0.652112044295287
27,valid,auroc,0.4502534312990166
28,train,auroc,0.6470696060896632
28,valid,auroc,0.4497641172573723
29,train,auroc,0.6477568014222965
29,valid,auroc,0.443798684683663
30,train,auroc,0.6580402995144867
30,valid,auroc,0.44401077459830307
31,train,auroc,0.6580754685877168
31,valid,auroc,0.45590180559931726
32,train,auroc,0.6547256625834108
32,valid,auroc,0.46071563658913484
33,train,auroc,0.6716420671751159
33,valid,auroc,0.45425389208319666
34,train,auroc,0.6821138998335932
34,valid,auroc,0.45200308337825135
35,train,auroc,0.6839558398599718
35,valid,auroc,0.4602141210972405
36,train,auroc,0.679547120064387
36,valid,auroc,0.46603905755998265
37,train,auroc,0.6904574731323068
37,valid,auroc,0.4469401992568599
38,train,auroc,0.6906855577525689
38,valid,auroc,0.4428238246953047
39,train,auroc,0.672402493905206
39,valid,auroc,0.43099093001607003
40,train,auroc,0.6857349641924827
40,valid,auroc,0.41862458075458076
41,train,auroc,0.688321884203351
41,valid,auroc,0.43336680358607804
42,train,auroc,0.7009289200239844
42,valid,auroc,0.42873204682198873
43,train,auroc,0.7182407838061269
43,valid,auroc,0.45058017895938857
44,train,auroc,0.6911407304288608
44,valid,auroc,0.4515248941883057
45,train,auroc,0.6943302664015506
45,valid,auroc,0.4264959516305803
46,train,auroc,0.7198404462087419
46,valid,auroc,0.42029474397409844
47,train,auroc,0.7050079699420797
47,valid,auroc,0.4597983746232802
48,train,auroc,0.7246580466646667
48,valid,auroc,0.4383668861253003
49,train,auroc,0.7155372497064636
49,valid,auroc,0.41902561371500424
50,train,auroc,0.7225682675431631
50,valid,auroc,0.454104424317634
51,train,auroc,0.713944740063258
51,valid,auroc,0.44004512383395405
