epoch,subset,metric,score
0,train,auroc,0.4862763943251647
0,valid,auroc,0.48619657110538683
1,train,auroc,0.5039549294503247
1,valid,auroc,0.5059876822771064
2,train,auroc,0.4997169918316452
2,valid,auroc,0.4601999458829794
3,train,auroc,0.4783285373947548
3,valid,auroc,0.490208874473633
4,train,auroc,0.5005521126583075
4,valid,auroc,0.5029588516856304
5,train,auroc,0.5007946474599378
5,valid,auroc,0.49714306631057575
6,train,auroc,0.487312740758667
6,valid,auroc,0.48142939271946644
7,train,auroc,0.49596600442937433
7,valid,auroc,0.4878182873900883
8,train,auroc,0.49398793694358767
8,valid,auroc,0.4847027906152187
9,train,auroc,0.5005895320378684
9,valid,auroc,0.4962380057949711
10,train,auroc,0.49146561679803524
10,valid,auroc,0.4871461310277856
11,train,auroc,0.5065976570582016
11,valid,auroc,0.4936559636023562
12,train,auroc,0.49934536981469946
12,valid,auroc,0.4929123928694724
13,train,auroc,0.49137472049588005
13,valid,auroc,0.4883748888411995
14,train,auroc,0.49187354911499315
14,valid,auroc,0.4858737709730369
15,train,auroc,0.5096453755111892
15,valid,auroc,0.5010731893227263
16,train,auroc,0.4928652591150587
16,valid,auroc,0.5000520355966546
17,train,auroc,0.5152498759438267
17,valid,auroc,0.4907581191679759
18,train,auroc,0.4863738968837629
18,valid,auroc,0.48908705878299863
19,train,auroc,0.5035975004368809
19,valid,auroc,0.48683284084930706
20,train,auroc,0.5161219821624004
20,valid,auroc,0.4833369459195838
21,train,auroc,0.5188867728151165
21,valid,auroc,0.4822366621999789
22,train,auroc,0.5021158987485597
22,valid,auroc,0.4816535046512646
23,train,auroc,0.4817963398188876
23,valid,auroc,0.47330502118387086
24,train,auroc,0.5224754488364567
24,valid,auroc,0.4750239902043887
25,train,auroc,0.5049157620328059
25,valid,auroc,0.4737957706902504
26,train,auroc,0.5228600904828887
26,valid,auroc,0.46751310041004057
27,train,auroc,0.49480880047228143
27,valid,auroc,0.4631042499086685
28,train,auroc,0.49196486333118117
28,valid,auroc,0.4625343704087558
29,train,auroc,0.4973120251612537
29,valid,auroc,0.457800566577931
30,train,auroc,0.5240486862132989
30,valid,auroc,0.5001142988795481
31,train,auroc,0.48878426428934874
31,valid,auroc,0.4907060835713214
32,train,auroc,0.5037440596734947
32,valid,auroc,0.4870549790170942
33,train,auroc,0.49680151102283626
33,valid,auroc,0.48243978046002334
34,train,auroc,0.5077918142599726
34,valid,auroc,0.4788986683911383
35,train,auroc,0.48609699668973516
35,valid,auroc,0.47333229501384155
36,train,auroc,0.5093377104148935
36,valid,auroc,0.5085736719977435
37,train,auroc,0.4909691510005698
37,valid,auroc,0.5148052038467584
38,train,auroc,0.49633299724472496
38,valid,auroc,0.5130636262566597
39,train,auroc,0.4956415263300628
39,valid,auroc,0.5107128733195194
40,train,auroc,0.5185764555720735
40,valid,auroc,0.5054389758820392
41,train,auroc,0.5171886273632877
41,valid,auroc,0.49740755068805415
42,train,auroc,0.5177297778150399
42,valid,auroc,0.5045507820770744
43,train,auroc,0.5149205114650536
43,valid,auroc,0.5184503871089525
44,train,auroc,0.48401933707518563
44,valid,auroc,0.5252943241006633
45,train,auroc,0.49439270275806546
45,valid,auroc,0.5217969937062049
46,train,auroc,0.4869922167690513
46,valid,auroc,0.5243729351736949
47,train,auroc,0.49941885839002287
47,valid,auroc,0.5293347984643398
48,train,auroc,0.5011343472742168
48,valid,auroc,0.5314425989950311
49,train,auroc,0.502164778616792
49,valid,auroc,0.534396247120996
50,train,auroc,0.4917746802989795
50,valid,auroc,0.5321588958979442
51,train,auroc,0.5012721624633731
51,valid,auroc,0.5343181937260142
52,train,auroc,0.48784879587394114
52,valid,auroc,0.5275158852116268
53,train,auroc,0.5114138108886279
53,valid,auroc,0.521741548880804
54,train,auroc,0.4950338953998466
54,valid,auroc,0.5275686385406492
55,train,auroc,0.4869183424269284
