epoch,subset,metric,score
0,train,auroc,0.47609632995611645
0,valid,auroc,0.4786185733346635
1,train,auroc,0.4952642142528231
1,valid,auroc,0.4672685331057644
2,train,auroc,0.5014756865973942
2,valid,auroc,0.4566988473935908
3,train,auroc,0.48806151411668597
3,valid,auroc,0.4436928191594349
4,train,auroc,0.5184924227042278
4,valid,auroc,0.43954647927153034
5,train,auroc,0.505446448560119
5,valid,auroc,0.4360303084024211
6,train,auroc,0.5236819345021981
6,valid,auroc,0.4365944460433926
7,train,auroc,0.5414331384482325
7,valid,auroc,0.426239362309146
8,train,auroc,0.5645691807817668
8,valid,auroc,0.4325566631760949
9,train,auroc,0.5469034402554599
9,valid,auroc,0.45031192648697993
10,train,auroc,0.5990206152491816
10,valid,auroc,0.43882426107658423
11,train,auroc,0.6095311531765517
11,valid,auroc,0.43213984010358314
12,train,auroc,0.6159667238844556
12,valid,auroc,0.45009391528030684
13,train,auroc,0.633565774975282
13,valid,auroc,0.4445409993849033
14,train,auroc,0.6475343747150951
14,valid,auroc,0.43511394360202604
15,train,auroc,0.634990090293863
15,valid,auroc,0.43749699449571045
16,train,auroc,0.6455131495686035
16,valid,auroc,0.439179718031662
17,train,auroc,0.632595250001961
17,valid,auroc,0.4492886195638053
18,train,auroc,0.6319059008046967
18,valid,auroc,0.4327874141322938
19,train,auroc,0.6289647022092479
19,valid,auroc,0.4718185974504711
20,train,auroc,0.6125880014437965
20,valid,auroc,0.49508335384851687
21,train,auroc,0.5937749583082532
21,valid,auroc,0.4948418369068032
22,train,auroc,0.5347822777189197
22,valid,auroc,0.46206766493669243
23,train,auroc,0.5188966902365896
23,valid,auroc,0.506757809107593
24,train,auroc,0.5217944418462337
24,valid,auroc,0.48401107604589755
25,train,auroc,0.5355855406373818
25,valid,auroc,0.5099978324482497
26,train,auroc,0.5160685856078894
26,valid,auroc,0.4524940123177229
27,train,auroc,0.5622870647634304
27,valid,auroc,0.4701459221676666
28,train,auroc,0.603341749907641
28,valid,auroc,0.4336084999608836
29,train,auroc,0.6341644046801742
29,valid,auroc,0.42386510363696517
30,train,auroc,0.6355423476147202
30,valid,auroc,0.4245324153057863
31,train,auroc,0.6481839256375342
31,valid,auroc,0.428790721443044
32,train,auroc,0.6392907150174771
32,valid,auroc,0.43421498381154644
33,train,auroc,0.6508520174124847
33,valid,auroc,0.4287849795841028
34,train,auroc,0.6497900335604256
34,valid,auroc,0.434322105367418
35,train,auroc,0.6387732731502835
35,valid,auroc,0.43001032816877044
36,train,auroc,0.6408387650370291
36,valid,auroc,0.4339820796582446
37,train,auroc,0.6516101134681604
37,valid,auroc,0.4228983181377429
38,train,auroc,0.6515821614488063
38,valid,auroc,0.4183243891918118
39,train,auroc,0.6236567760774177
39,valid,auroc,0.40303633089471796
40,train,auroc,0.6084443838076186
40,valid,auroc,0.3856230670570174
41,train,auroc,0.6196254165799226
41,valid,auroc,0.40646099088695214
42,train,auroc,0.6261831146271326
42,valid,auroc,0.42253281292951794
43,train,auroc,0.6435253093238935
43,valid,auroc,0.42777351524499435
44,train,auroc,0.6519199163554708
44,valid,auroc,0.42614175070714577
45,train,auroc,0.6528404684546272
45,valid,auroc,0.4337131094534683
46,train,auroc,0.6614448683307189
46,valid,auroc,0.42478146843736025
47,train,auroc,0.6506201072714598
47,valid,auroc,0.4512422870685442
48,train,auroc,0.6581431385138129
48,valid,auroc,0.4314477666680782
49,train,auroc,0.6085270825652823
49,valid,auroc,0.38667400667634644
50,train,auroc,0.6046457702792141
50,valid,auroc,0.47350401248280133
51,train,auroc,0.6209558137564184
51,valid,auroc,0.48038222119506746
52,train,auroc,0.6159014328536236
52,valid,auroc,0.5164583209225445
53,train,auroc,0.5009393100097869
53,valid,auroc,0.5003814747534051
54,train,auroc,0.4942134980060357
54,valid,auroc,0.5058940182031284
55,train,auroc,0.5046825499288324
55,valid,auroc,0.5186161832858793
56,train,auroc,0.5087509591127055
56,valid,auroc,0.5171475234285787
57,train,auroc,0.5279139891771838
57,valid,auroc,0.5198813660169515
58,train,auroc,0.5276148109504792
58,valid,auroc,0.5179330815049699
59,train,auroc,0.5311887153181181
59,valid,auroc,0.544546777130463
60,train,auroc,0.49276446146504715
60,valid,auroc,0.5489516801038128
61,train,auroc,0.4949967171245354
61,valid,auroc,0.5497517722606489
62,train,auroc,0.4825767139072403
62,valid,auroc,0.5474546698179903
63,train,auroc,0.49509127821128684
63,valid,auroc,0.5530388070713864
64,train,auroc,0.5141876670611346
64,valid,auroc,0.5431841622304825
65,train,auroc,0.5019380441803284
65,valid,auroc,0.5600085266605277
66,train,auroc,0.49196777265579483
66,valid,auroc,0.5490090986932247
67,train,auroc,0.4901173939806749
67,valid,auroc,0.5534676521610562
68,train,auroc,0.5215848258115023
68,valid,auroc,0.5436627102866121
69,train,auroc,0.4827883391440529
69,valid,auroc,0.5476509696205422
70,train,auroc,0.4984010448365178
70,valid,auroc,0.5425252839169814
71,train,auroc,0.5095491266946897
71,valid,auroc,0.5449313022464306
72,train,auroc,0.5015788470690531
72,valid,auroc,0.5321127815933228
73,train,auroc,0.5046640491960684
73,valid,auroc,0.54602261431144
74,train,auroc,0.4950812482744973
74,valid,auroc,0.5472668033707583
75,train,auroc,0.501520451619764
75,valid,auroc,0.5670938011608603
76,train,auroc,0.4973715296900917
76,valid,auroc,0.5461995353400652
77,train,auroc,0.5000682003554455
77,valid,auroc,0.5443790071895251
78,train,auroc,0.4889899262143842
78,valid,auroc,0.5699283057137956
79,train,auroc,0.48472188271171945
79,valid,auroc,0.5329146680810779
80,train,auroc,0.501014695271875
80,valid,auroc,0.5358044380263222
81,train,auroc,0.489528022678973
81,valid,auroc,0.54250357251286
82,train,auroc,0.5057632113234385
82,valid,auroc,0.5350323374318244
83,train,auroc,0.48558747911554984
83,valid,auroc,0.5464832190583782
84,train,auroc,0.49348155372464914
84,valid,auroc,0.535320865843619
