epoch,subset,metric,score
0,train,auroc,0.4789425174035477
0,valid,auroc,0.4757456701000591
1,train,auroc,0.49259655646552225
1,valid,auroc,0.45300180796783407
2,train,auroc,0.5028405456079872
2,valid,auroc,0.43780310735051253
3,train,auroc,0.481467087855431
3,valid,auroc,0.44132143141672475
4,train,auroc,0.5099726825670312
4,valid,auroc,0.4409880447319521
5,train,auroc,0.4951887807698851
5,valid,auroc,0.44589482206338005
6,train,auroc,0.5070806049440644
6,valid,auroc,0.439359330556666
7,train,auroc,0.4855729967869483
7,valid,auroc,0.43276929139001075
8,train,auroc,0.49770933281760593
8,valid,auroc,0.43314879237940485
9,train,auroc,0.5062338789661809
9,valid,auroc,0.42818746738803554
10,train,auroc,0.5046511742291319
10,valid,auroc,0.4269316151777428
11,train,auroc,0.5207731724651489
11,valid,auroc,0.4272838423371662
12,train,auroc,0.5131359542501149
12,valid,auroc,0.4371018828273201
13,train,auroc,0.5313337475611501
13,valid,auroc,0.4706235730583366
14,train,auroc,0.5769189583679184
14,valid,auroc,0.47560355909126467
15,train,auroc,0.5574837537527073
15,valid,auroc,0.4734342130100475
16,train,auroc,0.5816392330750282
16,valid,auroc,0.4685460967201784
17,train,auroc,0.5860375371670238
17,valid,auroc,0.4626764814175502
18,train,auroc,0.5825698954790575
18,valid,auroc,0.46918398136192585
19,train,auroc,0.5922984198091766
19,valid,auroc,0.48145415448615025
20,train,auroc,0.5945516033175431
20,valid,auroc,0.47681132323292497
21,train,auroc,0.5961357225328574
21,valid,auroc,0.4607021791072414
22,train,auroc,0.5832274189153548
22,valid,auroc,0.4562028943275458
23,train,auroc,0.5994255578734424
23,valid,auroc,0.4497847520629423
24,train,auroc,0.6060823658409157
24,valid,auroc,0.48228259707150833
25,train,auroc,0.5918866298242227
25,valid,auroc,0.48284350491682554
26,train,auroc,0.5972201933746095
26,valid,auroc,0.4927390605026854
27,train,auroc,0.5908649425291052
27,valid,auroc,0.46226163210904936
28,train,auroc,0.576454350478653
28,valid,auroc,0.45144755852569163
29,train,auroc,0.6050014472684431
29,valid,auroc,0.48362242396881594
30,train,auroc,0.6228235840847535
30,valid,auroc,0.4536849097487434
31,train,auroc,0.6017259656675265
31,valid,auroc,0.4728144511105832
32,train,auroc,0.5623447368999703
32,valid,auroc,0.43121360648313295
33,train,auroc,0.5782929311191519
33,valid,auroc,0.43972842442672916
34,train,auroc,0.5855549268271105
34,valid,auroc,0.4337656833493986
35,train,auroc,0.5788313972769236
35,valid,auroc,0.44253081045621223
36,train,auroc,0.5760549371785196
36,valid,auroc,0.4576304640067983
37,train,auroc,0.575577759721034
37,valid,auroc,0.4407301993788744
38,train,auroc,0.5569864842744092
38,valid,auroc,0.44937474744792316
39,train,auroc,0.5523654320028794
39,valid,auroc,0.50354344469908
40,train,auroc,0.5722597794776949
40,valid,auroc,0.49859342399250106
41,train,auroc,0.6109767499635772
41,valid,auroc,0.5075338572301129
42,train,auroc,0.5909117649744063
42,valid,auroc,0.5082106788528052
43,train,auroc,0.5968363554090099
43,valid,auroc,0.5086199657354568
44,train,auroc,0.5994780221581878
44,valid,auroc,0.5072476614485131
45,train,auroc,0.5882814140513499
45,valid,auroc,0.4880379134945887
46,train,auroc,0.6204656970375296
46,valid,auroc,0.4767137116309248
47,train,auroc,0.5953858722425228
47,valid,auroc,0.46321047429908047
48,train,auroc,0.6200749795640038
48,valid,auroc,0.46326789288849235
49,train,auroc,0.6182133011363788
49,valid,auroc,0.45265263117097315
50,train,auroc,0.6125405360538294
50,valid,auroc,0.452152910009998
51,train,auroc,0.6131440521381832
51,valid,auroc,0.5185542788691695
52,train,auroc,0.6265131220505717
52,valid,auroc,0.498777342911711
53,train,auroc,0.6004333093429246
53,valid,auroc,0.46142870369639344
54,train,auroc,0.5926395983961874
54,valid,auroc,0.44554923392835744
55,train,auroc,0.6115555608991401
55,valid,auroc,0.4575048608424599
56,train,auroc,0.6138868300371918
56,valid,auroc,0.4579485988787585
57,train,auroc,0.6319697291364135
57,valid,auroc,0.48991855173091925
58,train,auroc,0.6183868961961979
58,valid,auroc,0.5228791546835267
59,train,auroc,0.6038533249047575
59,valid,auroc,0.5081780220300773
60,train,auroc,0.5737200836239551
60,valid,auroc,0.515549133445826
61,train,auroc,0.5441414946328907
