epoch,subset,metric,score
0,train,auroc,0.5016617387101168
0,valid,auroc,0.5001738706660628
1,train,auroc,0.4912104481337181
1,valid,auroc,0.4907491475133803
2,train,auroc,0.48782619636893143
2,valid,auroc,0.47846049278068903
3,train,auroc,0.4965082157398255
3,valid,auroc,0.479166561997363
4,train,auroc,0.49307410361619086
4,valid,auroc,0.47761069765739333
5,train,auroc,0.5348736562295745
5,valid,auroc,0.4748215896767118
6,train,auroc,0.5141014321078079
6,valid,auroc,0.4677931954665152
7,train,auroc,0.5545069681699957
7,valid,auroc,0.45406781996688383
8,train,auroc,0.5877337698584711
8,valid,auroc,0.452701975271249
9,train,auroc,0.6084757434337026
9,valid,auroc,0.43123334412324327
10,train,auroc,0.6075771961157399
10,valid,auroc,0.4508225930665618
11,train,auroc,0.6126695107538283
11,valid,auroc,0.5009685798301415
12,train,auroc,0.6209391614895691
12,valid,auroc,0.4753993642326687
13,train,auroc,0.6212193407013934
13,valid,auroc,0.4630818207721796
14,train,auroc,0.6397066359219099
14,valid,auroc,0.4680867480048835
15,train,auroc,0.611716023814156
15,valid,auroc,0.4537076977514163
16,train,auroc,0.6338132765244571
16,valid,auroc,0.4777074120939339
17,train,auroc,0.6361209656668834
17,valid,auroc,0.4642897643469318
18,train,auroc,0.6346716398007952
18,valid,auroc,0.49159427737628625
19,train,auroc,0.6648824845027832
19,valid,auroc,0.4502911122483182
20,train,auroc,0.6564238562560896
20,valid,auroc,0.46742248669862485
21,train,auroc,0.6788629304980673
21,valid,auroc,0.48048378032508965
22,train,auroc,0.6371700906256224
22,valid,auroc,0.450197627607432
23,train,auroc,0.6751966832027749
23,valid,auroc,0.44801661837524054
24,train,auroc,0.6585316539018575
24,valid,auroc,0.4492850309019671
25,train,auroc,0.6890465310627785
25,valid,auroc,0.4765791368119907
26,train,auroc,0.7012921998338889
26,valid,auroc,0.4612686493784079
27,train,auroc,0.6480836905641055
27,valid,auroc,0.43963368375419964
28,train,auroc,0.6868096140544618
28,valid,auroc,0.4172501232705341
29,train,auroc,0.6764225375765796
29,valid,auroc,0.44256974743715716
30,train,auroc,0.703249355544414
30,valid,auroc,0.45302064844248485
31,train,auroc,0.6878832352049753
31,valid,auroc,0.4253495536063539
32,train,auroc,0.6949811032133216
32,valid,auroc,0.49137859879980794
33,train,auroc,0.6979652344388424
33,valid,auroc,0.4462081122418586
34,train,auroc,0.66685426720446
34,valid,auroc,0.3912802335788217
35,train,auroc,0.7000457230099224
35,valid,auroc,0.4467736853475655
36,train,auroc,0.6899780453684902
36,valid,auroc,0.456606618784348
37,train,auroc,0.7160185580834283
37,valid,auroc,0.4145361977553638
38,train,auroc,0.7218947830055322
38,valid,auroc,0.4361286377367889
39,train,auroc,0.70940174127418
39,valid,auroc,0.436779441561154
40,train,auroc,0.698067912702002
40,valid,auroc,0.414839798546879
41,train,auroc,0.7079165390957292
41,valid,auroc,0.4162058226756058
42,train,auroc,0.7108687320449666
42,valid,auroc,0.4065846202872796
43,train,auroc,0.710271211419623
43,valid,auroc,0.40254235159268403
44,train,auroc,0.7063667852728123
44,valid,auroc,0.43579345672109715
45,train,auroc,0.6999939177434595
45,valid,auroc,0.4452736246991804
46,train,auroc,0.7040099108634374
46,valid,auroc,0.4206196973035513
47,train,auroc,0.7045692887964706
47,valid,auroc,0.39866462304337186
48,train,auroc,0.7042651920430711
48,valid,auroc,0.3896515194035357
49,train,auroc,0.6967674445997084
49,valid,auroc,0.4027519294440373
50,train,auroc,0.7062504605091171
50,valid,auroc,0.4148855539853167
51,train,auroc,0.7177331307714732
51,valid,auroc,0.42405350838347294
52,train,auroc,0.7149825974167254
52,valid,auroc,0.3902377273148125
53,train,auroc,0.7339531619954379
53,valid,auroc,0.4197304269000349
54,train,auroc,0.7290165846290706
54,valid,auroc,0.39974373365813115
55,train,auroc,0.7136503839215483
55,valid,auroc,0.40284056939144197
56,train,auroc,0.7167184837204481
56,valid,auroc,0.4071372742103688
57,train,auroc,0.7098921312445519
57,valid,auroc,0.40608561685867206
58,train,auroc,0.7165501929541237
58,valid,auroc,0.4099916958365063
59,train,auroc,0.7348804810872039
59,valid,auroc,0.4037795427614179
60,train,auroc,0.7110626280826142
60,valid,auroc,0.3835979851816976
61,train,auroc,0.7305146939216911
61,valid,auroc,0.40803641343394026
62,train,auroc,0.726058058674873
62,valid,auroc,0.39451935975401875
63,train,auroc,0.7039123600839892
63,valid,auroc,0.43606960424954977
64,train,auroc,0.6957611879765748
64,valid,auroc,0.41859874238934547
65,train,auroc,0.6755315287848256
65,valid,auroc,0.45151610196680203
66,train,auroc,0.7242603532415148
66,valid,auroc,0.39540234999931817
67,train,auroc,0.7356655165243852
67,valid,auroc,0.40908358495833924
68,train,auroc,0.7316310708924934
68,valid,auroc,0.3953329093927482
69,train,auroc,0.7395886041401265
69,valid,auroc,0.40247237268683833
70,train,auroc,0.7345488663020998
70,valid,auroc,0.42829745987337764
71,train,auroc,0.7187582095997038
71,valid,auroc,0.405322308485678
72,train,auroc,0.7385168796763777
72,valid,auroc,0.3955991881011457
73,train,auroc,0.7317336527139531
73,valid,auroc,0.3933281034568144
74,train,auroc,0.7546306642942866
74,valid,auroc,0.40608292536229335
75,train,auroc,0.7451003598046939
75,valid,auroc,0.39473306456648605
76,train,auroc,0.7131231210745818
76,valid,auroc,0.49163393208959877
77,train,auroc,0.6633350935015139
77,valid,auroc,0.47353971966809183
78,train,auroc,0.6508157874805558
78,valid,auroc,0.4402407059041382
79,train,auroc,0.6859693014496215
79,valid,auroc,0.4164161182593267
80,train,auroc,0.6909938979407639
80,valid,auroc,0.3972153419599979
81,train,auroc,0.7107386804126522
81,valid,auroc,0.4051276235809534
82,train,auroc,0.736456033064844
82,valid,auroc,0.3933946731339138
83,train,auroc,0.7214567448045892
83,valid,auroc,0.37992516922334896
84,train,auroc,0.7236145956926051
84,valid,auroc,0.4361932336498772
85,train,auroc,0.7115793948579086
85,valid,auroc,0.42079374740270603
86,train,auroc,0.7128260002708083
86,valid,auroc,0.3993764341189871
87,train,auroc,0.7156825230537454
87,valid,auroc,0.4091716866064681
88,train,auroc,0.7304230260859368
88,valid,auroc,0.42903977457461795
89,train,auroc,0.7347819658907568
89,valid,auroc,0.40523295080590577
90,train,auroc,0.7144642715006161
90,valid,auroc,0.44515645489016187
91,train,auroc,0.7134109674015481
91,valid,auroc,0.4350410937667097
92,train,auroc,0.7242191887092744
92,valid,auroc,0.40814873854947725
93,train,auroc,0.7095172784306595
93,valid,auroc,0.4001578652342642
94,train,auroc,0.7098683583655265
94,valid,auroc,0.4149677343414124
95,train,auroc,0.6929522752461545
95,valid,auroc,0.3994835556748586
96,train,auroc,0.6953737495208454
96,valid,auroc,0.4098407926062082
97,train,auroc,0.6714173580143503
97,valid,auroc,0.3981162755144885
98,train,auroc,0.700916543339164
98,valid,auroc,0.41334673578907855
