epoch,subset,metric,score
0,train,auroc,0.4981344639043792
0,valid,auroc,0.5189965814407329
1,train,auroc,0.4795283042887367
1,valid,auroc,0.5055294101603629
2,train,auroc,0.5004162905976157
2,valid,auroc,0.4989399092929834
3,train,auroc,0.5057086896157621
3,valid,auroc,0.5031488713299652
4,train,auroc,0.5109170075452129
4,valid,auroc,0.48610523966160357
5,train,auroc,0.5270188976868009
5,valid,auroc,0.47947931387656584
6,train,auroc,0.5274624812854881
6,valid,auroc,0.47306978440037406
7,train,auroc,0.5453638449582658
7,valid,auroc,0.467999902388398
8,train,auroc,0.5408620428486615
8,valid,auroc,0.4686991531475794
9,train,auroc,0.5456684399937815
9,valid,auroc,0.4698896917124162
10,train,auroc,0.5668702636677498
10,valid,auroc,0.4678253139899675
11,train,auroc,0.5680034375679511
11,valid,auroc,0.46243083751472247
12,train,auroc,0.5824323374677676
12,valid,auroc,0.46248592347393946
13,train,auroc,0.5969202436143057
13,valid,auroc,0.4631162719258267
14,train,auroc,0.5960607551848022
14,valid,auroc,0.46240051332218934
15,train,auroc,0.6039585427993477
15,valid,auroc,0.4589060538572014
16,train,auroc,0.6198482612011569
16,valid,auroc,0.4638980619072876
17,train,auroc,0.6133273074416088
17,valid,auroc,0.46981971280657037
18,train,auroc,0.6129654742572028
18,valid,auroc,0.4689108841960357
19,train,auroc,0.6207629464302362
19,valid,auroc,0.4668640909165944
20,train,auroc,0.6346414214014934
20,valid,auroc,0.4676616710101438
21,train,auroc,0.6404373103875812
21,valid,auroc,0.4718937799159822
22,train,auroc,0.6467430544938039
22,valid,auroc,0.48019579021257075
23,train,auroc,0.6411394541836988
23,valid,auroc,0.4720900797185341
24,train,auroc,0.6560197333862777
24,valid,auroc,0.4796802789395074
25,train,auroc,0.64635698229549
25,valid,auroc,0.4860433352448939
26,train,auroc,0.6583612735653686
26,valid,auroc,0.49665572603294245
27,train,auroc,0.6476688305183715
27,valid,auroc,0.488208554364997
28,train,auroc,0.6643829807917709
28,valid,auroc,0.5013610000021531
29,train,auroc,0.6647530918887515
29,valid,auroc,0.49392977850061404
30,train,auroc,0.6797867294677871
30,valid,auroc,0.5058208095016282
31,train,auroc,0.6769007115982975
31,valid,auroc,0.5045911545227546
32,train,auroc,0.6751456012490615
32,valid,auroc,0.5000724909691325
33,train,auroc,0.6838177835665659
33,valid,auroc,0.5141025438588307
34,train,auroc,0.6837492295915539
34,valid,auroc,0.5289285619442509
35,train,auroc,0.6933549997113179
35,valid,auroc,0.5278602173150062
36,train,auroc,0.6954316466880184
36,valid,auroc,0.5276935239726199
37,train,auroc,0.7005364344526271
37,valid,auroc,0.5496398060112957
38,train,auroc,0.7200458348822942
38,valid,auroc,0.5390222116635817
39,train,auroc,0.7162275793943436
39,valid,auroc,0.5373489980815014
40,train,auroc,0.7151916187276408
40,valid,auroc,0.5419650938040318
41,train,auroc,0.7227946483600602
41,valid,auroc,0.5456113536647773
42,train,auroc,0.7336737221699794
42,valid,auroc,0.5484716965829479
43,train,auroc,0.7458124210222845
43,valid,auroc,0.5518949211104468
44,train,auroc,0.7400070325287568
44,valid,auroc,0.5464319011940914
45,train,auroc,0.7546652707909338
45,valid,auroc,0.5545577081944222
46,train,auroc,0.7492370175648626
46,valid,auroc,0.5481241346839142
47,train,auroc,0.7443222842435222
47,valid,auroc,0.5336720551620389
48,train,auroc,0.7615092399506784
48,valid,auroc,0.5520176533453147
49,train,auroc,0.7575078095273855
49,valid,auroc,0.544675251224272
50,train,auroc,0.7669213391920167
