epoch,subset,metric,score
0,train,auroc,0.5131205717989811
0,valid,auroc,0.48912509859848396
1,train,auroc,0.49022370488119726
1,valid,auroc,0.4839274602250665
2,train,auroc,0.5126802993653236
2,valid,auroc,0.47225695249401234
3,train,auroc,0.5541757070044577
3,valid,auroc,0.4880364780298534
4,train,auroc,0.5681932669805866
4,valid,auroc,0.45488603486600293
5,train,auroc,0.6090144185484907
5,valid,auroc,0.47620842804410035
6,train,auroc,0.595229170553803
6,valid,auroc,0.4763361844055417
7,train,auroc,0.6116424870179828
7,valid,auroc,0.5048917049517074
8,train,auroc,0.6275281870156296
8,valid,auroc,0.5283717810600477
9,train,auroc,0.6288197342606825
9,valid,auroc,0.47128137477328624
10,train,auroc,0.6712411911758673
10,valid,auroc,0.45380746255051935
11,train,auroc,0.6759287239258612
11,valid,auroc,0.449699521344284
12,train,auroc,0.6653632945976318
12,valid,auroc,0.451205862150886
13,train,auroc,0.6905730585096362
13,valid,auroc,0.47473241143003153
14,train,auroc,0.6644791170929539
14,valid,auroc,0.5109267575650787
15,train,auroc,0.6806179604792201
15,valid,auroc,0.4593793983536655
16,train,auroc,0.6715001532137139
16,valid,auroc,0.3862631048958678
17,train,auroc,0.6863064777060867
17,valid,auroc,0.43043630232896973
18,train,auroc,0.6890906531404825
18,valid,auroc,0.4225073334304664
19,train,auroc,0.7002580715594842
19,valid,auroc,0.4213392240021188
20,train,auroc,0.7163609100444546
20,valid,auroc,0.4263179540034035
21,train,auroc,0.7083527449043742
21,valid,auroc,0.4048602682740044
22,train,auroc,0.7072714244914855
22,valid,auroc,0.3851023522242885
23,train,auroc,0.7200444364776456
23,valid,auroc,0.443447713555883
24,train,auroc,0.744831689302391
24,valid,auroc,0.46833938979829565
25,train,auroc,0.7342938262267159
25,valid,auroc,0.5037935744292054
26,train,auroc,0.7091838473268739
26,valid,auroc,0.504341204225721
27,train,auroc,0.7131927359082924
27,valid,auroc,0.5358448104720024
28,train,auroc,0.7085568959094446
28,valid,auroc,0.48631571467841644
29,train,auroc,0.7112902465679936
29,valid,auroc,0.5183734103125222
30,train,auroc,0.7399990439412817
30,valid,auroc,0.4811012095943592
31,train,auroc,0.7308161706755767
31,valid,auroc,0.5189050705638577
32,train,auroc,0.7496453356486199
32,valid,auroc,0.4929335659743181
33,train,auroc,0.7668639081597265
33,valid,auroc,0.4595965123948792
34,train,auroc,0.7727116184858935
34,valid,auroc,0.504525302578023
35,train,auroc,0.7626235273513161
35,valid,auroc,0.4864312695896078
36,train,auroc,0.7648947293839471
