epoch,subset,metric,score
0,train,auroc,0.48979360704687924
0,valid,auroc,0.5279018457923299
1,train,auroc,0.5138423093337949
1,valid,auroc,0.5438624193179102
2,train,auroc,0.5019977576661828
2,valid,auroc,0.5421579843778372
3,train,auroc,0.4893037475058568
3,valid,auroc,0.5395343137078987
4,train,auroc,0.5027211347098951
4,valid,auroc,0.5412740969670784
5,train,auroc,0.49919204358547614
5,valid,auroc,0.5401709423180028
6,train,auroc,0.5084806169542708
6,valid,auroc,0.5199630080737714
7,train,auroc,0.482502903859584
7,valid,auroc,0.5026468175387953
8,train,auroc,0.48593814113638406
8,valid,auroc,0.4943980988705046
9,train,auroc,0.48995714002267543
9,valid,auroc,0.4829000263407779
10,train,auroc,0.5153453532267271
10,valid,auroc,0.47881218164083666
11,train,auroc,0.526561796176511
11,valid,auroc,0.4802860450578026
12,train,auroc,0.5017219665517039
12,valid,auroc,0.48691161197665644
13,train,auroc,0.4870819557708077
13,valid,auroc,0.48512571441285546
14,train,auroc,0.492251680946682
14,valid,auroc,0.47779066904858114
15,train,auroc,0.5057019065495358
15,valid,auroc,0.47172565110886067
16,train,auroc,0.5275760896079696
16,valid,auroc,0.46738749724570205
17,train,auroc,0.4934093831858911
17,valid,auroc,0.4722185538123431
18,train,auroc,0.5138051310584837
18,valid,auroc,0.4697972836700814
19,train,auroc,0.5207773033846279
19,valid,auroc,0.4687413199241788
20,train,auroc,0.5209076764892753
20,valid,auroc,0.4652779023840916
21,train,auroc,0.5014596612015941
21,valid,auroc,0.4632736347474336
22,train,auroc,0.5162472599305696
22,valid,auroc,0.4616788334265189
23,train,auroc,0.5397520792509026
23,valid,auroc,0.46120925702498494
24,train,auroc,0.5300573738102148
24,valid,auroc,0.4590583925522348
25,train,auroc,0.5321302434870028
25,valid,auroc,0.45591526308121066
26,train,auroc,0.5349085038304715
26,valid,auroc,0.4530829117253784
27,train,auroc,0.5808249275819275
27,valid,auroc,0.4572590375065403
28,train,auroc,0.5648429466205478
28,valid,auroc,0.45882297633564606
29,train,auroc,0.5647985030705108
29,valid,auroc,0.45997852544756
30,train,auroc,0.5696391530927117
30,valid,auroc,0.4576094703350447
31,train,auroc,0.570917503898495
31,valid,auroc,0.4589013885968117
32,train,auroc,0.5937569719312219
32,valid,auroc,0.4606354299970501
33,train,auroc,0.5856451962582164
33,valid,auroc,0.45428044818079966
34,train,auroc,0.6032920824321928
34,valid,auroc,0.45374681416545315
35,train,auroc,0.6033621955480197
35,valid,auroc,0.45374125173960383
36,train,auroc,0.6005767824451417
36,valid,auroc,0.45333842444826117
37,train,auroc,0.6151614839111456
37,valid,auroc,0.45724773322174994
38,train,auroc,0.603843745029234
38,valid,auroc,0.4575947568215079
39,train,auroc,0.6158070325030389
39,valid,auroc,0.45244771858000954
40,train,auroc,0.6229369352293685
40,valid,auroc,0.45347461416502244
41,train,auroc,0.6196737660188056
41,valid,auroc,0.45264473611492906
42,train,auroc,0.6382319137415149
42,valid,auroc,0.45198549893524403
43,train,auroc,0.6292560365110274
43,valid,auroc,0.46004330079374023
44,train,auroc,0.645822341658481
44,valid,auroc,0.45955703711465845
45,train,auroc,0.639060846225767
45,valid,auroc,0.4625381385036859
46,train,auroc,0.648470566443252
46,valid,auroc,0.45299660440816863
47,train,auroc,0.635049225129518
47,valid,auroc,0.45107864408872034
48,train,auroc,0.6324674165287443
48,valid,auroc,0.4493856928665298
49,train,auroc,0.650720374492122
49,valid,auroc,0.4443201172487596
50,train,auroc,0.6379224966210043
50,valid,auroc,0.45099287507078634
51,train,auroc,0.6441520035634565
51,valid,auroc,0.4482488047961748
52,train,auroc,0.6601219614595821
52,valid,auroc,0.4569130905053338
53,train,auroc,0.6518051668062071
53,valid,auroc,0.46281123566957605
54,train,auroc,0.6536817454764663
54,valid,auroc,0.4541236236584685
55,train,auroc,0.6398513145453757
55,valid,auroc,0.4568205030299072
56,train,auroc,0.6583279047372035
56,valid,auroc,0.45164870302172505
57,train,auroc,0.6516920567658417
57,valid,auroc,0.44855581481643636
58,train,auroc,0.6662454950474614
58,valid,auroc,0.4512767382221913
59,train,auroc,0.6503384171396703
59,valid,auroc,0.452097824050781
60,train,auroc,0.6643127551606275
60,valid,auroc,0.44409708191551284
61,train,auroc,0.658283895174816
61,valid,auroc,0.44242853359382234
62,train,auroc,0.6650789683927116
62,valid,auroc,0.44139966424479843
63,train,auroc,0.6538077465573848
63,valid,auroc,0.4239621769396897
64,train,auroc,0.6768333309973011
64,valid,auroc,0.43551210563297893
65,train,auroc,0.6690240607896466
65,valid,auroc,0.4504570878583368
66,train,auroc,0.6775876979739142
66,valid,auroc,0.42213608636330036
67,train,auroc,0.6594080999969267
67,valid,auroc,0.4347258298242202
68,train,auroc,0.6824000423571946
68,valid,auroc,0.42411523336709067
69,train,auroc,0.6692615966964989
69,valid,auroc,0.4503311258278146
70,train,auroc,0.6625575483696916
70,valid,auroc,0.4287557319901211
71,train,auroc,0.6754912161542677
71,valid,auroc,0.4240628389042524
72,train,auroc,0.675573609513215
72,valid,auroc,0.42912213436380564
73,train,auroc,0.6873437081885048
73,valid,auroc,0.42142678735097183
74,train,auroc,0.6774662457265075
74,valid,auroc,0.4202077189245211
75,train,auroc,0.6637965670355326
75,valid,auroc,0.44215364209701297
76,train,auroc,0.6925763294263301
76,valid,auroc,0.4300074572392998
77,train,auroc,0.6956660643132405
77,valid,auroc,0.42470700370421677
78,train,auroc,0.7032958404437656
78,valid,auroc,0.42634917536139616
79,train,auroc,0.7020541374839441
79,valid,auroc,0.42462697654522397
80,train,auroc,0.6912987180069127
80,valid,auroc,0.4416817330652842
81,train,auroc,0.6885181752098797
81,valid,auroc,0.4214409625652329
