epoch,subset,metric,score
0,train,auroc,0.5056286108576123
0,valid,auroc,0.5191282853301963
1,train,auroc,0.4971671858016215
1,valid,auroc,0.5094371040360244
2,train,auroc,0.5288986910803901
2,valid,auroc,0.4933351372340174
3,train,auroc,0.5361749440863172
3,valid,auroc,0.4959737008505846
4,train,auroc,0.5659906189229673
4,valid,auroc,0.48045166180163745
5,train,auroc,0.5914168462303961
5,valid,auroc,0.47999733721291604
6,train,auroc,0.5846339085930712
6,valid,auroc,0.4802921457829276
7,train,auroc,0.6059156342154063
7,valid,auroc,0.48886258798501664
8,train,auroc,0.6256505957075214
8,valid,auroc,0.4922714578651626
9,train,auroc,0.6258926483006523
9,valid,auroc,0.5112108001495754
10,train,auroc,0.6595004589981971
10,valid,auroc,0.512119987626294
11,train,auroc,0.6634360679613086
11,valid,auroc,0.5290667254250232
12,train,auroc,0.6680270947169366
12,valid,auroc,0.5362917783039554
13,train,auroc,0.6959541678180734
13,valid,auroc,0.5313193284608875
14,train,auroc,0.6994266958855013
14,valid,auroc,0.5623235724123774
15,train,auroc,0.7205980761295349
15,valid,auroc,0.5583225733289217
16,train,auroc,0.7344568287731625
16,valid,auroc,0.549961708978186
17,train,auroc,0.7300131006405144
17,valid,auroc,0.5667738719579811
18,train,auroc,0.7510439010333279
18,valid,auroc,0.5783991625498734
19,train,auroc,0.757469956160175
19,valid,auroc,0.5801007265604757
20,train,auroc,0.7704828668748349
20,valid,auroc,0.586795195786624
21,train,auroc,0.7768546092510222
21,valid,auroc,0.5843249404102702
22,train,auroc,0.79347434310022
22,valid,auroc,0.5874791947329927
23,train,auroc,0.7876795310464477
23,valid,auroc,0.5817143683560413
24,train,auroc,0.7985413739393181
24,valid,auroc,0.5856760715923682
25,train,auroc,0.8107337908184673
25,valid,auroc,0.5843663894545019
26,train,auroc,0.8198969096093095
26,valid,auroc,0.5929919176158078
27,train,auroc,0.814813371165912
27,valid,auroc,0.5819775967018762
28,train,auroc,0.8383658005387619
28,valid,auroc,0.596632973916888
29,train,auroc,0.844738282301315
29,valid,auroc,0.5817339265630596
30,train,auroc,0.8485535802438021
30,valid,auroc,0.5685123991855172
31,train,auroc,0.8570283946224623
31,valid,auroc,0.5780257622856044
32,train,auroc,0.8619610821736005
32,valid,auroc,0.5512500385781148
33,train,auroc,0.8728199514473906
33,valid,auroc,0.5465155170149224
34,train,auroc,0.8796362257656475
34,valid,auroc,0.5631195376080994
35,train,auroc,0.8894954285991303
35,valid,auroc,0.5824353305193439
36,train,auroc,0.8946259662976122
36,valid,auroc,0.5627538529667826
37,train,auroc,0.8995422909070008
37,valid,auroc,0.5673240138177835
38,train,auroc,0.9079006680066491
38,valid,auroc,0.5753064537776766
39,train,auroc,0.90652225893722
39,valid,auroc,0.5523890798455727
40,train,auroc,0.9217690648202668
40,valid,auroc,0.5625955929797162
41,train,auroc,0.9224563405209832
41,valid,auroc,0.5643888473002856
42,train,auroc,0.9328304295166124
42,valid,auroc,0.5664674002369953
43,train,auroc,0.9294078903969656
43,valid,auroc,0.5565497743808302
44,train,auroc,0.9326153966730699
44,valid,auroc,0.5595238778792732
45,train,auroc,0.9385282694411358
45,valid,auroc,0.5616453153249498
46,train,auroc,0.9422099313347955
46,valid,auroc,0.5561966500559472
47,train,auroc,0.9518548407111019
47,valid,auroc,0.569262070643526
48,train,auroc,0.9515862505768821
48,valid,auroc,0.5752535210155626
49,train,auroc,0.9525190507719257
49,valid,auroc,0.5800693257693912
50,train,auroc,0.9594309148883996
50,valid,auroc,0.5510727586833055
51,train,auroc,0.960505178983579
51,valid,auroc,0.5654087449947139
52,train,auroc,0.9622641952216611
52,valid,auroc,0.5640748393894395
53,train,auroc,0.9624400084405774
53,valid,auroc,0.5714500777663021
54,train,auroc,0.9644440026700206
54,valid,auroc,0.5722860565415204
55,train,auroc,0.9731029242537887
55,valid,auroc,0.5619399444618693
56,train,auroc,0.9699369200558745
56,valid,auroc,0.565700323769071
57,train,auroc,0.9725581893855236
57,valid,auroc,0.5698201075593726
58,train,auroc,0.9774238660288485
58,valid,auroc,0.5601373596205206
59,train,auroc,0.9768248023363066
59,valid,auroc,0.5543231891432931
60,train,auroc,0.9773086503447019
60,valid,auroc,0.5652508438738313
61,train,auroc,0.980873135572984
61,valid,auroc,0.5670012136854337
62,train,auroc,0.9811809774790627
62,valid,auroc,0.5722403011030828
63,train,auroc,0.9825136410355061
63,valid,auroc,0.5698579679417661
64,train,auroc,0.9849360315063461
64,valid,auroc,0.5647760639126319
65,train,auroc,0.9811608533110171
65,valid,auroc,0.5670236428219226
66,train,auroc,0.9839748292306819
66,valid,auroc,0.5617319815083432
67,train,auroc,0.9872383520608112
67,valid,auroc,0.5558593158431525
68,train,auroc,0.9865025340378122
68,valid,auroc,0.5633789978590044
69,train,auroc,0.9883558863320123
