epoch,subset,metric,score
0,train,auroc,0.4766740639593638
0,valid,auroc,0.44973612569503413
1,train,auroc,0.504737987832658
1,valid,auroc,0.43898198276437495
2,train,auroc,0.4926867776757782
2,valid,auroc,0.4498733920103469
3,train,auroc,0.48870646798476325
3,valid,auroc,0.48851107855796083
4,train,auroc,0.48560335984880004
4,valid,auroc,0.5113687012704581
5,train,auroc,0.4898853552507169
5,valid,auroc,0.5008584079117074
6,train,auroc,0.48002718112869963
6,valid,auroc,0.4732361188765766
7,train,auroc,0.5030964375850536
7,valid,auroc,0.49473920117822945
8,train,auroc,0.49910367084113494
8,valid,auroc,0.4794120264670988
9,train,auroc,0.5036745734287172
9,valid,auroc,0.48351942937405845
10,train,auroc,0.5055686562675082
10,valid,auroc,0.496209655366449
11,train,auroc,0.4708389071278003
11,valid,auroc,0.48952146629851784
12,train,auroc,0.4945141550054721
12,valid,auroc,0.4747733221749874
13,train,auroc,0.504018918518208
13,valid,auroc,0.46656802631493954
14,train,auroc,0.5006781780336926
14,valid,auroc,0.46619677924777336
15,train,auroc,0.4912828758503426
15,valid,auroc,0.4685421491921564
16,train,auroc,0.5032281930207327
16,valid,auroc,0.4560141307148542
17,train,auroc,0.4978250789311019
17,valid,auroc,0.46061479519148024
18,train,auroc,0.5027736632891069
18,valid,auroc,0.4609680989494551
19,train,auroc,0.49458512002298133
19,valid,auroc,0.4625044050824064
20,train,auroc,0.4814258268814908
20,valid,auroc,0.4689169849211607
21,train,auroc,0.4977468004180169
21,valid,auroc,0.4826829122995643
22,train,auroc,0.5012660384154295
22,valid,auroc,0.47159430608558095
23,train,auroc,0.4902218564152826
23,valid,auroc,0.47002498426371786
24,train,auroc,0.4798193492654164
24,valid,auroc,0.47655527221076643
25,train,auroc,0.4954574673458048
25,valid,auroc,0.4943661597801442
26,train,auroc,0.4962829118552438
26,valid,auroc,0.5008137290718213
27,train,auroc,0.4939575899553526
27,valid,auroc,0.4827649132225681
28,train,auroc,0.49349084427507284
28,valid,auroc,0.4763609461722257
29,train,auroc,0.4957553596831774
29,valid,auroc,0.4692553957325069
30,train,auroc,0.5195157173610105
30,valid,auroc,0.48256897228620005
31,train,auroc,0.4955582489221997
31,valid,auroc,0.49698372972495775
32,train,auroc,0.48149219484463823
32,valid,auroc,0.5020726316446765
33,train,auroc,0.47964699187407955
33,valid,auroc,0.5045513203763501
34,train,auroc,0.4665719244838344
34,valid,auroc,0.4978896874060219
35,train,auroc,0.5053740690643445
35,valid,auroc,0.4877280325448565
36,train,auroc,0.5010959956248902
36,valid,auroc,0.4776693722784486
37,train,auroc,0.4817308559046559
37,valid,auroc,0.4701669158394204
38,train,auroc,0.4966807660145622
38,valid,auroc,0.4721069464291737
39,train,auroc,0.4894880154471314
39,valid,auroc,0.4714286893417461
40,train,auroc,0.5012206625956268
40,valid,auroc,0.47852490926068547
41,train,auroc,0.4977135923260182
41,valid,auroc,0.5020690429828384
42,train,auroc,0.47928826089768706
42,valid,auroc,0.4904575687390232
43,train,auroc,0.5042142451077376
43,valid,auroc,0.4844978780242551
44,train,auroc,0.4788726775392039
44,valid,auroc,0.47117210002031185
45,train,auroc,0.49629106117888533
45,valid,auroc,0.46044648695126666
46,train,auroc,0.5000365835514952
46,valid,auroc,0.4672561522224224
47,train,auroc,0.4907431077296222
47,valid,auroc,0.47440566376965965
48,train,auroc,0.4998060396678857
48,valid,auroc,0.46991517121146764
49,train,auroc,0.5113860999735236
49,valid,auroc,0.473978074711633
50,train,auroc,0.4920223747315546
50,valid,auroc,0.46528956553506595
51,train,auroc,0.49942784354173014
51,valid,auroc,0.47669415342390636
52,train,auroc,0.512123236033088
52,valid,auroc,0.46360289447109226
53,train,auroc,0.48763848867369386
53,valid,auroc,0.4784348338485455
54,train,auroc,0.49401960196838796
54,valid,auroc,0.47995947683052254
55,train,auroc,0.5024792589265473
55,valid,auroc,0.4768454155203883
56,train,auroc,0.47227760833328297
56,valid,auroc,0.4673785255911065
57,train,auroc,0.49701503294641347
57,valid,auroc,0.46290472031046237
58,train,auroc,0.487916433652804
58,valid,auroc,0.4547231096185468
59,train,auroc,0.491944578426969
59,valid,auroc,0.45163560440601547
60,train,auroc,0.48458178506899885
60,valid,auroc,0.46867798004273376
61,train,auroc,0.5268467492524804
61,valid,auroc,0.46960241933226493
62,train,auroc,0.5020374112784581
62,valid,auroc,0.45687271805965357
63,train,auroc,0.5005336119255434
63,valid,auroc,0.46601232202928783
64,train,auroc,0.5085576095780239
64,valid,auroc,0.47998495632957405
65,train,auroc,0.4899275484944229
65,valid,auroc,0.4705806885493696
66,train,auroc,0.49263711020032996
66,valid,auroc,0.47465238427103873
67,train,auroc,0.5039472623351828
67,valid,auroc,0.46466065254791405
68,train,auroc,0.49756471848860684
68,valid,auroc,0.47462206007850555
69,train,auroc,0.5104313271445194
69,valid,auroc,0.4952945465976974
70,train,auroc,0.5134048497830512
70,valid,auroc,0.4922466960984787
71,train,auroc,0.498440200166677
71,valid,auroc,0.4905792243753395
72,train,auroc,0.48557924942382513
72,valid,auroc,0.4839037750569341
73,train,auroc,0.5085743100657231
73,valid,auroc,0.476574471551601
74,train,auroc,0.5186204812080776
74,valid,auroc,0.49255316781946445
75,train,auroc,0.48062073157073054
75,valid,auroc,0.49889289782290247
76,train,auroc,0.4928659985014246
76,valid,auroc,0.49476414237800526
77,train,auroc,0.5028674689158757
77,valid,auroc,0.4985010159501664
78,train,auroc,0.5016943842255327
78,valid,auroc,0.50702121688652
79,train,auroc,0.49812993114448395
79,valid,auroc,0.5031346961157042
80,train,auroc,0.4896513073186777
80,valid,auroc,0.5032035984229984
81,train,auroc,0.48948570084633375
81,valid,auroc,0.5126310130720596
82,train,auroc,0.5034036365464665
82,valid,auroc,0.49887710771081417
83,train,auroc,0.5027522853789625
83,valid,auroc,0.49585383954518736
84,train,auroc,0.4952892730211803
84,valid,auroc,0.5014261342145173
85,train,auroc,0.47853122570071
85,valid,auroc,0.4910898909549214
86,train,auroc,0.48634301946617847
86,valid,auroc,0.4949268881923695
87,train,auroc,0.48301431812053386
87,valid,auroc,0.4933410585260505
88,train,auroc,0.48973251122999306
88,valid,auroc,0.5020582769973236
89,train,auroc,0.48890459138358994
89,valid,auroc,0.5073110013299581
90,train,auroc,0.4978770770809644
90,valid,auroc,0.5033620378431568
91,train,auroc,0.49123613377312464
91,valid,auroc,0.507182347803057
92,train,auroc,0.49127806983896427
92,valid,auroc,0.501322601320484
93,train,auroc,0.48915241440509805
93,valid,auroc,0.500649188926538
94,train,auroc,0.5164134129058797
94,valid,auroc,0.5108614439196225
95,train,auroc,0.4822042239149955
95,valid,auroc,0.5142125363441727
96,train,auroc,0.4929573770120793
96,valid,auroc,0.5067872361346667
97,train,auroc,0.4788075150973051
97,valid,auroc,0.5140277202595034
98,train,auroc,0.481494589813519
98,valid,auroc,0.45647527376106833
99,train,auroc,0.4915505176411801
99,valid,auroc,0.4506271904294695
100,train,auroc,0.4838750763657527
100,valid,auroc,0.52134141308584
101,train,auroc,0.4917736837347473
101,valid,auroc,0.42923697154262935
102,train,auroc,0.49014838391357585
102,valid,auroc,0.43303018710565094
103,train,auroc,0.5016241425207727
103,valid,auroc,0.42674715795925716
104,train,auroc,0.49627889345108134
104,valid,auroc,0.42549866250573287
105,train,auroc,0.5117124265387498
105,valid,auroc,0.4204101194521979
106,train,auroc,0.481563320598314
106,valid,auroc,0.4249481617797466
107,train,auroc,0.486287854813836
107,valid,auroc,0.4278024039727922
108,train,auroc,0.481772357982846
108,valid,auroc,0.4222039120720431
109,train,auroc,0.4912176651875939
109,valid,auroc,0.42384572486303873
110,train,auroc,0.47516876976010064
110,valid,auroc,0.4201989267030174
111,train,auroc,0.5067143515150798
111,valid,auroc,0.41952587317525514
112,train,auroc,0.49537401312815854
112,valid,auroc,0.416403378509801
113,train,auroc,0.49705769232500235
113,valid,auroc,0.42132486935476576
114,train,auroc,0.49836397907652313
114,valid,auroc,0.42334277390640906
115,train,auroc,0.5088074418016132
115,valid,auroc,0.42687527318688245
116,train,auroc,0.4788238298182048
116,valid,auroc,0.4218599388348476
117,train,auroc,0.5162934394312049
117,valid,auroc,0.4210514133226917
118,train,auroc,0.49844812445968545
118,valid,auroc,0.41792443282993985
119,train,auroc,0.48486667385050175
119,valid,auroc,0.4264419422699148
120,train,auroc,0.49441695784559014
120,valid,auroc,0.42434795808730064
121,train,auroc,0.49091250757549554
121,valid,auroc,0.4330459772177392
122,train,auroc,0.4841660409743492
122,valid,auroc,0.4315076973207769
123,train,auroc,0.49887764364380394
123,valid,auroc,0.427751803840873
124,train,auroc,0.5101639746787816
124,valid,auroc,0.4253468621099753
125,train,auroc,0.49419809948128507
125,valid,auroc,0.42416368030190693
126,train,auroc,0.4821735233071942
126,valid,auroc,0.4287017226294556
127,train,auroc,0.47894750022470917
127,valid,auroc,0.4378226655575309
128,train,auroc,0.4868714235399273
128,valid,auroc,0.46821701642961167
129,train,auroc,0.4914173798744689
129,valid,auroc,0.5204975392545776
130,train,auroc,0.5000298326325021
130,valid,auroc,0.4931429643925795
131,train,auroc,0.48919517022538683
131,valid,auroc,0.5108187388437475
132,train,auroc,0.48675722049362974
132,valid,auroc,0.46055845320061983
133,train,auroc,0.47804072321502167
133,valid,auroc,0.4770234131475651
134,train,auroc,0.5163143512064664
134,valid,auroc,0.5078098253254738
135,train,auroc,0.5028237647522046
135,valid,auroc,0.47044539599806784
136,train,auroc,0.4901294652667789
136,valid,auroc,0.47662883977845044
137,train,auroc,0.476873264290506
137,valid,auroc,0.4877260587808454
138,train,auroc,0.5200189501510855
138,valid,auroc,0.4974500763308374
139,train,auroc,0.46690831313308356
139,valid,auroc,0.48762665284792606
140,train,auroc,0.4916860664503886
140,valid,auroc,0.5052975826056125
141,train,auroc,0.48189393881918585
141,valid,auroc,0.4753006760321171
142,train,auroc,0.4897485205521763
142,valid,auroc,0.5034286075202562
143,train,auroc,0.47981653638250266
143,valid,auroc,0.4587594570211092
144,train,auroc,0.5108671793335982
144,valid,auroc,0.4904136076315047
145,train,auroc,0.5012973176734302
145,valid,auroc,0.5094048060794802
146,train,auroc,0.48634795406649
146,valid,auroc,0.5361939872688632
147,train,auroc,0.4918434593046245
147,valid,auroc,0.5106827285600781
148,train,auroc,0.5083058485204364
148,valid,auroc,0.5241278295701429
149,train,auroc,0.5057755076401758
149,valid,auroc,0.48152700432146667
150,train,auroc,0.48662909769531343
150,valid,auroc,0.5127370580293796
151,train,auroc,0.5038018603989678
151,valid,auroc,0.49218927750906677
152,train,auroc,0.48629259653074774
152,valid,auroc,0.46110949222588193
153,train,auroc,0.5110258902243993
153,valid,auroc,0.4858028949017317
154,train,auroc,0.5116917558677381
154,valid,auroc,0.5309355210772875
155,train,auroc,0.47901346634744035
155,valid,auroc,0.49445659405846787
156,train,auroc,0.4826433390482542
156,valid,auroc,0.4741950093197548
157,train,auroc,0.4908672281973927
157,valid,auroc,0.4927609513398986
158,train,auroc,0.4942015070880148
158,valid,auroc,0.5024151694171368
159,train,auroc,0.5165653568040712
159,valid,auroc,0.5070429282906413
160,train,auroc,0.4737752675646375
160,valid,auroc,0.4821749372163612
161,train,auroc,0.4899448758531715
161,valid,auroc,0.4730367687114623
162,train,auroc,0.49133321841769007
162,valid,auroc,0.4933708444193079
163,train,auroc,0.49129062333356777
163,valid,auroc,0.5237095710328957
164,train,auroc,0.48971344792064625
164,valid,auroc,0.49976871074452534
165,train,auroc,0.49970191477922754
165,valid,auroc,0.519065842614211
166,train,auroc,0.5131016531521841
166,valid,auroc,0.5350693006487584
167,train,auroc,0.49152279065245896
167,valid,auroc,0.5089515580893103
168,train,auroc,0.4682706485858625
168,valid,auroc,0.5197421259376276
169,train,auroc,0.4885188567312255
169,valid,auroc,0.5057117141817455
170,train,auroc,0.5012672439366782
170,valid,auroc,0.49637904020521406
171,train,auroc,0.49892097811429215
171,valid,auroc,0.5091828473447849
172,train,auroc,0.49668467190340804
172,valid,auroc,0.5021235906427794
173,train,auroc,0.5046493739840671
173,valid,auroc,0.4979754564239559
174,train,auroc,0.4982036126032071
174,valid,auroc,0.47556695474051464
175,train,auroc,0.5001005886929951
175,valid,auroc,0.49606700605837895
176,train,auroc,0.5079719834290013
176,valid,auroc,0.4896289467205731
177,train,auroc,0.49246510642855934
177,valid,auroc,0.5082763513644452
178,train,auroc,0.5061676395919668
178,valid,auroc,0.4939026841037353
179,train,auroc,0.5032361494609745
179,valid,auroc,0.5052417789140279
180,train,auroc,0.474047409968137
180,valid,auroc,0.49190326116055894
181,train,auroc,0.47942871215997385
181,valid,auroc,0.4981746271559784
182,train,auroc,0.4956756666918272
182,valid,auroc,0.5095609128694437
183,train,auroc,0.4920569651545852
183,valid,auroc,0.4923618921434862
184,train,auroc,0.5011757368370903
184,valid,auroc,0.5060526370563785
185,train,auroc,0.48514182202031475
185,valid,auroc,0.5361710198330986
186,train,auroc,0.5051190129153438
186,valid,auroc,0.49774883242887086
187,train,auroc,0.5053703078380484
187,valid,auroc,0.5120948669934263
188,train,auroc,0.5030806854407366
188,valid,auroc,0.5050361485906966
189,train,auroc,0.5000402161888581
189,valid,auroc,0.4951481291946971
190,train,auroc,0.5011813465293011
190,valid,auroc,0.5152855462338071
191,train,auroc,0.4989111089136691
191,valid,auroc,0.5088189570343873
192,train,auroc,0.48876325607238735
192,valid,auroc,0.5090315852483032
193,train,auroc,0.5209307421291678
193,valid,auroc,0.49074322622134725
194,train,auroc,0.5051292839563831
194,valid,auroc,0.505447768103543
195,train,auroc,0.4975632075686417
195,valid,auroc,0.46624558504877345
196,train,auroc,0.4948498685628219
196,valid,auroc,0.4878211583195589
197,train,auroc,0.5056746939165476
197,valid,auroc,0.49158710005260975
198,train,auroc,0.514541399142749
198,valid,auroc,0.5174306688476161
199,train,auroc,0.4737415129696727
199,valid,auroc,0.4873603741395286
0,train,auprc,0.009460387981042463
0,valid,auprc,0.0072536446993533175
1,train,auprc,0.010592981364813413
1,valid,auprc,0.007053255536541597
2,train,auprc,0.010445936436520267
2,valid,auprc,0.007303989609639544
3,train,auprc,0.010595764592306331
3,valid,auprc,0.007984492017245041
4,train,auprc,0.009657426697529533
4,valid,auprc,0.008498919831055484
5,train,auprc,0.009676890344461234
5,valid,auprc,0.00835740476996347
6,train,auprc,0.00959975066204617
6,valid,auprc,0.00771902225416116
7,train,auprc,0.010295112746314753
7,valid,auprc,0.00823086764101917
8,train,auprc,0.010273298589597949
8,valid,auprc,0.007871812765407557
9,train,auprc,0.01083230039257724
9,valid,auprc,0.008053943918267456
10,train,auprc,0.010248180447903661
10,valid,auprc,0.008109045671152431
11,train,auprc,0.009388847056205357
11,valid,auprc,0.007915123152657147
12,train,auprc,0.010161221819071137
12,valid,auprc,0.008092340365402906
13,train,auprc,0.010720210683262198
13,valid,auprc,0.009102355696204528
14,train,auprc,0.009993171507056087
14,valid,auprc,0.008798083790694008
15,train,auprc,0.010064020535013912
15,valid,auprc,0.009232821512434923
16,train,auprc,0.010409365183016862
16,valid,auprc,0.009903679716710693
17,train,auprc,0.009935944595700444
17,valid,auprc,0.008867612378779727
18,train,auprc,0.010171065348878981
18,valid,auprc,0.007791946615106649
19,train,auprc,0.010067798180368872
19,valid,auprc,0.007835165511836276
20,train,auprc,0.009443562603985612
20,valid,auprc,0.008197416474580263
21,train,auprc,0.00964142211954296
21,valid,auprc,0.008119413608608982
22,train,auprc,0.010048139419153734
22,valid,auprc,0.007924607387202047
23,train,auprc,0.009967862286028563
23,valid,auprc,0.00862473781544606
24,train,auprc,0.009560825086104051
24,valid,auprc,0.00790285970756172
25,train,auprc,0.010128734201843645
25,valid,auprc,0.008752854124385994
26,train,auprc,0.010221046308912811
26,valid,auprc,0.008849242739285253
27,train,auprc,0.010076954182576453
27,valid,auprc,0.008060529833260117
28,train,auprc,0.010136003451442843
28,valid,auprc,0.007797610375862367
29,train,auprc,0.009938576554064629
29,valid,auprc,0.007940109063027266
