epoch,subset,metric,score
0,train,auroc,0.4678223554174967
0,valid,auroc,0.4743250983113911
1,train,auroc,0.5032625101922803
1,valid,auroc,0.47824714683440545
2,train,auroc,0.5064644549970239
2,valid,auroc,0.47182487760868796
3,train,auroc,0.4877506825179102
3,valid,auroc,0.512199655919103
4,train,auroc,0.48668905228541753
4,valid,auroc,0.49868619090101973
5,train,auroc,0.489824564832547
5,valid,auroc,0.48356644084413947
6,train,auroc,0.4812271891269313
6,valid,auroc,0.5029391140455199
7,train,auroc,0.505680785817258
7,valid,auroc,0.5123877017994268
8,train,auroc,0.5014881436502978
8,valid,auroc,0.49466114778324777
9,train,auroc,0.5031055834729273
9,valid,auroc,0.4909838459976013
10,train,auroc,0.5048377728448206
10,valid,auroc,0.47825988658393126
11,train,auroc,0.4715989963119408
11,valid,auroc,0.48409487129982054
12,train,auroc,0.4975277330966954
12,valid,auroc,0.47357237649081985
13,train,auroc,0.5033916938492955
13,valid,auroc,0.4867190802690348
14,train,auroc,0.5015462015536372
14,valid,auroc,0.49236871060097886
15,train,auroc,0.49202385350428635
15,valid,auroc,0.4911155498870648
16,train,auroc,0.5037766891152939
16,valid,auroc,0.4671682300073855
17,train,auroc,0.5011046432306479
17,valid,auroc,0.474059896201545
18,train,auroc,0.501740370842768
18,valid,auroc,0.47206190872310383
19,train,auroc,0.4942978201989811
19,valid,auroc,0.462809441338657
20,train,auroc,0.48252405673909526
20,valid,auroc,0.47011272704566287
21,train,auroc,0.49653933426165975
21,valid,auroc,0.47394434129035357
22,train,auroc,0.5009207771297896
22,valid,auroc,0.46205169539151225
23,train,auroc,0.49052381537766765
23,valid,auroc,0.4801042793356956
24,train,auroc,0.47995595893332393
24,valid,auroc,0.4883958825129533
25,train,auroc,0.49413619998356634
25,valid,auroc,0.48612569503408154
26,train,auroc,0.49762165123878077
26,valid,auroc,0.48598017479654076
27,train,auroc,0.49304679454150263
27,valid,auroc,0.4772857443279406
28,train,auroc,0.49256182137994187
28,valid,auroc,0.4748291258665721
29,train,auroc,0.4926098332728751
29,valid,auroc,0.4734168080001321
30,train,auroc,0.5199090226868169
30,valid,auroc,0.47550451202452926
31,train,auroc,0.4988696872035623
31,valid,auroc,0.47438951479138747
32,train,auroc,0.48326607917812126
32,valid,auroc,0.47292641735993635
33,train,auroc,0.48058154409333814
33,valid,auroc,0.4820647652979271
34,train,auroc,0.46248978843134236
34,valid,auroc,0.48082542093209035
35,train,auroc,0.5041422513787627
35,valid,auroc,0.4762904289671043
36,train,auroc,0.49960831810947526
36,valid,auroc,0.47491274168740316
37,train,auroc,0.47991117783733733
37,valid,auroc,0.4683280855135052
38,train,auroc,0.4951184908442751
38,valid,auroc,0.48610362476377633
39,train,auroc,0.4884790745300171
39,valid,auroc,0.4933030187105651
40,train,auroc,0.5036537098743057
40,valid,auroc,0.5019601270960476
41,train,auroc,0.4986022704433579
41,valid,auroc,0.5057678767395141
42,train,auroc,0.4801258409876968
42,valid,auroc,0.49825860184299314
43,train,auroc,0.5044635790492109
43,valid,auroc,0.5011663150974285
44,train,auroc,0.47819662122290896
44,valid,auroc,0.49629721871530214
45,train,auroc,0.4959133311876127
45,valid,auroc,0.4902853129707876
46,train,auroc,0.4994975065962908
