epoch,subset,metric,score
0,train,auroc,0.49337967914232217
0,valid,auroc,0.49415837625971004
1,train,auroc,0.49006930171965835
1,valid,auroc,0.48436653300097543
2,train,auroc,0.4989229551691401
2,valid,auroc,0.4843048080173577
3,train,auroc,0.4878576685103319
3,valid,auroc,0.47281570714222654
4,train,auroc,0.4993218058926907
4,valid,auroc,0.46585549750695654
5,train,auroc,0.5040537661191049
5,valid,auroc,0.4690599930954147
6,train,auroc,0.5054168570318666
6,valid,auroc,0.47030615591874414
7,train,auroc,0.5070372704735764
7,valid,auroc,0.4684527915123841
8,train,auroc,0.5095652967530394
8,valid,auroc,0.4673424595396321
9,train,auroc,0.4960064938697155
9,valid,auroc,0.463517663752434
10,train,auroc,0.5234203524648376
10,valid,auroc,0.4565906492391678
11,train,auroc,0.5183628854276463
11,valid,auroc,0.46187926019018466
12,train,auroc,0.5198313871183978
12,valid,auroc,0.4574183740921583
13,train,auroc,0.5384249128713536
13,valid,auroc,0.4605568383027927
14,train,auroc,0.548644036128861
14,valid,auroc,0.4538537562882327
15,train,auroc,0.5643739345603204
15,valid,auroc,0.45471808549197323
16,train,auroc,0.5752212469037392
16,valid,auroc,0.4561540885265457
17,train,auroc,0.5698341582099083
17,valid,auroc,0.45873989881409083
18,train,auroc,0.5890633633541342
18,valid,auroc,0.4565294625548258
19,train,auroc,0.6130317779258837
19,valid,auroc,0.4533482932683164
20,train,auroc,0.6078741240361134
20,valid,auroc,0.453889822339707
21,train,auroc,0.6260745534202792
21,valid,auroc,0.4515173579984454
22,train,auroc,0.6261559180677609
22,valid,auroc,0.44390939490137277
23,train,auroc,0.6227348255736127
23,valid,auroc,0.4485712460623408
24,train,auroc,0.6418733112254666
24,valid,auroc,0.44326702443232746
25,train,auroc,0.6457192133340551
25,valid,auroc,0.45332442866709205
26,train,auroc,0.6431789711059381
26,valid,auroc,0.4503374059860315
27,train,auroc,0.6593314770663566
27,valid,auroc,0.4451241569336176
28,train,auroc,0.6602513862208471
28,valid,auroc,0.45198191027340573
29,train,auroc,0.6608830954288049
29,valid,auroc,0.44578859767296813
30,train,auroc,0.6638416213830023
30,valid,auroc,0.44869523432885206
31,train,auroc,0.6575146761764183
31,valid,auroc,0.45447872174736254
32,train,auroc,0.6532932140148049
32,valid,auroc,0.4529237545728524
33,train,auroc,0.666874005605706
33,valid,auroc,0.4583483758075387
34,train,auroc,0.6725922750969915
34,valid,auroc,0.4521055396737332
35,train,auroc,0.6895831487546353
35,valid,auroc,0.45669095233754664
36,train,auroc,0.6763932192998101
36,valid,auroc,0.453269342707875
37,train,auroc,0.6910923006218946
37,valid,auroc,0.44725707809717663
38,train,auroc,0.685139613505387
38,valid,auroc,0.4402877173742192
39,train,auroc,0.676915418957532
39,valid,auroc,0.4102242411236243
40,train,auroc,0.6866030359332773
40,valid,auroc,0.45420400968364505
41,train,auroc,0.6870242129103545
41,valid,auroc,0.4073493641250089
42,train,auroc,0.6976286529061935
42,valid,auroc,0.4290745845944489
43,train,auroc,0.7018366614506709
43,valid,auroc,0.4347470029290658
44,train,auroc,0.704795107036785
44,valid,auroc,0.432393199629363
45,train,auroc,0.7037139473600629
45,valid,auroc,0.4015043311559726
46,train,auroc,0.7116971501734857
46,valid,auroc,0.40188634420865343
47,train,auroc,0.721315618450403
47,valid,auroc,0.3978614805239733
48,train,auroc,0.7311338174878119
48,valid,auroc,0.3911718559913068
49,train,auroc,0.7176127876036154
49,valid,auroc,0.38751518901123033
50,train,auroc,0.727476040988494
50,valid,auroc,0.3906665724044823
51,train,auroc,0.722936851646562
51,valid,auroc,0.39233799165564354
52,train,auroc,0.7366297245663627
52,valid,auroc,0.3915676853920649
53,train,auroc,0.7349625690474352
53,valid,auroc,0.4225871811563673
54,train,auroc,0.7419349824778291
54,valid,auroc,0.39107245005838753
55,train,auroc,0.7400449823376671
55,valid,auroc,0.39520371756657147
56,train,auroc,0.7291128173719534
56,valid,auroc,0.4083850519315255
57,train,auroc,0.7522455324668411
57,valid,auroc,0.40977529952766034
58,train,auroc,0.745847799052531
58,valid,auroc,0.41294588226174694
59,train,auroc,0.749892612167162
59,valid,auroc,0.4110133878618537
60,train,auroc,0.7438803080065
60,valid,auroc,0.38481149118229896
61,train,auroc,0.7459464428379114
61,valid,auroc,0.424655506406838
62,train,auroc,0.752921910255469
62,valid,auroc,0.42725728623956327
63,train,auroc,0.7501855377569899
63,valid,auroc,0.4203562895246244
64,train,auroc,0.7405869043230184
64,valid,auroc,0.4099602950454217
65,train,auroc,0.7595147452286755
65,valid,auroc,0.3838529596053046
66,train,auroc,0.7643298382004031
66,valid,auroc,0.4129326042129454
67,train,auroc,0.755721178815899
67,valid,auroc,0.43190729481646506
68,train,auroc,0.7610483289932425
68,valid,auroc,0.4170963491107655
69,train,auroc,0.7732477700428677
69,valid,auroc,0.43436732250657983
70,train,auroc,0.7717368822250105
70,valid,auroc,0.4091675596453541
71,train,auroc,0.7647182249995146
71,valid,auroc,0.41696267145729093
72,train,auroc,0.770617435193428
72,valid,auroc,0.42152834648099413
73,train,auroc,0.7760454633888663
73,valid,auroc,0.4099588595806864
74,train,auroc,0.7686960593535654
74,valid,auroc,0.4028366218634199
75,train,auroc,0.7738534399918526
75,valid,auroc,0.42349941899564836
76,train,auroc,0.7758389656357649
76,valid,auroc,0.42036992643960963
77,train,auroc,0.7786773413055041
77,valid,auroc,0.4247233321155808
78,train,auroc,0.7872149553044157
78,valid,auroc,0.4267098358761395
79,train,auroc,0.7839108305186289
79,valid,auroc,0.418499515889518
80,train,auroc,0.7807243324594857
80,valid,auroc,0.4243946106911978
81,train,auroc,0.7962204079895391
81,valid,auroc,0.4286983134007093
82,train,auroc,0.7912668890312226
82,valid,auroc,0.41827432735916836
83,train,auroc,0.7940081800563965
83,valid,auroc,0.43873938922410977
84,train,auroc,0.7947288245852782
84,valid,auroc,0.42711822559333146
85,train,auroc,0.7915140851816813
85,valid,auroc,0.41629571865465376
86,train,auroc,0.8041624301971051
86,valid,auroc,0.43636674544975623
87,train,auroc,0.7879086443781754
87,valid,auroc,0.427566090590744
88,train,auroc,0.7915670156013095
88,valid,auroc,0.4099382247751165
89,train,auroc,0.8028145288520776
89,valid,auroc,0.4246879837964741
90,train,auroc,0.806213166503766
90,valid,auroc,0.3948970664124937
91,train,auroc,0.8028218262740368
91,valid,auroc,0.42086426460782744
92,train,auroc,0.7994810214950546
92,valid,auroc,0.41146843018294277
93,train,auroc,0.8061102471363566
93,valid,auroc,0.42405279065110524
94,train,auroc,0.803909865458685
94,valid,auroc,0.40409606273555077
95,train,auroc,0.8074740935091007
95,valid,auroc,0.40756809306404973
96,train,auroc,0.8039367405457237
96,valid,auroc,0.4180527274906569
97,train,auroc,0.7972034060893805
97,valid,auroc,0.39922553088868906
98,train,auroc,0.8059067872968022
98,valid,auroc,0.3848506075963359
99,train,auroc,0.8169513229165154
99,valid,auroc,0.39933067868054956
100,train,auroc,0.8155417953252523
100,valid,auroc,0.4059871080912123
101,train,auroc,0.8118863655739651
101,valid,auroc,0.4102190375639589
102,train,auroc,0.803736415061416
102,valid,auroc,0.43289004986086754
103,train,auroc,0.8186649954820278
103,valid,auroc,0.4242959224906461
104,train,auroc,0.8201962003513308
104,valid,auroc,0.4065620117176987
105,train,auroc,0.8083537704011166
105,valid,auroc,0.4407734427540252
106,train,auroc,0.8197904379726206
106,valid,auroc,0.4105639079666139
107,train,auroc,0.8212866184312433
107,valid,auroc,0.41925510863955984
108,train,auroc,0.8118127162624753
108,valid,auroc,0.3889275068776704
109,train,auroc,0.823558383040457
109,valid,auroc,0.39795227366848085
110,train,auroc,0.8211226996886476
110,valid,auroc,0.39915321935264847
111,train,auroc,0.8282843960287107
111,valid,auroc,0.4004088921298493
112,train,auroc,0.8241209596232035
112,valid,auroc,0.4027050974070483
113,train,auroc,0.8253887661364645
113,valid,auroc,0.38773050872152487
114,train,auroc,0.8183410638856823
114,valid,auroc,0.4066628531153532
115,train,auroc,0.823443103061844
115,valid,auroc,0.4020535758503155
116,train,auroc,0.8221127058853481
116,valid,auroc,0.3870050607309243
117,train,auroc,0.8225977915622256
117,valid,auroc,0.38414722987604044
118,train,auroc,0.8337880827377202
118,valid,auroc,0.40664455093997814
119,train,auroc,0.8275061758049893
119,valid,auroc,0.40706370664268476
120,train,auroc,0.8329297998294655
120,valid,auroc,0.3967552755123353
121,train,auroc,0.8342747597026458
121,valid,auroc,0.3951405571182184
122,train,auroc,0.8279925795184319
122,valid,auroc,0.403491373215807
123,train,auroc,0.8310567734284857
123,valid,auroc,0.4190880564309896
124,train,auroc,0.8265750954869271
124,valid,auroc,0.4211379000729934
125,train,auroc,0.8422340931953436
125,valid,auroc,0.3975713372143515
126,train,auroc,0.8373442096853442
126,valid,auroc,0.40746814883185467
127,train,auroc,0.831568718118785
127,valid,auroc,0.4013738832981525
128,train,auroc,0.8332387347414765
128,valid,auroc,0.4056985796794177
129,train,auroc,0.8406373079701093
129,valid,auroc,0.41837158009498476
130,train,auroc,0.8424832985478838
130,valid,auroc,0.41356672075976275
131,train,auroc,0.8440580307710746
131,valid,auroc,0.41662641384304777
132,train,auroc,0.8421483565241332
132,valid,auroc,0.4292911603363868
133,train,auroc,0.8399472193864791
133,valid,auroc,0.42194481068732204
134,train,auroc,0.8451910921559593
134,valid,auroc,0.41523114212033935
135,train,auroc,0.8428935454656392
135,valid,auroc,0.41705184970397124
136,train,auroc,0.8392779300627938
136,valid,auroc,0.41452022821018364
137,train,auroc,0.8422554389582548
137,valid,auroc,0.4165783257744153
138,train,auroc,0.8440978772667497
138,valid,auroc,0.4123943049372092
139,train,auroc,0.8520972662121391
139,valid,auroc,0.41580676347919326
140,train,auroc,0.8413093780294749
140,valid,auroc,0.4021357562064112
141,train,auroc,0.8513867962825968
141,valid,auroc,0.40303848409182097
142,train,auroc,0.8481421117311813
142,valid,auroc,0.40302538547611133
143,train,auroc,0.8559144447677742
143,valid,auroc,0.4111712889827364
144,train,auroc,0.8488181841210928
144,valid,auroc,0.3996163361628736
145,train,auroc,0.844668265627188
145,valid,auroc,0.4023372595686285
146,train,auroc,0.8495602387073521
146,valid,auroc,0.4174275825984352
147,train,auroc,0.8594709253349645
147,valid,auroc,0.40584930347662385
148,train,auroc,0.855916887957505
148,valid,auroc,0.3972657626588252
149,train,auroc,0.8426899088163016
149,valid,auroc,0.40834378232038565
150,train,auroc,0.8585269379027325
150,valid,auroc,0.4118768199001347
151,train,auroc,0.85985881385196
151,valid,auroc,0.4071548586533762
152,train,auroc,0.8608547512132044
152,valid,auroc,0.4073680251665678
153,train,auroc,0.8613190054829034
153,valid,auroc,0.4057556394026457
154,train,auroc,0.8540916805660588
154,valid,auroc,0.41017417929098093
155,train,auroc,0.8608358647136408
155,valid,auroc,0.41838378154523476
156,train,auroc,0.8505085820896963
156,valid,auroc,0.4126914461374156
157,train,auroc,0.8552975875816009
157,valid,auroc,0.40653366128917656
158,train,auroc,0.8649347655482987
158,valid,auroc,0.4235161062731962
159,train,auroc,0.8618751526189902
159,valid,auroc,0.4335853530920269
160,train,auroc,0.8526326944563639
160,valid,auroc,0.4130101193086515
161,train,auroc,0.8628734045810322
161,valid,auroc,0.41793986407584427
162,train,auroc,0.8599124193634873
162,valid,auroc,0.4359762990417555
163,train,auroc,0.8540229015604137
163,valid,auroc,0.44347857604769186
164,train,auroc,0.8632612930980277
164,valid,auroc,0.44057570748673813
165,train,auroc,0.8717086055185999
165,valid,auroc,0.44499747717072774
166,train,auroc,0.8724893975209853
166,valid,auroc,0.42168283837313036
167,train,auroc,0.8725859517362013
167,valid,auroc,0.43675360319591866
168,train,auroc,0.8733899058201795
168,valid,auroc,0.42566894450995746
169,train,auroc,0.8758381265929759
169,valid,auroc,0.4419935877790275
170,train,auroc,0.8770784311481488
170,valid,auroc,0.4275653728583763
171,train,auroc,0.877793626720986
171,valid,auroc,0.43931824037861816
172,train,auroc,0.8664062247845138
172,valid,auroc,0.4213419154984975
173,train,auroc,0.8771589599675648
173,valid,auroc,0.42274687660816906
174,train,auroc,0.8835150144939016
174,valid,auroc,0.44666459002768294
175,train,auroc,0.8769481544852012
175,valid,auroc,0.43420906251951336
176,train,auroc,0.8819525464402147
176,valid,auroc,0.4418430434149132
177,train,auroc,0.8852346825184244
177,valid,auroc,0.4643958093042518
178,train,auroc,0.8913220986896917
178,valid,auroc,0.44931912318943035
179,train,auroc,0.8916567031674926
179,valid,auroc,0.45589247507853786
180,train,auroc,0.8920837148674139
180,valid,auroc,0.4539924580682807
181,train,auroc,0.8872638319579247
181,valid,auroc,0.43508218394475756
182,train,auroc,0.8931230349199963
182,valid,auroc,0.4538198434338614
183,train,auroc,0.8929034693165588
183,valid,auroc,0.46330916249963217
184,train,auroc,0.8923716415624635
184,valid,auroc,0.43668326542388913
185,train,auroc,0.8966465324258213
185,valid,auroc,0.45031354138480717
186,train,auroc,0.9009339928573991
186,valid,auroc,0.44001156984576645
187,train,auroc,0.9031982350140206
187,valid,auroc,0.45253815285833326
188,train,auroc,0.9016399461006628
188,valid,auroc,0.42792998090114165
189,train,auroc,0.8974448607439718
189,valid,auroc,0.43913306542776487
190,train,auroc,0.8966083254390443
190,valid,auroc,0.45759619228624315
191,train,auroc,0.8992219276535516
191,valid,auroc,0.44297221586231594
192,train,auroc,0.8996962761545068
192,valid,auroc,0.44735038330497096
193,train,auroc,0.9028432974111575
193,valid,auroc,0.4580288054708431
194,train,auroc,0.9038156708503933
194,valid,auroc,0.46603403343340916
195,train,auroc,0.9078434941522253
195,valid,auroc,0.4664106634933326
196,train,auroc,0.906117878889542
196,valid,auroc,0.46383041563163674
197,train,auroc,0.9068317242785808
197,valid,auroc,0.44757144487420664
198,train,auroc,0.9114324594986651
198,valid,auroc,0.45659369960173035
199,train,auroc,0.9099512757243768
199,valid,auroc,0.47302115803246586
0,train,auprc,0.00981723984033531
0,valid,auprc,0.008249751403179607
1,train,auprc,0.01051454597648396
1,valid,auprc,0.007950459435553565
2,train,auprc,0.010656114881474641
2,valid,auprc,0.007867925990161641
3,train,auprc,0.009964116890433415
3,valid,auprc,0.007657452676763754
4,train,auprc,0.010847638320818111
4,valid,auprc,0.007442652973676461
5,train,auprc,0.010364733134929843
5,valid,auprc,0.007538625301788484
6,train,auprc,0.01019912033794339
6,valid,auprc,0.007432390547039503
7,train,auprc,0.011026222013292064
7,valid,auprc,0.007908432676226169
8,train,auprc,0.010438370894316394
8,valid,auprc,0.008944034751855076
9,train,auprc,0.009941015446977914
9,valid,auprc,0.009863564007906844
10,train,auprc,0.011784008523340585
10,valid,auprc,0.009571189146667563
11,train,auprc,0.011002819491784232
11,valid,auprc,0.009384292496369925
12,train,auprc,0.010875467267750986
12,valid,auprc,0.009747690221021269
13,train,auprc,0.01168667421676927
