epoch,subset,metric,score
0,train,auroc,0.5045325509382557
0,valid,auroc,0.51927595876484
1,train,auroc,0.5055812097621117
1,valid,auroc,0.5031867317123587
2,train,auroc,0.5268492728102945
2,valid,auroc,0.48857208580921097
3,train,auroc,0.532443068214243
3,valid,auroc,0.4867829584497555
4,train,auroc,0.5595168412282867
4,valid,auroc,0.4762920438649314
5,train,auroc,0.569176265080428
5,valid,auroc,0.47379433522551506
6,train,auroc,0.5948603774933876
6,valid,auroc,0.4749226105074583
7,train,auroc,0.6030733687304375
7,valid,auroc,0.484212220541931
8,train,auroc,0.6211978984967825
8,valid,auroc,0.4920929219387099
9,train,auroc,0.6211446787520547
9,valid,auroc,0.5084024928280593
10,train,auroc,0.6514319535012131
10,valid,auroc,0.5122572539416067
11,train,auroc,0.6664165022549998
11,valid,auroc,0.5278347378159547
12,train,auroc,0.6696274000642173
12,valid,auroc,0.5398262513484398
13,train,auroc,0.6952921919899638
13,valid,auroc,0.5414214115355381
14,train,auroc,0.6994326270500452
14,valid,auroc,0.5601335915255904
15,train,auroc,0.7136244250306589
15,valid,auroc,0.5527716311975293
16,train,auroc,0.7258895268042989
16,valid,auroc,0.5426451452223786
17,train,auroc,0.7351375625119025
17,valid,auroc,0.5614271246851847
18,train,auroc,0.7351311169916259
18,valid,auroc,0.5728643693967531
19,train,auroc,0.7573322374127186
19,valid,auroc,0.5743420009086492
20,train,auroc,0.7611396432094306
20,valid,auroc,0.5909323845868409
21,train,auroc,0.7776818540055259
21,valid,auroc,0.5803472676287629
22,train,auroc,0.794768413903087
22,valid,auroc,0.5751399398683823
23,train,auroc,0.7876139185432828
23,valid,auroc,0.5924218586828032
24,train,auroc,0.7951572507634647
24,valid,auroc,0.5800128043454389
25,train,auroc,0.8093262885029021
25,valid,auroc,0.5890085029753596
26,train,auroc,0.8170719393358562
26,valid,auroc,0.5833143732366213
27,train,auroc,0.8145627191878735
27,valid,auroc,0.5717595998498504
28,train,auroc,0.8325204530342423
28,valid,auroc,0.5674390304296992
29,train,auroc,0.8421790249847011
29,valid,auroc,0.5695339117777728
30,train,auroc,0.8448319914863839
30,valid,auroc,0.5601942399106568
31,train,auroc,0.8599454184984697
31,valid,auroc,0.5688696504715143
32,train,auroc,0.8602254369741275
32,valid,auroc,0.5645672037936462
33,train,auroc,0.8728394808916202
33,valid,auroc,0.5439401138467082
34,train,auroc,0.8742632497072351
34,valid,auroc,0.5588095547403711
35,train,auroc,0.882333233976951
35,valid,auroc,0.5715530723610596
36,train,auroc,0.8981099387800948
36,valid,auroc,0.5483880807621169
37,train,auroc,0.8969821816887045
37,valid,auroc,0.5552982285647434
38,train,auroc,0.899497333001231
38,valid,auroc,0.5515243917756483
39,train,auroc,0.9058010839789892
39,valid,auroc,0.5477640124684467
40,train,auroc,0.9145835634539451
40,valid,auroc,0.5570250926413054
41,train,auroc,0.924409156355013
41,valid,auroc,0.5430007816105484
42,train,auroc,0.9330434531580735
42,valid,auroc,0.5391034948542177
43,train,auroc,0.9302423200581119
43,valid,auroc,0.5501375534082598
44,train,auroc,0.9361861666854621
44,valid,auroc,0.5561313364104913
45,train,auroc,0.9408294326952021
45,valid,auroc,0.5527626595429337
46,train,auroc,0.9375298085220773
46,valid,auroc,0.5591619613328864
47,train,auroc,0.9518783885594939
47,valid,auroc,0.5673792792100925
48,train,auroc,0.9480139053500583
48,valid,auroc,0.5844282938712116
49,train,auroc,0.9513476055904811
49,valid,auroc,0.5889426510306278
50,train,auroc,0.9567476174720984
50,valid,auroc,0.5743102412513807
51,train,auroc,0.9624016728648676
51,valid,auroc,0.578175409484259
52,train,auroc,0.9639943914650896
52,valid,auroc,0.5781542363794134
53,train,auroc,0.9642418447934148
53,valid,auroc,0.5680589717622554
54,train,auroc,0.9680083914566028
54,valid,auroc,0.5734613432935446
55,train,auroc,0.9689330744752381
55,valid,auroc,0.5679095039966928
56,train,auroc,0.9665061512445029
56,valid,auroc,0.5708575896968083
57,train,auroc,0.9729572972869406
57,valid,auroc,0.5628668958146873
58,train,auroc,0.973660003659641
58,valid,auroc,0.5799607687487843
59,train,auroc,0.9759324594343708
59,valid,auroc,0.5781838428395789
60,train,auroc,0.975330727521465
60,valid,auroc,0.5795200810750483
61,train,auroc,0.9783728523558584
61,valid,auroc,0.5793661274821876
62,train,auroc,0.9790822775003185
62,valid,auroc,0.5810474155534039
63,train,auroc,0.979925467282539
63,valid,auroc,0.5793340089587354
64,train,auroc,0.9820902619729477
64,valid,auroc,0.5714430798757175
65,train,auroc,0.9813025261681694
65,valid,auroc,0.5875911609823459
66,train,auroc,0.9838751085129861
66,valid,auroc,0.5791384268885512
67,train,auroc,0.9848641502926877
67,valid,auroc,0.5775886632737066
68,train,auroc,0.9837614358960379
68,valid,auroc,0.5660618814492739
69,train,auroc,0.9868021783993997
69,valid,auroc,0.5714696359733205
70,train,auroc,0.9885203194303408
70,valid,auroc,0.5598841795278326
71,train,auroc,0.9898562620045805
71,valid,auroc,0.5806099576753223
72,train,auroc,0.989440099995898
72,valid,auroc,0.5740581377572442
73,train,auroc,0.9899826970731487
73,valid,auroc,0.5621764372770095
74,train,auroc,0.9895878647537606
74,valid,auroc,0.5846554561655722
75,train,auroc,0.9894523963126352
75,valid,auroc,0.5583701230982785
76,train,auroc,0.9909287901491618
76,valid,auroc,0.5624208251481937
77,train,auroc,0.9896789700129323
77,valid,auroc,0.5679086068312331
78,train,auroc,0.9920946095647792
78,valid,auroc,0.5737139850869568
79,train,auroc,0.99260510762958
79,valid,auroc,0.5767602206883484
80,train,auroc,0.9936975992060405
80,valid,auroc,0.5621193775537815
81,train,auroc,0.9932010851877251
81,valid,auroc,0.5590343844045369
82,train,auroc,0.9941541542133643
82,valid,auroc,0.5700680840923951
83,train,auroc,0.9939669287266262
83,valid,auroc,0.5839237280167547
84,train,auroc,0.9946258505675722
84,valid,auroc,0.5877232237379932
85,train,auroc,0.9940530833118697
85,valid,auroc,0.5897317977688572
86,train,auroc,0.9952169095990224
86,valid,auroc,0.5780429878624279
87,train,auroc,0.9949444778704232
87,valid,auroc,0.5894848978343862
88,train,auroc,0.9944931146412774
88,valid,auroc,0.5849412930809882
89,train,auroc,0.9954750518824198
89,valid,auroc,0.5712006657685442
90,train,auroc,0.9960285950926091
90,valid,auroc,0.577924203155582
91,train,auroc,0.9956880594502643
91,valid,auroc,0.566284199050153
92,train,auroc,0.9963451167516789
92,valid,auroc,0.5618317463074464
93,train,auroc,0.996140853231292
93,valid,auroc,0.559187261398846
94,train,auroc,0.9963165057140422
94,valid,auroc,0.5748655866708486
95,train,auroc,0.9965380644459444
95,valid,auroc,0.5573647594842949
96,train,auroc,0.9970373752735568
96,valid,auroc,0.557491259814093
97,train,auroc,0.9963640193248592
97,valid,auroc,0.552806800083544
98,train,auroc,0.997581611859706
98,valid,auroc,0.5711807486953421
99,train,auroc,0.9975637540716078
99,valid,auroc,0.5623468987143261
100,train,auroc,0.998016387116469
100,valid,auroc,0.5513763594748208
101,train,auroc,0.9974750277077005
101,valid,auroc,0.5448491218903349
102,train,auroc,0.9977351309723291
102,valid,auroc,0.5461130485897636
103,train,auroc,0.997637660560964
103,valid,auroc,0.5463012739031794
104,train,auroc,0.997452685380557
104,valid,auroc,0.5560380312026969
105,train,auroc,0.9983470535581909
105,valid,auroc,0.5526768905249997
106,train,auroc,0.9978364911989234
106,valid,auroc,0.541683204416638
107,train,auroc,0.9982520906310233
107,valid,auroc,0.5511481205819087
108,train,auroc,0.998311145098595
108,valid,auroc,0.5533817037100304
109,train,auroc,0.9976072814254958
109,valid,auroc,0.5564744124822272
