epoch,subset,metric,score
0,train,auroc,0.5054452269652536
0,valid,auroc,0.4992933924840502
1,train,auroc,0.4960297363193913
1,valid,auroc,0.4791435945615983
2,train,auroc,0.5020885093057883
2,valid,auroc,0.48496009766902065
3,train,auroc,0.49551367678322955
3,valid,auroc,0.47684720985130735
4,train,auroc,0.5123570107136441
4,valid,auroc,0.4743227656811962
5,train,auroc,0.5122653589515064
5,valid,auroc,0.4664522919706562
6,train,auroc,0.49429883283683007
6,valid,auroc,0.4631455195198083
7,train,auroc,0.504372071949623
7,valid,auroc,0.4612575245267093
8,train,auroc,0.49540275275472856
8,valid,auroc,0.4653861005385146
9,train,auroc,0.5177561706935792
9,valid,auroc,0.46090637396583733
10,train,auroc,0.5159283272290023
10,valid,auroc,0.4594551191184525
11,train,auroc,0.5197224240711282
11,valid,auroc,0.4574372145668091
12,train,auroc,0.5343789103090905
12,valid,auroc,0.45761000863432033
13,train,auroc,0.5485376609338719
13,valid,auroc,0.4585362422547706
14,train,auroc,0.5542736114034724
14,valid,auroc,0.4544819515430169
15,train,auroc,0.5758205034796808
15,valid,auroc,0.45715801667579387
16,train,auroc,0.5741484615812915
16,valid,auroc,0.4536278500255154
17,train,auroc,0.5742894111256944
17,valid,auroc,0.45513939439178286
18,train,auroc,0.589730932800838
18,valid,auroc,0.45670530698489964
19,train,auroc,0.6187445823875082
19,valid,auroc,0.45632149960129975
20,train,auroc,0.6070439217361461
20,valid,auroc,0.45039392740998385
21,train,auroc,0.6136265660363966
21,valid,auroc,0.4547543309765395
22,train,auroc,0.619831914333024
22,valid,auroc,0.4505177362434032
23,train,auroc,0.6354228242013117
23,valid,auroc,0.4534819709217909
24,train,auroc,0.6377116911386408
24,valid,auroc,0.4461149864671562
25,train,auroc,0.6429585857480513
25,valid,auroc,0.45124085160380883
26,train,auroc,0.6426167642163745
26,valid,auroc,0.4474424324811218
27,train,auroc,0.6585352704656038
27,valid,auroc,0.44899201666287464
28,train,auroc,0.6577325058292578
28,valid,auroc,0.4493973560175041
29,train,auroc,0.6584402432439697
29,valid,auroc,0.44540317539154095
30,train,auroc,0.6579759086061874
30,valid,auroc,0.45340571185772827
31,train,auroc,0.6701886586103984
31,valid,auroc,0.455275763541636
32,train,auroc,0.6691181235942818
32,valid,auroc,0.4495482592478022
33,train,auroc,0.6705818353472718
33,valid,auroc,0.4407854647711833
34,train,auroc,0.6667164841625368
34,valid,auroc,0.4464560887748811
35,train,auroc,0.6779035927619347
35,valid,auroc,0.4434879065684713
36,train,auroc,0.67879334781159
36,valid,auroc,0.4415539767038428
37,train,auroc,0.6805612045388293
37,valid,auroc,0.44147000201682796
38,train,auroc,0.6990018541238279
38,valid,auroc,0.4243201459580543
39,train,auroc,0.6774083485593345
39,valid,auroc,0.4294363217077437
40,train,auroc,0.6831043882387933
40,valid,auroc,0.41866244113697426
41,train,auroc,0.6997022780429638
41,valid,auroc,0.4150375338141662
42,train,auroc,0.6962541818728438
42,valid,auroc,0.4231272747630227
43,train,auroc,0.6965734842675941
43,valid,auroc,0.4343052386567782
44,train,auroc,0.7016864213558442
44,valid,auroc,0.4199330068608037
45,train,auroc,0.6927488154066002
45,valid,auroc,0.3965645381356328
46,train,auroc,0.715779141563428
46,valid,auroc,0.39060861551579473
47,train,auroc,0.7203826735928095
47,valid,auroc,0.39524086021659727
48,train,auroc,0.7215278062637984
48,valid,auroc,0.38374547918324936
49,train,auroc,0.7106177746682116
49,valid,auroc,0.3868573872962806
50,train,auroc,0.7271810258285016
50,valid,auroc,0.38898941129438
51,train,auroc,0.7217283728523558
51,valid,auroc,0.38813997503726827
52,train,auroc,0.721987624215302
52,valid,auroc,0.39271139191991256
53,train,auroc,0.7344116458367597
53,valid,auroc,0.3872503457675681
54,train,auroc,0.7427010671209799
54,valid,auroc,0.39719398942206036
55,train,auroc,0.7379992931466341
55,valid,auroc,0.38353895169445845
56,train,auroc,0.7333137695987214
56,valid,auroc,0.3930201962710933
57,train,auroc,0.7440181231956562
57,valid,auroc,0.38397999823437834
58,train,auroc,0.731708593945596
58,valid,auroc,0.3797934653338855
59,train,auroc,0.7422178942044839
59,valid,auroc,0.3698388762607866
60,train,auroc,0.7402787730918399
60,valid,auroc,0.37479589485795
61,train,auroc,0.7506952482145748
61,valid,auroc,0.3807107272997401
62,train,auroc,0.7485277692301857
62,valid,auroc,0.3795112170803078
63,train,auroc,0.7559299911697979
63,valid,auroc,0.38513016435353487
64,train,auroc,0.7416586127131506
64,valid,auroc,0.3770474212952629
65,train,auroc,0.7507493198609851
65,valid,auroc,0.3792524745617705
66,train,auroc,0.7525119687364299
66,valid,auroc,0.3850731046303068
67,train,auroc,0.7509005082991942
67,valid,auroc,0.3714979146286058
68,train,auroc,0.7581928831426209
68,valid,auroc,0.365074209938153
69,train,auroc,0.7628703216613588
69,valid,auroc,0.37067001034252345
70,train,auroc,0.7674178371367153
70,valid,auroc,0.37527821100900965
71,train,auroc,0.7651000216157997
71,valid,auroc,0.3772322373799323
72,train,auroc,0.7495279982470757
72,valid,auroc,0.3821924857727501
73,train,auroc,0.7611098266505452
73,valid,auroc,0.3761215465409965
74,train,auroc,0.759998673605154
74,valid,auroc,0.3729701631477445
75,train,auroc,0.7567929193532645
75,valid,auroc,0.37370045583182665
76,train,auroc,0.7654561808135281
76,valid,auroc,0.3681834265548057
77,train,auroc,0.7618399385396335
77,valid,auroc,0.3754788172057674
78,train,auroc,0.7716822962228672
78,valid,auroc,0.37059680164102327
79,train,auroc,0.7699370068534044
79,valid,auroc,0.3819018041638526
80,train,auroc,0.7615212469423158
80,valid,auroc,0.37829555788260344
81,train,auroc,0.765034216229235
81,valid,auroc,0.3820256129972719
82,train,auroc,0.7770149275034882
82,valid,auroc,0.3754052496380834
83,train,auroc,0.7745436410907994
83,valid,auroc,0.3717105428425216
84,train,auroc,0.7648595442371006
84,valid,auroc,0.37299402774896884
85,train,auroc,0.7948209264086822
85,valid,auroc,0.3778200601890363
86,train,auroc,0.7885857776267859
86,valid,auroc,0.38729197424489176
87,train,auroc,0.7913827315864184
87,valid,auroc,0.38547575248855753
88,train,auroc,0.7789937665228743
88,valid,auroc,0.38251797740147864
89,train,auroc,0.7951147842682755
89,valid,auroc,0.38853903423368075
90,train,auroc,0.806839989332262
90,valid,auroc,0.3702777696036036
91,train,auroc,0.7930013287094467
91,valid,auroc,0.3686955285991228
92,train,auroc,0.7922556414858245
92,valid,auroc,0.3776887151657567
93,train,auroc,0.8033000324429879
93,valid,auroc,0.37597351424016906
94,train,auroc,0.798961795456413
94,valid,auroc,0.3837086953994073
95,train,auroc,0.7959541806769665
95,valid,auroc,0.4036736772371897
96,train,auroc,0.7989294071188635
96,valid,auroc,0.3750596615030608
97,train,auroc,0.7918736037652897
97,valid,auroc,0.3790671201778254
98,train,auroc,0.7955508936352207
98,valid,auroc,0.3781918455554782
99,train,auroc,0.805694085127674
99,valid,auroc,0.3847533548605194
100,train,auroc,0.7939801798161924
100,valid,auroc,0.3973325117690164
101,train,auroc,0.7955135064028931
101,valid,auroc,0.3963212268629999
102,train,auroc,0.8005854879159193
102,valid,auroc,0.39936782133057536
103,train,auroc,0.8222548609510001
103,valid,auroc,0.39790687709622713
104,train,auroc,0.8150384982407105
104,valid,auroc,0.38930234260667473
105,train,auroc,0.8090321734654422
105,valid,auroc,0.40158974130772274
106,train,auroc,0.800423851626888
106,valid,auroc,0.3963858227760883
107,train,auroc,0.8080084287473934
107,valid,auroc,0.3920297256037385
108,train,auroc,0.8132929195461479
108,valid,auroc,0.38359565255150274
109,train,auroc,0.8107087963445766
109,valid,auroc,0.40023286826668353
110,train,auroc,0.8088744269916401
110,valid,auroc,0.4018725278605762
111,train,auroc,0.8160652005042229
111,valid,auroc,0.3995732722208147
112,train,auroc,0.8160884108066654
112,valid,auroc,0.4041448685365509
113,train,auroc,0.8266465427129359
113,valid,auroc,0.40145821685135114
114,train,auroc,0.817373078543792
114,valid,auroc,0.395898661931547
115,train,auroc,0.8260773277265129
115,valid,auroc,0.38801293640819456
116,train,auroc,0.8290005399449306
116,valid,auroc,0.4017282636546789
117,train,auroc,0.8181675652675633
117,valid,auroc,0.3899671422122091
118,train,auroc,0.8269704100148147
118,valid,auroc,0.37503113164144675
119,train,auroc,0.8295810225366251
119,valid,auroc,0.3927017025329493
120,train,auroc,0.8352215921650248
120,valid,auroc,0.3957285593604143
121,train,auroc,0.8209306521169145
121,valid,auroc,0.40990359418837746
122,train,auroc,0.829399583551881
122,valid,auroc,0.40129457387152734
123,train,auroc,0.8253634341166242
123,valid,auroc,0.40943778588177365
124,train,auroc,0.8283436273060657
124,valid,auroc,0.40118817004802343
125,train,auroc,0.8317620194326167
125,valid,auroc,0.407824682385484
126,train,auroc,0.8283778962567633
126,valid,auroc,0.40719146300412623
127,train,auroc,0.8193439129020863
127,valid,auroc,0.38011662433241916
128,train,auroc,0.8256506214253081
128,valid,auroc,0.40218635633833044
129,train,auroc,0.842000752502437
129,valid,auroc,0.40858511982900747
130,train,auroc,0.8356221949127904
130,valid,auroc,0.3912526008826673
131,train,auroc,0.8415868568737022
131,valid,auroc,0.40333688132367074
132,train,auroc,0.830364322023208
132,valid,auroc,0.39995690017132274
133,train,auroc,0.8384137320636118
133,valid,auroc,0.4145466048746947
134,train,auroc,0.8399845905451901
134,valid,auroc,0.41530273592401223
135,train,auroc,0.8427395441445165
135,valid,auroc,0.41466305695134564
136,train,auroc,0.8406363274794936
136,valid,auroc,0.4145537821983712
137,train,auroc,0.8476506609021105
137,valid,auroc,0.41684729597919157
138,train,auroc,0.8488484507412445
138,valid,auroc,0.4329210917857684
139,train,auroc,0.8494169584885348
139,valid,auroc,0.42118885907109643
140,train,auroc,0.849876197789839
140,valid,auroc,0.4328496774151873
141,train,auroc,0.860075791603117
141,valid,auroc,0.43142085170429134
142,train,auroc,0.8524164882388061
142,valid,auroc,0.4294016911210047
143,train,auroc,0.8581020157729757
143,valid,auroc,0.4226542891327424
144,train,auroc,0.8553246716256561
144,valid,auroc,0.43602205448019304
145,train,auroc,0.8523038764805569
145,valid,auroc,0.4234238776639534
146,train,auroc,0.8473624609555779
146,valid,auroc,0.41575741937891747
147,train,auroc,0.8604131607429817
147,valid,auroc,0.4216526936136892
148,train,auroc,0.8639757010636491
148,valid,auroc,0.441510733328692
149,train,auroc,0.8610791228280205
149,valid,auroc,0.42320030403143094
150,train,auroc,0.8590456495856416
150,valid,auroc,0.4162506809485838
151,train,auroc,0.8550586050492502
151,valid,auroc,0.43700678328860665
152,train,auroc,0.8646930344275009
152,valid,auroc,0.44298029035145203
