epoch,subset,metric,score
0,train,auroc,0.5087368464772869
0,valid,auroc,0.4913278192347968
1,train,auroc,0.48476870515702053
1,valid,auroc,0.4869498312252338
2,train,auroc,0.5034339192402348
2,valid,auroc,0.48601570254873944
3,train,auroc,0.5309422585540251
3,valid,auroc,0.49475050546301996
4,train,auroc,0.546964953986379
4,valid,auroc,0.4756186314709854
5,train,auroc,0.5858712877500138
5,valid,auroc,0.5015723721844256
6,train,auroc,0.616568053956945
6,valid,auroc,0.4880682376871218
7,train,auroc,0.5915515913587722
7,valid,auroc,0.4523915560222411
8,train,auroc,0.6347991035808289
8,valid,auroc,0.5271049834311483
9,train,auroc,0.6147512048461569
9,valid,auroc,0.4873156952996425
10,train,auroc,0.6460952073747297
10,valid,auroc,0.5030785335579357
11,train,auroc,0.6445483307291932
11,valid,auroc,0.4711581042391427
12,train,auroc,0.6516993059669508
12,valid,auroc,0.4729664309394327
13,train,auroc,0.65927714824208
13,valid,auroc,0.4764481506548949
14,train,auroc,0.6505750368503735
14,valid,auroc,0.4312302937606808
15,train,auroc,0.6803956784345686
15,valid,auroc,0.4479963424358545
16,train,auroc,0.6535615630447751
16,valid,auroc,0.4951899371051126
17,train,auroc,0.674502720877532
17,valid,auroc,0.476784767135322
18,train,auroc,0.682833612092709
18,valid,auroc,0.40741862529848694
19,train,auroc,0.7036779746060003
19,valid,auroc,0.4538277384899055
20,train,auroc,0.6856752828538616
20,valid,auroc,0.41354805971820396
21,train,auroc,0.7086204349160616
21,valid,auroc,0.39996443636118306
22,train,auroc,0.687083283451543
22,valid,auroc,0.4305864878269002
23,train,auroc,0.7279916504633895
23,valid,auroc,0.43418071209099124
24,train,auroc,0.7172776848436982
24,valid,auroc,0.43397597893311957
25,train,auroc,0.6964740368013811
25,valid,auroc,0.46548514760525006
26,train,auroc,0.6840059252494529
26,valid,auroc,0.47615262435251565
27,train,auroc,0.6525355037259286
27,valid,auroc,0.427200764815611
28,train,auroc,0.6824028873873416
28,valid,auroc,0.4750857151880064
29,train,auroc,0.7162862480951158
29,valid,auroc,0.4743550636377404
30,train,auroc,0.7272974148866637
30,valid,auroc,0.4624026665192923
31,train,auroc,0.7394495673561048
31,valid,auroc,0.481193617636694
32,train,auroc,0.7338840936646933
32,valid,auroc,0.46859418478881076
33,train,auroc,0.7469397762732587
33,valid,auroc,0.4552824025660368
34,train,auroc,0.7374005348528088
34,valid,auroc,0.4720958215774753
35,train,auroc,0.7353845657789616
35,valid,auroc,0.4906237237821338
36,train,auroc,0.6915281367373567
36,valid,auroc,0.44099773411891535
37,train,auroc,0.7236509702870838
37,valid,auroc,0.4694635381191249
38,train,auroc,0.7496973337984824
38,valid,auroc,0.4586692021758774
39,train,auroc,0.7578107329067696
