epoch,subset,metric,score
0,train,auroc,0.508661268331799
0,valid,auroc,0.4818271958842355
1,train,auroc,0.5170095994210412
1,valid,auroc,0.46475521378735174
2,train,auroc,0.4906232949911139
2,valid,auroc,0.4535410044090299
3,train,auroc,0.4915641802153325
3,valid,auroc,0.44956046069805217
4,train,auroc,0.5005514054191749
4,valid,auroc,0.44539492146931303
5,train,auroc,0.501660484968018
5,valid,auroc,0.4457672451350306
6,train,auroc,0.49975253059805813
6,valid,auroc,0.45410047678961185
7,train,auroc,0.5115039999516506
7,valid,auroc,0.44779394190817756
8,train,auroc,0.522519136926511
8,valid,auroc,0.4522056633390201
9,train,auroc,0.5271676107880456
9,valid,auroc,0.44968050143654137
10,train,auroc,0.523217776674199
10,valid,auroc,0.44881060980695153
11,train,auroc,0.5579298930564419
11,valid,auroc,0.4489005057859995
12,train,auroc,0.5598695124512021
12,valid,auroc,0.4514568890464711
13,train,auroc,0.5570538005809391
13,valid,auroc,0.45002375694136915
14,train,auroc,0.5749027321162048
14,valid,auroc,0.4450240332683307
15,train,auroc,0.5760813139834422
15,valid,auroc,0.4451612995836434
16,train,auroc,0.6002517096220141
16,valid,auroc,0.4451498158657611
17,train,auroc,0.6283471056367087
17,valid,auroc,0.4440956464507775
18,train,auroc,0.6385322492686183
18,valid,auroc,0.44854289563381866
19,train,auroc,0.6268500250555537
19,valid,auroc,0.4345625457105802
20,train,auroc,0.6367936465236819
20,valid,auroc,0.4452892353781768
21,train,auroc,0.6422180420817571
21,valid,auroc,0.4453127411132172
22,train,auroc,0.6351613386056509
22,valid,auroc,0.4398612049147441
23,train,auroc,0.6535116866123104
23,valid,auroc,0.43944689390551916
24,train,auroc,0.6554880342211157
24,valid,auroc,0.43961304894862974
25,train,auroc,0.652437101044798
25,valid,auroc,0.43782356272299044
26,train,auroc,0.6626846746037758
26,valid,auroc,0.44241274348173404
27,train,auroc,0.6651119514540772
27,valid,auroc,0.4374377815753795
28,train,auroc,0.6622763565200183
28,valid,auroc,0.4404626646388335
29,train,auroc,0.6798551066330157
29,valid,auroc,0.43836903932240323
30,train,auroc,0.6957448089612084
