epoch,subset,metric,score
0,train,auroc,0.4827852530096562
0,valid,auroc,0.46921950911412447
1,train,auroc,0.5048872152896356
1,valid,auroc,0.48998799233748924
2,train,auroc,0.49896532522262926
2,valid,auroc,0.5047955288144426
3,train,auroc,0.4819696937744568
3,valid,auroc,0.5100310275702534
4,train,auroc,0.4706418606612892
4,valid,auroc,0.5169738321956079
5,train,auroc,0.49705992655771664
5,valid,auroc,0.4785134255428031
6,train,auroc,0.46597769894990426
6,valid,auroc,0.5027123106173432
7,train,auroc,0.5043253137987884
7,valid,auroc,0.5146539417502765
8,train,auroc,0.5073309836706199
8,valid,auroc,0.5085298903233169
9,train,auroc,0.5032277268858499
9,valid,auroc,0.4890892119801016
10,train,auroc,0.5030295874134065
10,valid,auroc,0.5077821926293192
11,train,auroc,0.48395931819061483
11,valid,auroc,0.5167075534872103
12,train,auroc,0.4897421875472163
12,valid,auroc,0.5054002183341862
13,train,auroc,0.5027017499282151
13,valid,auroc,0.5019030673728196
14,train,auroc,0.5038662191600339
14,valid,auroc,0.49993594238618744
15,train,auroc,0.48660167610530863
15,valid,auroc,0.4631776380432606
16,train,auroc,0.4933901752139945
16,valid,auroc,0.4924799591179644
17,train,auroc,0.5146407823144954
17,valid,auroc,0.490645614619347
18,train,auroc,0.506285346686694
18,valid,auroc,0.5049236440420678
19,train,auroc,0.518831286690441
19,valid,auroc,0.4801042793356956
20,train,auroc,0.4863732700127136
20,valid,auroc,0.5009906501004466
21,train,auroc,0.49350437826029203
21,valid,auroc,0.515455110505664
22,train,auroc,0.49766230141528833
22,valid,auroc,0.4696393825491987
23,train,auroc,0.4859819738889884
23,valid,auroc,0.4889549960273514
24,train,auroc,0.4857302610522509
24,valid,auroc,0.48956973380024216
25,train,auroc,0.49518304248874107
25,valid,auroc,0.49744846143301014
26,train,auroc,0.4974549517605046
26,valid,auroc,0.4929136489011159
27,train,auroc,0.4990269193216317
27,valid,auroc,0.4747333085954911
28,train,auroc,0.4880970046622489
28,valid,auroc,0.5018670013213453
29,train,auroc,0.5057553352512801
29,valid,auroc,0.5090084383794464
30,train,auroc,0.5208923583326079
30,valid,auroc,0.49266764613210445
31,train,auroc,0.5029463421527768
31,valid,auroc,0.4831126545546937
32,train,auroc,0.4894032753401531
32,valid,auroc,0.4944609004526738
33,train,auroc,0.468025091944302
33,valid,auroc,0.4894672775047604
34,train,auroc,0.4807033338866944
34,valid,auroc,0.4942362502215999
35,train,auroc,0.5097095092416223
35,valid,auroc,0.505133401326513
36,train,auroc,0.5010672720719368
36,valid,auroc,0.5121212436579373
37,train,auroc,0.48168228143513997
37,valid,auroc,0.48228977439518483
38,train,auroc,0.5022860379807987
38,valid,auroc,0.49689221884808266
39,train,auroc,0.4720009331698882
39,valid,auroc,0.4816560167145514
40,train,auroc,0.48768945811209075
