epoch,subset,metric,score
0,train,auroc,0.49472835202094867
0,valid,auroc,0.4811586281837711
1,train,auroc,0.5211985125089386
1,valid,auroc,0.4815932151323822
2,train,auroc,0.5061634604516378
2,valid,auroc,0.48052540880241323
3,train,auroc,0.48919684188151846
3,valid,auroc,0.4765746509846929
4,train,auroc,0.5225138487066332
4,valid,auroc,0.46805983304109666
5,train,auroc,0.5376302171905658
5,valid,auroc,0.47018683291262253
6,train,auroc,0.5250500403833545
6,valid,auroc,0.467714065472982
7,train,auroc,0.5701876974081229
7,valid,auroc,0.4689783510385946
8,train,auroc,0.5925449890885861
8,valid,auroc,0.4710434464934108
9,train,auroc,0.586793736535935
9,valid,auroc,0.46752494299410674
10,train,auroc,0.5890035212793467
10,valid,auroc,0.4668317929600503
11,train,auroc,0.6087333231405172
11,valid,auroc,0.4734912727332755
12,train,auroc,0.6236950955795111
12,valid,auroc,0.4765775219141635
13,train,auroc,0.6285896243647224
13,valid,auroc,0.4743116408294976
14,train,auroc,0.651708066088025
14,valid,auroc,0.49007717058416955
15,train,auroc,0.64052463834684
15,valid,auroc,0.4991053466037263
16,train,auroc,0.6698269700885425
16,valid,auroc,0.5054919086441534
17,train,auroc,0.6834214885480625
17,valid,auroc,0.5068981257854683
18,train,auroc,0.6851776758296141
18,valid,auroc,0.5146159019347911
19,train,auroc,0.6982970260337296
19,valid,auroc,0.5214494318071712
20,train,auroc,0.7144155362949336
20,valid,auroc,0.5219884488152751
21,train,auroc,0.711235821302017
21,valid,auroc,0.5310046028176737
22,train,auroc,0.722239963923089
22,valid,auroc,0.536764046201868
23,train,auroc,0.7335447956908305
23,valid,auroc,0.5298745332048114
24,train,auroc,0.7494373269755537
24,valid,auroc,0.5442880346119257
25,train,auroc,0.7518791986697732
25,valid,auroc,0.5256018724202007
26,train,auroc,0.7613662972778108
26,valid,auroc,0.5417935557681638
27,train,auroc,0.7555920755269669
27,valid,auroc,0.5379274903698259
28,train,auroc,0.7714573941787018
28,valid,auroc,0.5383351623546502
29,train,auroc,0.7728780929335367
29,valid,auroc,0.5577939634401488
30,train,auroc,0.7877711667349687
30,valid,auroc,0.5551082089204085
31,train,auroc,0.7915857574383233
31,valid,auroc,0.5452987812186665
32,train,auroc,0.7896562965692858
32,valid,auroc,0.5477762139186968
33,train,auroc,0.8034862774391103
33,valid,auroc,0.5546434772123561
34,train,auroc,0.8002190094563015
34,valid,auroc,0.5532962935582802
35,train,auroc,0.8237946973524439
35,valid,auroc,0.5590449709569598
36,train,auroc,0.8206312167123435
36,valid,auroc,0.5517528101016523
37,train,auroc,0.8135850736023765
37,valid,auroc,0.5497363410147443
38,train,auroc,0.8217896744115353
38,valid,auroc,0.5659179761095603
39,train,auroc,0.8302493635169278
39,valid,auroc,0.5478917688298881
40,train,auroc,0.8433154136082325
40,valid,auroc,0.5470997511621881
41,train,auroc,0.8403339827503089
41,valid,auroc,0.5534355336376039
42,train,auroc,0.8425805278549988
42,valid,auroc,0.5702588214690976
43,train,auroc,0.8564601762002716
43,valid,auroc,0.543913737182197
44,train,auroc,0.8593802862106757
44,valid,auroc,0.5434350096929756
45,train,auroc,0.8668155394325037
45,valid,auroc,0.5486721233466139
46,train,auroc,0.8695667639527672
46,valid,auroc,0.5479502640178514
47,train,auroc,0.8703747364409078
47,valid,auroc,0.5407969843756841
48,train,auroc,0.8740515280287229
48,valid,auroc,0.5577753023985899
49,train,auroc,0.885545578411667
49,valid,auroc,0.5515909614527478
50,train,auroc,0.8876674726192371
50,valid,auroc,0.5447879352059928
51,train,auroc,0.8870511619360298
51,valid,auroc,0.5390625841092618
52,train,auroc,0.8947220061570953
52,valid,auroc,0.5453904715286336
53,train,auroc,0.9039481174515884
53,valid,auroc,0.5406362123253308
54,train,auroc,0.9050116925916958
54,valid,auroc,0.5479639009328368
55,train,auroc,0.8985211501148492
55,valid,auroc,0.5457658455569137
56,train,auroc,0.8982734556822742
56,valid,auroc,0.5390640195739971
57,train,auroc,0.906054982827591
57,valid,auroc,0.5355717133061122
58,train,auroc,0.9128392545750978
58,valid,auroc,0.5456432927551378
59,train,auroc,0.9160987429274479
59,valid,auroc,0.5429299055392431
60,train,auroc,0.9217380748873657
60,valid,auroc,0.5437662431806454
61,train,auroc,0.9228483921046908
61,valid,auroc,0.5389195759350079
62,train,auroc,0.9173620327544302
62,valid,auroc,0.5330506783647473
63,train,auroc,0.9263139442224927
63,valid,auroc,0.5297909173839803
64,train,auroc,0.9270731172104844
64,valid,auroc,0.5386859540493383
65,train,auroc,0.9300274800979693
65,valid,auroc,0.5343804570089078
66,train,auroc,0.9252743669920438
66,valid,auroc,0.5425527371800439
67,train,auroc,0.935946605502912
67,valid,auroc,0.5428464691515039
68,train,auroc,0.9402662292414063
68,valid,auroc,0.5391673730349384
69,train,auroc,0.9371760603668462
69,valid,auroc,0.5417725620964101
70,train,auroc,0.9425459181436284
70,valid,auroc,0.5417361371787519
71,train,auroc,0.9424081672489388
71,valid,auroc,0.5390096513471477
72,train,auroc,0.9443010767137144
72,valid,auroc,0.5419781924197413
73,train,auroc,0.9443259104514383
73,valid,auroc,0.5466604989531874
74,train,auroc,0.9458677882021969
74,valid,auroc,0.5413478439678542
75,train,auroc,0.9550053660161825
75,valid,auroc,0.540268374486911
76,train,auroc,0.9505559478232402
76,valid,auroc,0.5378469249115574
77,train,auroc,0.9525697630324563
77,valid,auroc,0.5353160211501373
78,train,auroc,0.9549593151044805
78,valid,auroc,0.5405708986798748
79,train,auroc,0.9543821436778158
79,valid,auroc,0.5345950589868347
80,train,auroc,0.9622310835713621
80,valid,auroc,0.5372585638031777
81,train,auroc,0.9554297898638231
81,valid,auroc,0.5287360302366291
82,train,auroc,0.9568771868959134
82,valid,auroc,0.5249697296373944
83,train,auroc,0.955760584894478
83,valid,auroc,0.5204618320692871
84,train,auroc,0.9662092554713626
84,valid,auroc,0.5424222893222238
85,train,auroc,0.961716470660699
85,valid,auroc,0.5289576301051406
86,train,auroc,0.9613978915786979
86,valid,auroc,0.5368523272830887
87,train,auroc,0.9647786553686717
87,valid,auroc,0.5404540877370401
88,train,auroc,0.9678992515995499
88,valid,auroc,0.5458390542584138
89,train,auroc,0.9693169124408378
89,valid,auroc,0.5411734350025157
90,train,auroc,0.9701128940109576
90,valid,auroc,0.5316634811311749
91,train,auroc,0.9657788040174784
91,valid,auroc,0.5315861454685609
92,train,auroc,0.9726898001586529
92,valid,auroc,0.5437517091002005
93,train,auroc,0.9724313042556894
93,valid,auroc,0.5315211906892886
94,train,auroc,0.9725108847317231
94,valid,auroc,0.5349745599762288
95,train,auroc,0.9698381959024109
95,valid,auroc,0.5271028302340454
96,train,auroc,0.9718009613051468
96,valid,auroc,0.5386572447546325
97,train,auroc,0.9727233618702179
97,valid,auroc,0.5414126193140345
98,train,auroc,0.9759938285027401
98,valid,auroc,0.5385998261652205
99,train,auroc,0.9758197833816549
99,valid,auroc,0.5445616700770916
100,train,auroc,0.9753749621144856
100,valid,auroc,0.5392463235953798
101,train,auroc,0.9786624667806565
101,valid,auroc,0.5395700208931893
102,train,auroc,0.9797909954056461
102,valid,auroc,0.5221965912018931
103,train,auroc,0.9781316838116434
103,valid,auroc,0.535835300518131
104,train,auroc,0.9796463328557969
104,valid,auroc,0.5356418716450498
105,train,auroc,0.9775306269906371
105,valid,auroc,0.5280814583173339
106,train,auroc,0.9825477813972705
106,valid,auroc,0.5274629524495129
107,train,auroc,0.979268474275591
107,valid,auroc,0.5352602174585527
108,train,auroc,0.9831153247275619
108,valid,auroc,0.5324092050611615
109,train,auroc,0.9826127509557694
109,valid,auroc,0.5360246024300983
110,train,auroc,0.9814818434355156
110,valid,auroc,0.5462555184647417
111,train,auroc,0.9834432425808365
111,valid,auroc,0.5388774091584085
112,train,auroc,0.984375319463131
112,valid,auroc,0.540239844625297
113,train,auroc,0.9805758701066607
113,valid,auroc,0.5334061353198252
114,train,auroc,0.9865913889906528
114,valid,auroc,0.5438805420601933
115,train,auroc,0.9849425734683226
115,valid,auroc,0.5450093556414122
116,train,auroc,0.9873852970642247
116,valid,auroc,0.5336406543709543
117,train,auroc,0.9855600735991618
117,valid,auroc,0.538745705268945
118,train,auroc,0.9871246472966299
118,valid,auroc,0.5285235814558052
119,train,auroc,0.9869132149432172
119,valid,auroc,0.5334298204879575
120,train,auroc,0.9847089755975496
120,valid,auroc,0.5353467042088544
121,train,auroc,0.9855243258757325
121,valid,auroc,0.5338749939889914
122,train,auroc,0.9892877381836737
122,valid,auroc,0.5370827193731038
123,train,auroc,0.9865469936614657
123,valid,auroc,0.5302585200215032
124,train,auroc,0.9878656088769568
