epoch,subset,metric,score
0,train,auroc,0.49470031963351124
0,valid,auroc,0.4794475542192974
1,train,auroc,0.5117842434579416
1,valid,auroc,0.48020296753624725
2,train,auroc,0.5017079825052185
2,valid,auroc,0.4743207919171851
3,train,auroc,0.48796848002351634
3,valid,auroc,0.4757550006208385
4,train,auroc,0.4861701959399587
4,valid,auroc,0.4832149314170836
5,train,auroc,0.5061648588562864
5,valid,auroc,0.47547975025784533
6,train,auroc,0.5085750815993222
6,valid,auroc,0.469989815377703
7,train,auroc,0.5242657282589226
7,valid,auroc,0.45904672940126057
8,train,auroc,0.5233096695405866
8,valid,auroc,0.4668899292818298
9,train,auroc,0.5283343142525787
9,valid,auroc,0.47389768868645654
10,train,auroc,0.49040278104429386
10,valid,auroc,0.4668563752936422
11,train,auroc,0.5103400611491813
11,valid,auroc,0.4656035734459121
12,train,auroc,0.5363626196343214
12,valid,auroc,0.4694506189365072
13,train,auroc,0.5536152682127258
13,valid,auroc,0.4722219630410895
14,train,auroc,0.5425378298997302
14,valid,auroc,0.4715652379246912
15,train,auroc,0.5246369645090687
15,valid,auroc,0.4678750169564272
16,train,auroc,0.5413196587146842
16,valid,auroc,0.4682281412813102
17,train,auroc,0.5472933058273033
17,valid,auroc,0.4673126736463747
18,train,auroc,0.5559229573551518
18,valid,auroc,0.4641675704113396
19,train,auroc,0.5499968560005832
19,valid,auroc,0.46363160376579815
20,train,auroc,0.5947090926134788
20,valid,auroc,0.4626883240016163
21,train,auroc,0.5648719755722176
21,valid,auroc,0.46425567205946844
22,train,auroc,0.5594375982982026
22,valid,auroc,0.46326627799066517
23,train,auroc,0.5703250786096297
23,valid,auroc,0.45811547165423677
24,train,auroc,0.5723030657273331
24,valid,auroc,0.453893949300821
25,train,auroc,0.5886086246654919
25,valid,auroc,0.4562664136420827
26,train,auroc,0.5922104489052518
26,valid,auroc,0.45531344449093747
27,train,auroc,0.5914834552977933
27,valid,auroc,0.4541571776466561
28,train,auroc,0.6006606224295875
28,valid,auroc,0.4536332330182728
29,train,auroc,0.6088864886335741
29,valid,auroc,0.45251339109164945
30,train,auroc,0.6091903764299571
30,valid,auroc,0.44766223801871413
31,train,auroc,0.6089938764664121
31,valid,auroc,0.4462723492887631
32,train,auroc,0.610974692540646
32,valid,auroc,0.4504066671595096
33,train,auroc,0.6088549682713236
33,valid,auroc,0.44749698014106315
34,train,auroc,0.6183844369328505
34,valid,auroc,0.44867406122400644
35,train,auroc,0.6256655441710058
35,valid,auroc,0.44764537130807436
36,train,auroc,0.6245019268408695
36,valid,auroc,0.4491764738813603
37,train,auroc,0.6446912734020607
37,valid,auroc,0.4479021400626006
38,train,auroc,0.6348330671328102
38,valid,auroc,0.44665256801052483
39,train,auroc,0.639432725420579
39,valid,auroc,0.4474036749332688
40,train,auroc,0.6438490319632225
40,valid,auroc,0.44895002931936717
41,train,auroc,0.6428727204879077
41,valid,auroc,0.4450613553514484
42,train,auroc,0.6360417548840327
42,valid,auroc,0.4423158496121015
43,train,auroc,0.6591951567235488
43,valid,auroc,0.44503569641930496
44,train,auroc,0.6535726538402635
44,valid,auroc,0.4442372191602962
45,train,auroc,0.6366505591882644
45,valid,auroc,0.45065195219615334
46,train,auroc,0.6437920188449654
46,valid,auroc,0.44975568390205256
47,train,auroc,0.666472502735408
47,valid,auroc,0.43861253002812794
48,train,auroc,0.6341083238316827
48,valid,auroc,0.4418645753859426
49,train,auroc,0.6419481660582053
49,valid,auroc,0.4371863958136107
50,train,auroc,0.6528842208391483
50,valid,auroc,0.43390833265746875
51,train,auroc,0.6746764766735175
51,valid,auroc,0.4277871521599797
52,train,auroc,0.6531572955124133
52,valid,auroc,0.4330208565848715
53,train,auroc,0.6668593464673214
53,valid,auroc,0.4305593934300215
54,train,auroc,0.6544655432451655
54,valid,auroc,0.42966186910427717
55,train,auroc,0.6635169825475242
55,valid,auroc,0.4217031143125165
56,train,auroc,0.6687378218243452
56,valid,auroc,0.4238340617120645
57,train,auroc,0.6740485769127058
57,valid,auroc,0.42304114687890493
58,train,auroc,0.6774640275674099
58,valid,auroc,0.4062736627389959
59,train,auroc,0.6970635366920164
59,valid,auroc,0.42706690772904454
60,train,auroc,0.6779044125163839
60,valid,auroc,0.408149276848753
61,train,auroc,0.6981471395584693
61,valid,auroc,0.39323892521013415
62,train,auroc,0.6925273048955478
