epoch,subset,metric,score
0,train,auroc,0.51037643574366
0,valid,auroc,0.49547074989395506
1,train,auroc,0.5092866606084134
1,valid,auroc,0.47023994510782857
2,train,auroc,0.5107514975145688
2,valid,auroc,0.47422210371663354
3,train,auroc,0.48913272422470194
3,valid,auroc,0.4679900335683428
4,train,auroc,0.49745852010340097
4,valid,auroc,0.4795514459795145
5,train,auroc,0.49266435498055156
5,valid,auroc,0.4747342057609506
6,train,auroc,0.5140640770227136
6,valid,auroc,0.4656277969133201
7,train,auroc,0.5006623937421424
7,valid,auroc,0.47264524570491007
8,train,auroc,0.5160004173996772
8,valid,auroc,0.47695379310790315
9,train,auroc,0.5114066099083688
9,valid,auroc,0.4918470986027904
10,train,auroc,0.5184946569369422
10,valid,auroc,0.4958895467304779
11,train,auroc,0.5305421540883758
11,valid,auroc,0.4847973518546563
12,train,auroc,0.5509233714115168
12,valid,auroc,0.4366425341120251
13,train,auroc,0.5568159914226039
13,valid,auroc,0.44722083261261036
14,train,auroc,0.6093305544407609
14,valid,auroc,0.49608297560355913
15,train,auroc,0.598723140825842
15,valid,auroc,0.45414766769278475
16,train,auroc,0.6301282552449176
16,valid,auroc,0.4701412569072769
17,train,auroc,0.6420093422431749
17,valid,auroc,0.4544293776470867
18,train,auroc,0.6147418017804166
18,valid,auroc,0.46784182183442347
19,train,auroc,0.6500040376925025
19,valid,auroc,0.4318715876311746
20,train,auroc,0.6617994523140157
20,valid,auroc,0.48007431400934625
21,train,auroc,0.6652337733946668
21,valid,auroc,0.5044768556432067
22,train,auroc,0.6495573679594184
22,valid,auroc,0.5098720498508194
23,train,auroc,0.6568746890558859
23,valid,auroc,0.44575773518115924
24,train,auroc,0.6734798280611657
24,valid,auroc,0.4638365163567618
25,train,auroc,0.6692336607507614
25,valid,auroc,0.4412440957541106
26,train,auroc,0.6792859559410596
26,valid,auroc,0.45481157013285944
27,train,auroc,0.6932015609667779
27,valid,auroc,0.4614715882053605
28,train,auroc,0.6973742236282422
28,valid,auroc,0.42443893066490007
29,train,auroc,0.7015971967098207
29,valid,auroc,0.4002683960188821
30,train,auroc,0.6765421252844548
30,valid,auroc,0.41847152432717977
31,train,auroc,0.7049213331483368
31,valid,auroc,0.40920111363354167
32,train,auroc,0.6970779386525346
32,valid,auroc,0.4212541727165524
33,train,auroc,0.6512330746424039
33,valid,auroc,0.4660923491882805
34,train,auroc,0.6042429815195844
34,valid,auroc,0.4651603737088892
35,train,auroc,0.6117715742332981
35,valid,auroc,0.4550652885248231
36,train,auroc,0.6048158291433701
