epoch,subset,metric,score
0,train,auroc,0.4875252018235454
0,valid,auroc,0.4755737731980073
1,train,auroc,0.5147004958003498
1,valid,auroc,0.5022883102211549
2,train,auroc,0.5063697813949559
2,valid,auroc,0.48541334565919053
3,train,auroc,0.48598298652683736
3,valid,auroc,0.48834815331050463
4,train,auroc,0.5011962789191688
4,valid,auroc,0.485093954755587
5,train,auroc,0.4956000081782561
5,valid,auroc,0.48843446062771434
6,train,auroc,0.4871019352763036
6,valid,auroc,0.4786451294322665
7,train,auroc,0.49130650406681786
7,valid,auroc,0.47602271479397135
8,train,auroc,0.49686767002896715
8,valid,auroc,0.482630338403634
9,train,auroc,0.5027213918877613
9,valid,auroc,0.4969928808126453
10,train,auroc,0.49641379931562396
10,valid,auroc,0.5047998352086484
11,train,auroc,0.5082557309837221
11,valid,auroc,0.493895147913875
12,train,auroc,0.4974283820721823
12,valid,auroc,0.49175971468702917
13,train,auroc,0.47689824269078
13,valid,auroc,0.4974741203651536
14,train,auroc,0.4888181474732467
14,valid,auroc,0.48159213853383065
15,train,auroc,0.5085400089677923
15,valid,auroc,0.4857535508014558
16,train,auroc,0.48873027301102173
16,valid,auroc,0.4866871411786744
17,train,auroc,0.512381442610952
17,valid,auroc,0.4965521931389092
18,train,auroc,0.4921248922585476
18,valid,auroc,0.4934925000556243
19,train,auroc,0.5039598640506362
19,valid,auroc,0.49228007065357426
20,train,auroc,0.5187356165241408
20,valid,auroc,0.4899982200237282
21,train,auroc,0.5160537496597215
21,valid,auroc,0.49400262833593034
22,train,auroc,0.5027043860013458
22,valid,auroc,0.49640846723228765
23,train,auroc,0.47873683940489553
23,valid,auroc,0.48874003518324066
24,train,auroc,0.5293716733239301
24,valid,auroc,0.48731623359891824
25,train,auroc,0.5054197985037134
25,valid,auroc,0.48778329793716546
26,train,auroc,0.5250474686046904
26,valid,auroc,0.4839016218598312
27,train,auroc,0.49259835671058716
27,valid,auroc,0.48666022621488764
28,train,auroc,0.4947337688297597
28,valid,auroc,0.4881089689989858
29,train,auroc,0.4910749314717428
29,valid,auroc,0.47732988486855094
30,train,auroc,0.5259432030397395
30,valid,auroc,0.5329031843631955
31,train,auroc,0.5164738336308666
31,valid,auroc,0.5284878742705148
32,train,auroc,0.5041148940832246
32,valid,auroc,0.5304296991911874
33,train,auroc,0.4990529103597545
33,valid,auroc,0.5150302129440162
34,train,auroc,0.4994201603529715
34,valid,auroc,0.5175440705617046
35,train,auroc,0.4842155959344808
35,valid,auroc,0.5158602704272015
36,train,auroc,0.48666550443702544
36,valid,auroc,0.5173789921171453
37,train,auroc,0.4886495834554392
37,valid,auroc,0.5092115566394909
38,train,auroc,0.4943950816533297
38,valid,auroc,0.5148204556595709
39,train,auroc,0.496777786364661
39,valid,auroc,0.5090812882147626
40,train,auroc,0.5114121231588797
40,valid,auroc,0.49326085193396574
41,train,auroc,0.5066208995078773
41,valid,auroc,0.48732879391535205
42,train,auroc,0.4982141247484961
42,valid,auroc,0.4856812392654153
43,train,auroc,0.5016077474317897
43,valid,auroc,0.47952471044881956
44,train,auroc,0.4805022850896374
44,valid,auroc,0.47786692811264375
45,train,auroc,0.49233556915197785
45,valid,auroc,0.48006516292165885
46,train,auroc,0.4892823695957125
46,valid,auroc,0.47437856937278083
47,train,auroc,0.4954622572835665
47,valid,auroc,0.47746015329327907
48,train,auroc,0.5000356512817294
48,valid,auroc,0.47156416132613976
49,train,auroc,0.5020702336036573
49,valid,auroc,0.48218067907530243
50,train,auroc,0.4933351230769686
50,valid,auroc,0.4916159887804076
51,train,auroc,0.5024787927916644
51,valid,auroc,0.46926131702453994
52,train,auroc,0.49056194199636116
52,valid,auroc,0.46610652440254163
53,train,auroc,0.5076341481542537
53,valid,auroc,0.46302655537987064
54,train,auroc,0.49259975511523557
54,valid,auroc,0.463682921630085
55,train,auroc,0.48929458554436644
55,valid,auroc,0.4625300640145499
56,train,auroc,0.5011922926622396
56,valid,auroc,0.4688871990279033
57,train,auroc,0.4788685466197248
57,valid,auroc,0.4668145673832268
58,train,auroc,0.4737526841332444
58,valid,auroc,0.4632460020512791
59,train,auroc,0.5043477525676316
59,valid,auroc,0.45998301127485774
60,train,auroc,0.4740390195402457
60,valid,auroc,0.4611268972357974
61,train,auroc,0.5071068692336704
61,valid,auroc,0.45875245913052465
62,train,auroc,0.5315686473948718
62,valid,auroc,0.46191101984745314
63,train,auroc,0.5155950890086166
63,valid,auroc,0.4637084011291365
64,train,auroc,0.4804501583508418
64,valid,auroc,0.4619183766042216
65,train,auroc,0.48778397097799214
65,valid,auroc,0.46044505148653136
66,train,auroc,0.49820010855477737
66,valid,auroc,0.459529404418504
67,train,auroc,0.5244947772961837
67,valid,auroc,0.4958951091563272
68,train,auroc,0.5249165650706937
68,valid,auroc,0.5355765579995938
69,train,auroc,0.47256709416914766
69,valid,auroc,0.5295881579901198
70,train,auroc,0.5031271542664715
70,valid,auroc,0.5250149467765562
71,train,auroc,0.5052344536301234
71,valid,auroc,0.528517839596864
72,train,auroc,0.48491426782940206
72,valid,auroc,0.5140322060868011
73,train,auroc,0.4892227686251747
73,valid,auroc,0.537270226954152
74,train,auroc,0.4757266528467854
74,valid,auroc,0.5319984827137748
75,train,auroc,0.5005393180594542
75,valid,auroc,0.5343917612936984
76,train,auroc,0.5067325307755108
76,valid,auroc,0.5357102356530683
77,train,auroc,0.49799099080216225
77,valid,auroc,0.5328118529194124
78,train,auroc,0.5037669806508375
78,valid,auroc,0.5339081891109951
79,train,auroc,0.5081382328460113
79,valid,auroc,0.530397580667735
80,train,auroc,0.4793258410134145
80,valid,auroc,0.5237391774930614
81,train,auroc,0.49662365645460504
81,valid,auroc,0.4632198048198599
82,train,auroc,0.49538891337079305
82,valid,auroc,0.4687065099043478
83,train,auroc,0.506015068822726
83,valid,auroc,0.47003431478449725
84,train,auroc,0.4670199283271005
84,valid,auroc,0.44448142759838855
85,train,auroc,0.49708874655237
85,valid,auroc,0.4632501290123931
86,train,auroc,0.503443049054492
86,valid,auroc,0.44774782760355625
87,train,auroc,0.48659609856033115
87,valid,auroc,0.4689473091136939
88,train,auroc,0.4744913793336239
88,valid,auroc,0.4579846649302328
89,train,auroc,0.5101340777518129
89,valid,auroc,0.46402276790616653
90,train,auroc,0.5021320848805261
90,valid,auroc,0.4788895173034508
91,train,auroc,0.49319753291844537
91,valid,auroc,0.4683413635623067
92,train,auroc,0.5091107509477969
92,valid,auroc,0.46047824660853515
93,train,auroc,0.5172360766796382
93,valid,auroc,0.4904521857462658
94,train,auroc,0.5036682886446071
94,valid,auroc,0.4547356699349806
95,train,auroc,0.5096314236119371
95,valid,auroc,0.44511428811356246
96,train,auroc,0.47554347791144314
96,valid,auroc,0.4444340572621237
97,train,auroc,0.48907068006443327
97,valid,auroc,0.4475174355135411
98,train,auroc,0.5113900380096027
98,valid,auroc,0.47155267760825736
99,train,auroc,0.4920270682276163
99,valid,auroc,0.46273784753498415
100,train,auroc,0.4843115714994974
100,valid,auroc,0.45406835826615954
101,train,auroc,0.4898563102254306
101,valid,auroc,0.45281071172494775
102,train,auroc,0.5119568901743782
102,valid,auroc,0.46225248102136185
103,train,auroc,0.5142188177302022
103,valid,auroc,0.465993481554637
104,train,auroc,0.5297931235524904
104,valid,auroc,0.4736719618568311
105,train,auroc,0.4967373290715531
105,valid,auroc,0.4788416086679102
106,train,auroc,0.503942986753154
106,valid,auroc,0.4727570325211713
107,train,auroc,0.5041400975141316
107,valid,auroc,0.46401487285012244
108,train,auroc,0.5089156654625171
108,valid,auroc,0.45844293704697625
109,train,auroc,0.4979983685922045
109,valid,auroc,0.44869936128996596
110,train,auroc,0.4811681025121263
110,valid,auroc,0.4476916650457877
111,train,auroc,0.5003394587100292
111,valid,auroc,0.48993739220557
112,train,auroc,0.5028720498966209
112,valid,auroc,0.4726220988360534
113,train,auroc,0.4976942396915718
113,valid,auroc,0.49039315225902674
114,train,auroc,0.5012339394029796
114,valid,auroc,0.48095676595537
115,train,auroc,0.4845025260652982
115,valid,auroc,0.4703169219042588
116,train,auroc,0.482624291812524
116,valid,auroc,0.4550030252419297
117,train,auroc,0.49713711206486955
117,valid,auroc,0.46304144832649935
118,train,auroc,0.5032962487136285
118,valid,auroc,0.4877425666253014
119,train,auroc,0.5093114782725208
119,valid,auroc,0.4669721096379255
120,train,auroc,0.4994556348249177
120,valid,auroc,0.47187637490606676
121,train,auroc,0.5090256411476357
121,valid,auroc,0.4771981809790874
122,train,auroc,0.48255403403414726
122,valid,auroc,0.4979765330225074
123,train,auroc,0.4969714252244424
123,valid,auroc,0.4873975167895544
124,train,auroc,0.4953097347351756
124,valid,auroc,0.47768408579198546
125,train,auroc,0.5110195893666725
125,valid,auroc,0.48162479535655867
126,train,auroc,0.4968234193623301
126,valid,auroc,0.5179447446559442
127,train,auroc,0.48681786624924983
127,valid,auroc,0.520074077157665
128,train,auroc,0.48993468518021543
128,valid,auroc,0.4931960765877855
129,train,auroc,0.5004793795429666
129,valid,auroc,0.4880282241076255
130,train,auroc,0.5109284680338841
130,valid,auroc,0.5018709488493673
131,train,auroc,0.5117601973274333
131,valid,auroc,0.4769774782760355
132,train,auroc,0.48733151474291403
132,valid,auroc,0.4748956955436715
133,train,auroc,0.4857137052271016
133,valid,auroc,0.46238490264319293
134,train,auroc,0.4647355941496665
134,valid,auroc,0.46994639256946036
135,train,auroc,0.49479738820446006
135,valid,auroc,0.4865304960894352
136,train,auroc,0.47862744236997634
136,valid,auroc,0.5047795592692623
137,train,auroc,0.5140606051215172
137,valid,auroc,0.49064615291862285
138,train,auroc,0.4820597221013129
138,valid,auroc,0.47884717109375957
139,train,auroc,0.48440582718753245
139,valid,auroc,0.5001832011868422
140,train,auroc,0.4917216534376515
140,valid,auroc,0.48811148106227265
141,train,auroc,0.5069612744140556
141,valid,auroc,0.47875924887872257
142,train,auroc,0.4954243717691227
142,valid,auroc,0.4664373990240275
143,train,auroc,0.5065250525317939
143,valid,auroc,0.5031129847115828
144,train,auroc,0.49550482022045544
144,valid,auroc,0.5015843942015837
145,train,auroc,0.49403498441952187
145,valid,auroc,0.48018089726594215
146,train,auroc,0.5068711817927329
146,valid,auroc,0.5159110499922127
147,train,auroc,0.5130248051909809
147,valid,auroc,0.5161211661428416
148,train,auroc,0.5104783103259871
148,valid,auroc,0.5000163284113639
149,train,auroc,0.48841047233415524
149,valid,auroc,0.52474597657178
150,train,auroc,0.5107535067166501
150,valid,auroc,0.4937508837079777
151,train,auroc,0.5016056578616253
151,valid,auroc,0.5268898431539457
152,train,auroc,0.5004295352577353
152,valid,auroc,0.5002497708639416
153,train,auroc,0.5029306060820765
153,valid,auroc,0.4903350159372472
154,train,auroc,0.5122288396944779
154,valid,auroc,0.48554128145372377
155,train,auroc,0.48343236074236445
155,valid,auroc,0.5022726995421585
156,train,auroc,0.5151590600097549
156,valid,auroc,0.48922719602778203
157,train,auroc,0.4946779933799845
157,valid,auroc,0.5041479547857318
158,train,auroc,0.49966105564570357
158,valid,auroc,0.5112741400310203
159,train,auroc,0.5169002988278218
159,valid,auroc,0.5146198494628131
160,train,auroc,0.47965219972587414
160,valid,auroc,0.4853731526466022
161,train,auroc,0.5045700667595165
161,valid,auroc,0.4762538246163541
162,train,auroc,0.49560695198064897
162,valid,auroc,0.5165166366774159
163,train,auroc,0.5019575736245581
163,valid,auroc,0.4895516110579591
164,train,auroc,0.5044916114366482
164,valid,auroc,0.5054901143132342
165,train,auroc,0.5012788008670495
165,valid,auroc,0.514397531861934
166,train,auroc,0.5116878499788922
166,valid,auroc,0.49567207382308043
167,train,auroc,0.4942865365200929
167,valid,auroc,0.525944051326477
168,train,auroc,0.49571599539600186
168,valid,auroc,0.5118508379884258
169,train,auroc,0.4821483359499038
169,valid,auroc,0.5076878108229734
170,train,auroc,0.4908162909062292
170,valid,auroc,0.49311515226333313
171,train,auroc,0.5094238971473702
171,valid,auroc,0.5156942948171828
172,train,auroc,0.5108705226458613
172,valid,auroc,0.5243548124314117
173,train,auroc,0.48817309716346957
173,valid,auroc,0.5255161034022667
174,train,auroc,0.5067398281974699
174,valid,auroc,0.5172395726047296
175,train,auroc,0.4796540964126388
175,valid,auroc,0.5310946782298136
176,train,auroc,0.5109932447089833
176,valid,auroc,0.5453249784500858
177,train,auroc,0.48380150742234607
177,valid,auroc,0.5514983739773212
178,train,auroc,0.4845519202892633
178,valid,auroc,0.5472978452956591
179,train,auroc,0.4987570754453131
179,valid,auroc,0.501134734873252
180,train,auroc,0.5058734120391903
180,valid,auroc,0.5037264664528303
181,train,auroc,0.5036418636188346
181,valid,auroc,0.515220232588351
182,train,auroc,0.48760672720719367
182,valid,auroc,0.4928242912213437
183,train,auroc,0.4844188950378688
183,valid,auroc,0.5168711964670342
184,train,auroc,0.49214450207086047
184,valid,auroc,0.4566547068529804
185,train,auroc,0.5106773177737295
185,valid,auroc,0.4906520742106558
186,train,auroc,0.5096734561194766
186,valid,auroc,0.49185445535955874
187,train,auroc,0.5139101078488242
187,valid,auroc,0.5348082255000263
188,train,auroc,0.5061936306300896
188,valid,auroc,0.5476703483944686
189,train,auroc,0.4931612226184333
189,valid,auroc,0.5333980608306891
190,train,auroc,0.49091360058142774
190,valid,auroc,0.47974864294752584
