epoch,subset,metric,score
0,train,auroc,0.5234148713615601
0,valid,auroc,0.4849773232458442
1,train,auroc,0.49371875208555177
1,valid,auroc,0.4741707858523467
2,train,auroc,0.4864442028829896
2,valid,auroc,0.47356771123043007
3,train,auroc,0.5088104957887767
3,valid,auroc,0.470143051238196
4,train,auroc,0.5029693917190527
4,valid,auroc,0.46224476539840964
5,train,auroc,0.501476795676943
5,valid,auroc,0.4663024653389096
6,train,auroc,0.5020117256390517
6,valid,auroc,0.4612618309209152
7,train,auroc,0.5418002598525162
7,valid,auroc,0.4512623835748383
8,train,auroc,0.5724247108581395
8,valid,auroc,0.45927478886108075
9,train,auroc,0.5777742515834763
9,valid,auroc,0.4748576557281861
10,train,auroc,0.6074591675486796
10,valid,auroc,0.4613531623646985
11,train,auroc,0.6029679900996809
11,valid,auroc,0.47967866404168014
12,train,auroc,0.6244902413215649
12,valid,auroc,0.49840986393947506
13,train,auroc,0.6285534908744934
13,valid,auroc,0.5164739316015408
14,train,auroc,0.6397567052377744
14,valid,auroc,0.519994588297948
15,train,auroc,0.6380183114498543
15,valid,auroc,0.5610953528982392
16,train,auroc,0.6330094028085623
16,valid,auroc,0.4823628036635931
17,train,auroc,0.6516728166467118
17,valid,auroc,0.547650969620542
18,train,auroc,0.6561564394958851
18,valid,auroc,0.5134228513066676
19,train,auroc,0.6429254258769026
19,valid,auroc,0.5096183314588556
20,train,auroc,0.622220100147633
20,valid,auroc,0.5154987127469985
21,train,auroc,0.6559708856652786
21,valid,auroc,0.5582438022015723
22,train,auroc,0.6609168178765363
22,valid,auroc,0.5604903045123116
23,train,auroc,0.6626256844306706
23,valid,auroc,0.5212529525715275
24,train,auroc,0.6811556872506258
24,valid,auroc,0.5612577398464196
25,train,auroc,0.6635082867209167
25,valid,auroc,0.5422860996054625
26,train,auroc,0.6732515666311203
26,valid,auroc,0.5339740410557269
27,train,auroc,0.6639279849252622
27,valid,auroc,0.5641527133513293
28,train,auroc,0.6936486807611282
28,valid,auroc,0.5443106431815067
29,train,auroc,0.6909277550082497
29,valid,auroc,0.5245905875141842
30,train,auroc,0.6861903297521743
30,valid,auroc,0.5391923142347143
31,train,auroc,0.6284574027941604
31,valid,auroc,0.526393531221717
32,train,auroc,0.6201560870336191
32,valid,auroc,0.501589956627433
33,train,auroc,0.6295780071261414
33,valid,auroc,0.49544168173306524
34,train,auroc,0.6350594318760907
34,valid,auroc,0.48579194948312504
35,train,auroc,0.6054513960193237
35,valid,auroc,0.4933904026263263
36,train,auroc,0.6145005207208849
36,valid,auroc,0.480975068130745
37,train,auroc,0.6347112773394539
37,valid,auroc,0.49451508924643117
38,train,auroc,0.653987304928981
38,valid,auroc,0.49506020697966013
39,train,auroc,0.6597333335562208
39,valid,auroc,0.49853726143473265
40,train,auroc,0.6464735642370517
40,valid,auroc,0.5043614801651072
41,train,auroc,0.59541414573421
41,valid,auroc,0.4574348819366142
42,train,auroc,0.6257830262350998
42,valid,auroc,0.46640456276820763
43,train,auroc,0.661405889810343
43,valid,auroc,0.48915021923135177
44,train,auroc,0.6106006112603528
44,valid,auroc,0.46788291201247134
45,train,auroc,0.644137939148888
45,valid,auroc,0.47850517162057504
46,train,auroc,0.6590058416666463
46,valid,auroc,0.4947487111321007
47,train,auroc,0.560712412908323
47,valid,auroc,0.48058408342346853
48,train,auroc,0.5960029062384793
48,valid,auroc,0.4791507718852748
49,train,auroc,0.6049865630994253
49,valid,auroc,0.4979200115985551
50,train,auroc,0.6199114305145911
50,valid,auroc,0.47359498506040076
51,train,auroc,0.6275796225889092
51,valid,auroc,0.5140790381237901
52,train,auroc,0.6076264135299219
52,valid,auroc,0.5141366361462939
53,train,auroc,0.6332059509929573
53,valid,auroc,0.46930958452626437
54,train,auroc,0.6201742341468169
54,valid,auroc,0.47197578083898606
55,train,auroc,0.6358776754052706
55,valid,auroc,0.49742800606053217
56,train,auroc,0.6343089064938567
56,valid,auroc,0.5100923936876873
57,train,auroc,0.5988232151631041
57,valid,auroc,0.5039780316476911
58,train,auroc,0.6379751859363827
58,valid,auroc,0.5096493733837565
59,train,auroc,0.6157042417245628
59,valid,auroc,0.5156004513101129
60,train,auroc,0.6006643836558837
60,valid,auroc,0.5211058174361595
61,train,auroc,0.5891685491014912
61,valid,auroc,0.5001745883984304
62,train,auroc,0.5942627443527277
62,valid,auroc,0.5043239786488976
63,train,auroc,0.5869077306252161
63,valid,auroc,0.5018784850392277
64,train,auroc,0.6159498787342066
64,valid,auroc,0.5117700930970654
65,train,auroc,0.605521814533867
65,valid,auroc,0.5586475266583745
66,train,auroc,0.6262912900671864
66,valid,auroc,0.5379147506203001
67,train,auroc,0.6257500913945843
67,valid,auroc,0.4783903344417514
68,train,auroc,0.590512898177239
68,valid,auroc,0.553572261653641
69,train,auroc,0.6030092671472378
69,valid,auroc,0.5333277230586596
70,train,auroc,0.5835951832643047
70,valid,auroc,0.5137112002853704
71,train,auroc,0.570887430161743
71,valid,auroc,0.48572035567945204
72,train,auroc,0.5725137426207633
72,valid,auroc,0.5031099343490203
73,train,auroc,0.5741091776621992
73,valid,auroc,0.48803199220255555
