epoch,subset,metric,score
0,train,auroc,0.5149137605460606
0,valid,auroc,0.4837132171133235
1,train,auroc,0.5042996442329986
1,valid,auroc,0.4640749829359129
2,train,auroc,0.5052510737497394
2,valid,auroc,0.46731913323768354
3,train,auroc,0.49518591966612135
3,valid,auroc,0.4377517894862256
4,train,auroc,0.49437322153468577
4,valid,auroc,0.4446156435511388
5,train,auroc,0.49176386275497413
5,valid,auroc,0.4764865493365641
6,train,auroc,0.5123723449439282
6,valid,auroc,0.45326449801439345
7,train,auroc,0.5019948644151859
7,valid,auroc,0.45002644843774786
8,train,auroc,0.49944160255758246
8,valid,auroc,0.4364473109080247
9,train,auroc,0.5183872530304875
9,valid,auroc,0.43999631803295397
10,train,auroc,0.5049970302385878
10,valid,auroc,0.45715478688013944
11,train,auroc,0.47834647555093607
11,valid,auroc,0.4493148167952245
12,train,auroc,0.4967283117726127
12,valid,auroc,0.4360374857260976
13,train,auroc,0.5043921157495853
13,valid,auroc,0.438483876501227
14,train,auroc,0.5019268247959069
14,valid,auroc,0.4371711440007981
15,train,auroc,0.4976923590784237
15,valid,auroc,0.43944689390551916
16,train,auroc,0.49398666712787237
16,valid,auroc,0.4363389333205099
17,train,auroc,0.4866302228484789
17,valid,auroc,0.4319185991012555
18,train,auroc,0.505415137154885
18,valid,auroc,0.43378829191897944
19,train,auroc,0.5239864652432471
19,valid,auroc,0.48555653326653636
20,train,auroc,0.5244822880960467
20,valid,auroc,0.4675645977074193
21,train,auroc,0.5693648889718146
21,valid,auroc,0.46653196026346516
22,train,auroc,0.5867200229299786
22,valid,auroc,0.4826314150021855
23,train,auroc,0.5517775555475259
23,valid,auroc,0.47901655593252457
24,train,auroc,0.5558439555293178
24,valid,auroc,0.4926965348599023
25,train,auroc,0.5549731030528426
25,valid,auroc,0.4799453016162615
26,train,auroc,0.5793815971748497
26,valid,auroc,0.4911261364394876
27,train,auroc,0.5920238181423297
27,valid,auroc,0.4867910329388916
28,train,auroc,0.6006201169156298
28,valid,auroc,0.5168604304815194
29,train,auroc,0.5807299325075267
29,valid,auroc,0.465083217479367
30,train,auroc,0.5630246187370278
30,valid,auroc,0.4825237551470382
31,train,auroc,0.546735036973819
31,valid,auroc,0.4786813749168327
32,train,auroc,0.5558578270604866
32,valid,auroc,0.4777612420215076
33,train,auroc,0.5347704796842988
33,valid,auroc,0.49641420909122885
34,train,auroc,0.5302535844486601
34,valid,auroc,0.4752638922482751
35,train,auroc,0.5502234297008802
35,valid,auroc,0.4630898952613156
36,train,auroc,0.5604617930775178
36,valid,auroc,0.4747996988394986
37,train,auroc,0.5842721397031319
37,valid,auroc,0.47166751478708113
38,train,auroc,0.6138344300469131
38,valid,auroc,0.4781595834855524
39,train,auroc,0.5789193681808485
39,valid,auroc,0.5058410854410142
40,train,auroc,0.5491622173824205
40,valid,auroc,0.4475674973461846
41,train,auroc,0.5483930626784895
41,valid,auroc,0.443880326740483
42,train,auroc,0.5646552228516937
42,valid,auroc,0.4342973436007341
43,train,auroc,0.5756826722169079
43,valid,auroc,0.41329757112189464
44,train,auroc,0.5740366052830249
44,valid,auroc,0.41910079618051543
45,train,auroc,0.5829761400662671
45,valid,auroc,0.43210359461901693
46,train,auroc,0.5810996256904744
46,valid,auroc,0.4346475969961465
47,train,auroc,0.5930176659334097
47,valid,auroc,0.5036781989511059
48,train,auroc,0.5786014641907468
48,valid,auroc,0.466683401793039
49,train,auroc,0.603019039906161
49,valid,auroc,0.4959435560911434
50,train,auroc,0.5701580898062537
50,valid,auroc,0.508942048135439
51,train,auroc,0.5969434217695149
51,valid,auroc,0.48207804334672855
52,train,auroc,0.5734130132514753
52,valid,auroc,0.4765787779458069
53,train,auroc,0.5812951451634037
53,valid,auroc,0.4650785522189773
54,train,auroc,0.5934834311230739
54,valid,auroc,0.46031137383305687
55,train,auroc,0.5626146932916054
55,valid,auroc,0.4962887853599823
56,train,auroc,0.5867092375332066
56,valid,auroc,0.49305342727971535
57,train,auroc,0.5950513320591885
57,valid,auroc,0.4764888819667589
58,train,auroc,0.5724363320829774
58,valid,auroc,0.46586375142918457
59,train,auroc,0.5584121497767889
59,valid,auroc,0.4427712507993744
60,train,auroc,0.5814632430463285
60,valid,auroc,0.4669521925647233
61,train,auroc,0.5899721977867529
61,valid,auroc,0.47104075499703213
62,train,auroc,0.5716557811848415
62,valid,auroc,0.43498529007512504
63,train,auroc,0.586527541370596
63,valid,auroc,0.4443132987912669
64,train,auroc,0.5740808880968954
64,valid,auroc,0.45882584726511666
65,train,auroc,0.6001311414235233
65,valid,auroc,0.4789801310148664
66,train,auroc,0.5929346296297964
66,valid,auroc,0.432264546102462
67,train,auroc,0.6011846544796077
67,valid,auroc,0.43736403457460366
68,train,auroc,0.5855052432780457
68,valid,auroc,0.43475741004839674
69,train,auroc,0.5578704688956873
69,valid,auroc,0.4316995112960309
70,train,auroc,0.5746603419771242
70,valid,auroc,0.42323744668145674
71,train,auroc,0.544461166720824
71,valid,auroc,0.43831449166246195
72,train,auroc,0.5608730204858887
72,valid,auroc,0.4402663648362817
73,train,auroc,0.5329239908244081
73,valid,auroc,0.44509060294543
74,train,auroc,0.523120258041984
74,valid,auroc,0.4407066936438339
75,train,auroc,0.5411495355560616
75,valid,auroc,0.4685827010709284
76,train,auroc,0.5148650574876115
76,valid,auroc,0.46606166612956357
77,train,auroc,0.5250585754737955
77,valid,auroc,0.4890596055199361
