epoch,subset,metric,score
0,train,auroc,0.4960597779089099
0,valid,auroc,0.49894547171883263
1,train,auroc,0.48841540693446683
1,valid,auroc,0.48506058020049136
2,train,auroc,0.4883347495261176
2,valid,auroc,0.4800475784786514
3,train,auroc,0.5133796463521442
3,valid,auroc,0.47512859969697335
4,train,auroc,0.483811199813186
4,valid,auroc,0.4712318512399185
5,train,auroc,0.5157081347545154
5,valid,auroc,0.46159701193660707
6,train,auroc,0.49630723123723514
6,valid,auroc,0.4559497142348578
7,train,auroc,0.5184181143744553
7,valid,auroc,0.45569276604723974
8,train,auroc,0.5639465853144494
8,valid,auroc,0.4403478274600098
9,train,auroc,0.5766293278695038
9,valid,auroc,0.4368813595573601
10,train,auroc,0.60041860198369
10,valid,auroc,0.44268996760873824
11,train,auroc,0.59057262773671
11,valid,auroc,0.4517005591852876
12,train,auroc,0.6073774492816315
12,valid,auroc,0.4365790147974882
13,train,auroc,0.618579265240264
13,valid,auroc,0.41253300671725723
14,train,auroc,0.6153984893886484
14,valid,auroc,0.47868209264920036
15,train,auroc,0.635604247112439
15,valid,auroc,0.4230822370569528
16,train,auroc,0.6550181863328224
16,valid,auroc,0.5174710412932964
17,train,auroc,0.6296207950936635
17,valid,auroc,0.3998271700458703
18,train,auroc,0.6297283758099014
18,valid,auroc,0.42655552341709513
19,train,auroc,0.6674518842715031
19,valid,auroc,0.4321079010132228
20,train,auroc,0.6701881924755156
20,valid,auroc,0.38455041603356693
21,train,auroc,0.6659249067633792
21,valid,auroc,0.4493973560175041
22,train,auroc,0.6255769463960315
22,valid,auroc,0.4451787045935589
23,train,auroc,0.6364487549312249
23,valid,auroc,0.45400322405379545
24,train,auroc,0.6297580477062371
24,valid,auroc,0.44058198764495504
25,train,auroc,0.6727015756902108
25,valid,auroc,0.38543950700399127
26,train,auroc,0.6534344528843077
26,valid,auroc,0.4526709333463482
27,train,auroc,0.6411044779938687
27,valid,auroc,0.40982841172286627
28,train,auroc,0.6768255513668425
28,valid,auroc,0.36499238844824106
29,train,auroc,0.6892877156806103
29,valid,auroc,0.3695169732938963
30,train,auroc,0.6853118262341741
30,valid,auroc,0.35685599489548736
31,train,auroc,0.6845795283332212
31,valid,auroc,0.3683576560870523
32,train,auroc,0.690001657511349
32,valid,auroc,0.35514097340299167
33,train,auroc,0.6888823069214666
33,valid,auroc,0.372130236844504
34,train,auroc,0.6612311213765085
34,valid,auroc,0.3828709222932698
35,train,auroc,0.6903131320547906
35,valid,auroc,0.38692844280067784
36,train,auroc,0.6832348577851405
36,valid,auroc,0.3775126913025909
37,train,auroc,0.691251959856078
37,valid,auroc,0.3766074513538944
38,train,auroc,0.6827571177510721
38,valid,auroc,0.37510828787096895
39,train,auroc,0.6971428278429502
39,valid,auroc,0.35511746766795116
40,train,auroc,0.6983614490892625
40,valid,auroc,0.3597251300351617
41,train,auroc,0.7006123179968313
41,valid,auroc,0.3542721583719533
42,train,auroc,0.6770884675143849
42,valid,auroc,0.35996592924450765
43,train,auroc,0.662097312504155
43,valid,auroc,0.3909211879619056
44,train,auroc,0.6839000161893468
44,valid,auroc,0.3617683346527647
45,train,auroc,0.7015959429677221
45,valid,auroc,0.37854658477818837
46,train,auroc,0.6789077598149039
46,valid,auroc,0.38942651030627795
47,train,auroc,0.7090049318999438
47,valid,auroc,0.3793879465461642
48,train,auroc,0.7069594195186941
48,valid,auroc,0.3737566183895952
49,train,auroc,0.704462431392982
49,valid,auroc,0.3670494094139213
50,train,auroc,0.7113257692607898
50,valid,auroc,0.36449643538219606
51,train,auroc,0.706630424733104
51,valid,auroc,0.40616044045799937
52,train,auroc,0.723775058607621
52,valid,auroc,0.3978620188232491
53,train,auroc,0.7116951891922545
53,valid,auroc,0.39316230727988766
54,train,auroc,0.7129912370499694
54,valid,auroc,0.3948116562607436
55,train,auroc,0.7096096052846965
55,valid,auroc,0.3581335585099015
56,train,auroc,0.7122307299517958
56,valid,auroc,0.40462251942722083
57,train,auroc,0.7080699135458026
57,valid,auroc,0.390334621184445
58,train,auroc,0.7047686980846293
58,valid,auroc,0.37678634614653084
59,train,auroc,0.7196240953286341
59,valid,auroc,0.4048984875225816
60,train,auroc,0.7095017673905923
60,valid,auroc,0.39618880524116884
61,train,auroc,0.715385080777639
61,valid,auroc,0.4403076344474215
62,train,auroc,0.6922797551255229
62,valid,auroc,0.43079301531569103
63,train,auroc,0.6980109478045948
63,valid,auroc,0.3689659342686343
64,train,auroc,0.7077117290723761
64,valid,auroc,0.37958944990838145
65,train,auroc,0.7094838131607943
65,valid,auroc,0.3925588737917873
66,train,auroc,0.6998873496650708
66,valid,auroc,0.4190087470043645
67,train,auroc,0.6980244174953474
67,valid,auroc,0.3555561815776762
68,train,auroc,0.6934145524610057
68,valid,auroc,0.4747446128802815
69,train,auroc,0.6765373674939265
69,valid,auroc,0.3967671180964015
70,train,auroc,0.7032266435240877
70,valid,auroc,0.40875468410086435
71,train,auroc,0.7027702331793138
71,valid,auroc,0.3969871030670858
72,train,auroc,0.7075448367107002
72,valid,auroc,0.4263866768776059
73,train,auroc,0.6920298586074667
73,valid,auroc,0.4230407880127211
74,train,auroc,0.6909969358543108
74,valid,auroc,0.4571757805518931
75,train,auroc,0.707056295206243
75,valid,auroc,0.4226690026462792
76,train,auroc,0.683217160733209
76,valid,auroc,0.4334486250759899
77,train,auroc,0.6891209679814843
77,valid,auroc,0.3815357606563519
78,train,auroc,0.6860591208194613
78,valid,auroc,0.3787690818121594
79,train,auroc,0.7004812376530513
79,valid,auroc,0.40494926708759277
80,train,auroc,0.6919831647510988
80,valid,auroc,0.4364632804532049
81,train,auroc,0.6954356811657976
81,valid,auroc,0.39565786272220094
82,train,auroc,0.7041792142676109
82,valid,auroc,0.4003841303631654
83,train,auroc,0.6981566551395261
83,valid,auroc,0.40538098310673326
84,train,auroc,0.7052472096522968
84,valid,auroc,0.3940095903398965
85,train,auroc,0.7098922919807183
85,valid,auroc,0.40608920552051025
86,train,auroc,0.6641577090544225
86,valid,auroc,0.37522312504979266
87,train,auroc,0.6203919834315732
87,valid,auroc,0.3569674228455648
88,train,auroc,0.635949411956379
88,valid,auroc,0.4351134053027502
89,train,auroc,0.6192153143247171
89,valid,auroc,0.4193304705381629
90,train,auroc,0.6203755722689736
90,valid,auroc,0.41861668569853655
91,train,auroc,0.6361495284836703
91,valid,auroc,0.412878415419188
92,train,auroc,0.6429349575315759
92,valid,auroc,0.41349817731865235
93,train,auroc,0.6425241641108544
93,valid,auroc,0.40938628858439496
94,train,auroc,0.646095737804079
94,valid,auroc,0.41437416967336715
95,train,auroc,0.6432296029983853
95,valid,auroc,0.4249998385102173
96,train,auroc,0.6320337664251466
96,valid,auroc,0.4265156892706906
97,train,auroc,0.6357691302720339
97,valid,auroc,0.4293457079963281
98,train,auroc,0.6401628373096675
98,valid,auroc,0.41522988608869593
99,train,auroc,0.6419128041015755
99,valid,auroc,0.42307039447288664
100,train,auroc,0.6507445652851801
100,valid,auroc,0.4381793785442522
101,train,auroc,0.6392806047126044
101,valid,auroc,0.41253444218199253
102,train,auroc,0.6566937483532579
102,valid,auroc,0.42361300014282877
103,train,auroc,0.6553077525367703
103,valid,auroc,0.4072006140918138
104,train,auroc,0.6482306355675189
104,valid,auroc,0.40336074592489507
105,train,auroc,0.6546658687294733
105,valid,auroc,0.407414498337373
106,train,auroc,0.6331602215535883
106,valid,auroc,0.41505278562697867
107,train,auroc,0.639224797115596
107,valid,auroc,0.44692943327134516
108,train,auroc,0.6441845365635559
108,valid,auroc,0.4323212469595063
109,train,auroc,0.6431374047332814
109,valid,auroc,0.4163994309817789
110,train,auroc,0.6395916613420133
110,valid,auroc,0.4127648342720077
111,train,auroc,0.6433725617448696
111,valid,auroc,0.42211634872319004
112,train,auroc,0.6472593712078321
112,valid,auroc,0.4239194718638146
113,train,auroc,0.6459634197918172
113,valid,auroc,0.43212243509366766
114,train,auroc,0.6565472694847274
114,valid,auroc,0.431143986443471
