epoch,subset,metric,score
0,train,auroc,0.4916739951642846
0,valid,auroc,0.48793940472712893
1,train,auroc,0.5008731510036559
1,valid,auroc,0.46659835050747267
2,train,auroc,0.4911512490035965
2,valid,auroc,0.4651427892658818
3,train,auroc,0.504736380470993
3,valid,auroc,0.4701825265184167
4,train,auroc,0.5359152587357213
4,valid,auroc,0.46511748919992224
5,train,auroc,0.5843402596904941
5,valid,auroc,0.44891486043335244
6,train,auroc,0.5982026288978681
6,valid,auroc,0.4661892430579131
7,train,auroc,0.6276428240495767
7,valid,auroc,0.46367448827476515
8,train,auroc,0.6451896037390576
8,valid,auroc,0.47019060100755267
9,train,auroc,0.6377925253567732
9,valid,auroc,0.44374844341792763
10,train,auroc,0.6483298740767154
10,valid,auroc,0.42000585669612006
11,train,auroc,0.6396403161796125
11,valid,auroc,0.4249833306657613
12,train,auroc,0.6562083412040476
12,valid,auroc,0.4165625356623271
13,train,auroc,0.6772387236828281
13,valid,auroc,0.3651154795492928
14,train,auroc,0.686399334989473
14,valid,auroc,0.3737384956473121
15,train,auroc,0.6968353556300542
15,valid,auroc,0.38254668669618463
16,train,auroc,0.7062385821064128
16,valid,auroc,0.4510431163365217
17,train,auroc,0.7071784064719324
17,valid,auroc,0.37321490988511263
18,train,auroc,0.7143293817096902
18,valid,auroc,0.4354521749802803
19,train,auroc,0.7263773932168567
19,valid,auroc,0.4039884028804035
20,train,auroc,0.7113660979649643
20,valid,auroc,0.39025477345854415
21,train,auroc,0.7411994055590796
21,valid,auroc,0.4050242701200121
22,train,auroc,0.7571551222308534
22,valid,auroc,0.3912197646268474
23,train,auroc,0.7474730828000857
23,valid,auroc,0.3913731799204322
24,train,auroc,0.7402697557928992
24,valid,auroc,0.393153335625292
25,train,auroc,0.7475367825428693
25,valid,auroc,0.4105796980787022
26,train,auroc,0.7635357854642812
26,valid,auroc,0.4116277667685607
27,train,auroc,0.7712138628128392
27,valid,auroc,0.4015561873195352
28,train,auroc,0.7758873150746478
28,valid,auroc,0.42095093079122103
29,train,auroc,0.766491080621532
29,valid,auroc,0.4730748085269476
30,train,auroc,0.7895665414939129
30,valid,auroc,0.434632345183334
31,train,auroc,0.7999050113550459
31,valid,auroc,0.4097037057239874
32,train,auroc,0.8000698462937905
32,valid,auroc,0.4454548521220116
33,train,auroc,0.8206625602648108
33,valid,auroc,0.440461588040282
34,train,auroc,0.8141611841703422
34,valid,auroc,0.4547118053337563
35,train,auroc,0.8241421928707979
35,valid,auroc,0.4634598862968383
