epoch,subset,metric,score
0,train,auroc,0.502793723162686
0,valid,auroc,0.5035533135191351
1,train,auroc,0.5055196638839593
1,valid,auroc,0.4860587664907983
2,train,auroc,0.5182368521994944
2,valid,auroc,0.48229749001813704
3,train,auroc,0.5194053880563255
3,valid,auroc,0.4711654609959111
4,train,auroc,0.5372850362730092
4,valid,auroc,0.4670166090447198
5,train,auroc,0.5506758537887251
5,valid,auroc,0.46431829420854576
6,train,auroc,0.5353870636189889
6,valid,auroc,0.46586052163353014
7,train,auroc,0.5673059711942787
7,valid,auroc,0.4604357209657519
8,train,auroc,0.580122365871777
8,valid,auroc,0.4609752762731316
9,train,auroc,0.6019881102814695
9,valid,auroc,0.4576015752790006
10,train,auroc,0.6211382493053947
10,valid,auroc,0.4551320376350144
11,train,auroc,0.6199384824114129
11,valid,auroc,0.45493771159647367
12,train,auroc,0.6323413350797424
12,valid,auroc,0.45360757408612934
13,train,auroc,0.660953063882082
13,valid,auroc,0.46753660614508097
14,train,auroc,0.6492583504688803
14,valid,auroc,0.4652378888045952
15,train,auroc,0.6773949110158153
15,valid,auroc,0.48032372600710416
16,train,auroc,0.6761961085388324
16,valid,auroc,0.46074344871838124
17,train,auroc,0.6864738201290287
17,valid,auroc,0.4938528017041838
18,train,auroc,0.7027629518309715
18,valid,auroc,0.498967183122954
19,train,auroc,0.7235003283518409
19,valid,auroc,0.4970208723749836
20,train,auroc,0.7253805396594631
20,valid,auroc,0.522502883489787
21,train,auroc,0.7487215848997502
21,valid,auroc,0.5284155627344742
22,train,auroc,0.7489627052231151
22,valid,auroc,0.5114948427340722
23,train,auroc,0.7575106706311492
23,valid,auroc,0.5498971130650976
24,train,auroc,0.7781489050845222
24,valid,auroc,0.5423494394869075
25,train,auroc,0.781678365902124
25,valid,auroc,0.5374546841726376
26,train,auroc,0.7859028981245175
26,valid,auroc,0.5125678526237066
27,train,auroc,0.7922033379372457
27,valid,auroc,0.5434438019144794
28,train,auroc,0.8122244901738125
28,valid,auroc,0.5231868824361559
29,train,auroc,0.8160105502076133
29,valid,auroc,0.5158288696361168
30,train,auroc,0.8138530529391637
30,valid,auroc,0.5492800426620119
31,train,auroc,0.8282840906299944
31,valid,auroc,0.4988702892533215
32,train,auroc,0.8253673882263202
32,valid,auroc,0.5310419249007914
33,train,auroc,0.8346320440535397
33,valid,auroc,0.5267405548214749
34,train,auroc,0.8455355819079999
34,valid,auroc,0.5078126962549443
35,train,auroc,0.8414164122427465
35,valid,auroc,0.5171889724728105
36,train,auroc,0.8568173158886159
36,valid,auroc,0.5169052887544975
37,train,auroc,0.8588198795661769
37,valid,auroc,0.520200398054371
38,train,auroc,0.8578853112733017
38,valid,auroc,0.5254414592360314
39,train,auroc,0.858370863085062
39,valid,auroc,0.5372892468618946
40,train,auroc,0.8769257639372079
40,valid,auroc,0.5314571330754759
41,train,auroc,0.8777128889445538
41,valid,auroc,0.5282266196886908
42,train,auroc,0.8870991256081131
42,valid,auroc,0.5230585877754388
