epoch,subset,metric,score
0,train,auroc,0.4919769185436686
0,valid,auroc,0.46260470818078525
1,train,auroc,0.5103714850697318
1,valid,auroc,0.45614583460431773
2,train,auroc,0.4897460452152122
2,valid,auroc,0.462795086691304
3,train,auroc,0.51381498418549
3,valid,auroc,0.46651150489098725
4,train,auroc,0.5160415337110676
4,valid,auroc,0.4623100790438657
5,train,auroc,0.5172630803556102
5,valid,auroc,0.46846427523026646
6,train,auroc,0.5221190806817116
6,valid,auroc,0.4623816728475386
7,train,auroc,0.5325859144454108
7,valid,auroc,0.4647331435170465
8,train,auroc,0.5398990564015492
8,valid,auroc,0.4628602209036681
9,train,auroc,0.5651642099965295
9,valid,auroc,0.458576255834267
10,train,auroc,0.5691176767477389
10,valid,auroc,0.4585498791697559
11,train,auroc,0.5879764011018014
11,valid,auroc,0.4605593503660794
12,train,auroc,0.5994950923390701
12,valid,auroc,0.46356951991599665
13,train,auroc,0.6145663421810663
13,valid,auroc,0.4593266450246433
14,train,auroc,0.6109027631061377
14,valid,auroc,0.4570534071832091
15,train,auroc,0.6354589737651573
15,valid,auroc,0.47232890516386905
16,train,auroc,0.6347702514389423
16,valid,auroc,0.462015449906946
17,train,auroc,0.6550072562735004
17,valid,auroc,0.49511206314322276
18,train,auroc,0.6517220340608938
18,valid,auroc,0.4681475758230417
19,train,auroc,0.6744987185469862
19,valid,auroc,0.48070807168997975
20,train,auroc,0.6770976616231087
20,valid,auroc,0.4862290484950229
21,train,auroc,0.6813536981341359
21,valid,auroc,0.4846975870555532
22,train,auroc,0.6934731247200779
22,valid,auroc,0.49003877190250034
23,train,auroc,0.699844963537965
23,valid,auroc,0.5001209379039488
24,train,auroc,0.6974672577214118
24,valid,auroc,0.49290629214434745
25,train,auroc,0.6953275539465937
25,valid,auroc,0.5407872949887208
26,train,auroc,0.721215849511857
26,valid,auroc,0.5349349052629162
27,train,auroc,0.7354147359574135
27,valid,auroc,0.5293292360384906
28,train,auroc,0.7429764242478094
28,valid,auroc,0.5279377324107123
29,train,auroc,0.7389874669510368
29,valid,auroc,0.5241219082781099
30,train,auroc,0.7380121841871874
30,valid,auroc,0.529989729249819
31,train,auroc,0.7424056018997215
31,valid,auroc,0.5293674552870677
32,train,auroc,0.7518964295868219
32,valid,auroc,0.5314801005112408
33,train,auroc,0.7726976344394082
33,valid,auroc,0.5303360351172093
34,train,auroc,0.7657919747389612
34,valid,auroc,0.5138592325861979
35,train,auroc,0.7707500907516396
35,valid,auroc,0.5375180240540827
36,train,auroc,0.7815998302111726
36,valid,auroc,0.5233618297007703
37,train,auroc,0.7809110596641077
37,valid,auroc,0.5028108193848029
38,train,auroc,0.8037777564034396
38,valid,auroc,0.5137912274443632
39,train,auroc,0.7890658965561184
39,valid,auroc,0.5188422689816885
40,train,auroc,0.8142548290609446
40,valid,auroc,0.490027288184618
41,train,auroc,0.8038957849704997
41,valid,auroc,0.4966216337454792
42,train,auroc,0.8218684994275864
42,valid,auroc,0.5179135232979515
43,train,auroc,0.8147013702050955
43,valid,auroc,0.5150285980461888
44,train,auroc,0.8295248130992003
44,valid,auroc,0.5186861621917249
45,train,auroc,0.8394381518735601
45,valid,auroc,0.5011806697447815
46,train,auroc,0.8288327474607222
46,valid,auroc,0.5280952746654111
47,train,auroc,0.8443764169696757
47,valid,auroc,0.5257935069623628
48,train,auroc,0.8447690311299663
48,valid,auroc,0.5132511338377078
49,train,auroc,0.8523383865355041
49,valid,auroc,0.5090710605285238
50,train,auroc,0.854655928804937
50,valid,auroc,0.5248078809884897
51,train,auroc,0.8588604975954514
51,valid,auroc,0.5225224416968054
52,train,auroc,0.8566196425510553
52,valid,auroc,0.517747188821749
53,train,auroc,0.8687925621332082
53,valid,auroc,0.5215983612734582
54,train,auroc,0.8807223200426813
54,valid,auroc,0.51292007978313
55,train,auroc,0.8729480742457069
55,valid,auroc,0.5211704133492479
56,train,auroc,0.8893510553743809
56,valid,auroc,0.5250901292420674
57,train,auroc,0.8871642237555453
57,valid,auroc,0.5434904545183765
58,train,auroc,0.8972289277778971
58,valid,auroc,0.5346908762579157
59,train,auroc,0.8905743218959049
59,valid,auroc,0.5161976046399962
60,train,auroc,0.8832072208086725
60,valid,auroc,0.5234099177694026
61,train,auroc,0.8938243107408149
61,valid,auroc,0.5543610495256865
62,train,auroc,0.9027100310555133
62,valid,auroc,0.5258712014911608
63,train,auroc,0.9018260303606186
63,valid,auroc,0.537300910012869
64,train,auroc,0.9032115600422235
64,valid,auroc,0.5436370513544686
65,train,auroc,0.9032647154924847
65,valid,auroc,0.5360502613622418
66,train,auroc,0.9174115555673286
66,valid,auroc,0.5337065063156861
67,train,auroc,0.9121452922498549
67,valid,auroc,0.5389308802197984
68,train,auroc,0.9166045635698037
68,valid,auroc,0.5376136618920717
69,train,auroc,0.9169021505084599
69,valid,auroc,0.5363287415208893
70,train,auroc,0.9235067674426709
70,valid,auroc,0.5398083080392485
71,train,auroc,0.9221328268386706
71,valid,auroc,0.5234472398525203
72,train,auroc,0.9240838585012523
72,valid,auroc,0.5168805269878136
73,train,auroc,0.9351733359531185
73,valid,auroc,0.535468000978987
74,train,auroc,0.9322467322015877
74,valid,auroc,0.5301153324141574
75,train,auroc,0.9332838501686895
75,valid,auroc,0.5356558674262188
76,train,auroc,0.9377221614925266
76,valid,auroc,0.5296010771727373
77,train,auroc,0.9271528905699178
77,valid,auroc,0.5364692376318564
78,train,auroc,0.9461170899964367
78,valid,auroc,0.5298958857427489
79,train,auroc,0.9366533945742415
79,valid,auroc,0.5426462218209301
80,train,auroc,0.941077271790327
80,valid,auroc,0.5373915237242846
81,train,auroc,0.9490097301959863
81,valid,auroc,0.5372948092877439
82,train,auroc,0.9508209053200971
82,valid,auroc,0.5430201603844749
83,train,auroc,0.9483814768156082
83,valid,auroc,0.5504119066057933
84,train,auroc,0.948573122546925
84,valid,auroc,0.5499035726564064
85,train,auroc,0.945167541092844
85,valid,auroc,0.5360673075059734
86,train,auroc,0.9489031460439807
86,valid,auroc,0.5444848727137532
87,train,auroc,0.9507786960027744
87,valid,auroc,0.5447294400180294
88,train,auroc,0.95238723104178
88,valid,auroc,0.542601542981044
89,train,auroc,0.9515851414973333
89,valid,auroc,0.5585005709560984
90,train,auroc,0.9540225768733576
90,valid,auroc,0.5600889126857043
91,train,auroc,0.9544733775259205
91,valid,auroc,0.5641975716243073
92,train,auroc,0.9588219337743848
92,valid,auroc,0.5480475167536678
93,train,auroc,0.9648794047978332
93,valid,auroc,0.5556954934302367
94,train,auroc,0.9647520374594993
94,valid,auroc,0.538029408366032
95,train,auroc,0.9607329582051247
95,valid,auroc,0.5378716866782414
96,train,auroc,0.9628953097058027
96,valid,auroc,0.5544884470209441
97,train,auroc,0.9634732205188332
97,valid,auroc,0.5565630524296317
98,train,auroc,0.9648834874964622
98,valid,auroc,0.5666619057086278
99,train,auroc,0.9698890688991076
99,valid,auroc,0.5789832172640472
100,train,auroc,0.9671207420507286
100,valid,auroc,0.5645672037936462
101,train,auroc,0.971082663524296
101,valid,auroc,0.560189395217175
102,train,auroc,0.9689620712796747
102,valid,auroc,0.5740326582581927
103,train,auroc,0.9693952231011562
103,valid,auroc,0.5519837404909433
104,train,auroc,0.9715768307945807
104,valid,auroc,0.5627219138764222
105,train,auroc,0.9720995448080354
105,valid,auroc,0.5453454338225636
106,train,auroc,0.9722187146018777
106,valid,auroc,0.5441134462134952
107,train,auroc,0.9794543817257638
107,valid,auroc,0.5577618449166963
108,train,auroc,0.9739787916986584
108,valid,auroc,0.5369341487730006
109,train,auroc,0.9740739153619926
109,valid,auroc,0.5445313458845584
110,train,auroc,0.9791636100005672
110,valid,auroc,0.5309647686712693
111,train,auroc,0.9784311031425977
111,valid,auroc,0.5567498422783123
112,train,auroc,0.9791350311101636
112,valid,auroc,0.5434814828637808
113,train,auroc,0.9819723780684373
