epoch,subset,metric,score
0,train,auroc,0.4989097426562539
0,valid,auroc,0.46188589921458545
1,train,auroc,0.4860397103199949
1,valid,auroc,0.45668018635203195
2,train,auroc,0.4997904482597353
2,valid,auroc,0.4578167155562031
3,train,auroc,0.5366825810473542
3,valid,auroc,0.45669472043247683
4,train,auroc,0.5493009969885758
4,valid,auroc,0.46015957343729924
5,train,auroc,0.5648291554574622
5,valid,auroc,0.46189792123174356
6,train,auroc,0.5914321483134468
6,valid,auroc,0.45571178595498235
7,train,auroc,0.6032727780185962
7,valid,auroc,0.4664682615158364
8,train,auroc,0.6367483028511124
8,valid,auroc,0.46449360033934384
9,train,auroc,0.649380670691586
9,valid,auroc,0.4775100356928306
10,train,auroc,0.6608010878366571
10,valid,auroc,0.48969910505951075
11,train,auroc,0.6760653496673855
11,valid,auroc,0.5026186465433651
12,train,auroc,0.7069076463994649
12,valid,auroc,0.5133760192696786
13,train,auroc,0.7258321439928588
13,valid,auroc,0.5066490726538944
14,train,auroc,0.7363111615579784
14,valid,auroc,0.5136751342338961
15,train,auroc,0.7549248757734465
15,valid,auroc,0.5391985943929312
16,train,auroc,0.7747287127129062
16,valid,auroc,0.5371422911596186
17,train,auroc,0.7890510927551839
17,valid,auroc,0.5119346332423489
18,train,auroc,0.7842947006314617
18,valid,auroc,0.5417312924852704
19,train,auroc,0.8040688656745859
19,valid,auroc,0.5350386175900412
20,train,auroc,0.8288936182469753
20,valid,auroc,0.504431100204769
21,train,auroc,0.84276500475329
21,valid,auroc,0.5419213121296053
22,train,auroc,0.8506445809601709
22,valid,auroc,0.525256284285178
23,train,auroc,0.8628190436095221
23,valid,auroc,0.5231938803267404
24,train,auroc,0.8715546363447103
24,valid,auroc,0.5026322834583503
25,train,auroc,0.8836238007313882
25,valid,auroc,0.5316171873934616
26,train,auroc,0.8965861117008342
26,valid,auroc,0.5207510782134492
27,train,auroc,0.9056079112540906
27,valid,auroc,0.5174258241541345
28,train,auroc,0.9135080777639002
28,valid,auroc,0.5080527777319227
29,train,auroc,0.9224184550065394
29,valid,auroc,0.5010209742929798
30,train,auroc,0.9262477048482787
30,valid,auroc,0.5210098207319865
31,train,auroc,0.9373125414458205
31,valid,auroc,0.5363251528590509
32,train,auroc,0.940740143754712
32,valid,auroc,0.5135705247413113
33,train,auroc,0.9544708218208733
33,valid,auroc,0.5338888103370687
34,train,auroc,0.960976280613971
34,valid,auroc,0.5258372886367894
35,train,auroc,0.9593163582225358
35,valid,auroc,0.5244533211988714
36,train,auroc,0.9635760595181593
36,valid,auroc,0.5496984806323509
37,train,auroc,0.9728210733858329
37,valid,auroc,0.537368017989244
38,train,auroc,0.9693877810166471
38,valid,auroc,0.5513803070028429
39,train,auroc,0.9746013067978925
39,valid,auroc,0.5498746839286086
40,train,auroc,0.9779227267951948
40,valid,auroc,0.5421976390911498
41,train,auroc,0.9817391177436139
41,valid,auroc,0.5207848116347288
42,train,auroc,0.9812481491230428
42,valid,auroc,0.5554546942208908
43,train,auroc,0.9811731174805209
43,valid,auroc,0.5550863180831953
44,train,auroc,0.9845234217669431
44,valid,auroc,0.541464654910689
45,train,auroc,0.9865237512117899
45,valid,auroc,0.5530696695631953
46,train,auroc,0.9881412392552694
46,valid,auroc,0.5553290910565523
47,train,auroc,0.9908580019414357
47,valid,auroc,0.5362332831159919
48,train,auroc,0.9893437065168486
48,valid,auroc,0.548967649648993
49,train,auroc,0.9909593943152633
49,valid,auroc,0.5412963466704754
50,train,auroc,0.991022402892531
50,valid,auroc,0.5403805201693561
51,train,auroc,0.9943578069363186
51,valid,auroc,0.5370784129788979
52,train,auroc,0.9928726690523343
52,valid,auroc,0.5437703701417593
53,train,auroc,0.9937611864335075
53,valid,auroc,0.5624199279827342
54,train,auroc,0.9939856705636401
54,valid,auroc,0.5525834058841135
55,train,auroc,0.9945214042065812
55,valid,auroc,0.5332843002504168
56,train,auroc,0.9971763156158786
56,valid,auroc,0.5447477421934045
57,train,auroc,0.995345112765422
57,valid,auroc,0.5638645438057184
58,train,auroc,0.995412654102585
58,valid,auroc,0.5528669101693345
59,train,auroc,0.997288187987762
59,valid,auroc,0.5507946373908419
60,train,auroc,0.9961977538342327
60,valid,auroc,0.5456872538626562
61,train,auroc,0.9971817484983063
61,valid,auroc,0.5707800746011024
62,train,auroc,0.9977504973498464
62,valid,auroc,0.5480114507021934
63,train,auroc,0.9969539210559106
63,valid,auroc,0.569368295033938
64,train,auroc,0.9968563220556124
64,valid,auroc,0.5682267417031932
65,train,auroc,0.9980384401185127
65,valid,auroc,0.5623205220498149
66,train,auroc,0.9982699644927379
66,valid,auroc,0.56554726734167
67,train,auroc,0.9982153141961282
