epoch,subset,metric,score
0,train,auroc,0.4864481730663021
0,valid,auroc,0.47343385414386363
1,train,auroc,0.4883971955268025
1,valid,auroc,0.4705024557212959
2,train,auroc,0.4998784191636601
2,valid,auroc,0.4708686786618885
3,train,auroc,0.4853871536312422
3,valid,auroc,0.4534385481135481
4,train,auroc,0.5148773859515818
4,valid,auroc,0.44808713558036195
5,train,auroc,0.5108818545455994
5,valid,auroc,0.4410632271974632
6,train,auroc,0.5281383125711498
6,valid,auroc,0.4440132866615899
7,train,auroc,0.5375106455563072
7,valid,auroc,0.44690018567736356
8,train,auroc,0.5416914736150297
8,valid,auroc,0.41670859419914347
9,train,auroc,0.5558609935629666
9,valid,auroc,0.4142846325605031
10,train,auroc,0.5936420937930251
10,valid,auroc,0.42581087608565993
11,train,auroc,0.590193997622905
11,valid,auroc,0.4349305629820919
12,train,auroc,0.608384316702198
12,valid,auroc,0.43501328163746333
13,train,auroc,0.6043785142551763
13,valid,auroc,0.46465401352351327
14,train,auroc,0.6327288860507883
14,valid,auroc,0.47370731017593776
15,train,auroc,0.6305548651044226
15,valid,auroc,0.4662995944094391
16,train,auroc,0.6429300068576478
16,valid,auroc,0.4506672040089659
17,train,auroc,0.631446774018709
17,valid,auroc,0.4177026535283364
18,train,auroc,0.559690002300456
18,valid,auroc,0.43407341110202785
19,train,auroc,0.5894155362949336
19,valid,auroc,0.440410629042179
20,train,auroc,0.6271290951878292
20,valid,auroc,0.44823373241645414
21,train,auroc,0.6316850332383104
21,valid,auroc,0.4311622886188461
22,train,auroc,0.6480493412453248
22,valid,auroc,0.4464761852811753
23,train,auroc,0.6437984000707753
23,valid,auroc,0.43650455006434474
24,train,auroc,0.6424829031369141
24,valid,auroc,0.4395576041232289
25,train,auroc,0.6465995010235036
25,valid,auroc,0.4507341325522491
26,train,auroc,0.6306915872876466
26,valid,auroc,0.41428014673320523
27,train,auroc,0.6354895457840255
27,valid,auroc,0.41930319670819227
28,train,auroc,0.6534767425697136
28,valid,auroc,0.42097066843133135
29,train,auroc,0.6478954202922852
29,valid,auroc,0.42867785802823133
30,train,auroc,0.6489272178922756
30,valid,auroc,0.42253963138701056
31,train,auroc,0.6441184739991248
31,valid,auroc,0.4353378761007323
32,train,auroc,0.6384223378779663
32,valid,auroc,0.40948210585547595
33,train,auroc,0.6188598141452712
33,valid,auroc,0.41126854171855276
