epoch,subset,metric,score
0,train,auroc,0.49148115998533576
0,valid,auroc,0.5332006844295858
1,train,auroc,0.4923957326990984
1,valid,auroc,0.5447891912376361
2,train,auroc,0.499917863818919
2,valid,auroc,0.5523461953366058
3,train,auroc,0.4942054611977108
3,valid,auroc,0.5436329243933546
4,train,auroc,0.5070176285140302
4,valid,auroc,0.5502287054189512
5,train,auroc,0.4828210811011688
5,valid,auroc,0.5361606127137676
6,train,auroc,0.5116487750168162
6,valid,auroc,0.5320375991278117
7,train,auroc,0.4755794345918889
7,valid,auroc,0.5042814530061144
8,train,auroc,0.4800254451781015
8,valid,auroc,0.5008752746223472
9,train,auroc,0.47631528476212137
9,valid,auroc,0.4983888702677214
10,train,auroc,0.5107883703911638
10,valid,auroc,0.4957456413907644
11,train,auroc,0.5338918475773652
11,valid,auroc,0.5016836207014111
12,train,auroc,0.514711040092872
12,valid,auroc,0.5028140491804574
13,train,auroc,0.48304130572288906
13,valid,auroc,0.4950149898404983
14,train,auroc,0.4858782186935133
14,valid,auroc,0.48416502963875807
15,train,auroc,0.5085061740047442
15,valid,auroc,0.4757494381949892
16,train,auroc,0.535878450153593
16,valid,auroc,0.4664167642184577
17,train,auroc,0.5176557588103672
17,valid,auroc,0.4680858508394239
18,train,auroc,0.5163959730318145
18,valid,auroc,0.4629709311213779
19,train,auroc,0.5156040902339406
19,valid,auroc,0.4609341860950837
20,train,auroc,0.5321211940408288
20,valid,auroc,0.4591459559010878
21,train,auroc,0.4971724579478827
21,valid,auroc,0.45579486347653775
22,train,auroc,0.5177445333951247
22,valid,auroc,0.45249813927883686
23,train,auroc,0.5215834274068538
23,valid,auroc,0.45084609880160226
24,train,auroc,0.544181566159199
24,valid,auroc,0.45112404066097406
25,train,auroc,0.5390687898071153
25,valid,auroc,0.45091087414778247
26,train,auroc,0.5315008810270758
26,valid,auroc,0.4499134055898433
27,train,auroc,0.5638183017799667
27,valid,auroc,0.45284695720951396
28,train,auroc,0.5733111225955316
28,valid,auroc,0.4522128406626966
29,train,auroc,0.5581276628357023
29,valid,auroc,0.4517272947159825
30,train,auroc,0.564723198176506
30,valid,auroc,0.4541141137045972
31,train,auroc,0.5697146990909663
31,valid,auroc,0.456090210345825
32,train,auroc,0.5744573964933026
32,valid,auroc,0.4565818570176641
33,train,auroc,0.5933061391314254
33,valid,auroc,0.45033220242636607
34,train,auroc,0.5958088333910483
34,valid,auroc,0.4559676575440491
35,train,auroc,0.6025368153330473
35,valid,auroc,0.4513607129092061
36,train,auroc,0.6005069586544145
36,valid,auroc,0.4469120282614297
37,train,auroc,0.6049301929258342
37,valid,auroc,0.44499352964270567
38,train,auroc,0.6016791753694585
38,valid,auroc,0.443247645658401
39,train,auroc,0.6127365377352583
39,valid,auroc,0.44329501599466586
40,train,auroc,0.6179818732038538
40,valid,auroc,0.44194191104855673
41,train,auroc,0.6264874042639319
41,valid,auroc,0.4396977413680122
42,train,auroc,0.6285453736980853
42,valid,auroc,0.4394666315456295
43,train,auroc,0.6224120191304328
43,valid,auroc,0.44076644486344063
44,train,auroc,0.653801960055391
44,valid,auroc,0.44218019819461596
45,train,auroc,0.651024165846805
