epoch,subset,metric,score
0,train,auroc,0.490296904131421
0,valid,auroc,0.4637679729156513
1,train,auroc,0.502275107921477
1,valid,auroc,0.4593214414649779
2,train,auroc,0.515449992471118
2,valid,auroc,0.4628110562364842
3,train,auroc,0.4984397661790274
3,valid,auroc,0.45110555905250715
4,train,auroc,0.5223000696051895
4,valid,auroc,0.4540019680221521
5,train,auroc,0.5189502636008836
5,valid,auroc,0.4499636468555786
6,train,auroc,0.5280327089097601
6,valid,auroc,0.44798862681290225
7,train,auroc,0.5371202174078812
7,valid,auroc,0.45343298568769885
8,train,auroc,0.5530147096738355
8,valid,auroc,0.45496354996170896
9,train,auroc,0.5622876916344798
9,valid,auroc,0.45671302260785185
10,train,auroc,0.5751913339031538
10,valid,auroc,0.4634889544577281
11,train,auroc,0.578663251173149
11,valid,auroc,0.4615966530704232
12,train,auroc,0.5992110072383996
12,valid,auroc,0.4580598473957439
13,train,auroc,0.6181424164869529
13,valid,auroc,0.45925630725261385
14,train,auroc,0.616273070944186
14,valid,auroc,0.4518297510114644
15,train,auroc,0.629268316754148
15,valid,auroc,0.46305257317819787
16,train,auroc,0.6368095433305485
16,valid,auroc,0.4594983624936032
17,train,auroc,0.64586154520949
17,valid,auroc,0.472635018018671
18,train,auroc,0.6492989684981545
18,valid,auroc,0.4586037090973295
19,train,auroc,0.665172934755647
19,valid,auroc,0.4704872039084834
20,train,auroc,0.6827875451073905
20,valid,auroc,0.4830557742645576
21,train,auroc,0.6718141352413531
21,valid,auroc,0.4765428913274245
22,train,auroc,0.6827878183588735
22,valid,auroc,0.48518420960081876
23,train,auroc,0.6932673181324926
23,valid,auroc,0.4874753907514442
24,train,auroc,0.6875026601835557
24,valid,auroc,0.47518655658566106
25,train,auroc,0.6920928028902678
25,valid,auroc,0.5004467883988611
26,train,auroc,0.700654800565637
26,valid,auroc,0.49941989281384824
27,train,auroc,0.715128899475473
27,valid,auroc,0.5082056547262318
28,train,auroc,0.7233217986917104
28,valid,auroc,0.5050165903836782
29,train,auroc,0.7384217238658104
29,valid,auroc,0.5025242647370193
30,train,auroc,0.7374847284568209
30,valid,auroc,0.5045803885372399
31,train,auroc,0.7378293950186448
31,valid,auroc,0.5017099973659223
32,train,auroc,0.7398578693662455
32,valid,auroc,0.5135864942864914
33,train,auroc,0.7595997746607535
33,valid,auroc,0.5065258021197507
34,train,auroc,0.7678108531374221
34,valid,auroc,0.47811651954349355
35,train,auroc,0.7648141201964479
35,valid,auroc,0.49612891047508856
36,train,auroc,0.7755300628709871
36,valid,auroc,0.4860785041309087
37,train,auroc,0.7773816470673558
37,valid,auroc,0.4948552943886966
38,train,auroc,0.7896479543622446
38,valid,auroc,0.5013346233376421
39,train,auroc,0.7837994082080115
39,valid,auroc,0.4977448849008489
40,train,auroc,0.7912232813092513
40,valid,auroc,0.4864894059113873
41,train,auroc,0.7928094097266469
41,valid,auroc,0.4803901162511116
42,train,auroc,0.806711303957363
42,valid,auroc,0.5121723820891324
43,train,auroc,0.8088273152212392
43,valid,auroc,0.5028581897210678
44,train,auroc,0.8152144882694102
44,valid,auroc,0.49526081317641785
45,train,auroc,0.8201379817118246
45,valid,auroc,0.49442178403863696
46,train,auroc,0.8246918462657582
46,valid,auroc,0.49679873420719645
47,train,auroc,0.8332166817394329
47,valid,auroc,0.49723816584928915
48,train,auroc,0.8221483410934611
48,valid,auroc,0.4976070802862604
49,train,auroc,0.8386355801206138
49,valid,auroc,0.48074485547382184
50,train,auroc,0.8388744662112647
50,valid,auroc,0.4918987753332611
51,train,auroc,0.8398365525358444
51,valid,auroc,0.49228473591396404
52,train,auroc,0.8487403878165072
52,valid,auroc,0.5079081546598414
53,train,auroc,0.8595013848385162
53,valid,auroc,0.49153739708615
54,train,auroc,0.8670618354604301
54,valid,auroc,0.5091518054198843
55,train,auroc,0.867536746537968
55,valid,auroc,0.5069121215666375
56,train,auroc,0.8789121575564193
56,valid,auroc,0.5050121045563803
57,train,auroc,0.875649004419473
57,valid,auroc,0.49993217429125725
58,train,auroc,0.876285616080509
58,valid,auroc,0.4816906473012904
59,train,auroc,0.8869106624528931
59,valid,auroc,0.4849112918680205
60,train,auroc,0.8770629201080815
60,valid,auroc,0.5049991853737628
61,train,auroc,0.8891693752853871
61,valid,auroc,0.5288553532427507
62,train,auroc,0.8899643763648911
62,valid,auroc,0.51514881821777
63,train,auroc,0.8909901624322545
63,valid,auroc,0.5012807934100685
64,train,auroc,0.8867261051865188
64,valid,auroc,0.5063862031742432
65,train,auroc,0.8996749946860624
65,valid,auroc,0.4994444751474401
66,train,auroc,0.8963533496581271
66,valid,auroc,0.49727782056260167
67,train,auroc,0.9082642210680366
67,valid,auroc,0.5219044741282601
68,train,auroc,0.9057084035053857
68,valid,auroc,0.480230061933126
69,train,auroc,0.9051588304785089
69,valid,auroc,0.4958511480488087
