epoch,subset,metric,score
0,train,auroc,0.496100910293917
0,valid,auroc,0.4873388421684992
1,train,auroc,0.4989804344222802
1,valid,auroc,0.46659799164128885
2,train,auroc,0.48815779508041884
2,valid,auroc,0.46647490054023716
3,train,auroc,0.49576029428348894
3,valid,auroc,0.4670392176143006
4,train,auroc,0.5412615043696448
4,valid,auroc,0.45711082577262097
5,train,auroc,0.581503571750503
5,valid,auroc,0.44528295521995986
6,train,auroc,0.6013460496643893
6,valid,auroc,0.4490207259575806
7,train,auroc,0.6311449597188736
7,valid,auroc,0.46851110726725553
8,train,auroc,0.6369932326216236
8,valid,auroc,0.4737523478820077
9,train,auroc,0.6364073492947346
9,valid,auroc,0.45579109538160756
10,train,auroc,0.6484243065745334
10,valid,auroc,0.47227525466938736
11,train,auroc,0.6513022394148483
11,valid,auroc,0.44532225106708867
12,train,auroc,0.6618653059214303
12,valid,auroc,0.4321757267219656
13,train,auroc,0.6881453958925352
13,valid,auroc,0.4373992034606184
14,train,auroc,0.6988765763556585
14,valid,auroc,0.43442725315927844
15,train,auroc,0.7129558590197229
15,valid,auroc,0.4210892737050852
16,train,auroc,0.7175983052750139
16,valid,auroc,0.4077317360438735
17,train,auroc,0.7172532690200071
17,valid,auroc,0.42521336388959263
18,train,auroc,0.7225286621517377
18,valid,auroc,0.4457789082860048
19,train,auroc,0.741295847258979
19,valid,auroc,0.43478504274455115
20,train,auroc,0.7461035785142809
20,valid,auroc,0.3999149128278153
21,train,auroc,0.7508558236449072
21,valid,auroc,0.3964597492099561
22,train,auroc,0.7541625202093583
22,valid,auroc,0.39252406377195637
23,train,auroc,0.7424254849635173
23,valid,auroc,0.4244696137236171
24,train,auroc,0.7487316952046229
24,valid,auroc,0.4060032570694844
25,train,auroc,0.7746540668371842
25,valid,auroc,0.3709998083654578
26,train,auroc,0.7604388817443449
26,valid,auroc,0.43865003154433757
27,train,auroc,0.7724650009856342
27,valid,auroc,0.4240861652062009
28,train,auroc,0.7627621944421548
28,valid,auroc,0.3955631220496714
29,train,auroc,0.7495521729665171
29,valid,auroc,0.43455124142578966
30,train,auroc,0.7610014101062414
30,valid,auroc,0.46336227469483815
31,train,auroc,0.7566949667334
31,valid,auroc,0.4519982386847698
32,train,auroc,0.778167502258986
32,valid,auroc,0.45671894389988493
33,train,auroc,0.7856683036895122
33,valid,auroc,0.3962772657554815
34,train,auroc,0.7855218730418316
34,valid,auroc,0.45252738687281857
35,train,auroc,0.7857443318962661
35,valid,auroc,0.4680077974444421
36,train,auroc,0.7980179848339641
36,valid,auroc,0.4329860465650405
37,train,auroc,0.76123929963266
37,valid,auroc,0.5427106383009266
38,train,auroc,0.7873231146708528
38,valid,auroc,0.43289848321618746
39,train,auroc,0.7908587799044815
39,valid,auroc,0.4826030645736634
40,train,auroc,0.8127578770687227
40,valid,auroc,0.46723605571612825
41,train,auroc,0.8199491167161884
41,valid,auroc,0.44729117038463995
42,train,auroc,0.7980909269063213
42,valid,auroc,0.48089270834155734
43,train,auroc,0.821976273027224
43,valid,auroc,0.4932649788950797
44,train,auroc,0.8081177293406127
44,valid,auroc,0.4642127875505015
45,train,auroc,0.8289511939418153
45,valid,auroc,0.4740783778100119
46,train,auroc,0.8166183579476127
46,valid,auroc,0.49501929623470425
47,train,auroc,0.8207176606226868
47,valid,auroc,0.4903084598396442
48,train,auroc,0.8270284196973042
48,valid,auroc,0.5017649038920473
49,train,auroc,0.8294978576440785
49,valid,auroc,0.4612205613097754
50,train,auroc,0.831568251983902
50,valid,auroc,0.4818331171762686
51,train,auroc,0.8357798288712759
51,valid,auroc,0.47484330108083317
52,train,auroc,0.8412373843005
52,valid,auroc,0.48158191084759167
53,train,auroc,0.8434385214381541
53,valid,auroc,0.47360503331354786
54,train,auroc,0.8494666420375996
54,valid,auroc,0.4827912898870791
55,train,auroc,0.8412277240568934
55,valid,auroc,0.4454250662287542
56,train,auroc,0.825868242121131
56,valid,auroc,0.4947031351267551
57,train,auroc,0.8591126444198383
57,valid,auroc,0.5015659125931169
58,train,auroc,0.855989749661779
58,valid,auroc,0.4988681360562186
59,train,auroc,0.881834951860804
59,valid,auroc,0.49522672088895464
60,train,auroc,0.8686720903764171
60,valid,auroc,0.5196633548102783
61,train,auroc,0.8769474472460688
61,valid,auroc,0.48491954579024843
62,train,auroc,0.8718503426702187
62,valid,auroc,0.5295323542985351
63,train,auroc,0.8698441785025279
63,valid,auroc,0.4772843088632053
64,train,auroc,0.8800500570999158
64,valid,auroc,0.44858183261476364
65,train,auroc,0.8816890194952396
65,valid,auroc,0.5057490362648633
66,train,auroc,0.8818376683020179
66,valid,auroc,0.46080014957542537
67,train,auroc,0.8858948902487026
67,valid,auroc,0.4794877472318857
68,train,auroc,0.8831711676865269
68,valid,auroc,0.5069501613821228
69,train,auroc,0.9001510630639991
69,valid,auroc,0.4871368005070061
70,train,auroc,0.8955863648924437
70,valid,auroc,0.4527821818633337
71,train,auroc,0.9048450252606529
71,valid,auroc,0.4290910924389048
72,train,auroc,0.8954765499434916
72,valid,auroc,0.4860271862666218
73,train,auroc,0.9048217185165107
73,valid,auroc,0.4903687493585267
74,train,auroc,0.9007092354757836
74,valid,auroc,0.49290521554579597
75,train,auroc,0.8985360342838671
75,valid,auroc,0.4559872157510675
76,train,auroc,0.9124504498619532
76,valid,auroc,0.5321339546981685
77,train,auroc,0.9078954440812379
77,valid,auroc,0.5132317550637813
78,train,auroc,0.909658301913699
78,valid,auroc,0.4845935158622441
79,train,auroc,0.9095591759198193
79,valid,auroc,0.5294363575943621
80,train,auroc,0.9052547578226757
80,valid,auroc,0.49459924336653804
81,train,auroc,0.9077639618970417
81,valid,auroc,0.5218262413001866
82,train,auroc,0.9083190321008127
82,valid,auroc,0.4868662154044028
83,train,auroc,0.9110499395696308
83,valid,auroc,0.4909224798801674
84,train,auroc,0.9052117769717538
84,valid,auroc,0.4758640959407211
85,train,auroc,0.9192043103267588
85,valid,auroc,0.5195359573150207
86,train,auroc,0.9042894567747658
86,valid,auroc,0.47909981288717174
87,train,auroc,0.904797141956653
87,valid,auroc,0.5092804589467852
88,train,auroc,0.908175221452646
88,valid,auroc,0.49578439893861737
89,train,auroc,0.9302026664458366
89,valid,auroc,0.5037361558397936
90,train,auroc,0.9346345483230137
90,valid,auroc,0.5238215372822489
91,train,auroc,0.9141277799802204
91,valid,auroc,0.4989476249159356
92,train,auroc,0.9129611086629208
92,valid,auroc,0.49929913434299134
93,train,auroc,0.9245284547377884
93,valid,auroc,0.5063101235432724
94,train,auroc,0.9327474092866155
94,valid,auroc,0.5012703862907376
95,train,auroc,0.9315191920911634
95,valid,auroc,0.47484294221464934
96,train,auroc,0.9279229453963811
96,valid,auroc,0.4409706397220366
97,train,auroc,0.9274012922416253
97,valid,auroc,0.47164849487933846
98,train,auroc,0.9125026891160655
98,valid,auroc,0.540219568685911
99,train,auroc,0.916053929684228
99,valid,auroc,0.5167793267239752
100,train,auroc,0.9252897655167944
100,valid,auroc,0.5089677070675823
101,train,auroc,0.9214809291682006
101,valid,auroc,0.4839807518533644
102,train,auroc,0.9329264050816288
102,valid,auroc,0.477807356326129
103,train,auroc,0.9383381989242507
103,valid,auroc,0.47920101315101016
104,train,auroc,0.9311266743725728
104,valid,auroc,0.5160124296891428
105,train,auroc,0.925804587384474
105,valid,auroc,0.4835779245620218
106,train,auroc,0.9329562055668977
106,valid,auroc,0.5019621008600588
107,train,auroc,0.933215039015811
107,valid,auroc,0.4969087266925385
108,train,auroc,0.9334281751725888
108,valid,auroc,0.4958755509493087
109,train,auroc,0.9380239436451285
109,valid,auroc,0.5180079051042973
110,train,auroc,0.9376398324280458
110,valid,auroc,0.5350784517364457
111,train,auroc,0.9276083204240761
111,valid,auroc,0.5052430349456712
112,train,auroc,0.9394345803159405
112,valid,auroc,0.48124852416281905
113,train,auroc,0.9163741322015108
113,valid,auroc,0.5212003786755972
114,train,auroc,0.943408299824129
114,valid,auroc,0.5238947459837491
115,train,auroc,0.9409895741378851
115,valid,auroc,0.4940282872680738
116,train,auroc,0.9442530487471644
116,valid,auroc,0.49186073551777576
117,train,auroc,0.9451027644177448
117,valid,auroc,0.5173188820313549
118,train,auroc,0.9496741813610597
118,valid,auroc,0.4788902350358184
119,train,auroc,0.9507853022592175
119,valid,auroc,0.5360384187781755
120,train,auroc,0.9419776836478211
120,valid,auroc,0.5167254967964016
121,train,auroc,0.9487659255786406
121,valid,auroc,0.5238202812506056
122,train,auroc,0.9506555720992362
122,valid,auroc,0.4944765111316702
123,train,auroc,0.9446143997230709
123,valid,auroc,0.4926536503509352
124,train,auroc,0.9525551842621548
124,valid,auroc,0.5101596810971545
125,train,auroc,0.9494689534236739
125,valid,auroc,0.5084333553198682
126,train,auroc,0.9529609627144816
126,valid,auroc,0.5128818605345528
127,train,auroc,0.9555013335315318
127,valid,auroc,0.5843245815440863
128,train,auroc,0.9506350943116243
128,valid,auroc,0.5071209816856233
129,train,auroc,0.9491924389964456
129,valid,auroc,0.5453224663867988
130,train,auroc,0.9508040440962313
130,valid,auroc,0.5293572276008288
131,train,auroc,0.9480491547913715
131,valid,auroc,0.49777825945594456
132,train,auroc,0.9480632192059402
132,valid,auroc,0.501149089520605
133,train,auroc,0.9364561391507138
133,valid,auroc,0.5120731555893049
134,train,auroc,0.9531388012090961
134,valid,auroc,0.5313966641235016
135,train,auroc,0.9486548890348231
135,valid,auroc,0.5140564295542092
136,train,auroc,0.9557161574180577
136,valid,auroc,0.5177566987756204
137,train,auroc,0.9592076845003659
137,valid,auroc,0.5243210790101323
138,train,auroc,0.9638205874482542
138,valid,auroc,0.5232249222516412
139,train,auroc,0.9517655517706117
139,valid,auroc,0.5068848477366669
140,train,auroc,0.9617284776523365
140,valid,auroc,0.49126322332170846
141,train,auroc,0.9588266272704465
141,valid,auroc,0.48537620300916473
142,train,auroc,0.9625421080535378
142,valid,auroc,0.4919542201586619
143,train,auroc,0.959446779548033
143,valid,auroc,0.48292855620239195
144,train,auroc,0.9578849062181622
144,valid,auroc,0.5259131888346682
145,train,auroc,0.9608853521645824
145,valid,auroc,0.5274496744007116
146,train,auroc,0.9632769777331546
146,valid,auroc,0.488369864714626
147,train,auroc,0.9637515191175096
147,valid,auroc,0.5393294011169351
148,train,auroc,0.9586440470589204
148,valid,auroc,0.49704886393732184
149,train,auroc,0.9628458672609875
149,valid,auroc,0.5322073428327605
150,train,auroc,0.962384200843569
150,valid,auroc,0.504210756367901
151,train,auroc,0.957929992712865
151,valid,auroc,0.5214257466390387
152,train,auroc,0.9583864191312558
152,valid,auroc,0.5225759127581953
153,train,auroc,0.9577764896738586
153,valid,auroc,0.5221427612743195
154,train,auroc,0.9594711471508743
154,valid,auroc,0.5254131088075091
155,train,auroc,0.9508489537811512
155,valid,auroc,0.5326704596429855
156,train,auroc,0.9590801403522489
156,valid,auroc,0.5414036476594389
157,train,auroc,0.9614983195355264
157,valid,auroc,0.5190520262661338
158,train,auroc,0.964028210354521
158,valid,auroc,0.5131795400340349
159,train,auroc,0.9624069610847454
159,valid,auroc,0.5111108559173804
160,train,auroc,0.963455828865618
160,valid,auroc,0.5554028380573282
161,train,auroc,0.9656231631874572
161,valid,auroc,0.5417510301253807
162,train,auroc,0.9660124822563345
162,valid,auroc,0.5537881196632113
163,train,auroc,0.9616230829479631
163,valid,auroc,0.5139414129422935
164,train,auroc,0.9625456442492009
164,valid,auroc,0.5036606145080985
165,train,auroc,0.961148863035941
165,valid,auroc,0.5159663153845215
166,train,auroc,0.9597037645310316
166,valid,auroc,0.5280161446718779
167,train,auroc,0.9631241980068973
167,valid,auroc,0.5333026024257919
168,train,auroc,0.9634055345191206
168,valid,auroc,0.5201582312777717
169,train,auroc,0.969300420910155
169,valid,auroc,0.5505100565070693
170,train,auroc,0.971635161949403
170,valid,auroc,0.5262639805293563
171,train,auroc,0.9603830034234231
