epoch,subset,metric,score
0,train,auroc,0.492393868159567
0,valid,auroc,0.48584757374161786
1,train,auroc,0.5134983017902537
1,valid,auroc,0.4941818819947505
2,train,auroc,0.49028463996191707
2,valid,auroc,0.47769879930552217
3,train,auroc,0.48498756352132566
3,valid,auroc,0.49791426973961384
4,train,auroc,0.5022429606881771
4,valid,auroc,0.49150707289361695
5,train,auroc,0.49499237724803996
5,valid,auroc,0.48766630756123874
6,train,auroc,0.4873369636989584
6,valid,auroc,0.4862887997146296
7,train,auroc,0.5000440417096208
7,valid,auroc,0.4878600953005038
8,train,auroc,0.499768973907891
8,valid,auroc,0.4908420938549908
9,train,auroc,0.5112136139932534
9,valid,auroc,0.4930545038782668
10,train,auroc,0.48280449312878604
10,valid,auroc,0.48739859338810587
11,train,auroc,0.49733287264204873
11,valid,auroc,0.4851702138196496
12,train,auroc,0.48932316443477003
12,valid,auroc,0.48652547196286167
13,train,auroc,0.4952515803901362
13,valid,auroc,0.4853476731475507
14,train,auroc,0.5187051248733561
14,valid,auroc,0.4730037530225504
15,train,auroc,0.5558586789621689
15,valid,auroc,0.47212183937580254
16,train,auroc,0.5573317616336658
16,valid,auroc,0.4593329251828603
17,train,auroc,0.5965377236852714
17,valid,auroc,0.4696313080600627
18,train,auroc,0.5905975257689007
18,valid,auroc,0.4508965195004295
19,train,auroc,0.6257730605927769
19,valid,auroc,0.4460642069021451
20,train,auroc,0.6220073176104216
20,valid,auroc,0.469865468245008
21,train,auroc,0.6248240903393836
21,valid,auroc,0.44675448600673084
22,train,auroc,0.6140172352890725
22,valid,auroc,0.45309672807345563
23,train,auroc,0.606952607519958
23,valid,auroc,0.4407212277242788
24,train,auroc,0.6071922329969748
24,valid,auroc,0.4397286038598211
25,train,auroc,0.6011597243001837
25,valid,auroc,0.44394887018159346
26,train,auroc,0.5933619306548172
26,valid,auroc,0.4549755719788671
27,train,auroc,0.59163043244844
27,valid,auroc,0.45049405107527074
28,train,auroc,0.6006445648865544
28,valid,auroc,0.4438107067008212
29,train,auroc,0.6081645582153605
29,valid,auroc,0.43717778302519883
30,train,auroc,0.5877800940216562
30,valid,auroc,0.5699839299722883
31,train,auroc,0.5319564233965507
31,valid,auroc,0.5643256868519324
32,train,auroc,0.5332709559134129
32,valid,auroc,0.5531602832746109
33,train,auroc,0.5214209392161399
33,valid,auroc,0.5449214334263753
34,train,auroc,0.5243009616266192
34,valid,auroc,0.5360626422455836
35,train,auroc,0.5325033121294469
