epoch,subset,metric,score
0,train,auroc,0.49631565381235965
0,valid,auroc,0.4735280565171176
1,train,auroc,0.5082500087761948
1,valid,auroc,0.45149313453103723
2,train,auroc,0.5101640550468648
2,valid,auroc,0.43463413951425306
3,train,auroc,0.5293335306316198
3,valid,auroc,0.4414558268025669
4,train,auroc,0.5027647906527162
4,valid,auroc,0.4436533438792143
5,train,auroc,0.5256860573205744
5,valid,auroc,0.4455738162619493
6,train,auroc,0.5372491438870299
6,valid,auroc,0.44740206003544164
7,train,auroc,0.5691050268114356
7,valid,auroc,0.4590350662502862
8,train,auroc,0.5993867240156163
8,valid,auroc,0.46355067944134587
9,train,auroc,0.609072347862897
9,valid,auroc,0.46253096118000947
10,train,auroc,0.6213407125807169
10,valid,auroc,0.47276080061610143
11,train,auroc,0.637157713940802
11,valid,auroc,0.47674654788674464
12,train,auroc,0.659314197928458
12,valid,auroc,0.4937600347956651
13,train,auroc,0.6722444902535375
13,valid,auroc,0.4763352872400822
14,train,auroc,0.6896823711902154
14,valid,auroc,0.4974974466671021
15,train,auroc,0.7054404305980453
15,valid,auroc,0.48714254236594734
16,train,auroc,0.7270241955508486
16,valid,auroc,0.4960169442257354
17,train,auroc,0.7248419931336081
17,valid,auroc,0.5009721684919797
18,train,auroc,0.7443400455899204
18,valid,auroc,0.5386531177935184
19,train,auroc,0.7526589458870765
19,valid,auroc,0.5056594991519991
20,train,auroc,0.7735410492522617
20,valid,auroc,0.5117849860436942
21,train,auroc,0.78461252425348
21,valid,auroc,0.5068645717972808
22,train,auroc,0.7915433873848341
22,valid,auroc,0.5217971731392969
23,train,auroc,0.8161733598706601
23,valid,auroc,0.516602226262258
24,train,auroc,0.8141750396278945
24,valid,auroc,0.4933035570098409
25,train,auroc,0.8330352427546887
25,valid,auroc,0.5157899326551719
26,train,auroc,0.8349630801884446
26,valid,auroc,0.4953519651871092
27,train,auroc,0.8426274788892334
27,valid,auroc,0.5301067196257456
28,train,auroc,0.856205393302754
28,valid,auroc,0.5186470457776882
29,train,auroc,0.8711929478228544
29,valid,auroc,0.553227391250986
30,train,auroc,0.8815005241927861
30,valid,auroc,0.5538338751016488
31,train,auroc,0.8749359466376501
31,valid,auroc,0.5420890820705431
32,train,auroc,0.8786898594381514
32,valid,auroc,0.5408300000645959
33,train,auroc,0.8780638402904876
33,valid,auroc,0.530524439863717
34,train,auroc,0.9033832905625111
34,valid,auroc,0.5299735802715468
35,train,auroc,0.9061308824454118
35,valid,auroc,0.5157032664717784
36,train,auroc,0.9057929668025808
36,valid,auroc,0.5217503411023078
37,train,auroc,0.915242903208924
37,valid,auroc,0.5480272408142817
38,train,auroc,0.9180417377817045
38,valid,auroc,0.5687767041299039
39,train,auroc,0.9195688599523784
39,valid,auroc,0.5224962444653862
40,train,auroc,0.9285688636814574
40,valid,auroc,0.5616431621278468
41,train,auroc,0.9362782202880162
41,valid,auroc,0.5363208464648451
42,train,auroc,0.935788344673377
42,valid,auroc,0.5548620267183051
43,train,auroc,0.9405499125016604
43,valid,auroc,0.5684847664893629
44,train,auroc,0.9406835485504877
44,valid,auroc,0.5751987939225294
45,train,auroc,0.9541898067809831
45,valid,auroc,0.5553208371343243
46,train,auroc,0.9539715109932608
46,valid,auroc,0.5655817184953171
47,train,auroc,0.95183441114434
47,valid,auroc,0.56008945098498
48,train,auroc,0.9580911467933971
48,valid,auroc,0.5814335555671988
49,train,auroc,0.9572904878008321
49,valid,auroc,0.5644943539583298
50,train,auroc,0.9642550412326844
50,valid,auroc,0.5701515204801342
51,train,auroc,0.9659611591983714
51,valid,auroc,0.5802559361849797
52,train,auroc,0.9702975637926483
52,valid,auroc,0.5812322316380734
53,train,auroc,0.967725238625698
53,valid,auroc,0.5493704769403356
54,train,auroc,0.9737126929750195
54,valid,auroc,0.5685531304973813
55,train,auroc,0.9709681229320489
55,valid,auroc,0.5753679993282026
56,train,auroc,0.9741016423507136
56,valid,auroc,0.5696543113824458
57,train,auroc,0.9747116843234274
57,valid,auroc,0.5613799337820118
58,train,auroc,0.9784999303690927
58,valid,auroc,0.5833378789716617
59,train,auroc,0.981099516389881
59,valid,auroc,0.5690485452641506
60,train,auroc,0.9774223229616499
60,valid,auroc,0.5800113688807036
61,train,auroc,0.9810281013111056
61,valid,auroc,0.5730900962263785
62,train,auroc,0.9844553982212807
62,valid,auroc,0.5685944001085211
63,train,auroc,0.985574893473713
63,valid,auroc,0.5662999891622413
64,train,auroc,0.9844977039803033
64,valid,auroc,0.567239321398401
65,train,auroc,0.9843315992258432
65,valid,auroc,0.5975645905300957
66,train,auroc,0.9861869125012748
66,valid,auroc,0.5950385314621572
67,train,auroc,0.9871623881485239
67,valid,auroc,0.5444075370511392
68,train,auroc,0.9870151538200107
68,valid,auroc,0.6059035640436181
69,train,auroc,0.9892447251855184
69,valid,auroc,0.6078418003024524
70,train,auroc,0.9902510300295022
70,valid,auroc,0.5977712974519782
71,train,auroc,0.9899367908239965
71,valid,auroc,0.631990623544349
72,train,auroc,0.9918838201560324
72,valid,auroc,0.621140125043333
73,train,auroc,0.9915043863613948
73,valid,auroc,0.5571551816329416
74,train,auroc,0.9924145066833455
74,valid,auroc,0.6039497171057873
75,train,auroc,0.9909833440040716
75,valid,auroc,0.597725003714265
76,train,auroc,0.9928709009545028
76,valid,auroc,0.555254267457225
77,train,auroc,0.9909000826698251
77,valid,auroc,0.5773684988699304
78,train,auroc,0.993168905807192
78,valid,auroc,0.5531206285612983
79,train,auroc,0.9920085674948522
79,valid,auroc,0.5563190234246314
80,train,auroc,0.9935585945692521
80,valid,auroc,0.5904231534719944
81,train,auroc,0.9932804245595089
81,valid,auroc,0.5628200637776981
82,train,auroc,0.9946602481072031
82,valid,auroc,0.5623390036582818
83,train,auroc,0.9961152318863521
83,valid,auroc,0.5477853650063842
84,train,auroc,0.9960594242893436
84,valid,auroc,0.5759091695334093
85,train,auroc,0.9966808624562622
85,valid,auroc,0.5356436659759689
86,train,auroc,0.9966949429444474
86,valid,auroc,0.5484302475387163
87,train,auroc,0.9957342228772829
87,valid,auroc,0.5633377282478645
88,train,auroc,0.9958648370861799
88,valid,auroc,0.505684260918683
89,train,auroc,0.9961184787569154
89,valid,auroc,0.5733486593118239
90,train,auroc,0.9973019791508475
90,valid,auroc,0.5729271709789224
91,train,auroc,0.995592485725664
91,valid,auroc,0.5667139413052824
92,train,auroc,0.9967401741017002
92,valid,auroc,0.5617400559974793
93,train,auroc,0.9968025718815351
93,valid,auroc,0.4885342254268175
94,train,auroc,0.9962724961516547
94,valid,auroc,0.5956679827485848
95,train,auroc,0.9968354263539675
95,valid,auroc,0.5438369398188587
96,train,auroc,0.9971312451947922
96,valid,auroc,0.5983113910586337
97,train,auroc,0.9974798497926954
97,valid,auroc,0.5437475821390865
98,train,auroc,0.9980229130048289
98,valid,auroc,0.5800517413263838
99,train,auroc,0.997696940059169
99,valid,auroc,0.5031407968408292
100,train,auroc,0.9966823251553772
100,valid,auroc,0.5166174780750705
101,train,auroc,0.9984828434716492
101,valid,auroc,0.5157447155160102
102,train,auroc,0.9978963814945608
102,valid,auroc,0.5114548291545759
103,train,auroc,0.9979350867634539
103,valid,auroc,0.5035533135191351
104,train,auroc,0.9981625927335165
104,valid,auroc,0.5250038219248576
105,train,auroc,0.9986196620965732
105,valid,auroc,0.5667858939751392
106,train,auroc,0.9978618553659968
106,valid,auroc,0.5739930035448801
107,train,auroc,0.9990109582202983
107,valid,auroc,0.5566086284349774
108,train,auroc,0.9959571317929836
108,valid,auroc,0.5589925764941215
109,train,auroc,0.9985739487308208
109,valid,auroc,0.5041789967106325
110,train,auroc,0.9985258886170376
110,valid,auroc,0.5419281305870979
111,train,auroc,0.9989084728405385
111,valid,auroc,0.5225572517166364
112,train,auroc,0.9990634225050437
112,valid,auroc,0.5407944723123973
113,train,auroc,0.9987500834220704
113,valid,auroc,0.5659958500714504
114,train,auroc,0.9990991059340064
114,valid,auroc,0.5807750361198813
115,train,auroc,0.9990794639744601
115,valid,auroc,0.5705324569342637
116,train,auroc,0.9988797653612018
116,valid,auroc,0.5415933084375899
117,train,auroc,0.9993551907944725
117,valid,auroc,0.5672425511940554
118,train,auroc,0.9984809467848844
118,valid,auroc,0.4711625900664405
119,train,auroc,0.9989886158931549
119,valid,auroc,0.48374174697493744
120,train,auroc,0.9991839103354512
120,valid,auroc,0.4951438228004912
121,train,auroc,0.9991696048166329
121,valid,auroc,0.5162830147917463
122,train,auroc,0.9990486347777257
122,valid,auroc,0.4799291526379894
123,train,auroc,0.9991243415121468
123,valid,auroc,0.5031634054104102
124,train,auroc,0.999055964346918
124,valid,auroc,0.45161102207242354
125,train,auroc,0.9990626831186776
125,valid,auroc,0.5136975633703851
126,train,auroc,0.9993509795069103
126,valid,auroc,0.5030128610462958
127,train,auroc,0.999166293651603
127,valid,auroc,0.5346400966929046
128,train,auroc,0.9973350586539131
128,valid,auroc,0.5067561942097659
129,train,auroc,0.9985157622385482
129,valid,auroc,0.5373655059259572
130,train,auroc,0.9990515923231893
130,valid,auroc,0.5550346413527245
131,train,auroc,0.9984393482649946
131,valid,auroc,0.6003655410948432
132,train,auroc,0.9993348415957938
132,valid,auroc,0.5762000305753989
133,train,auroc,0.9994001004793923
133,valid,auroc,0.5477997196537372
134,train,auroc,0.9992542806291446
134,valid,auroc,0.5592166884259195
135,train,auroc,0.9985343754866287
135,valid,auroc,0.516659285985486
136,train,auroc,0.9993542585247068
136,valid,auroc,0.5609112545459374
137,train,auroc,0.9995294930934241
137,valid,auroc,0.5276712742692229
138,train,auroc,0.9990578610336827
138,valid,auroc,0.5147989236885415
139,train,auroc,0.9990055896323372
139,valid,auroc,0.6264827453550155
140,train,auroc,0.9996844749051624
140,valid,auroc,0.6322717951993753
141,train,auroc,0.9992096602693245
141,valid,auroc,0.5752605189061472
142,train,auroc,0.9996440336856713
142,valid,auroc,0.5611307012173459
143,train,auroc,0.9994881517514006
143,valid,auroc,0.5113089500508513
144,train,auroc,0.9996308854672517
144,valid,auroc,0.5552106652158904
145,train,auroc,0.9996294388417531
145,valid,auroc,0.5523666507090836
146,train,auroc,0.9996123043664044
146,valid,auroc,0.5654774678689163
147,train,auroc,0.9996777561334028
147,valid,auroc,0.5847659869501901
148,train,auroc,0.9994698278284196
148,valid,auroc,0.5831584458797496
149,train,auroc,0.9994068513983854
149,valid,auroc,0.5519180679793034
150,train,auroc,0.9993110204959186
150,valid,auroc,0.5716770606275708
151,train,auroc,0.9996012778653826
151,valid,auroc,0.5502496990907049
152,train,auroc,0.9996223021559606
152,valid,auroc,0.5146078274456551
153,train,auroc,0.9995645335777209
153,valid,auroc,0.5212156304884097
154,train,auroc,0.9984525286306474
154,valid,auroc,0.5184647417563055
155,train,auroc,0.9996593036214887
155,valid,auroc,0.5325251188385367
156,train,auroc,0.9996542565058607
156,valid,auroc,0.5703311330051383
157,train,auroc,0.9996797814091006
157,valid,auroc,0.5517248185393142
158,train,auroc,0.9996446123358707
158,valid,auroc,0.5420731125253628
159,train,auroc,0.9997119286424004
159,valid,auroc,0.494446186939137
160,train,auroc,0.9996434550354719
160,valid,auroc,0.4974613806156277
161,train,auroc,0.9997714331712384
161,valid,auroc,0.5649325295687793
162,train,auroc,0.9996816459486321
162,valid,auroc,0.5032518659247228
163,train,auroc,0.9998053485023697
163,valid,auroc,0.5458444372511712
164,train,auroc,0.9996090896430744
164,valid,auroc,0.5585221029271279
165,train,auroc,0.9998302947554104
165,valid,auroc,0.5680704554801379
166,train,auroc,0.999803451815605
166,valid,auroc,0.5338997557556753
167,train,auroc,0.9991631432227396
167,valid,auroc,0.5419568398818038
168,train,auroc,0.9997411826247032
168,valid,auroc,0.5020048059359337
169,train,auroc,0.9995421591033443
169,valid,auroc,0.49440617335964065
170,train,auroc,0.999538269288115
170,valid,auroc,0.5118883395046354
171,train,auroc,0.9995357296566844
171,valid,auroc,0.4709280710153114
172,train,auroc,0.9997317956325797
172,valid,auroc,0.4792232628544073
173,train,auroc,0.9998245082534164
173,valid,auroc,0.5458663280883844
174,train,auroc,0.9997451688816325
174,valid,auroc,0.5381309674960543
175,train,auroc,0.9994789576426768
175,valid,auroc,0.5192190784747039
176,train,auroc,0.9992120070173554
176,valid,auroc,0.4974626366472712
177,train,auroc,0.9998140925498272
177,valid,auroc,0.5305084703185369
178,train,auroc,0.9995736633919781
178,valid,auroc,0.5165853595516183
179,train,auroc,0.9998302626081771
179,valid,auroc,0.5289000320826368
180,train,auroc,0.9998203291130875
180,valid,auroc,0.5198935674672014
181,train,auroc,0.9996978160069819
181,valid,auroc,0.5880156996778099
182,train,auroc,0.9997270378420514
182,valid,auroc,0.5496224010013802
183,train,auroc,0.9996510096352973
183,valid,auroc,0.4979252151582205
184,train,auroc,0.9997169436107952
184,valid,auroc,0.5702139631961196
185,train,auroc,0.9998049948828034
185,valid,auroc,0.5700872834332297
186,train,auroc,0.9998391352445678
186,valid,auroc,0.5356773993972483
187,train,auroc,0.9995438307594758
