epoch,subset,metric,score
0,train,auroc,0.4970331800596113
0,valid,auroc,0.4792031663481132
1,train,auroc,0.5243614948669226
1,valid,auroc,0.47768282976034204
2,train,auroc,0.5026222819674981
2,valid,auroc,0.47149274695555876
3,train,auroc,0.4818038140506298
3,valid,auroc,0.47297271109764966
4,train,auroc,0.49547436071690387
4,valid,auroc,0.47524092481251035
5,train,auroc,0.5043057200600922
5,valid,auroc,0.4748644741856788
6,train,auroc,0.49656743094356376
6,valid,auroc,0.4739504420154786
7,train,auroc,0.5310445349767685
7,valid,auroc,0.4664540863015753
8,train,auroc,0.5327490938016405
8,valid,auroc,0.4731873130755765
9,train,auroc,0.5275785167240838
9,valid,auroc,0.47842227353211175
10,train,auroc,0.5059312609855133
10,valid,auroc,0.4663335072638104
11,train,auroc,0.5240592305058213
11,valid,auroc,0.4647699273008885
12,train,auroc,0.5206505307701101
12,valid,auroc,0.4646893618426199
13,train,auroc,0.5471220253682818
13,valid,auroc,0.4626335969085832
14,train,auroc,0.5475489888473533
14,valid,auroc,0.4623499131902702
15,train,auroc,0.5205724451404249
15,valid,auroc,0.46335204700859917
16,train,auroc,0.5298181823208477
16,valid,auroc,0.4631415719917863
17,train,auroc,0.5460413800472924
17,valid,auroc,0.4604891920271418
18,train,auroc,0.5435830328960067
18,valid,auroc,0.45831733388263785
19,train,auroc,0.5486600615246611
19,valid,auroc,0.4603406214270386
20,train,auroc,0.5813124564485357
20,valid,auroc,0.462513556170094
21,train,auroc,0.5691982216407716
21,valid,auroc,0.4626687657945979
22,train,auroc,0.5653500852994688
22,valid,auroc,0.4629940779902346
23,train,auroc,0.5819460141224082
23,valid,auroc,0.46023995946247587
24,train,auroc,0.573044814914876
24,valid,auroc,0.45589426940945693
25,train,auroc,0.5816712195721614
25,valid,auroc,0.45546183565794884
26,train,auroc,0.606137675155808
26,valid,auroc,0.4532138978824741
27,train,auroc,0.5866622543517388
27,valid,auroc,0.4539888694064425
28,train,auroc,0.5972151141117482
28,valid,auroc,0.45423146294670763
29,train,auroc,0.6185003920033628
29,valid,auroc,0.454461496170539
30,train,auroc,0.6196907879788378
30,valid,auroc,0.4482068174526673
31,train,auroc,0.6155770190487788
31,valid,auroc,0.4461928604290461
32,train,auroc,0.6133643732016034
32,valid,auroc,0.45110035549284166
33,train,auroc,0.6120195579909727
33,valid,auroc,0.44470930762511685
34,train,auroc,0.6214313195577723
34,valid,auroc,0.4448379611520179
35,train,auroc,0.6342561207367785
35,valid,auroc,0.4458646773039388
36,train,auroc,0.6100911419070176
36,valid,auroc,0.4499112523927403
37,train,auroc,0.6340834579467254
37,valid,auroc,0.444284589496561
38,train,auroc,0.6444774621533838
38,valid,auroc,0.44264690366667936
39,train,auroc,0.6456692886807405
39,valid,auroc,0.4426519277932529
40,train,auroc,0.6398894893849192
40,valid,auroc,0.4468707586502899
41,train,auroc,0.6400870662807799
41,valid,auroc,0.4475646264167139
42,train,auroc,0.6452039414051093
42,valid,auroc,0.45288212609552875
43,train,auroc,0.6473055667820838
43,valid,auroc,0.45144809682496734
44,train,auroc,0.6562586998450117
44,valid,auroc,0.4534299353251363
45,train,auroc,0.6485740323136274
45,valid,auroc,0.45959705069415485
46,train,auroc,0.6458576875414941
46,valid,auroc,0.4588753707984844
47,train,auroc,0.6613186904400172
47,valid,auroc,0.4506313173905835
48,train,auroc,0.6368064732697684
48,valid,auroc,0.45514388021908064
49,train,auroc,0.6510743316043694
49,valid,auroc,0.45534681904603325
50,train,auroc,0.6533556921627232
50,valid,auroc,0.4540202701975271
51,train,auroc,0.6813971933407905
51,valid,auroc,0.4436228402535892
52,train,auroc,0.6623678796932229
52,valid,auroc,0.4550970481820916
53,train,auroc,0.6786584419470474
53,valid,auroc,0.44944490578686075
54,train,auroc,0.6555661519980341
54,valid,auroc,0.4629432984252234
55,train,auroc,0.6752718916550797
55,valid,auroc,0.45689873585798085
56,train,auroc,0.6669455653470313
56,valid,auroc,0.4556360651901955
57,train,auroc,0.6757250872765237
57,valid,auroc,0.46859544082045423
58,train,auroc,0.6786000464977582
58,valid,auroc,0.446333894839289
59,train,auroc,0.6944264348499669
59,valid,auroc,0.4576365647319234
60,train,auroc,0.6893292177588004
60,valid,auroc,0.44743830552000785
61,train,auroc,0.7012214759206292
61,valid,auroc,0.4453177652397908
62,train,auroc,0.7022798592825586
62,valid,auroc,0.46274215392918994
63,train,auroc,0.714576529639299
63,valid,auroc,0.4395845190870158
64,train,auroc,0.702414041834352
64,valid,auroc,0.4422182380101014
65,train,auroc,0.7132900616571076
65,valid,auroc,0.4595956152294196
66,train,auroc,0.7127290442151761
66,valid,auroc,0.45884845583469763
67,train,auroc,0.7186130648413553
67,valid,auroc,0.44998446109424045
68,train,auroc,0.7103264564400489
68,valid,auroc,0.45466551159604296
69,train,auroc,0.7296681929744409
69,valid,auroc,0.439577880062615
70,train,auroc,0.7322585688128889
70,valid,auroc,0.4552404152225293
71,train,auroc,0.7169097436849654
71,valid,auroc,0.4419463968758545
72,train,auroc,0.7307898581651209
72,valid,auroc,0.4331105731308275
73,train,auroc,0.7389346329731086
73,valid,auroc,0.4460656423668804
74,train,auroc,0.7317685806829333
74,valid,auroc,0.43447139369988885
75,train,auroc,0.7419299192885843
75,valid,auroc,0.43509797405684586
76,train,auroc,0.7446795685944162
76,valid,auroc,0.4392622572539415
77,train,auroc,0.7459034780606062
77,valid,auroc,0.43846754808986294
78,train,auroc,0.7578593234499021
78,valid,auroc,0.42524171431811486
79,train,auroc,0.7378379301090858
79,valid,auroc,0.43452988888785216
80,train,auroc,0.7496362540552127
80,valid,auroc,0.43546473529671414
81,train,auroc,0.7565996662602827
81,valid,auroc,0.4301784569758921
82,train,auroc,0.7557098629897775
82,valid,auroc,0.427757904565998
83,train,auroc,0.7528076911355548
83,valid,auroc,0.43995468955563033
84,train,auroc,0.7624235876338079
84,valid,auroc,0.43663212699269427
85,train,auroc,0.7598919447905987
85,valid,auroc,0.4377532249509609
86,train,auroc,0.7625864776649381
86,valid,auroc,0.4369942229721728
87,train,auroc,0.7617744064045517
87,valid,auroc,0.44348252357571394
88,train,auroc,0.7779947591008496
88,valid,auroc,0.44465170960261313
89,train,auroc,0.7797170310512698
89,valid,auroc,0.44253332251949906
90,train,auroc,0.776168153304755
90,valid,auroc,0.44571843933403044
91,train,auroc,0.7726872508830523
91,valid,auroc,0.44025811091405365
92,train,auroc,0.7666906024250073
92,valid,auroc,0.43034407371972694
93,train,auroc,0.7769906402687303
93,valid,auroc,0.4304350462973263
94,train,auroc,0.7829468475072843
94,valid,auroc,0.43272389481775697
95,train,auroc,0.7895187224843794
95,valid,auroc,0.4284550021280765
96,train,auroc,0.8038986460742634
96,valid,auroc,0.43982065303597206
97,train,auroc,0.7781964990634225
97,valid,auroc,0.4392466465749453
98,train,auroc,0.7898684040145979
98,valid,auroc,0.44245706345543634
99,train,auroc,0.797102688807452
99,valid,auroc,0.4604592267007925
100,train,auroc,0.7870624970504914
100,valid,auroc,0.44769650973926933
101,train,auroc,0.7944498830419358
101,valid,auroc,0.4457659891033873
102,train,auroc,0.8082958893075602
102,valid,auroc,0.42926065671076175
103,train,auroc,0.8002035144898509
103,valid,auroc,0.44804299503975165
104,train,auroc,0.8047265016261999
104,valid,auroc,0.4505096617542671
105,train,auroc,0.8053220291230789
105,valid,auroc,0.4463559651095942
106,train,auroc,0.804425683890597
106,valid,auroc,0.4668744980359254
107,train,auroc,0.795404929122423
107,valid,auroc,0.4448636200841613
108,train,auroc,0.8006357661888002
108,valid,auroc,0.44378630380032114
109,train,auroc,0.8057430292903729
109,valid,auroc,0.45179817078728784
110,train,auroc,0.7981564911886363
110,valid,auroc,0.44705952226298146
111,train,auroc,0.8026429429943399
111,valid,auroc,0.45139013993627974
112,train,auroc,0.8191111830066125
112,valid,auroc,0.44636170696853533
113,train,auroc,0.8118249482847457
113,valid,auroc,0.4487835154100728
114,train,auroc,0.8167009924108096
114,valid,auroc,0.4497005979428355
115,train,auroc,0.8123571778792573
115,valid,auroc,0.45319200704526086
116,train,auroc,0.8144906450908153
116,valid,auroc,0.44913646030186394
117,train,auroc,0.8108508228212951
117,valid,auroc,0.4519148022970307
118,train,auroc,0.8292619773197412
118,valid,auroc,0.45615301192799423
119,train,auroc,0.8160359625955368
119,valid,auroc,0.44576688626884675
120,train,auroc,0.8166097907099382
120,valid,auroc,0.44504287374298146
121,train,auroc,0.8312558612443115
121,valid,auroc,0.45401739926805657
122,train,auroc,0.8281149801092208
122,valid,auroc,0.4501619204221414
123,train,auroc,0.8303576996931482
123,valid,auroc,0.45551656275098207
124,train,auroc,0.8280790073551585
124,valid,auroc,0.4575172417258018
125,train,auroc,0.8286122656611354
125,valid,auroc,0.46877146468361997
126,train,auroc,0.8311923383113109
126,valid,auroc,0.4646114878807301
127,train,auroc,0.830775549431579
127,valid,auroc,0.46945725796090804
128,train,auroc,0.8453322667309955
128,valid,auroc,0.4684391545973988
129,train,auroc,0.8267029450337603
129,valid,auroc,0.46460987298290285
130,train,auroc,0.8445799250300802
130,valid,auroc,0.4592593576151763
131,train,auroc,0.8480566161642205
131,valid,auroc,0.4616795511588866
132,train,auroc,0.8369009636326065
132,valid,auroc,0.45831302748843195
133,train,auroc,0.8453215456286899
133,valid,auroc,0.47601338427319195
134,train,auroc,0.8440347240269321
134,valid,auroc,0.4751592827556904
135,train,auroc,0.8486344144619344
135,valid,auroc,0.45874241087737755
136,train,auroc,0.8485315754626084
136,valid,auroc,0.455206322935066
137,train,auroc,0.8502457623838537
137,valid,auroc,0.45689317343213165
138,train,auroc,0.8497063639563163
138,valid,auroc,0.4642791777945089
139,train,auroc,0.8633885318474281
139,valid,auroc,0.460403064143024
140,train,auroc,0.8588461920766328
140,valid,auroc,0.46032734337823705
141,train,auroc,0.8568099863194234
141,valid,auroc,0.46916819124983766
142,train,auroc,0.8562283785745632
142,valid,auroc,0.47250977372051645
143,train,auroc,0.8527102818039329
143,valid,auroc,0.47094691148996215
144,train,auroc,0.8600977320898441
144,valid,auroc,0.4646245864964397
145,train,auroc,0.8590391236972816
145,valid,auroc,0.4826728640464172
146,train,auroc,0.8637116436893245
146,valid,auroc,0.4831329304940798
147,train,auroc,0.863280870763107
147,valid,auroc,0.47100612441029316
148,train,auroc,0.8670945934911625
148,valid,auroc,0.46789349856489415
149,train,auroc,0.8680985515871154
149,valid,auroc,0.4899424163321435
150,train,auroc,0.8694303310946428
150,valid,auroc,0.48429565692967014
151,train,auroc,0.8788164391692692
151,valid,auroc,0.480444305044869
152,train,auroc,0.8715992406309139
152,valid,auroc,0.4873806500789146
153,train,auroc,0.874455538383218
153,valid,auroc,0.48647487183094246
154,train,auroc,0.8672983908766667
154,valid,auroc,0.4875035617468745
155,train,auroc,0.8771602619305133
155,valid,auroc,0.4730416134049439
156,train,auroc,0.8757679813299155
156,valid,auroc,0.48813552509658875
157,train,auroc,0.8803262661284277
157,valid,auroc,0.4919003902310882
158,train,auroc,0.8763321652743271
158,valid,auroc,0.48731605416582635
159,train,auroc,0.8845363320958363
159,valid,auroc,0.4734248824892681
160,train,auroc,0.8741379880126825
160,valid,auroc,0.5027986179345529
161,train,auroc,0.8830336739697036
161,valid,auroc,0.4978749738924852
162,train,auroc,0.8747220710945065
162,valid,auroc,0.4925341479117218
163,train,auroc,0.8965376658202514
163,valid,auroc,0.48426658876878037
164,train,auroc,0.8854494421104839
164,valid,auroc,0.4899216020934818
165,train,auroc,0.8819720758844444
165,valid,auroc,0.49610056004656644
166,train,auroc,0.886830037191777
166,valid,auroc,0.49897238668261945
167,train,auroc,0.8904915427701579
167,valid,auroc,0.4988519870779464
168,train,auroc,0.8823254061256425
168,valid,auroc,0.4928327245766635
169,train,auroc,0.8993279170817411
169,valid,auroc,0.4898361919417316
170,train,auroc,0.8978036238675975
170,valid,auroc,0.4989619795632886
171,train,auroc,0.8910835501449905
171,valid,auroc,0.5007895056044132
172,train,auroc,0.8870128424339364
172,valid,auroc,0.4894696101349552
173,train,auroc,0.8919557849524973
173,valid,auroc,0.49179775450251456
174,train,auroc,0.8927830940014678
174,valid,auroc,0.501838830325915
175,train,auroc,0.8946772411347255
