epoch,subset,metric,score
0,train,auroc,0.5150270152489759
0,valid,auroc,0.4918235928677499
1,train,auroc,0.5059326915373952
1,valid,auroc,0.4677912217025042
2,train,auroc,0.5111129770794084
2,valid,auroc,0.4730263615921314
3,train,auroc,0.48993447622319897
3,valid,auroc,0.472916907406065
4,train,auroc,0.4960578330012953
4,valid,auroc,0.4704263760903252
5,train,auroc,0.49023317224140406
5,valid,auroc,0.4726059498577813
6,train,auroc,0.5096338828752847
6,valid,auroc,0.4662222587468249
7,train,auroc,0.4971732616287152
7,valid,auroc,0.46989166547642713
8,train,auroc,0.5164538862726042
8,valid,auroc,0.47725362580448827
9,train,auroc,0.510813975662487
9,valid,auroc,0.4935843697986832
10,train,auroc,0.5124349677543961
10,valid,auroc,0.5039952572245145
11,train,auroc,0.5212144414630386
11,valid,auroc,0.4968617152224576
12,train,auroc,0.5629194812105207
12,valid,auroc,0.46603098307084667
13,train,auroc,0.5585286834975007
13,valid,auroc,0.5017448073857531
14,train,auroc,0.5809599138145534
14,valid,auroc,0.4600472483217623
15,train,auroc,0.5808327072123861
15,valid,auroc,0.4658937167555339
16,train,auroc,0.5765317127955889
16,valid,auroc,0.5048893723215125
17,train,auroc,0.5691039980999699
17,valid,auroc,0.5216810799288296
18,train,auroc,0.5920183048918187
18,valid,auroc,0.5061769841890736
19,train,auroc,0.6051663786488879
19,valid,auroc,0.5269210645119384
20,train,auroc,0.6091701075993616
20,valid,auroc,0.5028642904461926
21,train,auroc,0.6378960876688484
21,valid,auroc,0.4925782884523322
22,train,auroc,0.5911159642003267
22,valid,auroc,0.45570263486729484
23,train,auroc,0.59213858376521
23,valid,auroc,0.49789919735989324
24,train,auroc,0.6013372573960818
24,valid,auroc,0.48067272337087313
25,train,auroc,0.6044213504435483
25,valid,auroc,0.47409327075664065
26,train,auroc,0.6065217381520407
26,valid,auroc,0.4514789593167762
27,train,auroc,0.6142603648145188
27,valid,auroc,0.4514025208196216
28,train,auroc,0.6088516892535271
28,valid,auroc,0.45936073731210664
29,train,auroc,0.6269566092075591
29,valid,auroc,0.44427848877143594
30,train,auroc,0.6352967748995431
30,valid,auroc,0.46784917859119185
31,train,auroc,0.6297969297849132
31,valid,auroc,0.45335816208837154
32,train,auroc,0.6321182493542585
32,valid,auroc,0.4429625264753527
33,train,auroc,0.6355418975534541
33,valid,auroc,0.4394881635166589
34,train,auroc,0.6389759614562388
34,valid,auroc,0.45118271528202936
35,train,auroc,0.6454147468874727
35,valid,auroc,0.43596822455261947
36,train,auroc,0.6406458173427637
36,valid,auroc,0.4271270178148351
37,train,auroc,0.6404837470660828
37,valid,auroc,0.43576026159909337
38,train,auroc,0.6598077544013099
38,valid,auroc,0.4401949504657007
39,train,auroc,0.6266425628854533
39,valid,auroc,0.4376563310813284
40,train,auroc,0.6541389916493061
40,valid,auroc,0.42173630943452023
41,train,auroc,0.6524269907399252
41,valid,auroc,0.41649829861542254
42,train,auroc,0.6519574964711982
42,valid,auroc,0.46405668076053785
43,train,auroc,0.6612588162179962
43,valid,auroc,0.4214415008645086
44,train,auroc,0.6609939551628392
44,valid,auroc,0.4180769509580651
45,train,auroc,0.6598750546342229
45,valid,auroc,0.41892674608136066
46,train,auroc,0.6619594973149988
46,valid,auroc,0.445925505122097
47,train,auroc,0.6358526648577633
47,valid,auroc,0.4300524949453698
48,train,auroc,0.648692591310037
48,valid,auroc,0.43101030878999647
49,train,auroc,0.6566211277532337
49,valid,auroc,0.4197266588051048
50,train,auroc,0.647266620408941
50,valid,auroc,0.4310054640965149
51,train,auroc,0.665675669263606
51,valid,auroc,0.42226527818947707
52,train,auroc,0.6501015081038675
52,valid,auroc,0.4184081844457348
53,train,auroc,0.6566890387835794
53,valid,auroc,0.41518574554808557
54,train,auroc,0.64884630330606
54,valid,auroc,0.4228767861667134
55,train,auroc,0.6635619565269106
55,valid,auroc,0.41314864165560766
56,train,auroc,0.6658657880013409
56,valid,auroc,0.40902849899912225
57,train,auroc,0.6639018170773561
57,valid,auroc,0.41272966538599287
58,train,auroc,0.6534125445448138
58,valid,auroc,0.41212282266914624
59,train,auroc,0.6497678037485988
59,valid,auroc,0.4200015503019141
60,train,auroc,0.6616332350442391
60,valid,auroc,0.41718768055454875
61,train,auroc,0.666075371888839
61,valid,auroc,0.41428050559938906
62,train,auroc,0.6652818978029167
62,valid,auroc,0.4763758391188544
63,train,auroc,0.661935338669174
63,valid,auroc,0.4193374684287474
64,train,auroc,0.6679600516618899
64,valid,auroc,0.4233056312563833
65,train,auroc,0.6640019074882351
65,valid,auroc,0.4183857553092458
66,train,auroc,0.6750571963574871
66,valid,auroc,0.40925673789203443
67,train,auroc,0.6760746080705758
67,valid,auroc,0.4108366462663203
68,train,auroc,0.6667722917595453
68,valid,auroc,0.4120514082985652
69,train,auroc,0.6709691452140679
69,valid,auroc,0.4211258780558353
70,train,auroc,0.675288592142779
70,valid,auroc,0.4232598758179458
71,train,auroc,0.6633962536128668
71,valid,auroc,0.4254267098358761
72,train,auroc,0.6701320473325575
72,valid,auroc,0.42150268754885073
73,train,auroc,0.6587571506698391
73,valid,auroc,0.4210930418000154
74,train,auroc,0.655938545548579
74,valid,auroc,0.42080738431769127
75,train,auroc,0.676500108850532
75,valid,auroc,0.42011907897711653
76,train,auroc,0.6645447938905855
76,valid,auroc,0.4151376574794532
77,train,auroc,0.6664944432221351
77,valid,auroc,0.42270740132794843
78,train,auroc,0.6608851207045028
78,valid,auroc,0.4090930949122106
79,train,auroc,0.6532249011440429
79,valid,auroc,0.4178009828627043
80,train,auroc,0.6623906720816324
80,valid,auroc,0.41541882913447936
81,train,auroc,0.6641483863567655
81,valid,auroc,0.41562356229235103
82,train,auroc,0.6662694768835031
82,valid,auroc,0.42308098102530944
83,train,auroc,0.681344793350512
83,valid,auroc,0.4130257299876478
84,train,auroc,0.6849455728051894
84,valid,auroc,0.41883702953540475
85,train,auroc,0.6398997764995753
85,valid,auroc,0.4215845090387626
86,train,auroc,0.6593633671217901
86,valid,auroc,0.4345971762973192
87,train,auroc,0.665401292627392
87,valid,auroc,0.42986642282905696
88,train,auroc,0.6745463446731199
88,valid,auroc,0.44463179252941093
89,train,auroc,0.618025336263275
89,valid,auroc,0.45005587546482145
90,train,auroc,0.636917413371886
90,valid,auroc,0.4769810669378738
91,train,auroc,0.6179400818005639
91,valid,auroc,0.4698374766826697
92,train,auroc,0.6256679069926534
92,valid,auroc,0.4695568433269192
93,train,auroc,0.5915535684136202
93,valid,auroc,0.46508375577864275
94,train,auroc,0.5593013101026281
94,valid,auroc,0.4669679826768116
95,train,auroc,0.593801319039559
95,valid,auroc,0.45844921720519327
96,train,auroc,0.6393190367300143
96,valid,auroc,0.4396579072216078
97,train,auroc,0.6462524073455657
97,valid,auroc,0.42691259527000014
98,train,auroc,0.6464336855941433
98,valid,auroc,0.4196141542564759
99,train,auroc,0.6449543502857696
99,valid,auroc,0.43648965711771603
100,train,auroc,0.6534043470003225
100,valid,auroc,0.4391120717560112
101,train,auroc,0.6698734228406608
101,valid,auroc,0.43605112264108287
102,train,auroc,0.6761258186132223
102,valid,auroc,0.42696965499322814
103,train,auroc,0.6660745039135398
103,valid,auroc,0.4479884473798103
104,train,auroc,0.6661361301597757
104,valid,auroc,0.43332391907711104
105,train,auroc,0.6577433555204965
105,valid,auroc,0.43006326093088454
106,train,auroc,0.6725337349851525
106,valid,auroc,0.42451752235915763
107,train,auroc,0.666594131792598
107,valid,auroc,0.4290281114236437
108,train,auroc,0.658214617887055
108,valid,auroc,0.4295430843974314
109,train,auroc,0.668717906613316
109,valid,auroc,0.4221554651372268
110,train,auroc,0.6538185480277738
110,valid,auroc,0.4352797397789528
111,train,auroc,0.6667655408405524
111,valid,auroc,0.4288129711464411
112,train,auroc,0.6748676401963347
112,valid,auroc,0.4214036404821152
113,train,auroc,0.6636975374833525
113,valid,auroc,0.42762781557436175
114,train,auroc,0.6645605299612858
114,valid,auroc,0.42778051313557885
115,train,auroc,0.6723272854529011
115,valid,auroc,0.4199965261753406
116,train,auroc,0.6538870859291689
116,valid,auroc,0.4233788399578834
117,train,auroc,0.6621719423062605
117,valid,auroc,0.4290252404941731
118,train,auroc,0.6655488162810049
118,valid,auroc,0.4268201872276654
119,train,auroc,0.6723078042295214
119,valid,auroc,0.4278296778027628
120,train,auroc,0.6703693582087769
120,valid,auroc,0.4289645921091068
121,train,auroc,0.6701145592376425
121,valid,auroc,0.42913577127879093
122,train,auroc,0.6721972498942035
122,valid,auroc,0.4264178982355985
123,train,auroc,0.6557763306093483
123,valid,auroc,0.4099829036150026
124,train,auroc,0.637711273224608
124,valid,auroc,0.4309505575703898
125,train,auroc,0.6665793601388966
125,valid,auroc,0.4465580067710872
126,train,auroc,0.5778284357452032
126,valid,auroc,0.49575694567555484
127,train,auroc,0.5683841411783042
127,valid,auroc,0.47952524874809527
128,train,auroc,0.6079255274621598
128,valid,auroc,0.44129846398095995
129,train,auroc,0.6436009678374647
129,valid,auroc,0.4231701592719897
130,train,auroc,0.6522853339563897
130,valid,auroc,0.4433373622043571
131,train,auroc,0.6595567809509383
131,valid,auroc,0.4417692964141373
132,train,auroc,0.653449674599275
132,valid,auroc,0.4040770428278081
133,train,auroc,0.6195628580639213
133,valid,auroc,0.4075759881200939
134,train,auroc,0.6380848240755517
134,valid,auroc,0.4206344108170881
135,train,auroc,0.6553126389162318
135,valid,auroc,0.42051383177932317
136,train,auroc,0.6455902225604397
136,valid,auroc,0.4143964193767643
137,train,auroc,0.6583166210583151
137,valid,auroc,0.41069991825028335
138,train,auroc,0.6598360600402303
138,valid,auroc,0.41966080686037305
139,train,auroc,0.6707639012030653
139,valid,auroc,0.4126141104748015
140,train,auroc,0.662484670591801
140,valid,auroc,0.4193367506963799
141,train,auroc,0.6632271270184766
141,valid,auroc,0.39167390978247685
142,train,auroc,0.6340778000336647
142,valid,auroc,0.3946840793323941
143,train,auroc,0.6299534868110832
143,valid,auroc,0.40301228686040175
144,train,auroc,0.6454062439442649
144,valid,auroc,0.4109853962995154
145,train,auroc,0.6492934070267937
145,valid,auroc,0.41618734106713884
146,train,auroc,0.6408784990173876
146,valid,auroc,0.4129647227363977
147,train,auroc,0.6552995710658955
147,valid,auroc,0.41711644561705963
148,train,auroc,0.6637788378363678
148,valid,auroc,0.4164435715223893
149,train,auroc,0.669038736001648
149,valid,auroc,0.42618607068084813
150,train,auroc,0.6679869106753117
150,valid,auroc,0.42443982783035966
151,train,auroc,0.6551297854532226
151,valid,auroc,0.4233167561080819
152,train,auroc,0.6545877027317049
152,valid,auroc,0.4255858669884022
153,train,auroc,0.6614693163016434
153,valid,auroc,0.4240870623716605
154,train,auroc,0.663665100924953
154,valid,auroc,0.4256763012667259
155,train,auroc,0.6536546132115613
155,valid,auroc,0.42522323270964785
156,train,auroc,0.6690071031240811
156,valid,auroc,0.4234441536033395
157,train,auroc,0.6712703969373202
157,valid,auroc,0.4185278663180401
158,train,auroc,0.656079816565315
158,valid,auroc,0.4214262490516961
159,train,auroc,0.6788714655885084
159,valid,auroc,0.42125417271655236
160,train,auroc,0.6695305243766684
160,valid,auroc,0.42479654081708085
161,train,auroc,0.6663326301233207
161,valid,auroc,0.4195741406769795
162,train,auroc,0.6742647027621803
162,valid,auroc,0.42300974608782027
163,train,auroc,0.672037220966837
163,valid,auroc,0.4224533240698009
164,train,auroc,0.6658908146224648
164,valid,auroc,0.42653058221731927
165,train,auroc,0.6742061144294915
165,valid,auroc,0.42344863943063726
166,train,auroc,0.6682734068184796
166,valid,auroc,0.42250894832829367
167,train,auroc,0.6762471904925458
167,valid,auroc,0.42246068082656935
168,train,auroc,0.6637910055641718
168,valid,auroc,0.499595916677014
169,train,auroc,0.6516771083023574
169,valid,auroc,0.4120469224712674
170,train,auroc,0.6622804713658806
170,valid,auroc,0.4186367822048308
171,train,auroc,0.6628492684382706
171,valid,auroc,0.4202242267689771
172,train,auroc,0.6825292420878265
172,valid,auroc,0.4266163512352533
173,train,auroc,0.6606178164596149
173,valid,auroc,0.4212218747600082
174,train,auroc,0.6799468066160036
174,valid,auroc,0.42466752842399613
175,train,auroc,0.666341567054178
175,valid,auroc,0.420957031516346
176,train,auroc,0.6739637403640276
176,valid,auroc,0.424012418205425
177,train,auroc,0.6781916641195344
177,valid,auroc,0.4277107136628251
178,train,auroc,0.6759639412199412
178,valid,auroc,0.42290352169740836
179,train,auroc,0.6763250350179812
179,valid,auroc,0.42679596376025725
180,train,auroc,0.6771739148604958
180,valid,auroc,0.42299090561316954
181,train,auroc,0.6785175888443442
181,valid,auroc,0.42224966751048065
182,train,auroc,0.6653237535006731
182,valid,auroc,0.4264476841288559
183,train,auroc,0.6762129858363147
183,valid,auroc,0.42835595506134105
184,train,auroc,0.6715479722232475
184,valid,auroc,0.4291494081937763
185,train,auroc,0.6809421974742819
185,valid,auroc,0.4294827948785489
186,train,auroc,0.6723335541633946
186,valid,auroc,0.43066238802477896
187,train,auroc,0.6856772438350929
187,valid,auroc,0.4293476817603391
188,train,auroc,0.6731957429604953
188,valid,auroc,0.430837873588669
189,train,auroc,0.6628481272114886
189,valid,auroc,0.43060299567135607
190,train,auroc,0.6823163952561485
190,valid,auroc,0.42641054147883006
191,train,auroc,0.6811796690866675
191,valid,auroc,0.42572098010661197
192,train,auroc,0.6663544580947313
192,valid,auroc,0.4290264965258164
193,train,auroc,0.6693513839191052
193,valid,auroc,0.4232638233459678
194,train,auroc,0.6743201888868557
194,valid,auroc,0.4240310792469839
195,train,auroc,0.665838703957286
195,valid,auroc,0.41958777759196486
196,train,auroc,0.6661391359260891
196,valid,auroc,0.4237281961878363
197,train,auroc,0.6679985801209998
197,valid,auroc,0.4216670482610421
198,train,auroc,0.6760915335889082
198,valid,auroc,0.4168300704023679
199,train,auroc,0.682749868549963
199,valid,auroc,0.41670805589986765
0,train,auprc,0.010732327907624281
0,valid,auprc,0.008942153613449232
1,train,auprc,0.011261177171917804
1,valid,auprc,0.008588161567208872
2,train,auprc,0.010116014314782495
2,valid,auprc,0.008758071695876616
3,train,auprc,0.009908238626463423
3,valid,auprc,0.008395306344905148
4,train,auprc,0.009973851362852304
4,valid,auprc,0.008115218910621547
5,train,auprc,0.009744673517793425
5,valid,auprc,0.008381455472985879
6,train,auprc,0.010669997930582587
6,valid,auprc,0.008451452921652475
7,train,auprc,0.00996023379306341
7,valid,auprc,0.008832598416118427
8,train,auprc,0.010898126373752948
8,valid,auprc,0.00915353009889684
9,train,auprc,0.010786610705780247
9,valid,auprc,0.01036033242972786
10,train,auprc,0.010387585473539135
10,valid,auprc,0.0109314859649282
11,train,auprc,0.011091435903675811
11,valid,auprc,0.017205984718355584
12,train,auprc,0.013615108667951997
