epoch,subset,metric,score
0,train,auroc,0.5175082833776044
0,valid,auroc,0.49163034342776063
1,train,auroc,0.49426149382535234
1,valid,auroc,0.48157670728792623
2,train,auroc,0.48727405156339065
2,valid,auroc,0.4766412206617923
3,train,auroc,0.5083309876568769
3,valid,auroc,0.46226970659818545
4,train,auroc,0.5023153401839516
4,valid,auroc,0.455273789777625
5,train,auroc,0.5016894014043711
5,valid,auroc,0.4535492583312579
6,train,auroc,0.5102415459527341
6,valid,auroc,0.4487243024897418
7,train,auroc,0.551174457377205
7,valid,auroc,0.4706779412851859
8,train,auroc,0.5587472846839394
8,valid,auroc,0.4552919125199081
9,train,auroc,0.5699393439572653
9,valid,auroc,0.47113800773284853
10,train,auroc,0.6034487841209126
10,valid,auroc,0.4421479002380718
11,train,auroc,0.5858165410117042
11,valid,auroc,0.4733696170969591
12,train,auroc,0.6100839087795251
12,valid,auroc,0.4870483399926935
13,train,auroc,0.6240843985747717
13,valid,auroc,0.5201397496693048
14,train,auroc,0.6104053168180565
14,valid,auroc,0.49532774171970106
15,train,auroc,0.6379916292462156
15,valid,auroc,0.5232155917308619
16,train,auroc,0.6201569389353017
16,valid,auroc,0.5246343691886107
17,train,auroc,0.6362691804860121
17,valid,auroc,0.5255842879771934
18,train,auroc,0.6507527146088216
18,valid,auroc,0.5132138117545901
19,train,auroc,0.6635123211986959
19,valid,auroc,0.5213749670740276
20,train,auroc,0.6495788583848793
20,valid,auroc,0.48626583227886483
21,train,auroc,0.6517971139242655
21,valid,auroc,0.47188373166283515
22,train,auroc,0.6440260667770046
22,valid,auroc,0.49699072761554236
23,train,auroc,0.6632862136332816
23,valid,auroc,0.5108783106302623
24,train,auroc,0.6687231466123439
24,valid,auroc,0.43000153594726676
25,train,auroc,0.6630478740455968
25,valid,auroc,0.4669299428613263
26,train,auroc,0.6674506305294045
26,valid,auroc,0.4562813065887114
27,train,auroc,0.6102093794310943
27,valid,auroc,0.456173826166656
28,train,auroc,0.6087267651049241
28,valid,auroc,0.4814887850728893
29,train,auroc,0.5949179853354609
29,valid,auroc,0.45381158951163336
30,train,auroc,0.6008597745398798
30,valid,auroc,0.4642730770693839
31,train,auroc,0.6026780381289333
31,valid,auroc,0.4728858654811642
32,train,auroc,0.5959314590124705
32,valid,auroc,0.5015119032324512
33,train,auroc,0.6346680875315156
33,valid,auroc,0.5342783595796098
34,train,auroc,0.621214679352565
34,valid,auroc,0.5091494727896894
35,train,auroc,0.6268713225976148
35,valid,auroc,0.5288295148775154
36,train,auroc,0.6289253861429223
36,valid,auroc,0.49356660592258395
37,train,auroc,0.6218480119958044
37,valid,auroc,0.4833310246275507
38,train,auroc,0.6391875866930514
38,valid,auroc,0.523398792917704
39,train,auroc,0.6250749834216718
39,valid,auroc,0.514642637465486
40,train,auroc,0.6196828476122128
40,valid,auroc,0.5075017387066606
41,train,auroc,0.6240967109651254
41,valid,auroc,0.5358225607686052
42,train,auroc,0.6352631649671282
42,valid,auroc,0.42868844458065414
43,train,auroc,0.6448708960681233
43,valid,auroc,0.5072855218309065
44,train,auroc,0.6503483667083766
44,valid,auroc,0.5086359352806369
45,train,auroc,0.6311415360385273
45,valid,auroc,0.5088146506401814
46,train,auroc,0.6417450598382171
46,valid,auroc,0.5309152451379014
47,train,auroc,0.6348902731344672
47,valid,auroc,0.5123685024585922
48,train,auroc,0.6300699401637118
48,valid,auroc,0.5200545189506466
49,train,auroc,0.6298064292923533
49,valid,auroc,0.5259576882414624
50,train,auroc,0.6431542820307639
50,valid,auroc,0.48901438838077427
51,train,auroc,0.6315989750947668
51,valid,auroc,0.4777730846055738
52,train,auroc,0.6300892606509249
