epoch,subset,metric,score
0,train,auroc,0.49866198392921235
0,valid,auroc,0.4580846091624279
1,train,auroc,0.4894934804767923
1,valid,auroc,0.45054608667192525
2,train,auroc,0.5126496630519889
2,valid,auroc,0.44788024922538733
3,train,auroc,0.5364517317650284
3,valid,auroc,0.4519228767861667
4,train,auroc,0.5569098774174559
4,valid,auroc,0.45277751660294396
5,train,auroc,0.5732147773373321
5,valid,auroc,0.456041045678641
6,train,auroc,0.6009098438557443
6,valid,auroc,0.45480223961208
7,train,auroc,0.6075938966034391
7,valid,auroc,0.46557037832390824
8,train,auroc,0.6466226148842462
8,valid,auroc,0.4678093444447873
9,train,auroc,0.6630486134319629
9,valid,auroc,0.48399708026472843
10,train,auroc,0.6766068376650873
10,valid,auroc,0.4961127614968165
11,train,auroc,0.6952073232940523
11,valid,auroc,0.5111368737157076
12,train,auroc,0.7252246095043423
12,valid,auroc,0.5215886718864949
13,train,auroc,0.7363598646164276
13,valid,auroc,0.5041409568951473
14,train,auroc,0.7563512806621917
14,valid,auroc,0.5240856627935435
15,train,auroc,0.7793707892750144
15,valid,auroc,0.555584783212527
16,train,auroc,0.7938329294140627
16,valid,auroc,0.5457077092351341
17,train,auroc,0.8061439535104715
17,valid,auroc,0.5203380232358676
18,train,auroc,0.8039897674070517
18,valid,auroc,0.5511323304698205
19,train,auroc,0.8199407584355304
19,valid,auroc,0.5435907576167553
20,train,auroc,0.8438663046716746
20,valid,auroc,0.5196364398464914
21,train,auroc,0.8557797960810979
21,valid,auroc,0.5438581129237043
22,train,auroc,0.8666958552829286
22,valid,auroc,0.5274557751258364
23,train,auroc,0.8724786924922965
23,valid,auroc,0.5180680151900878
24,train,auroc,0.8894041143829423
24,valid,auroc,0.5163847533548606
25,train,auroc,0.8910295910138967
25,valid,auroc,0.5430431278202397
26,train,auroc,0.9021498012207977
26,valid,auroc,0.5240047384690912
27,train,auroc,0.9163773951456906
27,valid,auroc,0.542464814965007
28,train,auroc,0.9188600456053511
28,valid,auroc,0.5320024302417968
29,train,auroc,0.9220247478403168
29,valid,auroc,0.5059234452302019
30,train,auroc,0.9369991380683809
30,valid,auroc,0.5195264473611493
31,train,auroc,0.9469445919288071
31,valid,auroc,0.5311913926663543
32,train,auroc,0.9465177731122855
32,valid,auroc,0.5144188843998716
33,train,auroc,0.9590201536149113
33,valid,auroc,0.5281175243688082
34,train,auroc,0.95963492123092
34,valid,auroc,0.5213618684583181
35,train,auroc,0.9643878253798293
