epoch,subset,metric,score
0,train,auroc,0.48236414032704533
0,valid,auroc,0.4580375976923469
1,train,auroc,0.5103164490063227
1,valid,auroc,0.4946580974206852
2,train,auroc,0.5004028852013298
2,valid,auroc,0.4491664256282132
3,train,auroc,0.4801801698119734
3,valid,auroc,0.4589740589990361
4,train,auroc,0.4982096080622175
4,valid,auroc,0.47240265216464494
5,train,auroc,0.5012714070033906
5,valid,auroc,0.47541497491166507
6,train,auroc,0.48436721836033936
6,valid,auroc,0.46197453916199005
7,train,auroc,0.4911189088868969
7,valid,auroc,0.4658163810929198
8,train,auroc,0.4948318018177075
8,valid,auroc,0.46781598346918807
9,train,auroc,0.5043236742898901
9,valid,auroc,0.467618248201901
10,train,auroc,0.48988516236731716
10,valid,auroc,0.46304162775959123
11,train,auroc,0.5070662190571628
11,valid,auroc,0.46473852650980385
12,train,auroc,0.49709525636711316
12,valid,auroc,0.4702580678501117
13,train,auroc,0.482927906357424
13,valid,auroc,0.47489784874077445
14,train,auroc,0.4940784153317099
14,valid,auroc,0.4683087067395787
15,train,auroc,0.5095811614126728
15,valid,auroc,0.46875639230389937
16,train,auroc,0.4872405862935256
16,valid,auroc,0.47926381473317936
17,train,auroc,0.5120636672097834
17,valid,auroc,0.4743390940925602
18,train,auroc,0.4880070084826261
18,valid,auroc,0.4683505146499942
19,train,auroc,0.5054751560394557
19,valid,auroc,0.46325640917061
20,train,auroc,0.5150963407575868
20,valid,auroc,0.464213684715961
21,train,auroc,0.5157411017422644
21,valid,auroc,0.46515319638521274
22,train,auroc,0.4990798336676431
22,valid,auroc,0.4652922570314446
23,train,auroc,0.47441334192478857
23,valid,auroc,0.4650661713356354
24,train,auroc,0.5251953619514862
24,valid,auroc,0.4639142108855597
25,train,auroc,0.5051514012528935
25,valid,auroc,0.4611984910394702
26,train,auroc,0.5201709261965104
26,valid,auroc,0.45976051424088676
27,train,auroc,0.49205606503205274
27,valid,auroc,0.4593540982877059
28,train,auroc,0.4948395653745494
28,valid,auroc,0.4570410262998672
29,train,auroc,0.49513515918474105
29,valid,auroc,0.4526921064511939
30,train,auroc,0.5224807531299511
30,valid,auroc,0.505604951492058
31,train,auroc,0.49857378799465435
31,valid,auroc,0.5113349678491785
32,train,auroc,0.5067602095433821
32,valid,auroc,0.501398142652179
33,train,auroc,0.49892551087418746
33,valid,auroc,0.508335743717868
34,train,auroc,0.5016862670491244
34,valid,auroc,0.5132597466261196
35,train,auroc,0.4857654622727143
35,valid,auroc,0.5114108680470574
36,train,auroc,0.4895116597372234
36,valid,auroc,0.5100071629690291
37,train,auroc,0.48670001449197275
37,valid,auroc,0.509581009375738
38,train,auroc,0.4984821362325166
38,valid,auroc,0.5121384692347609
39,train,auroc,0.49593543241050625
