epoch,subset,metric,score
0,train,auroc,0.5068682885417359
0,valid,auroc,0.4737405052979415
1,train,auroc,0.5099546318955334
1,valid,auroc,0.4620976302630418
2,train,auroc,0.4902980453582031
2,valid,auroc,0.45087570526176773
3,train,auroc,0.4997831508377762
3,valid,auroc,0.4438555649737992
4,train,auroc,0.49268574896431255
4,valid,auroc,0.43519791828904086
5,train,auroc,0.5073453695575215
5,valid,auroc,0.4356125881644497
6,train,auroc,0.48688177494904983
6,valid,auroc,0.4325100105721978
7,train,auroc,0.515327125745446
7,valid,auroc,0.4364975521737602
8,train,auroc,0.5138589133797942
8,valid,auroc,0.4401802369521639
9,train,auroc,0.5294978029937818
9,valid,auroc,0.4411897275272613
10,train,auroc,0.5182539223803766
10,valid,auroc,0.44020410155338824
11,train,auroc,0.5669202686891477
11,valid,auroc,0.4403987864581128
12,train,auroc,0.550341345752624
12,valid,auroc,0.44658635719960926
13,train,auroc,0.568722699765801
13,valid,auroc,0.44283171975134883
14,train,auroc,0.5679151291180766
14,valid,auroc,0.4396383490145894
15,train,auroc,0.5899305510460131
15,valid,auroc,0.4494447263537688
16,train,auroc,0.6056906035823076
16,valid,auroc,0.4521484241827002
17,train,auroc,0.6219510438785303
17,valid,auroc,0.4572425296620844
18,train,auroc,0.6363295690637658
18,valid,auroc,0.4532461958390184
19,train,auroc,0.6356092460072171
19,valid,auroc,0.4476335287240082
20,train,auroc,0.6308917841830212
20,valid,auroc,0.4556348091585521
21,train,auroc,0.6467840582898778
21,valid,auroc,0.4508039320250029
22,train,auroc,0.6419507699841025
22,valid,auroc,0.44443369839593994
23,train,auroc,0.6697083307240494
23,valid,auroc,0.44574194506907094
24,train,auroc,0.6569984719777068
24,valid,auroc,0.440614644467683
25,train,auroc,0.6605067316949474
25,valid,auroc,0.4437534675445012
26,train,auroc,0.6552087069109737
26,valid,auroc,0.44155971856278403
27,train,auroc,0.6899410921238122
27,valid,auroc,0.45361816063855215
28,train,auroc,0.6909267262967841
28,valid,auroc,0.451842670194082
29,train,auroc,0.6859059392527876
