epoch,subset,metric,score
0,train,auroc,0.47995290494616044
0,valid,auroc,0.4885295601664278
1,train,auroc,0.49217261482638114
1,valid,auroc,0.4812094077487822
2,train,auroc,0.49901473552021103
2,valid,auroc,0.4692187913817568
3,train,auroc,0.4819017023760277
3,valid,auroc,0.45022400427194303
4,train,auroc,0.5042290167614389
4,valid,auroc,0.4713870608644225
5,train,auroc,0.49188274322371683
5,valid,auroc,0.46230272228709723
6,train,auroc,0.508214598598715
6,valid,auroc,0.44476582904906925
7,train,auroc,0.4861518398697446
7,valid,auroc,0.43849446305364975
8,train,auroc,0.4852955983108043
8,valid,auroc,0.44254749773376006
9,train,auroc,0.5023709870447935
9,valid,auroc,0.4342734789995098
10,train,auroc,0.5005803540027614
10,valid,auroc,0.43571988915341314
11,train,auroc,0.510023973477761
11,valid,auroc,0.43980486292388377
12,train,auroc,0.4994577726159322
12,valid,auroc,0.43787541888655307
13,train,auroc,0.4870445363912468
13,valid,auroc,0.4385211985843447
14,train,auroc,0.5132432456412531
14,valid,auroc,0.4404746866559916
15,train,auroc,0.5129399043478362
15,valid,auroc,0.4427751983273965
16,train,auroc,0.5448441045638913
16,valid,auroc,0.4602155565619758
17,train,auroc,0.5601900042935845
17,valid,auroc,0.4582547117335605
18,train,auroc,0.5601088968239691
18,valid,auroc,0.48445284031818514
19,train,auroc,0.5630533422899812
19,valid,auroc,0.44702614770788585
20,train,auroc,0.5871725756067566
20,valid,auroc,0.4622244894590236
21,train,auroc,0.5831928927867909
21,valid,auroc,0.4721365528893393
22,train,auroc,0.5992256985240176
22,valid,auroc,0.47390109791520274
23,train,auroc,0.6098501662462023
23,valid,auroc,0.48505430004227446
24,train,auroc,0.6042062854527726
24,valid,auroc,0.47058320061265635
25,train,auroc,0.597635535628843
25,valid,auroc,0.4712916024595252
26,train,auroc,0.6050039386790238
26,valid,auroc,0.48025033787251203
27,train,auroc,0.6111755966751531
27,valid,auroc,0.49161993630842976
28,train,auroc,0.6062307253225943
28,valid,auroc,0.4566496827264069
29,train,auroc,0.6187157784664715
29,valid,auroc,0.4625347292749396
30,train,auroc,0.6061741944128365
30,valid,auroc,0.4801331680634935
31,train,auroc,0.626204219285794
31,valid,auroc,0.469610314388309
32,train,auroc,0.6073525030285909
32,valid,auroc,0.48936553894164625
33,train,auroc,0.6141144967434209
33,valid,auroc,0.48800256517548196
34,train,auroc,0.6295050489801676
