epoch,subset,metric,score
0,train,auroc,0.5112674606090306
0,valid,auroc,0.4849701459221677
1,train,auroc,0.5056069596959849
1,valid,auroc,0.4508452016361428
2,train,auroc,0.5099575572937636
2,valid,auroc,0.48288818375671166
3,train,auroc,0.4885042779609241
3,valid,auroc,0.4764309250780713
4,train,auroc,0.49488150144038895
4,valid,auroc,0.47952381328336
5,train,auroc,0.4887680781573823
5,valid,auroc,0.4783347101832586
6,train,auroc,0.5105098146146209
6,valid,auroc,0.47398776409859633
7,train,auroc,0.498993888039416
7,valid,auroc,0.483322232406047
8,train,auroc,0.5171378508082908
8,valid,auroc,0.4884059307661004
9,train,auroc,0.5073361754487979
9,valid,auroc,0.4934017069111168
10,train,auroc,0.5148170938155281
10,valid,auroc,0.5028352222853029
11,train,auroc,0.5271603615869367
11,valid,auroc,0.5035292694848188
12,train,auroc,0.5614097667666789
12,valid,auroc,0.5032545574211015
13,train,auroc,0.5684163044852205
13,valid,auroc,0.4908821074344871
14,train,auroc,0.600800270011042
14,valid,auroc,0.46863527496685875
15,train,auroc,0.5762425645056739
15,valid,auroc,0.43816592106235874
16,train,auroc,0.6102366885057824
16,valid,auroc,0.5056655998771242
17,train,auroc,0.5670398242497896
17,valid,auroc,0.5092723844576491
18,train,auroc,0.5628862409712888
18,valid,auroc,0.49548313077729694
19,train,auroc,0.602068253334086
19,valid,auroc,0.4902004411183131
20,train,auroc,0.61119461176365
20,valid,auroc,0.5237578385346201
21,train,auroc,0.6243954712777973
21,valid,auroc,0.49703899511726674
22,train,auroc,0.6288021336504508
22,valid,auroc,0.519494328837697
23,train,auroc,0.6441678682230899
23,valid,auroc,0.541385166050972
24,train,auroc,0.6324021737187624
24,valid,auroc,0.5458029882069395
25,train,auroc,0.6445163120848265
25,valid,auroc,0.47331811979958044
26,train,auroc,0.6119772843791836
26,valid,auroc,0.49844090586437584
27,train,auroc,0.6455153998749343
27,valid,auroc,0.500391881872736
28,train,auroc,0.6281194389304796
28,valid,auroc,0.5162907304146985
29,train,auroc,0.6432941546428512
29,valid,auroc,0.5338837862104951
30,train,auroc,0.6492053557547856
30,valid,auroc,0.505135375090524
31,train,auroc,0.6540711770606602
31,valid,auroc,0.4993037996033811
32,train,auroc,0.6326526328134011
32,valid,auroc,0.5071443079875717
33,train,auroc,0.6492702931660511
33,valid,auroc,0.5245681583776951
34,train,auroc,0.6418493133158083
34,valid,auroc,0.5361013997934366
35,train,auroc,0.641821232707521
35,valid,auroc,0.5296543688010353
36,train,auroc,0.638163456208203
36,valid,auroc,0.5315936816584211
37,train,auroc,0.6311185346931013
37,valid,auroc,0.5308854592446441
38,train,auroc,0.6502484852545141
38,valid,auroc,0.509895017286584
39,train,auroc,0.6544811185796993
39,valid,auroc,0.4991686864851713
40,train,auroc,0.6881049707466607
40,valid,auroc,0.5207295462424197
