epoch,subset,metric,score
0,train,auroc,0.5184491043073564
0,valid,auroc,0.4933319074383629
1,train,auroc,0.49067924725067213
1,valid,auroc,0.4900303385471805
2,train,auroc,0.4834824943526955
2,valid,auroc,0.48455170795182867
3,train,auroc,0.5041765364030769
3,valid,auroc,0.4805865954867553
4,train,auroc,0.5025225130289521
4,valid,auroc,0.4766053340434099
5,train,auroc,0.5045200295908853
5,valid,auroc,0.47273962751125587
6,train,auroc,0.5359364598360825
6,valid,auroc,0.4635906930208422
7,train,auroc,0.5515526374297439
7,valid,auroc,0.4717339050310886
8,train,auroc,0.5871773173236683
8,valid,auroc,0.48705569674946186
9,train,auroc,0.5879259460191373
9,valid,auroc,0.5115169130043775
10,train,auroc,0.6140719659537653
10,valid,auroc,0.4943593413226516
11,train,auroc,0.5938607271266969
11,valid,auroc,0.5147741619218575
12,train,auroc,0.6060117222957393
12,valid,auroc,0.5011444242602152
13,train,auroc,0.6269367743646131
13,valid,auroc,0.5454453780547587
14,train,auroc,0.6201795384403115
14,valid,auroc,0.525094973935549
15,train,auroc,0.6356672556897067
15,valid,auroc,0.5196319540191936
16,train,auroc,0.6143540739995877
16,valid,auroc,0.5275447739394248
17,train,auroc,0.6282673162036586
17,valid,auroc,0.5221745209315879
18,train,auroc,0.6201573407757179
18,valid,auroc,0.5034939211657122
19,train,auroc,0.6401781233191015
19,valid,auroc,0.5139825031203414
20,train,auroc,0.632959606744181
20,valid,auroc,0.5230508721524866
21,train,auroc,0.641629458387271
21,valid,auroc,0.5348713859483792
22,train,auroc,0.634812042842232
22,valid,auroc,0.5339874985376203
23,train,auroc,0.6326290206705425
23,valid,auroc,0.5247940646404124
24,train,auroc,0.6487545551022224
24,valid,auroc,0.543225970140898
25,train,auroc,0.6482562729860755
25,valid,auroc,0.5205041782789783
26,train,auroc,0.6363239272243217
26,valid,auroc,0.5406834032285037
27,train,auroc,0.6433827684914422
27,valid,auroc,0.5205072286415409
28,train,auroc,0.6116236005184191
28,valid,auroc,0.5256061788144066
29,train,auroc,0.6245394426621305
29,valid,auroc,0.5418062955176896
30,train,auroc,0.6044496560824687
30,valid,auroc,0.5107170002806334
31,train,auroc,0.6400449212579238
31,valid,auroc,0.4855629928578452
32,train,auroc,0.6239496212991623
32,valid,auroc,0.49591466736334555
33,train,auroc,0.6409538682058591
33,valid,auroc,0.4979695351319228
34,train,auroc,0.6212704387287235
34,valid,auroc,0.4964050580035413
35,train,auroc,0.6032463047719739
35,valid,auroc,0.5070012998133178
36,train,auroc,0.6184054612234285
36,valid,auroc,0.5339562771796276
37,train,auroc,0.6267099113392165
37,valid,auroc,0.5006359108777365
38,train,auroc,0.636297373609616
38,valid,auroc,0.5261265347809517
