epoch,subset,metric,score
0,train,auroc,0.4956671316013861
0,valid,auroc,0.4466830716361499
1,train,auroc,0.4941899019367937
1,valid,auroc,0.44328371170987535
2,train,auroc,0.5076128184649593
2,valid,auroc,0.44765057486773985
3,train,auroc,0.48828603039405183
3,valid,auroc,0.45376942273503407
4,train,auroc,0.5126107809733128
4,valid,auroc,0.4543541951815755
5,train,auroc,0.5351182163069027
5,valid,auroc,0.46002517805145715
6,train,auroc,0.5211882736151325
6,valid,auroc,0.4604549203065865
7,train,auroc,0.5608489261345305
7,valid,auroc,0.45829077778503485
8,train,auroc,0.5773787763194221
8,valid,auroc,0.4592315454859299
9,train,auroc,0.5856703996891235
9,valid,auroc,0.4588744736330248
10,train,auroc,0.5779488271339108
10,valid,auroc,0.4570503568206466
11,train,auroc,0.6054852470559885
11,valid,auroc,0.46252109235995426
12,train,auroc,0.598842326693301
12,valid,auroc,0.46207555999273653
13,train,auroc,0.6148695709591666
13,valid,auroc,0.4669889763485653
14,train,auroc,0.6182522957303717
14,valid,auroc,0.459835517273306
15,train,auroc,0.6168796088684702
15,valid,auroc,0.4613135076513859
16,train,auroc,0.6348711937515037
16,valid,auroc,0.45651600507293233
17,train,auroc,0.6460863186647222
17,valid,auroc,0.45548444422752976
18,train,auroc,0.6423773316227576
18,valid,auroc,0.45519089168916155
19,train,auroc,0.658144054709962
19,valid,auroc,0.4473107285916584
20,train,auroc,0.6597821330563699
20,valid,auroc,0.444535616392146
21,train,auroc,0.6627657659997744
21,valid,auroc,0.4471838693956765
22,train,auroc,0.6709288165098932
22,valid,auroc,0.44542560452802993
23,train,auroc,0.6766611504157474
23,valid,auroc,0.44652840031092167
24,train,auroc,0.671402216667466
24,valid,auroc,0.4490458465904483
25,train,auroc,0.6892410057506255
25,valid,auroc,0.4464849775026789
26,train,auroc,0.6843796850574131
26,valid,auroc,0.44653234783894374
27,train,auroc,0.6964850793760197
27,valid,auroc,0.4379706978583584
28,train,auroc,0.7007460344137418
28,valid,auroc,0.4462633776341675
29,train,auroc,0.7099971884029755
29,valid,auroc,0.43995092146070025
30,train,auroc,0.7319693562285072
30,valid,auroc,0.43515611037862534
31,train,auroc,0.7267153731541541
31,valid,auroc,0.44495656642577175
32,train,auroc,0.7274396663940152
32,valid,auroc,0.43382794663229207
33,train,auroc,0.7393903521523666
33,valid,auroc,0.43616290945734415
34,train,auroc,0.7463088225252834
34,valid,auroc,0.4295181431976556
35,train,auroc,0.760871454915627
35,valid,auroc,0.43643798038724524
36,train,auroc,0.7615868594454809
36,valid,auroc,0.4385380652949844
37,train,auroc,0.7668185001926906
37,valid,auroc,0.4380218362895534
38,train,auroc,0.7734557787159341
38,valid,auroc,0.43675378262901055
39,train,auroc,0.7804461945969758
39,valid,auroc,0.4381734572522191
40,train,auroc,0.7896167554723271
40,valid,auroc,0.443294657128482
41,train,auroc,0.7859534496488814
41,valid,auroc,0.4430247897582462
42,train,auroc,0.7899706322164913
42,valid,auroc,0.43317803997338655
43,train,auroc,0.8105746459400166
43,valid,auroc,0.4256588962568103
44,train,auroc,0.8036650803507237
44,valid,auroc,0.4340375244836454
45,train,auroc,0.8058552231345892
45,valid,auroc,0.4453181241059747
46,train,auroc,0.8064010670824033
46,valid,auroc,0.44712896286955145
47,train,auroc,0.8121033272515055
47,valid,auroc,0.4460006875876082
48,train,auroc,0.8240549292060058
48,valid,auroc,0.43973201308856746
49,train,auroc,0.8273443305589414
49,valid,auroc,0.45469727125331144
50,train,auroc,0.8357356424991054
50,valid,auroc,0.4443064803337743
51,train,auroc,0.8383640806617803
51,valid,auroc,0.4338112593547442
52,train,auroc,0.8500223712596533
52,valid,auroc,0.42974979131931407
53,train,auroc,0.8560199841346974
53,valid,auroc,0.45031766834592113
54,train,auroc,0.851346338989489
54,valid,auroc,0.4479023194956925
55,train,auroc,0.8554016321021758
55,valid,auroc,0.4510066914188636
56,train,auroc,0.8621169641078711
56,valid,auroc,0.4441772885075975
57,train,auroc,0.8645850679444635
57,valid,auroc,0.4482531111903807
58,train,auroc,0.8633461617939392
58,valid,auroc,0.45063059965821584
59,train,auroc,0.8662183724267266
59,valid,auroc,0.458110985826939
60,train,auroc,0.8696042637004116
60,valid,auroc,0.46443672004920766
61,train,auroc,0.8851929232623683
61,valid,auroc,0.452959102891959
62,train,auroc,0.8781164653113993
62,valid,auroc,0.4545402672978883
63,train,auroc,0.8913042409015937
63,valid,auroc,0.4460064294465494
64,train,auroc,0.8841744989114304
64,valid,auroc,0.45057407823426354
65,train,auroc,0.8953406796619499
65,valid,auroc,0.461003088402378
66,train,auroc,0.9017440066948542
66,valid,auroc,0.4588750119323006
67,train,auroc,0.9006990769500607
67,valid,auroc,0.4513991115908753
68,train,auroc,0.9044510448429474
68,valid,auroc,0.46084823764405786
69,train,auroc,0.9042969470801248
69,valid,auroc,0.4700798907898429
70,train,auroc,0.9087937342213342
70,valid,auroc,0.47069678175983665
71,train,auroc,0.9187659828007158
71,valid,auroc,0.4767860231669654
72,train,auroc,0.9110528167470112
72,valid,auroc,0.4688846869646165
73,train,auroc,0.9213412815867463
73,valid,auroc,0.486804310987693
74,train,auroc,0.9219907842883355
74,valid,auroc,0.4845002106544499
75,train,auroc,0.9212643211102266
75,valid,auroc,0.4721153797844937
76,train,auroc,0.9197510865443383
76,valid,auroc,0.4634367394279817
