epoch,subset,metric,score
0,train,auroc,0.48267625781515316
0,valid,auroc,0.5124906963941844
1,train,auroc,0.5056877617668839
1,valid,auroc,0.5122861426694045
2,train,auroc,0.4976285468203236
2,valid,auroc,0.530612182645662
3,train,auroc,0.48264507499885234
3,valid,auroc,0.5293308509363177
4,train,auroc,0.4710123414514527
4,valid,auroc,0.5249720622675893
5,train,auroc,0.49530213191450023
5,valid,auroc,0.526752397405541
6,train,auroc,0.4670672169072844
6,valid,auroc,0.5240494173089774
7,train,auroc,0.5042414255934926
7,valid,auroc,0.5321732505452972
8,train,auroc,0.5039874945976575
8,valid,auroc,0.530487656079875
9,train,auroc,0.5049809244747046
9,valid,auroc,0.5397189503594763
10,train,auroc,0.5022535049806994
10,valid,auroc,0.5190039381975013
11,train,auroc,0.4845432726835057
11,valid,auroc,0.517616740963929
12,train,auroc,0.49018853580796734
12,valid,auroc,0.5143546473529672
13,train,auroc,0.502749922557315
13,valid,auroc,0.5190258290347145
14,train,auroc,0.5033802494342408
14,valid,auroc,0.5274272452642224
15,train,auroc,0.4872062851955947
15,valid,auroc,0.5171869987087995
16,train,auroc,0.4932303552436445
16,valid,auroc,0.5220167992437972
17,train,auroc,0.5151897927647894
17,valid,auroc,0.4980090104121435
18,train,auroc,0.508627706620234
18,valid,auroc,0.5074762592076092
19,train,auroc,0.5189910905871744
19,valid,auroc,0.5190516673999499
20,train,auroc,0.4838819719472955
20,valid,auroc,0.5286583357078313
21,train,auroc,0.49151693985599837
21,valid,auroc,0.5337833036790244
22,train,auroc,0.49621480794149825
22,valid,auroc,0.5231698362924243
23,train,auroc,0.48537857031995113
23,valid,auroc,0.5280610029448559
24,train,auroc,0.487362006393699
24,valid,auroc,0.5345783717092869
25,train,auroc,0.49493546057148263
25,valid,auroc,0.5439557245257045
26,train,auroc,0.49820719701972
26,valid,auroc,0.533724629057969
27,train,auroc,0.5016144179826993
27,valid,auroc,0.5116455665312785
28,train,auroc,0.4883134037632066
28,valid,auroc,0.5098248589476464
29,train,auroc,0.5051285767172505
29,valid,auroc,0.5067163600633614
30,train,auroc,0.5211978213434226
30,valid,auroc,0.5299208269425247
31,train,auroc,0.5019223563304782
31,valid,auroc,0.5218235498038079
32,train,auroc,0.489024371974865
32,valid,auroc,0.5192092096546488
33,train,auroc,0.4662541651562825
33,valid,auroc,0.5197548656871533
34,train,auroc,0.4820876419734338
34,valid,auroc,0.5145669167006992
35,train,auroc,0.508522022590761
35,valid,auroc,0.5161780464329777
36,train,auroc,0.5020117577862849
36,valid,auroc,0.5326024545011508
37,train,auroc,0.48291556181983686
37,valid,auroc,0.5154316047706236
38,train,auroc,0.49942469311286675
38,valid,auroc,0.5256499604888332
39,train,auroc,0.46912742057415213
39,valid,auroc,0.5226293838195851
40,train,auroc,0.48707806595557845
40,valid,auroc,0.5148911522977843
41,train,auroc,0.4938815135277486
41,valid,auroc,0.5204446064924635
42,train,auroc,0.48125726286368326
42,valid,auroc,0.5227284308863206
43,train,auroc,0.5013127001245641
43,valid,auroc,0.5170436316683618
44,train,auroc,0.47430230538097107
44,valid,auroc,0.5217860482875982
45,train,auroc,0.4910601598180415
45,valid,auroc,0.5078686793796208
46,train,auroc,0.5010006630045396
46,valid,auroc,0.5139105504504848
47,train,auroc,0.49025739518169553
47,valid,auroc,0.5183588762320772
48,train,auroc,0.5000259910381228
48,valid,auroc,0.5294234384117444
49,train,auroc,0.5159448830541518
49,valid,auroc,0.5331104295843541
50,train,auroc,0.48645471502827864
50,valid,auroc,0.5154003834126308
51,train,auroc,0.5000637801108668
51,valid,auroc,0.5129069811674205
52,train,auroc,0.5002870265725173
52,valid,auroc,0.5077857812911575
53,train,auroc,0.4797736680468975
53,valid,auroc,0.504737571925755
54,train,auroc,0.48774254926788535
54,valid,auroc,0.5111187509734245
55,train,auroc,0.517064747999767
55,valid,auroc,0.5203870084699597
56,train,auroc,0.4726731478918037
56,valid,auroc,0.5202461534928087
57,train,auroc,0.4911876557453085
57,valid,auroc,0.5115427513696127
58,train,auroc,0.47809334823593347
58,valid,auroc,0.5070088360031781
59,train,auroc,0.4909984692773392
59,valid,auroc,0.5075318834661018
60,train,auroc,0.48911512361447035
60,valid,auroc,0.5161283434665183
61,train,auroc,0.5291293635529328
61,valid,auroc,0.500208142386618
62,train,auroc,0.4964801351315381
62,valid,auroc,0.5007091195792366
63,train,auroc,0.4987067007307323
63,valid,auroc,0.5111740163657335
64,train,auroc,0.5046983020731494
64,valid,auroc,0.4677140654729821
65,train,auroc,0.4873048003920419
65,valid,auroc,0.4883522802716186
66,train,auroc,0.4915837096595621
66,valid,auroc,0.49474924943137644
67,train,auroc,0.5098972490840932
