epoch,subset,metric,score
0,train,auroc,0.47797707169308806
0,valid,auroc,0.5044172838566918
1,train,auroc,0.4917545561309339
1,valid,auroc,0.5028671613756632
2,train,auroc,0.5018143255529742
2,valid,auroc,0.49305199181498016
3,train,auroc,0.487753077486791
3,valid,auroc,0.491000712708241
4,train,auroc,0.51924122820948
4,valid,auroc,0.48797457361314367
5,train,auroc,0.5347550972331647
5,valid,auroc,0.48094025811091407
6,train,auroc,0.5465257584850371
6,valid,auroc,0.47546988143779023
7,train,auroc,0.5582466558197616
7,valid,auroc,0.47450435197021124
8,train,auroc,0.5820264947209742
8,valid,auroc,0.4840850024797654
9,train,auroc,0.5757654031218049
9,valid,auroc,0.46536743949695575
10,train,auroc,0.6180307852193194
10,valid,auroc,0.45785726743497523
11,train,auroc,0.62150704236581
11,valid,auroc,0.47166320839287523
12,train,auroc,0.6131515745907754
12,valid,auroc,0.4632221374500548
13,train,auroc,0.6299674869311853
13,valid,auroc,0.45962845148523945
14,train,auroc,0.625909509524518
14,valid,auroc,0.47111916725819775
15,train,auroc,0.6293312610369488
15,valid,auroc,0.4618125110799934
16,train,auroc,0.6432573942815729
16,valid,auroc,0.4503370471198477
17,train,auroc,0.656521021268738
17,valid,auroc,0.45079998449698083
18,train,auroc,0.6416481520034348
18,valid,auroc,0.4610163664511795
19,train,auroc,0.6446829794158694
19,valid,auroc,0.4498520394724093
20,train,auroc,0.6487813658947945
20,valid,auroc,0.4493462175863091
21,train,auroc,0.6409530645250265
21,valid,auroc,0.4516275299168794
22,train,auroc,0.6592517037069233
22,valid,auroc,0.44583883893870346
23,train,auroc,0.6612977304439057
23,valid,auroc,0.4408744635847717
24,train,auroc,0.6552489391734484
24,valid,auroc,0.4309309993633714
25,train,auroc,0.6603100388480027
25,valid,auroc,0.4260631590128883
26,train,auroc,0.6620365381596017
26,valid,auroc,0.425972007002197
27,train,auroc,0.6746793699245144
27,valid,auroc,0.4235866234783176
28,train,auroc,0.6744807643171883
28,valid,auroc,0.430531760733867
29,train,auroc,0.6723117583392174
29,valid,auroc,0.42544429427888353
30,train,auroc,0.6775996567447018
30,valid,auroc,0.4292314091167801
31,train,auroc,0.6733802520060196
31,valid,auroc,0.4261042491909362
32,train,auroc,0.6643117103755452
32,valid,auroc,0.420050714969098
33,train,auroc,0.6687554706554268
33,valid,auroc,0.41776491681122996
34,train,auroc,0.6704905050574671
34,valid,auroc,0.41821960026613514
35,train,auroc,0.6585316539018575
35,valid,auroc,0.40163926484109047
36,train,auroc,0.6416097360596416
36,valid,auroc,0.4083457560843967
37,train,auroc,0.6597551133067814
37,valid,auroc,0.4130754329541074
38,train,auroc,0.6469385257458833
38,valid,auroc,0.41774571747039535
39,train,auroc,0.655812608762127
39,valid,auroc,0.432615696663334
40,train,auroc,0.6639188390373884
40,valid,auroc,0.4132435617612291
41,train,auroc,0.663466993599743
41,valid,auroc,0.42873491775145933
42,train,auroc,0.6273614875373534
42,valid,auroc,0.4173326624928137
43,train,auroc,0.6577239546652
43,valid,auroc,0.41545668951687287
44,train,auroc,0.6509045781389298
44,valid,auroc,0.42623379988329674
45,train,auroc,0.6662302090380274
45,valid,auroc,0.42048350758679
46,train,auroc,0.6762189170008586
46,valid,auroc,0.41473644508593766
47,train,auroc,0.6715573431417542
47,valid,auroc,0.4301368284985685
48,train,auroc,0.6635005713849247
48,valid,auroc,0.42730250337872516
49,train,auroc,0.6584195243521078
49,valid,auroc,0.41871034977251476
50,train,auroc,0.6167715298701162
50,valid,auroc,0.3970052258093688
51,train,auroc,0.5762716416781937
51,valid,auroc,0.4094573440887921
52,train,auroc,0.6001777549118079
52,valid,auroc,0.4157165086339615
53,train,auroc,0.6004119475063969
53,valid,auroc,0.4189748341499932
54,train,auroc,0.6207910109649069
54,valid,auroc,0.4543432497629689
55,train,auroc,0.6408843819610814
55,valid,auroc,0.41084992431512185
56,train,auroc,0.6483529879374579
56,valid,auroc,0.4174629309175419
57,train,auroc,0.657253367390541
57,valid,auroc,0.42257318537519817
58,train,auroc,0.6504182547935704
58,valid,auroc,0.40532374395041326
59,train,auroc,0.6516159642646211
59,valid,auroc,0.39329616436645404
60,train,auroc,0.6486198099738463
60,valid,auroc,0.3776634150997971
61,train,auroc,0.6334922221054919
61,valid,auroc,0.41422129267905816
62,train,auroc,0.6290532035425223
62,valid,auroc,0.4869141240399433
63,train,auroc,0.5869578963827805
63,valid,auroc,0.47189736857782044
64,train,auroc,0.6027589044942989
