epoch,subset,metric,score
0,train,auroc,0.5113589837822352
0,valid,auroc,0.4996072209618044
1,train,auroc,0.4872078443364098
1,valid,auroc,0.49353861436024565
2,train,auroc,0.5097673260407121
2,valid,auroc,0.4832450761765248
3,train,auroc,0.5491800590969018
3,valid,auroc,0.4992395625564766
4,train,auroc,0.5672034697409023
4,valid,auroc,0.48824497928265526
5,train,auroc,0.5752508384319917
5,valid,auroc,0.49490427962278855
6,train,auroc,0.5802201095346251
6,valid,auroc,0.49283631323850174
7,train,auroc,0.6006381515135111
7,valid,auroc,0.48578818138819485
8,train,auroc,0.6322607258922432
8,valid,auroc,0.4903246088179164
9,train,auroc,0.6042222947749558
9,valid,auroc,0.4841962509967509
10,train,auroc,0.6348991618444745
10,valid,auroc,0.47348911953617256
11,train,auroc,0.6342033510533169
11,valid,auroc,0.46006393559931014
12,train,auroc,0.6442033587686531
12,valid,auroc,0.44342151632446386
13,train,auroc,0.6678468934006745
13,valid,auroc,0.3993624383378179
14,train,auroc,0.665057831586817
14,valid,auroc,0.4395583218555966
15,train,auroc,0.6696671340445759
15,valid,auroc,0.4432661272668679
16,train,auroc,0.6719073139970726
16,valid,auroc,0.4723186774776301
17,train,auroc,0.6678456557321925
17,valid,auroc,0.45296161495524584
18,train,auroc,0.6796271345280702
18,valid,auroc,0.4791443122939659
19,train,auroc,0.6698970028362861
19,valid,auroc,0.43553453476946796
20,train,auroc,0.6716908827488817
20,valid,auroc,0.462417559465921
21,train,auroc,0.6852108839216127
21,valid,auroc,0.4366527617982641
22,train,auroc,0.6794863778670671
22,valid,auroc,0.45864946453576716
23,train,auroc,0.6913535290396888
23,valid,auroc,0.45245489590368604
24,train,auroc,0.668644450185226
24,valid,auroc,0.45950284832090094
25,train,auroc,0.6826570755610433
25,valid,auroc,0.46284676342177467
26,train,auroc,0.6740544759300163
26,valid,auroc,0.493664396957676
27,train,auroc,0.6734304177635838
27,valid,auroc,0.4595290455523201
28,train,auroc,0.7046724010472797
28,valid,auroc,0.4401163587714432
29,train,auroc,0.7127896578235628
29,valid,auroc,0.4778087917908642
30,train,auroc,0.7072131094102795
30,valid,auroc,0.48881252615237314
31,train,auroc,0.6856885114403645
31,valid,auroc,0.5035698213635911
32,train,auroc,0.7118856615495558
32,valid,auroc,0.4502679653794615
33,train,auroc,0.716542381176432
33,valid,auroc,0.4194867567612183
34,train,auroc,0.7153657602904258
34,valid,auroc,0.43116982480870636
35,train,auroc,0.6949230131627488
35,valid,auroc,0.4614518505652502
36,train,auroc,0.6725807985347034
36,valid,auroc,0.42221234542736297
37,train,auroc,0.6994347166202096
37,valid,auroc,0.4658415017257875
38,train,auroc,0.7118962862101614
38,valid,auroc,0.4508261817284
39,train,auroc,0.7076698894482365
39,valid,auroc,0.44639310775961993
40,train,auroc,0.7150807750672231
40,valid,auroc,0.4362999963395649
41,train,auroc,0.715114159969005
41,valid,auroc,0.41556668200221497
42,train,auroc,0.731972667393537
42,valid,auroc,0.42518321913015145
43,train,auroc,0.716684520168467
43,valid,auroc,0.47117210002031185
44,train,auroc,0.7044349455085108
44,valid,auroc,0.45141866979789375
45,train,auroc,0.6900132465889535
45,valid,auroc,0.4420154786162407
46,train,auroc,0.7108108670250269
46,valid,auroc,0.4283925594120911
47,train,auroc,0.7076984844122567
47,valid,auroc,0.42993819606582184
48,train,auroc,0.7171247604548912
48,valid,auroc,0.3879978640284739
49,train,auroc,0.7137855791111908
49,valid,auroc,0.45723589063768366
50,train,auroc,0.7192824988275903
50,valid,auroc,0.382231781619879
51,train,auroc,0.723735758614912
51,valid,auroc,0.42674536362833804
52,train,auroc,0.7209919761791573
52,valid,auroc,0.4201689613766681
53,train,auroc,0.7221320456609015
53,valid,auroc,0.4036819311594177
54,train,auroc,0.7092222954179006
