epoch,subset,metric,score
0,train,auroc,0.4942690162779445
0,valid,auroc,0.5333155216084094
1,train,auroc,0.5320884199364797
1,valid,auroc,0.505555786824874
2,train,auroc,0.512941929623534
2,valid,auroc,0.4976165902401317
3,train,auroc,0.5480104463077552
3,valid,auroc,0.49646821845189437
4,train,auroc,0.5139425444072236
4,valid,auroc,0.49507061409899106
5,train,auroc,0.5543216393700222
5,valid,auroc,0.4874522438825876
6,train,auroc,0.5566707823697885
6,valid,auroc,0.4754435047732791
7,train,auroc,0.5798485357385293
7,valid,auroc,0.4744815639675384
8,train,auroc,0.6048623783371883
8,valid,auroc,0.4676812292171622
9,train,auroc,0.6262176086084633
9,valid,auroc,0.4655597917714855
10,train,auroc,0.6203010549821846
10,valid,auroc,0.46127295577261374
11,train,auroc,0.6257620180181385
11,valid,auroc,0.48524019272549535
12,train,auroc,0.6525278687580199
12,valid,auroc,0.46967185993883487
13,train,auroc,0.6594649202317842
13,valid,auroc,0.4610911900505068
14,train,auroc,0.6700186961879425
14,valid,auroc,0.46963507615499284
15,train,auroc,0.6827876415490903
15,valid,auroc,0.45195696907363
16,train,auroc,0.6883470715606415
16,valid,auroc,0.46852546191460853
17,train,auroc,0.7031932425486892
17,valid,auroc,0.4627001665856825
18,train,auroc,0.7141317565929797
18,valid,auroc,0.47134471465473127
19,train,auroc,0.7290570419221782
19,valid,auroc,0.45178112464355613
20,train,auroc,0.7281101130180994
20,valid,auroc,0.4797274698426802
21,train,auroc,0.7406374397737657
21,valid,auroc,0.4822183600246039
22,train,auroc,0.7498451949980447
22,valid,auroc,0.4636827421969931
23,train,auroc,0.772533281709163
23,valid,auroc,0.4823520376780783
24,train,auroc,0.7800765174876448
24,valid,auroc,0.4498820047987585
25,train,auroc,0.7941371386827787
25,valid,auroc,0.4716791779380554
26,train,auroc,0.8040615039581602
26,valid,auroc,0.4655807854432392
27,train,auroc,0.808432161429518
27,valid,auroc,0.46526139453963566
28,train,auroc,0.8262138570263372
28,valid,auroc,0.48210872640544555
29,train,auroc,0.842003147471318
29,valid,auroc,0.48863488739138017
30,train,auroc,0.8441619306290995
30,valid,auroc,0.4935597874650913
31,train,auroc,0.8563673832113518
31,valid,auroc,0.48196069410461806
32,train,auroc,0.857488759076932
32,valid,auroc,0.4977990736946063
33,train,auroc,0.8518696959476099
33,valid,auroc,0.4783295066235932
34,train,auroc,0.8725014045126229
34,valid,auroc,0.4973662810769143
35,train,auroc,0.8812645313531323
35,valid,auroc,0.4993888508889474
36,train,auroc,0.8808856601350776
36,valid,auroc,0.47778241512635317
