epoch,subset,metric,score
0,train,auroc,0.48614025079213996
0,valid,auroc,0.46551098597048546
1,train,auroc,0.5075370152888383
1,valid,auroc,0.5137151478133924
2,train,auroc,0.4985340218670624
2,valid,auroc,0.48460607617867807
3,train,auroc,0.47589301477911183
3,valid,auroc,0.48614686813892716
4,train,auroc,0.5001207128610408
4,valid,auroc,0.4753347683195804
5,train,auroc,0.503401916669485
5,valid,auroc,0.4740685089899567
6,train,auroc,0.4891695488804469
6,valid,auroc,0.47588778110885344
7,train,auroc,0.4901898538445326
7,valid,auroc,0.49046546379506734
8,train,auroc,0.4940243919061496
8,valid,auroc,0.4955376784372382
9,train,auroc,0.5011195113260489
9,valid,auroc,0.4879042358411141
10,train,auroc,0.4934102190139568
10,valid,auroc,0.5012944303250538
11,train,auroc,0.5091945748586261
11,valid,auroc,0.4947234110661412
12,train,auroc,0.4952404574474146
12,valid,auroc,0.4864517249620858
13,train,auroc,0.4813478216198888
13,valid,auroc,0.4976501442283192
14,train,auroc,0.4973124591489033
14,valid,auroc,0.488176076975361
15,train,auroc,0.508171939220126
15,valid,auroc,0.4783433229716704
16,train,auroc,0.4858246935500691
16,valid,auroc,0.47721989238320883
17,train,auroc,0.5134670868267196
17,valid,auroc,0.48372021500390805
18,train,auroc,0.4937898778392276
18,valid,auroc,0.47712461341140344
19,train,auroc,0.5058783466395018
19,valid,auroc,0.47827675329457103
20,train,auroc,0.5160656280624258
20,valid,auroc,0.47754753720904025
21,train,auroc,0.5160518529729569
21,valid,auroc,0.47866755856875554
22,train,auroc,0.5007204516454818
22,valid,auroc,0.4793944420240914
23,train,auroc,0.47537611941488433
23,valid,auroc,0.48140158059022004
24,train,auroc,0.5303794730142621
24,valid,auroc,0.47733652389295167
25,train,auroc,0.5274349150329335
25,valid,auroc,0.4741185708226003
26,train,auroc,0.5317362309220637
26,valid,auroc,0.5118445578302089
27,train,auroc,0.49313883207043996
27,valid,auroc,0.5053036833307375
28,train,auroc,0.48602625670285887
28,valid,auroc,0.5113233046982043
29,train,auroc,0.49450253378063425
29,valid,auroc,0.5020448195154301
30,train,auroc,0.5079131057712127
30,valid,auroc,0.5108598290217954
31,train,auroc,0.49827284167011815
31,valid,auroc,0.5174190056966418
32,train,auroc,0.5051893028409539
32,valid,auroc,0.5213428485505753
33,train,auroc,0.49767958055318706
33,valid,auroc,0.5258722780897123
34,train,auroc,0.5025322697142587
34,valid,auroc,0.523815257124032
35,train,auroc,0.48407284614501306
35,valid,auroc,0.5207071171059308
36,train,auroc,0.4881590970433676
36,valid,auroc,0.5130955653470199
37,train,auroc,0.4875931771483578
37,valid,auroc,0.5115958635648188
38,train,auroc,0.4976082136952614
38,valid,auroc,0.5081918383781545
39,train,auroc,0.49588520235847533
39,valid,auroc,0.5091340415437848
40,train,auroc,0.5199079939753513
40,valid,auroc,0.5148010768856444
41,train,auroc,0.5240888863285403
41,valid,auroc,0.5225398467067208
42,train,auroc,0.4966222741235732
42,valid,auroc,0.5039102059389482
43,train,auroc,0.5006137389045432
43,valid,auroc,0.5055753450318925
44,train,auroc,0.48154436980428383
44,valid,auroc,0.5022183313153091
45,train,auroc,0.49293950315036456
45,valid,auroc,0.4980890375711362
46,train,auroc,0.4895113382648904
46,valid,auroc,0.4957194441593452
47,train,auroc,0.502436069118609
47,valid,auroc,0.49861441766425485
48,train,auroc,0.5036115327042163
48,valid,auroc,0.4957298512786761
49,train,auroc,0.5015860801965457
49,valid,auroc,0.4983544191140743
50,train,auroc,0.49538256429221633
50,valid,auroc,0.4967296524668102
51,train,auroc,0.5032876975495707
51,valid,auroc,0.5003179554388683
52,train,auroc,0.4909211391076366
52,valid,auroc,0.4959844668360993
53,train,auroc,0.5104805445587014
53,valid,auroc,0.4958531218128197
54,train,auroc,0.49351198108096744
54,valid,auroc,0.4943015638670558
55,train,auroc,0.48782497477406606
55,valid,auroc,0.4960978685501878
56,train,auroc,0.508976134408354
56,valid,auroc,0.4985340316390783
57,train,auroc,0.48708208435974093
57,valid,auroc,0.5087177567705489
58,train,auroc,0.48508919699940295
58,valid,auroc,0.5115355740459363
59,train,auroc,0.510955294900073
59,valid,auroc,0.5125246092485557
60,train,auroc,0.4962473730888309
60,valid,auroc,0.48907378073419716
61,train,auroc,0.5096820715780009
61,valid,auroc,0.5007514657889278
62,train,auroc,0.531971098608552
62,valid,auroc,0.4955620813377383
63,train,auroc,0.5158154422192701
63,valid,auroc,0.5161330087269079
64,train,auroc,0.4796533570262729
64,valid,auroc,0.5352078229957145
65,train,auroc,0.48822207347340174
65,valid,auroc,0.5293495119778766
66,train,auroc,0.5034513430406834
66,valid,auroc,0.5283245901568747
67,train,auroc,0.5137154242039605
67,valid,auroc,0.5245238384039929
68,train,auroc,0.5030473005389549
68,valid,auroc,0.5200060720158303
69,train,auroc,0.4816264416908982
69,valid,auroc,0.5122296212454522
70,train,auroc,0.5096024268075007
70,valid,auroc,0.4937503454087019
71,train,auroc,0.5155347647253297
71,valid,auroc,0.48357074723834526
72,train,auroc,0.5056416787079487
72,valid,auroc,0.485077626344223
73,train,auroc,0.5023193103672641
73,valid,auroc,0.4675471926975038
74,train,auroc,0.49670130809664076
74,valid,auroc,0.4625673860976676
75,train,auroc,0.5254289598222592
75,valid,auroc,0.48474926378602384
76,train,auroc,0.5152123440489491
76,valid,auroc,0.49416519471720266
77,train,auroc,0.5032148036980634
77,valid,auroc,0.4728462107678516
78,train,auroc,0.5176692285011197
78,valid,auroc,0.4879501707126437
79,train,auroc,0.5070577643348049
79,valid,auroc,0.4990683833867924
80,train,auroc,0.481817074784366
80,valid,auroc,0.49790188885627196
81,train,auroc,0.49920221818481547
81,valid,auroc,0.5012445479255023
82,train,auroc,0.5073548851385783
82,valid,auroc,0.5022809534643865
83,train,auroc,0.5042758231331234
83,valid,auroc,0.5092897894675646
84,train,auroc,0.4797478055977077
84,valid,auroc,0.5097984822831354
85,train,auroc,0.49732256945377606
85,valid,auroc,0.5116346211126719
86,train,auroc,0.5134762005673601
86,valid,auroc,0.5042617153660041
87,train,auroc,0.49156170487836837
87,valid,auroc,0.5124844162359674
88,train,auroc,0.47840752314697244
88,valid,auroc,0.5076273418709991
89,train,auroc,0.5102356308618069
89,valid,auroc,0.5273125875184906
90,train,auroc,0.501669068279309
90,valid,auroc,0.5309977843601811
91,train,auroc,0.4968052561755157
91,valid,auroc,0.5180933152560474
92,train,auroc,0.5053162522652548
92,valid,auroc,0.535904741124701
93,train,auroc,0.5148338425240774
93,valid,auroc,0.5338624336725577
94,train,auroc,0.5031356893569126
94,valid,auroc,0.5290141515290929
95,train,auroc,0.5105605108015348
95,valid,auroc,0.5232701393908032
96,train,auroc,0.47508629603307
96,valid,auroc,0.5182377588950366
97,train,auroc,0.49089476230271406
97,valid,auroc,0.5240996585747127
98,train,auroc,0.5106367961861551
98,valid,auroc,0.5240731024771097
99,train,auroc,0.4949400897730778
99,valid,auroc,0.5281826585811724
100,train,auroc,0.48734059633632126
100,valid,auroc,0.527874930828543
101,train,auroc,0.4925063834761163
101,valid,auroc,0.5040338353392757
102,train,auroc,0.5125611456450979
102,valid,auroc,0.5106454064769604
103,train,auroc,0.5146854187479322
103,valid,auroc,0.4962180887217689
104,train,auroc,0.5268176720799607
104,valid,auroc,0.5094923694283334
105,train,auroc,0.49390832432032067
105,valid,auroc,0.5023130719878388
106,train,auroc,0.5052167726518085
106,valid,auroc,0.5157517134065946
107,train,auroc,0.50564354324748
107,valid,auroc,0.5142376569770405
108,train,auroc,0.5111491748641039
108,valid,auroc,0.5081496716015551
109,train,auroc,0.49659224860767115
109,valid,auroc,0.5040438835924227
110,train,auroc,0.480884242442089
110,valid,auroc,0.49918393829798385
111,train,auroc,0.5030677301057168
111,valid,auroc,0.5115373683768554
112,train,auroc,0.5059562233121706
112,valid,auroc,0.5171362191437884
113,train,auroc,0.498405674038113
113,valid,auroc,0.49723080909252076
114,train,auroc,0.5023717746520094
114,valid,auroc,0.5053343663894544
115,train,auroc,0.4878759924333128
115,valid,auroc,0.5092393687687373
116,train,auroc,0.477727271616732
116,valid,auroc,0.5433250172076335
117,train,auroc,0.49521896702195367
117,valid,auroc,0.5178403145964514
118,train,auroc,0.5003117638685415
118,valid,auroc,0.5136650859807489
119,train,auroc,0.5088641334475374
119,valid,auroc,0.5201015304207275
120,train,auroc,0.4990885294942507
120,valid,auroc,0.5456554942053876
121,train,auroc,0.5109886798018548
121,valid,auroc,0.5186090059622027
122,train,auroc,0.4825943948855552
122,valid,auroc,0.5174961619261641
123,train,auroc,0.499318398285961
123,valid,auroc,0.5219152401137749
124,train,auroc,0.4952429327843786
124,valid,auroc,0.5190565120934315
125,train,auroc,0.5095427133216464
125,valid,auroc,0.48142060049796265
126,train,auroc,0.494587113151446
126,valid,auroc,0.5145021413545189
127,train,auroc,0.4890678350342863
127,valid,auroc,0.4974071918218703
128,train,auroc,0.490567551688572
128,valid,auroc,0.5351907768519828
129,train,auroc,0.5013210423316055
129,valid,auroc,0.4902121042692875
130,train,auroc,0.5115965518363207
130,valid,auroc,0.5104184236156917
131,train,auroc,0.5116063245952438
131,valid,auroc,0.5251068165196152
132,train,auroc,0.49232571602497144
132,valid,auroc,0.5255308169158036
133,train,auroc,0.48640038620400183
133,valid,auroc,0.5381686484453557
134,train,auroc,0.46671382237161974
134,valid,auroc,0.5209301524391776
135,train,auroc,0.4999474231999382
135,valid,auroc,0.5101514271749263
136,train,auroc,0.4814450670006207
136,valid,auroc,0.49133481712538135
137,train,auroc,0.5132571653932719
137,valid,auroc,0.5324273278034447
138,train,auroc,0.4811512573618772
138,valid,auroc,0.5079921293468564
139,train,auroc,0.48547841962658034
139,valid,auroc,0.5224309308199303
140,train,auroc,0.48879437459422154
140,valid,auroc,0.5133112439234984
141,train,auroc,0.5064635066536414
141,valid,auroc,0.5238394805914401
142,train,auroc,0.4951147939124456
142,valid,auroc,0.5215583476939617
143,train,auroc,0.5091330450540903
143,valid,auroc,0.5467412438445479
144,train,auroc,0.492943569775377
144,valid,auroc,0.5260601445369442
145,train,auroc,0.4917157865675743
145,valid,auroc,0.540246124783514
146,train,auroc,0.5049382650961157
146,valid,auroc,0.5145391045714527
147,train,auroc,0.5102882558827186
147,valid,auroc,0.53864576103675
148,train,auroc,0.5117690538902074
148,valid,auroc,0.522145811636882
149,train,auroc,0.48687801372275374
149,valid,auroc,0.5417650259065497
150,train,auroc,0.5162358476627483
150,valid,auroc,0.5371399585294239
151,train,auroc,0.5021349942051396
151,valid,auroc,0.507917485180621
152,train,auroc,0.4994386450121189
152,valid,auroc,0.524576771166107
153,train,auroc,0.5079863532422864
153,valid,auroc,0.5081611553194376
154,train,auroc,0.5119661807248018
154,valid,auroc,0.5196326717515611
155,train,auroc,0.48523983893464584
155,valid,auroc,0.5101711648150368
156,train,auroc,0.5153138489380933
156,valid,auroc,0.5254271045886784
157,train,auroc,0.4910303271855393
157,valid,auroc,0.4733224261937862
158,train,auroc,0.4985859075016083
158,valid,auroc,0.4909720034135352
159,train,auroc,0.5156427633556002
159,valid,auroc,0.5194090981190388
160,train,auroc,0.4765521616506909
160,valid,auroc,0.5372445680220085
161,train,auroc,0.5107249438998632
161,valid,auroc,0.49702661423392475
162,train,auroc,0.4926300699562373
162,valid,auroc,0.5043713489851623
163,train,auroc,0.5018159168410226
163,valid,auroc,0.5008013481884794
164,train,auroc,0.5050886337798756
164,valid,auroc,0.5111357971171562
165,train,auroc,0.498420365323731
165,valid,auroc,0.49280724507761203
166,train,auroc,0.5155641794437988
166,valid,auroc,0.4847370623357739
167,train,auroc,0.4969196842524463
167,valid,auroc,0.5064181422646035
168,train,auroc,0.4953727433124432
168,valid,auroc,0.5270102427586187
169,train,auroc,0.4836647048710388
169,valid,auroc,0.525089232076608
170,train,auroc,0.49028292008493557
170,valid,auroc,0.4737907465636768
171,train,auroc,0.5074043436570101
171,valid,auroc,0.4979451322314227
172,train,auroc,0.5166612037801546
172,valid,auroc,0.46739754549884915
173,train,auroc,0.48642676300892446
173,valid,auroc,0.5057495745641392
174,train,auroc,0.5064218759865182
174,valid,auroc,0.4876602068361137
175,train,auroc,0.47806536406934597
175,valid,auroc,0.48306761684862376
176,train,auroc,0.5104603239489558
