epoch,subset,metric,score
0,train,auroc,0.5177038189241504
0,valid,auroc,0.49562290915589646
1,train,auroc,0.5104856398951794
1,valid,auroc,0.503224950960936
2,train,auroc,0.5020000079725139
2,valid,auroc,0.48798838996122096
3,train,auroc,0.49622323051662276
3,valid,auroc,0.49261668713400136
4,train,auroc,0.49482342746343283
4,valid,auroc,0.5125267624456586
5,train,auroc,0.495637572220367
5,valid,auroc,0.502780136326086
6,train,auroc,0.5158847516542644
6,valid,auroc,0.5039482457544335
7,train,auroc,0.5030504348942015
7,valid,auroc,0.5006274775224165
8,train,auroc,0.5071831706919074
8,valid,auroc,0.49306544929687346
9,train,auroc,0.5264504863812103
9,valid,auroc,0.4876630777655843
10,train,auroc,0.5404960465975434
10,valid,auroc,0.5000208142386617
11,train,auroc,0.5485122485459485
11,valid,auroc,0.4906563806048618
12,train,auroc,0.5788025772822702
12,valid,auroc,0.4877786326767757
13,train,auroc,0.5846724209785643
13,valid,auroc,0.4723926039114979
14,train,auroc,0.5958588223388295
14,valid,auroc,0.47839858836397925
15,train,auroc,0.5937720168364062
15,valid,auroc,0.48135259535612807
16,train,auroc,0.5992444242874148
16,valid,auroc,0.47309813482889623
17,train,auroc,0.5928438619165743
17,valid,auroc,0.4828090537631785
18,train,auroc,0.613816250786482
18,valid,auroc,0.47562921802340813
19,train,auroc,0.6140959638634237
19,valid,auroc,0.4753792677263746
20,train,auroc,0.6202464850536582
20,valid,auroc,0.46149150527856264
21,train,auroc,0.6299428139296277
21,valid,auroc,0.45713648470476437
22,train,auroc,0.628368579988553
22,valid,auroc,0.47422066825189824
23,train,auroc,0.6242366800189129
23,valid,auroc,0.4589536036265581
24,train,auroc,0.6382116127636861
24,valid,auroc,0.45729330922709555
25,train,auroc,0.6296166481005678
25,valid,auroc,0.4475554753290265
26,train,auroc,0.6509625878214192
26,valid,auroc,0.45491223209742215
27,train,auroc,0.6310988605863218
27,valid,auroc,0.46243693823984755
28,train,auroc,0.6469216805956342
28,valid,auroc,0.4725379447159467
29,train,auroc,0.6353752141487946
29,valid,auroc,0.45620666242247593
30,train,auroc,0.6411190246169368
30,valid,auroc,0.4510879746094998
31,train,auroc,0.6358779165095203
31,valid,auroc,0.45643328641756087
32,train,auroc,0.6335153681134679
32,valid,auroc,0.4422896523806823
33,train,auroc,0.6509240272150763
33,valid,auroc,0.4456649682726407
34,train,auroc,0.6516929408147575
34,valid,auroc,0.44535383129126516
35,train,auroc,0.6392682762486338
35,valid,auroc,0.4509517848927385
36,train,auroc,0.647398391918237
36,valid,auroc,0.4479681714404242
37,train,auroc,0.6522086628049696
37,valid,auroc,0.44277143023246635
38,train,auroc,0.6666736961950148
38,valid,auroc,0.45662904792083703
39,train,auroc,0.64718774717204
39,valid,auroc,0.43866851315280453
40,train,auroc,0.6502923019335018
40,valid,auroc,0.45869037528072304
41,train,auroc,0.6541886912719876
41,valid,auroc,0.44433895772341037
42,train,auroc,0.6374454477524519
42,valid,auroc,0.4522819224030828
43,train,auroc,0.6508131996282751
43,valid,auroc,0.45015869062648706
44,train,auroc,0.6481823825703359
44,valid,auroc,0.4514227967590077
45,train,auroc,0.623257973574717
45,valid,auroc,0.45763925622830204
46,train,auroc,0.6370005139699659
46,valid,auroc,0.44994893334204183
47,train,auroc,0.6386637153791977
47,valid,auroc,0.44950752793593807
48,train,auroc,0.6466825212535002
48,valid,auroc,0.45264204461855034
49,train,auroc,0.6405730360065729
49,valid,auroc,0.4524599200302596
50,train,auroc,0.6475017934941458
50,valid,auroc,0.4408060995767532
51,train,auroc,0.6588033783913241
51,valid,auroc,0.44095054321574245
52,train,auroc,0.6426910082516805
52,valid,auroc,0.43566677695820716
53,train,auroc,0.6408897987698926
53,valid,auroc,0.4416289797362621
54,train,auroc,0.6493836925315162
54,valid,auroc,0.43831825975739214
55,train,auroc,0.6459530362354612
55,valid,auroc,0.4355872880984901
56,train,auroc,0.6555546111412796
56,valid,auroc,0.44881832542990374
57,train,auroc,0.643414047749443
57,valid,auroc,0.44365513821013336
58,train,auroc,0.6311849187298654
58,valid,auroc,0.4337617358213765
59,train,auroc,0.617016572155944
59,valid,auroc,0.4450123701173564
60,train,auroc,0.6277297823156527
60,valid,auroc,0.4411610182325553
61,train,auroc,0.6478922377161886
61,valid,auroc,0.44310338145250366
62,train,auroc,0.6507659271217078
62,valid,auroc,0.4383421243586164
63,train,auroc,0.6507649948519421
63,valid,auroc,0.4490944729583564
64,train,auroc,0.6140822691420379
64,valid,auroc,0.43559356825670703
65,train,auroc,0.6098434956952925
65,valid,auroc,0.44263721427971614
66,train,auroc,0.6377915287925409
66,valid,auroc,0.44449524394646583
67,train,auroc,0.6576342638842936
67,valid,auroc,0.44753035469615876
68,train,auroc,0.6466870700870123
68,valid,auroc,0.4431868178402428
69,train,auroc,0.6506454714385334
69,valid,auroc,0.443919263721428
70,train,auroc,0.6405405994481734
70,valid,auroc,0.43579848084767064
71,train,auroc,0.6430852619208691
71,valid,auroc,0.4235627588770933
72,train,auroc,0.6072784518766847
72,valid,auroc,0.38242216013039765
73,train,auroc,0.5528699024614365
73,valid,auroc,0.3980122043211795
74,train,auroc,0.5989211677829687
74,valid,auroc,0.41603841160085187
75,train,auroc,0.6186708848551683
75,valid,auroc,0.4436854624026665
