epoch,subset,metric,score
0,train,auroc,0.47264513157798294
0,valid,auroc,0.5311546088825122
1,train,auroc,0.5053950129868394
1,valid,auroc,0.5260768318144919
2,train,auroc,0.49634222350068197
2,valid,auroc,0.5261353270024554
3,train,auroc,0.49034907909106656
3,valid,auroc,0.5287616891687726
4,train,auroc,0.48621017102456704
4,valid,auroc,0.5184780198051069
5,train,auroc,0.4882136830455106
5,valid,auroc,0.520313082036092
6,train,auroc,0.4803410827882555
6,valid,auroc,0.5176709297576864
7,train,auroc,0.5086772615803656
7,valid,auroc,0.5188666718821886
8,train,auroc,0.5056428199347309
8,valid,auroc,0.5210024639752182
9,train,auroc,0.5034184724946343
9,valid,auroc,0.520239514468408
10,train,auroc,0.5053864778963982
10,valid,auroc,0.5121813537437279
11,train,auroc,0.47074216002918445
11,valid,auroc,0.5110920154427296
12,train,auroc,0.4952245284933145
12,valid,auroc,0.5116739169598006
13,train,auroc,0.5030682605350663
13,valid,auroc,0.5185761697063829
14,train,auroc,0.5014102509040124
14,valid,auroc,0.5167326741200781
15,train,auroc,0.49255823696342893
15,valid,auroc,0.5145703259294455
16,train,auroc,0.4999445620961745
16,valid,auroc,0.5158791109018522
17,train,auroc,0.4986566314148678
17,valid,auroc,0.506451696252791
18,train,auroc,0.5010766590640603
18,valid,auroc,0.5099761210441284
19,train,auroc,0.4946409597672232
19,valid,auroc,0.5084172063415962
20,train,auroc,0.48384435968433476
20,valid,auroc,0.5116172161027563
21,train,auroc,0.4988878021695268
21,valid,auroc,0.5119857716735438
22,train,auroc,0.5010469550204913
22,valid,auroc,0.5076650228203006
23,train,auroc,0.49092052831020383
23,valid,auroc,0.5065333383096111
24,train,auroc,0.48402049437558436
24,valid,auroc,0.5083675033751365
25,train,auroc,0.4952812683600886
25,valid,auroc,0.5038430979625732
26,train,auroc,0.49680144672836957
26,valid,auroc,0.503951475550088
27,train,auroc,0.49367344056021567
27,valid,auroc,0.5019437986846836
28,train,auroc,0.49255868702469513
28,valid,auroc,0.5020196988825625
29,train,auroc,0.4938679795425294
29,valid,auroc,0.5023948934777507
30,train,auroc,0.5211705926368176
30,valid,auroc,0.5013132707997046
31,train,auroc,0.49821733947182606
31,valid,auroc,0.5004058776539051
32,train,auroc,0.484530815630602
32,valid,auroc,0.4998752940011211
33,train,auroc,0.4814490854047832
33,valid,auroc,0.49860275451328057
34,train,auroc,0.4639399822727297
34,valid,auroc,0.4972598772534105
35,train,auroc,0.5056249621466328
35,valid,auroc,0.49525543018366047
36,train,auroc,0.5043494885182298
36,valid,auroc,0.49438517968788687
37,train,auroc,0.4938949189240347
37,valid,auroc,0.49066571112564117
38,train,auroc,0.5291889805970873
38,valid,auroc,0.4868059258855203
39,train,auroc,0.4970031866909425
39,valid,auroc,0.4992393831233847
40,train,auroc,0.5011140945172379
40,valid,auroc,0.5021024175379339
41,train,auroc,0.49737861815503426
41,valid,auroc,0.5043404864933534
42,train,auroc,0.4798968562449023
42,valid,auroc,0.5052907641481199
43,train,auroc,0.5064727489832151
43,valid,auroc,0.5037661211661428
44,train,auroc,0.4802393850157116
44,valid,auroc,0.5045663927560708
45,train,auroc,0.524179621894529
45,valid,auroc,0.5270393109195085
46,train,auroc,0.5346522260866055
46,valid,auroc,0.5032764482583147
47,train,auroc,0.5426999162500279
47,valid,auroc,0.4981186440313018
48,train,auroc,0.5328893361069109
48,valid,auroc,0.48944969306175296
49,train,auroc,0.5561240382994421
49,valid,auroc,0.47436726508799043
50,train,auroc,0.5331402774100491
50,valid,auroc,0.4934029629427601
51,train,auroc,0.5430109085849701
51,valid,auroc,0.4935818577353964
52,train,auroc,0.553698770651222
52,valid,auroc,0.5103635170895666
53,train,auroc,0.5257295686008456
53,valid,auroc,0.5031955239338624
54,train,auroc,0.5007678205937491
54,valid,auroc,0.5117128539407454
55,train,auroc,0.507119792421457
55,valid,auroc,0.5170090010816226
56,train,auroc,0.4743020482031046
56,valid,auroc,0.5162622005530846
57,train,auroc,0.4972367363408656
57,valid,auroc,0.515479513406164
58,train,auroc,0.4894008803712723
58,valid,auroc,0.5125554717403646
59,train,auroc,0.4929603667047761
59,valid,auroc,0.5132227834091857
60,train,auroc,0.4870908444808151
60,valid,auroc,0.5192599892196599
61,train,auroc,0.528038125718571
61,valid,auroc,0.520649519083427
62,train,auroc,0.5035061379998429
62,valid,auroc,0.5148628018692621
63,train,auroc,0.501626923256453
63,valid,auroc,0.5185641476892248
64,train,auroc,0.5123204593093823
64,valid,auroc,0.5245780271977504
65,train,auroc,0.49371675895708717
65,valid,auroc,0.5276145734121787
66,train,auroc,0.4948946335851919
66,valid,auroc,0.5286089916075554
67,train,auroc,0.5070637437201987
67,valid,auroc,0.5266373807936253
68,train,auroc,0.49793696737660187
68,valid,auroc,0.5282775786867938
69,train,auroc,0.5099646618323228
69,valid,auroc,0.5261895157962128
70,train,auroc,0.5127893588542932
70,valid,auroc,0.5249325869873687
71,train,auroc,0.49734357767073756
71,valid,auroc,0.5223144787432794
72,train,auroc,0.48440828645087985
72,valid,auroc,0.5232579379405531
73,train,auroc,0.5102739985847502
73,valid,auroc,0.5238568856013557
74,train,auroc,0.5188395324557824
74,valid,auroc,0.5245412434139083
75,train,auroc,0.48049772018250886
75,valid,auroc,0.5238375068274292
76,train,auroc,0.4931922768458009
76,valid,auroc,0.5245100220559157
77,train,auroc,0.5029333707441404
77,valid,auroc,0.523043874261902
78,train,auroc,0.5007828494253167
78,valid,auroc,0.5246858664859895
79,train,auroc,0.49841610581531876
79,valid,auroc,0.5253856555444466
80,train,auroc,0.4892676783100945
80,valid,auroc,0.5245313745938531
81,train,auroc,0.4898815779508042
81,valid,auroc,0.5254721422947483
82,train,auroc,0.5008470313765998
82,valid,auroc,0.5275026071628255
83,train,auroc,0.5027392175286262
83,valid,auroc,0.5235610004327926
84,train,auroc,0.4957084086489431
84,valid,auroc,0.5223510830940293
85,train,auroc,0.47940786467917895
85,valid,auroc,0.5210880535600602
86,train,auroc,0.48683934060109413
86,valid,auroc,0.5249029805272031
87,train,auroc,0.4833051059193472
87,valid,auroc,0.5219617132845802
88,train,auroc,0.4893469212401786
88,valid,auroc,0.5216487819722855
