epoch,subset,metric,score
0,train,auroc,0.4771613677953389
0,valid,auroc,0.48221584796131706
1,train,auroc,0.4918041753855321
1,valid,auroc,0.48968259721505486
2,train,auroc,0.5076277347812104
2,valid,auroc,0.48667458086224064
3,train,auroc,0.4856189191097171
3,valid,auroc,0.4940153680854561
4,train,auroc,0.5071800363366608
4,valid,auroc,0.4934925000556243
5,train,auroc,0.500852303522861
5,valid,auroc,0.48037576160375867
6,train,auroc,0.5038232543827288
6,valid,auroc,0.4751896069482235
7,train,auroc,0.48961369505571695
7,valid,auroc,0.4823432454565747
8,train,auroc,0.49157502990657115
8,valid,auroc,0.4825233962808544
9,train,auroc,0.5075483632621932
9,valid,auroc,0.48023939245390546
10,train,auroc,0.5160834054824406
10,valid,auroc,0.47883694340752053
11,train,auroc,0.5346345611819072
11,valid,auroc,0.48919095054321576
12,train,auroc,0.5385491940752907
12,valid,auroc,0.4828924901509176
13,train,auroc,0.512848959824831
13,valid,auroc,0.48543487763022
14,train,auroc,0.5506537847130647
14,valid,auroc,0.5003339249840484
15,train,auroc,0.562152705401854
15,valid,auroc,0.48551436648993707
16,train,auroc,0.5728987539603785
16,valid,auroc,0.4855985206100438
17,train,auroc,0.5777282328190075
17,valid,auroc,0.4827754997749909
18,train,auroc,0.5736442322269841
18,valid,auroc,0.5261317383406171
19,train,auroc,0.5500431801637683
19,valid,auroc,0.4662924170857626
20,train,auroc,0.5483965988741524
20,valid,auroc,0.4953455055958004
21,train,auroc,0.5706115104583307
21,valid,auroc,0.4741532014093393
22,train,auroc,0.576086232510137
22,valid,auroc,0.5195661020744617
23,train,auroc,0.5736511117349103
23,valid,auroc,0.48217691098037213
24,train,auroc,0.5853116044182644
24,valid,auroc,0.48574206708357354
25,train,auroc,0.5750745430045756
25,valid,auroc,0.48274481671627395
26,train,auroc,0.5528914893285973
26,valid,auroc,0.5117494582914955
27,train,auroc,0.520661187577949
27,valid,auroc,0.47221496515050493
28,train,auroc,0.5310257127716714
28,valid,auroc,0.49681954844585824
29,train,auroc,0.5238818581460896
29,valid,auroc,0.4869365531764323
30,train,auroc,0.5305079012112949
30,valid,auroc,0.48173532614117653
31,train,auroc,0.5414143483903687
31,valid,auroc,0.4813095314140692
32,train,auroc,0.5112258620891407
32,valid,auroc,0.46027728154559366
33,train,auroc,0.5052662954647068
33,valid,auroc,0.4585283471987264
34,train,auroc,0.5093922481961866
34,valid,auroc,0.4573483951863126
35,train,auroc,0.5050022541639989
35,valid,auroc,0.4571020335511172
36,train,auroc,0.511218821845048
36,valid,auroc,0.4639378960536921
37,train,auroc,0.4959962549759095
37,valid,auroc,0.4595778513533203
38,train,auroc,0.5130310096070078
38,valid,auroc,0.46892003528372317
39,train,auroc,0.49480923445993097
39,valid,auroc,0.465087344440481
40,train,auroc,0.4985259046906542
40,valid,auroc,0.46504481879769777
41,train,auroc,0.5058566633306412
41,valid,auroc,0.46101923738065015
42,train,auroc,0.5019029233279485
42,valid,auroc,0.4696768840654084
43,train,auroc,0.4984732635961258
43,valid,auroc,0.46301830145764267
44,train,auroc,0.49561227234776
44,valid,auroc,0.4709623427358665
45,train,auroc,0.4898276991877937
45,valid,auroc,0.4686874899966051
46,train,auroc,0.5204337459023529
46,valid,auroc,0.45944327653438616
47,train,auroc,0.48364604340210826
47,valid,auroc,0.462146077197858
48,train,auroc,0.5069524017776649
48,valid,auroc,0.4634634749586765
49,train,auroc,0.4890302066977088
49,valid,auroc,0.46935408393305855
50,train,auroc,0.5052576317853326
50,valid,auroc,0.4684590716706011
51,train,auroc,0.4988473609500357
51,valid,auroc,0.4862355080863317
52,train,auroc,0.500298053073539
52,valid,auroc,0.4782640135450453
53,train,auroc,0.4901605516413799
53,valid,auroc,0.5348035602396365
54,train,auroc,0.48980349232111897
54,valid,auroc,0.5062771078543606
55,train,auroc,0.5017332020097421
55,valid,auroc,0.464407651888318
56,train,auroc,0.48095078721501966
56,valid,auroc,0.468057141544718
57,train,auroc,0.5006854915292683
57,valid,auroc,0.4688392903923628
58,train,auroc,0.4884694785808771
58,valid,auroc,0.477946058106177
59,train,auroc,0.49710168581377306
59,valid,auroc,0.48593370162573557
60,train,auroc,0.500726366736409
60,valid,auroc,0.46869717938356836
61,train,auroc,0.5024341724318443
61,valid,auroc,0.4704427045016891
62,train,auroc,0.4962624019203985
62,valid,auroc,0.4816529663519889
63,train,auroc,0.5004987321774131
63,valid,auroc,0.4659513147780377
64,train,auroc,0.5147069413206263
64,valid,auroc,0.4684635574978988
65,train,auroc,0.4966680357101755
65,valid,auroc,0.46849854695082166
66,train,auroc,0.4918356796741659
66,valid,auroc,0.47767529357048166
67,train,auroc,0.49307874889140263
67,valid,auroc,0.4739992478164787
68,train,auroc,0.5117358457982087
68,valid,auroc,0.4944587472555709
69,train,auroc,0.4815319770458467
69,valid,auroc,0.4917186245089813
70,train,auroc,0.49538749889252776
70,valid,auroc,0.5306927481039305
71,train,auroc,0.5173189040262353
71,valid,auroc,0.5007803545167256
72,train,auroc,0.5012929777969347
72,valid,auroc,0.53782934046855
73,train,auroc,0.5084495948741365
73,valid,auroc,0.5053185762773662
74,train,auroc,0.49931863939021076
74,valid,auroc,0.5093633570352486
75,train,auroc,0.49762647332377574
75,valid,auroc,0.5002524623603203
76,train,auroc,0.4925286132879432
76,valid,auroc,0.5341154343321536
77,train,auroc,0.5067529121214229
77,valid,auroc,0.51177709098765
78,train,auroc,0.5022793352826558
78,valid,auroc,0.5184835822309563
79,train,auroc,0.4799871256760081
79,valid,auroc,0.5434595920265676
80,train,auroc,0.5040424502929834
80,valid,auroc,0.5301540899620104
81,train,auroc,0.4896787128350658
81,valid,auroc,0.4804681696460934
82,train,auroc,0.5085475957148509
82,valid,auroc,0.5293053714372663
83,train,auroc,0.48843085368006733
83,valid,auroc,0.5185607384604785
84,train,auroc,0.4933176832029035
84,valid,auroc,0.5113460927008772
85,train,auroc,0.4822571704082403
85,valid,auroc,0.5139756846628487
86,train,auroc,0.4794106293412428
86,valid,auroc,0.4668626554518592
87,train,auroc,0.491543220219221
87,valid,auroc,0.5023930991468315
88,train,auroc,0.4974938338391808
88,valid,auroc,0.49233515661279137
89,train,auroc,0.5015735106283253
89,valid,auroc,0.48975221725471674
90,train,auroc,0.48394047991190114
90,valid,auroc,0.4701446661360232
91,train,auroc,0.5011808803944182
91,valid,auroc,0.46773254708144896
92,train,auroc,0.4833501602668169
92,valid,auroc,0.47815204729569205
93,train,auroc,0.5009144441248295
93,valid,auroc,0.49974951140369067
94,train,auroc,0.4973506661356801
94,valid,auroc,0.505476477398249
95,train,auroc,0.48189572299063393
95,valid,auroc,0.500018302175375
96,train,auroc,0.49617375592457436
96,valid,auroc,0.5085804904552361
97,train,auroc,0.5012325731455644
97,valid,auroc,0.5312954638596632
98,train,auroc,0.4960907356945776
98,valid,auroc,0.5394268332858434
99,train,auroc,0.512911534414449
99,valid,auroc,0.5412017854310377
100,train,auroc,0.5133229868534532
100,valid,auroc,0.5383855830534776
101,train,auroc,0.4789951424244595
101,valid,auroc,0.47193558782639783
102,train,auroc,0.4930176048536664
102,valid,auroc,0.5352973601085785
103,train,auroc,0.4997866548862059
103,valid,auroc,0.5300889557496463
104,train,auroc,0.48032494487713906
104,valid,auroc,0.5348032013734526
105,train,auroc,0.4949594584811409
105,valid,auroc,0.49489638456674445
