epoch,subset,metric,score
0,train,auroc,0.4933687812302334
0,valid,auroc,0.48922809319324156
1,train,auroc,0.519310103656825
1,valid,auroc,0.48676483570747237
2,train,auroc,0.5039867230640582
2,valid,auroc,0.4918901625448493
3,train,auroc,0.4864598746592233
3,valid,auroc,0.4923227757294493
4,train,auroc,0.49808674133654557
4,valid,auroc,0.4854090392649846
5,train,auroc,0.49485107408407064
5,valid,auroc,0.48537028171713165
6,train,auroc,0.502028924408867
6,valid,auroc,0.4757691758350996
7,train,auroc,0.4776023474681289
7,valid,auroc,0.4830660019507966
8,train,auroc,0.48644815699268545
8,valid,auroc,0.48532488514487787
9,train,auroc,0.4869834887952104
9,valid,auroc,0.4985675856272658
10,train,auroc,0.5202377763681573
10,valid,auroc,0.4952103924775906
11,train,auroc,0.5251414831884758
11,valid,auroc,0.4872941633286131
12,train,auroc,0.5061954148015377
12,valid,auroc,0.4902061829772544
13,train,auroc,0.48970277503919074
13,valid,auroc,0.48879350624463047
14,train,auroc,0.48929013315255443
14,valid,auroc,0.4869448070986602
15,train,auroc,0.5039174618499138
15,valid,auroc,0.486159428455361
16,train,auroc,0.5299069408319884
16,valid,auroc,0.48724033340103945
17,train,auroc,0.4974729702847692
17,valid,auroc,0.483840614608581
18,train,auroc,0.516621100106613
18,valid,auroc,0.4815148028712165
19,train,auroc,0.5203348127918728
19,valid,auroc,0.4770688097198188
20,train,auroc,0.5173436895431094
20,valid,auroc,0.47729651031345527
21,train,auroc,0.5229782476388821
21,valid,auroc,0.4805255882355053
22,train,auroc,0.5233860192196734
22,valid,auroc,0.4829299916671272
23,train,auroc,0.5623014827975654
23,valid,auroc,0.4833405345814221
24,train,auroc,0.5454734991710514
24,valid,auroc,0.48961315660848487
25,train,auroc,0.547980018951437
25,valid,auroc,0.4925434784325011
26,train,auroc,0.5463435640403106
26,valid,auroc,0.4925965906277072
27,train,auroc,0.5885163781795382
27,valid,auroc,0.48700509661754265
28,train,auroc,0.5680070059108474
28,valid,auroc,0.49170839682274237
29,train,auroc,0.5879444467519015
29,valid,auroc,0.48809910017893066
30,train,auroc,0.5878784163347036
30,valid,auroc,0.4826077298340531
31,train,auroc,0.6053050939605764
31,valid,auroc,0.4834846193542275
32,train,auroc,0.6060584804465738
32,valid,auroc,0.47777613496813626
33,train,auroc,0.6168506281376503
33,valid,auroc,0.47622062949435034
34,train,auroc,0.6135552634729375
34,valid,auroc,0.4735404374004595
35,train,auroc,0.6096071492360724
35,valid,auroc,0.4732294798521758
36,train,auroc,0.601673228131298
36,valid,auroc,0.47946011453573123
37,train,auroc,0.625196451742695
37,valid,auroc,0.4796535434088125
38,train,auroc,0.6157223406169106
38,valid,auroc,0.4784398579751191
39,train,auroc,0.6230124973012396
39,valid,auroc,0.470626802853991
40,train,auroc,0.6287236783275827
40,valid,auroc,0.46769235406886067
41,train,auroc,0.6220583834905182
41,valid,auroc,0.4664549834670349
42,train,auroc,0.6405179035014638
42,valid,auroc,0.4709662902638887
43,train,auroc,0.6251200056219082
43,valid,auroc,0.4704936634997922
44,train,auroc,0.640655445439137
44,valid,auroc,0.47104542025742185
45,train,auroc,0.638695846538881
45,valid,auroc,0.47570619481983845
46,train,auroc,0.6474252509316589
46,valid,auroc,0.4806612396529908
47,train,auroc,0.6291964355404895
47,valid,auroc,0.47863974643950913
48,train,auroc,0.6375583488358008
48,valid,auroc,0.4805108747219684
49,train,auroc,0.6456608500319994
49,valid,auroc,0.4763788894814168
50,train,auroc,0.6416669259876819
50,valid,auroc,0.47848184531862653
51,train,auroc,0.635374330099879
51,valid,auroc,0.46217335102782864
52,train,auroc,0.659048324235452
52,valid,auroc,0.4680664720654974
53,train,auroc,0.6440611554821513
53,valid,auroc,0.44229180557778536
54,train,auroc,0.6377986333311001
54,valid,auroc,0.4444862722918702
55,train,auroc,0.6437307783655293
55,valid,auroc,0.4546911705281864
56,train,auroc,0.6554318890781574
56,valid,auroc,0.4491393312313344
57,train,auroc,0.6350686581320477
57,valid,auroc,0.44548535574763665
58,train,auroc,0.65915897501247
58,valid,auroc,0.44076895692672746
59,train,auroc,0.6583839212912284
59,valid,auroc,0.4610547651328486
60,train,auroc,0.6686960143474387
60,valid,auroc,0.4409851738024815
61,train,auroc,0.6646491116626434
61,valid,auroc,0.4357783843413765
62,train,auroc,0.6577904833645141
62,valid,auroc,0.42346801820456376
63,train,auroc,0.6658983692222902
63,valid,auroc,0.41133852062439846
64,train,auroc,0.6892506659942322
64,valid,auroc,0.4018698363641975
65,train,auroc,0.6795067431393624
65,valid,auroc,0.40885462833305936
66,train,auroc,0.6701688719883026
66,valid,auroc,0.4100588038128814
67,train,auroc,0.6782647669280579
67,valid,auroc,0.4154041156209426
68,train,auroc,0.6915079643484612
68,valid,auroc,0.40791206630124516
69,train,auroc,0.6823338029829804
69,valid,auroc,0.3984496621992612
70,train,auroc,0.6806979106484367
70,valid,auroc,0.38974895157244394
71,train,auroc,0.6827590948059201
71,valid,auroc,0.39321308684489875
72,train,auroc,0.6852523538525694
72,valid,auroc,0.3903563325885664
73,train,auroc,0.7012285965328051
73,valid,auroc,0.3874958102373038
74,train,auroc,0.696543651635092
74,valid,auroc,0.39424285335938225
75,train,auroc,0.6909523958625738
75,valid,auroc,0.3938165203329991
76,train,auroc,0.70670773882919
76,valid,auroc,0.3813586601946347
77,train,auroc,0.6930590362079432
77,valid,auroc,0.38595645374179
78,train,auroc,0.6876625926692219
78,valid,auroc,0.38876332559857085
79,train,auroc,0.7083733030600694
79,valid,auroc,0.38178553152029354
80,train,auroc,0.7011793630450066
80,valid,auroc,0.3844587257235998
81,train,auroc,0.6989970320388328
81,valid,auroc,0.3688735262262996
82,train,auroc,0.6957653831905204
82,valid,auroc,0.36499364447988447
83,train,auroc,0.7038750210725115
83,valid,auroc,0.3640334980050629
84,train,auroc,0.707342743128561
84,valid,auroc,0.36919740295720094
85,train,auroc,0.715789284015534
85,valid,auroc,0.36129516958939245
86,train,auroc,0.7219415250827502
86,valid,auroc,0.3760824301269597
87,train,auroc,0.7208436649183287
87,valid,auroc,0.3688455346639613
88,train,auroc,0.7284622859588986
88,valid,auroc,0.3681792995936918
89,train,auroc,0.7103520938586054
89,valid,auroc,0.38010747324473165
90,train,auroc,0.7124561142044608
90,valid,auroc,0.3733871656533482
91,train,auroc,0.7194362429708467
91,valid,auroc,0.361032838409017
92,train,auroc,0.7232193776064173
92,valid,auroc,0.36701926465448
93,train,auroc,0.7235872705443003
93,valid,auroc,0.37601550158367647
94,train,auroc,0.7179395803037245
94,valid,auroc,0.36889326386640986
95,train,auroc,0.7189838671038519
95,valid,auroc,0.3567822478947116
96,train,auroc,0.7354162950982284
96,valid,auroc,0.3789560510939318
97,train,auroc,0.7362910213163161
97,valid,auroc,0.354619899704079
98,train,auroc,0.7203616653758481
98,valid,auroc,0.36537350433546234
99,train,auroc,0.7311357623954265
99,valid,auroc,0.3713109453468334
100,train,auroc,0.720136650816366
100,valid,auroc,0.37108683341503523
101,train,auroc,0.7246400442140188
101,valid,auroc,0.35139692250715404
102,train,auroc,0.7356725085476279
102,valid,auroc,0.35188139185531664
103,train,auroc,0.727678793588916
103,valid,auroc,0.35062912830686216
104,train,auroc,0.7278025765107368
104,valid,auroc,0.3532404180934588
105,train,auroc,0.7387274440544914
105,valid,auroc,0.37266763895478067
106,train,auroc,0.7238101633863845
106,valid,auroc,0.37187203262524254
107,train,auroc,0.7406060480004486
107,valid,auroc,0.3705040347325047
108,train,auroc,0.7344623580972902
108,valid,auroc,0.36323609734460555
109,train,auroc,0.735412919638732
109,valid,auroc,0.3646125285926632
110,train,auroc,0.7248828361935156
110,valid,auroc,0.3680364708525297
111,train,auroc,0.7238055181111727
111,valid,auroc,0.357697715529647
112,train,auroc,0.7423589562642035
112,valid,auroc,0.37940499268989586
113,train,auroc,0.7437223204284481
113,valid,auroc,0.3738475909671946
114,train,auroc,0.7377463265677981
114,valid,auroc,0.383776700541242
115,train,auroc,0.7452148039552413
115,valid,auroc,0.3926579208585228
116,train,auroc,0.7528110826686679
116,valid,auroc,0.3779099561680843
117,train,auroc,0.7421544516395668
117,valid,auroc,0.3811268326398842
118,train,auroc,0.7315191342261433
118,valid,auroc,0.38741273271574855
119,train,auroc,0.7403098755400574
119,valid,auroc,0.3828746903881999
120,train,auroc,0.7467533062465032
120,valid,auroc,0.3700245895109156
121,train,auroc,0.725221234044846
121,valid,auroc,0.37543467666515706
122,train,auroc,0.7408147317654142
122,valid,auroc,0.3723852112681111
123,train,auroc,0.7466060236971401
123,valid,auroc,0.36752221561110965
124,train,auroc,0.7442610598377026
124,valid,auroc,0.3794825077856019
125,train,auroc,0.7445025177070175
125,valid,auroc,0.3694880845660985
126,train,auroc,0.752170693707719
126,valid,auroc,0.37835441193675057
127,train,auroc,0.7482812320980095
127,valid,auroc,0.37839532268170656
128,train,auroc,0.7611764357179422
128,valid,auroc,0.3734474551722306
129,train,auroc,0.7458455808934333
129,valid,auroc,0.3871737278373217
130,train,auroc,0.7506844467441862
130,valid,auroc,0.36978953216051075
131,train,auroc,0.7515843120987141
131,valid,auroc,0.3671192088866751
132,train,auroc,0.7422168976402516
132,valid,auroc,0.3636563296458637
133,train,auroc,0.7520393240388397
133,valid,auroc,0.36766307058826064
134,train,auroc,0.7457716261832271
134,valid,auroc,0.38189265307616505
135,train,auroc,0.7529200939367875
135,valid,auroc,0.3697080695367827
136,train,auroc,0.7417987907239544
136,valid,auroc,0.3739478940655735
137,train,auroc,0.749304253503309
