epoch,subset,metric,score
0,train,auroc,0.5177721800157624
0,valid,auroc,0.4829387838886309
1,train,auroc,0.5037856903406179
1,valid,auroc,0.49006963439430923
2,train,auroc,0.503108396355841
2,valid,auroc,0.4878078802707574
3,train,auroc,0.4924176410385922
3,valid,auroc,0.48321457255089983
4,train,auroc,0.49354695727079756
4,valid,auroc,0.4927697435614024
5,train,auroc,0.49310051256834664
5,valid,auroc,0.48737867631490367
6,train,auroc,0.5117601330329667
6,valid,auroc,0.4888455418412849
7,train,auroc,0.5020083341059385
7,valid,auroc,0.48766738415979016
8,train,auroc,0.5096585880240754
8,valid,auroc,0.4834243298353451
9,train,auroc,0.5271561824466077
9,valid,auroc,0.4826558179026855
10,train,auroc,0.5333782633781676
10,valid,auroc,0.487547343421301
11,train,auroc,0.5366279307507447
11,valid,auroc,0.46440316606102017
12,train,auroc,0.5729434386146651
12,valid,auroc,0.47713089356962046
13,train,auroc,0.5740020791544609
13,valid,auroc,0.47449627748107515
14,train,auroc,0.6016334620037063
14,valid,auroc,0.4399048071560788
15,train,auroc,0.5962327750301895
15,valid,auroc,0.48116670267290707
16,train,auroc,0.5863371493813779
16,valid,auroc,0.4827381776918731
17,train,auroc,0.6077261021003845
17,valid,auroc,0.4734367250733343
18,train,auroc,0.6112145109010625
18,valid,auroc,0.4670187622418227
19,train,auroc,0.6268626428446238
19,valid,auroc,0.46804242803118123
20,train,auroc,0.6487684909278579
20,valid,auroc,0.46811940482761144
21,train,auroc,0.6148903862927283
21,valid,auroc,0.48486481869721526
22,train,auroc,0.6256639528829575
22,valid,auroc,0.4875710285894334
23,train,auroc,0.6187429268049932
23,valid,auroc,0.50400046078418
24,train,auroc,0.624717136494195
24,valid,auroc,0.4884576074965711
25,train,auroc,0.6164105485873926
25,valid,auroc,0.4885390701202991
26,train,auroc,0.6313756643386498
26,valid,auroc,0.457306766708989
27,train,auroc,0.6357031802229193
27,valid,auroc,0.4571162087653783
28,train,auroc,0.6394779726514486
28,valid,auroc,0.46054122762379635
29,train,auroc,0.6325758491466646
29,valid,auroc,0.4625435214964433
30,train,auroc,0.6370917478180709
30,valid,auroc,0.45994425372700476
31,train,auroc,0.6467805220942148
31,valid,auroc,0.45792006901714444
32,train,auroc,0.6434604683543279
32,valid,auroc,0.45457148865588104
33,train,auroc,0.6381451644324554
33,valid,auroc,0.45250872583125973
34,train,auroc,0.6263372606108053
34,valid,auroc,0.4405543549488006
35,train,auroc,0.5511535777491767
35,valid,auroc,0.4458601914766411
36,train,auroc,0.5988109831408336
36,valid,auroc,0.44771158211899
37,train,auroc,0.5805636991641333
37,valid,auroc,0.4437369597000453
38,train,auroc,0.6165377712631768
38,valid,auroc,0.43880380570410626
39,train,auroc,0.5622850555613492
39,valid,auroc,0.430515432322503
40,train,auroc,0.5772309151198597
40,valid,auroc,0.43835324921031493
41,train,auroc,0.5770207525821622
41,valid,auroc,0.4722501340365196
